date,open,high,low,close,volume,average,barCount
2023-12-13,127.19,132.07,126.87,131.77,892699.0,129.78210831020326,6572
2023-12-14,133.01,136.14,133.01,135.93,1581887.0,135.32229745877584,11602
2023-12-15,135.22,136.85,134.27,134.77,1740238.0,135.61689403630083,11370
2023-12-18,135.56,136.15,134.84,135.5,632050.0,135.6247762189771,4899
2023-12-19,136.47,137.83,135.3,137.73,676994.0,137.2751082168179,5044
2023-12-20,137.73,139.16,136.11,136.15,1097634.0,137.63768861992568,7059
2023-12-21,137.33,137.61,135.97,136.89,827314.0,136.85439671647285,6235
2023-12-22,137.55,138.29,136.75,137.51,720640.0,137.46132478254452,5599
2023-12-26,137.26,138.4,137.03,137.75,544075.0,137.5874397053646,4711
2023-12-27,137.72,138.1,137.03,137.76,603136.0,137.48103023923517,4424
2023-12-28,138.47,138.75,137.59,137.71,422141.0,138.09550345849635,2939
2023-12-29,137.25,137.88,136.55,137.21,406466.0,137.10856418862292,3180
2024-01-02,136.39,138.75,136.11,136.94,708832.0,137.2269969010077,5481
2024-01-03,136.2,136.2,129.35,129.45,924983.0,131.14646405931762,7319
2024-01-04,128.84,129.78,128.49,129.29,1326685.0,129.3087831388134,11021
2024-01-05,128.3,130.24,126.94,128.85,705416.0,129.17159858030098,4787
2024-01-08,128.44,131.83,128.11,131.64,620134.0,130.4565935096762,4672
2024-01-09,130.54,133.88,128.31,128.97,715715.0,130.43882860281843,5782
2024-01-10,128.87,129.45,126.68,129.38,598718.0,128.42942024935616,4862
2024-01-11,128.87,128.97,126.23,127.99,879056.0,127.57473084164577,5934
2024-01-12,128.61,129.89,127.95,128.84,689725.0,128.9238768235627,4890
2024-01-16,127.45,129.1,126.91,128.83,634540.0,128.5330488726928,4863
2024-01-17,128.28,128.9,125.08,126.45,632573.0,126.33710899722448,5150
2024-01-18,126.35,129.02,125.86,128.76,695210.0,127.99615390988168,5106
2024-01-19,128.47,130.27,127.51,129.51,760386.0,129.2081153332862,5026
2024-01-22,129.78,131.0,129.54,130.82,544658.0,130.55331355812368,4296
2024-01-23,131.89,132.19,128.62,129.92,385391.0,129.60585185904523,2991
2024-01-24,130.68,131.07,127.74,128.08,509593.0,128.4531067918331,3803
2024-01-25,129.4,129.71,127.74,128.18,575653.0,128.42448555300678,4211
2024-01-26,131.96,132.48,128.93,129.28,591428.0,129.91278997197583,4448
2024-01-29,130.03,131.16,129.57,131.1,694361.0,130.488175566312,4455
2024-01-30,131.1,132.76,130.96,132.53,784197.0,131.9172636290887,4698
2024-01-31,132.85,132.86,128.29,128.4,397829.0,130.02135329166182,2988
2024-02-01,128.36,131.31,127.57,131.31,389673.0,129.9621369354694,3226
2024-02-02,130.12,132.17,128.61,131.23,509169.0,130.9461153875332,4136
2024-02-05,131.01,133.19,130.65,131.09,1293446.0,131.83633460895902,10628
2024-02-06,130.92,134.32,129.36,134.09,1008740.0,133.13909444519192,7717
2024-02-07,134.74,135.12,130.61,131.06,759884.0,132.30315688360918,5303
2024-02-08,130.69,133.06,130.4,132.32,720304.0,131.8402823660386,5026
2024-02-09,132.18,133.46,131.03,131.6,430809.0,131.61624715177737,3375
2024-02-12,131.54,131.54,128.68,130.58,705205.0,130.13682518623716,5021
2024-02-13,128.64,129.92,126.58,128.07,474252.0,127.97049348886506,3755
2024-02-14,129.29,130.6,128.5,130.51,738681.0,129.6561857618088,5228
2024-02-15,131.25,133.83,130.95,132.99,821882.0,132.74037098016314,5871
2024-02-16,131.85,134.49,131.85,133.08,558871.0,133.3976725338988,4194
2024-02-20,131.92,133.56,131.83,132.39,575586.0,132.74037098016314,4385
2024-02-21,131.62,133.68,131.43,133.56,496388.0,132.56074803304617,3413
2024-02-22,130.75,131.29,127.33,130.3,1640558.0,129.71934987508067,11052
2024-02-23,131.07,131.62,129.85,130.31,1046567.0,130.7566230477176,6893
2024-02-26,130.06,131.18,129.12,129.77,817235.0,129.662107397428,5734
2024-02-27,129.73,131.44,129.16,130.82,855410.0,130.86518636740368,6835
2024-02-28,138.05,138.05,134.57,135.22,1365426.0,135.8887072510593,9611
2024-02-29,135.71,136.23,134.09,135.57,780940.0,135.39918537320207,5800
2024-03-01,135.24,137.33,132.91,137.24,795053.0,136.20551475668861,5913
2024-03-04,137.33,141.62,137.0,140.99,1195194.0,140.47007934181164,8383
2024-03-05,141.13,144.49,141.13,142.46,1461399.0,142.81208622922125,10142
2024-03-06,143.11,145.51,142.86,144.31,1235454.0,144.61917203235944,8593
2024-03-07,145.17,147.69,145.17,147.36,1097417.0,146.76280412652443,7726
2024-03-08,147.69,149.6,145.92,145.94,872583.0,147.7517172749376,5898
2024-03-11,146.07,147.33,144.21,145.37,742722.0,145.50741737524552,5590
2024-03-12,145.68,147.53,145.32,145.91,522268.0,145.9485792288789,4267
2024-03-13,146.23,147.16,145.61,145.89,593556.0,146.34828963317764,4778
2024-03-14,145.97,146.31,142.41,143.31,594530.0,143.59571600950076,4767
2024-03-15,142.11,146.71,142.11,145.55,1185355.0,145.11658942437566,7961
2024-03-18,145.95,146.42,143.98,144.18,575298.0,145.0711902179615,4436
2024-03-19,144.08,145.64,143.57,145.46,511738.0,144.6793753278217,3816
2024-03-20,145.29,145.78,144.47,145.36,632003.0,145.11560248510574,4441
2024-03-21,145.65,148.18,145.25,146.8,594239.0,147.10823287098015,4759
2024-03-22,146.91,147.33,144.51,145.52,480818.0,145.46497898664097,3656
2024-03-25,145.61,146.14,141.9,143.66,759163.0,143.48419187200508,5960
2024-03-26,143.71,144.36,142.49,142.52,678560.0,143.165410487836,5187
2024-03-27,143.75,145.55,142.64,145.45,572433.0,144.40007151444766,4167
2024-03-28,145.62,145.75,143.46,143.61,892627.0,144.32820360689385,7112
2024-04-01,144.51,144.82,142.77,143.89,431404.0,143.5571404031255,3099
2024-04-02,142.37,142.68,140.96,142.52,591268.0,142.1207880504648,4853
2024-04-03,142.12,143.19,141.15,142.08,581502.0,142.11782242275797,4157
2024-04-04,143.46,143.6,139.51,139.72,590152.0,141.18364969511563,3934
2024-04-05,142.53,143.83,141.79,142.47,948273.0,142.7771803162368,5253
2024-04-08,142.15,144.12,141.37,142.8,511289.0,143.0480409801247,3670
2024-04-09,144.33,145.74,143.83,145.71,409182.0,144.99744692606203,3028
2024-04-10,142.77,143.4,141.91,142.51,453748.0,142.6763489742056,3169
2024-04-11,143.98,144.19,142.02,143.34,285269.0,143.29319953722026,2167
2024-04-12,141.94,143.0,138.65,139.12,568123.0,140.21092380728493,4031
2024-04-15,140.68,141.61,137.43,138.61,703459.0,138.7735829120553,5449
2024-04-16,138.67,138.75,135.05,135.23,639061.0,135.87616464251053,4987
2024-04-17,135.67,135.89,131.35,133.01,1149370.0,132.67130963402738,6825
2024-04-18,129.76,132.9,126.87,130.92,1097905.0,131.14796553530047,7452
2024-04-19,131.54,132.21,130.64,131.21,615550.0,131.41388348634362,4289
2024-04-22,132.01,133.47,130.27,132.38,359259.0,132.26403009562668,2801
2024-04-23,136.4,138.05,134.45,137.61,1090014.0,137.08317511917863,7733
2024-04-24,136.75,138.29,134.65,135.91,712451.0,135.8287145992017,4416
2024-04-25,135.49,135.64,132.58,134.81,469433.0,134.15906620027266,3576
2024-04-26,134.89,136.77,133.45,136.16,289367.0,135.93943136692232,2319
2024-04-29,136.68,138.27,136.3,137.99,301190.0,137.64466729833302,2384
2024-04-30,137.01,138.05,135.4,135.47,409087.0,136.2053493179655,3138
2024-05-01,135.15,138.95,134.57,137.1,336617.0,136.78463526336066,2486
2024-05-02,137.63,138.29,135.14,135.94,615302.0,136.13022008272657,4918
2024-05-03,138.09,139.34,136.82,137.85,556498.0,138.01240513397636,3309
2024-05-06,137.94,139.85,136.75,139.0,746374.0,139.1245155240268,5317
