date,open,high,low,close,volume,average,barCount
2020-12-14,141.54,143.96,140.37,140.6,445878.0,141.45804120643518,3790
2020-12-15,140.9,142.72,139.31,142.64,630281.0,141.51515234399565,5186
2020-12-16,142.73,144.51,141.27,143.96,802628.0,143.146026714665,4961
2020-12-17,144.83,146.31,143.0,143.3,584720.0,143.97899852417314,4331
2020-12-18,142.97,143.94,141.89,142.99,570648.0,142.83589665254118,3942
2020-12-21,141.61,143.52,140.04,143.44,277453.0,142.2781987886644,2365
2020-12-22,143.37,144.05,141.82,142.46,344198.0,142.91812133759987,2641
2020-12-23,141.94,143.41,141.58,142.36,329186.0,142.52129785753374,2561
2020-12-24,142.87,143.88,142.04,143.61,171536.0,143.00302726238874,1440
2020-12-28,144.17,145.36,141.45,141.93,548751.0,142.84125913200137,4276
2020-12-29,142.22,142.48,139.59,140.04,405975.0,140.3602186350113,3175
2020-12-30,140.0,142.73,140.0,140.91,370752.0,141.29060882138248,2321
2020-12-31,140.43,140.92,139.0,140.77,313031.0,140.0536635591944,2700
2021-01-04,141.12,142.62,139.39,140.62,492287.0,141.0984533073865,4024
2021-01-05,139.63,141.34,138.83,140.47,351483.0,140.067963504422,2872
2021-01-06,140.51,149.07,140.51,148.59,942856.0,146.7755315627469,6861
2021-01-07,148.48,150.86,147.11,149.85,629648.0,149.91079455390005,4675
2021-01-08,150.43,152.89,150.23,151.99,547239.0,151.73046258411316,4200
2021-01-11,150.1,155.38,149.57,152.85,663321.0,153.37495628528808,5343
2021-01-12,152.69,159.02,152.55,157.9,774802.0,157.28509755846218,5055
2021-01-13,157.25,157.4,153.05,153.51,522042.0,154.34377757445853,3946
2021-01-14,154.54,154.54,149.93,150.89,603675.0,151.16740224077617,4328
2021-01-15,149.64,150.15,147.41,147.69,543851.0,148.25557589380443,3838
2021-01-19,147.57,149.36,145.85,148.3,488253.0,148.27881330479926,3577
2021-01-20,148.4,148.79,146.76,147.63,272233.0,147.82747128355285,2314
2021-01-21,147.49,149.95,147.49,148.97,265988.0,148.95091073049684,1831
2021-01-22,148.0,148.76,145.81,146.36,399606.0,146.69956310372535,2990
2021-01-25,146.29,147.18,139.76,142.7,1416873.0,142.74026576883136,9892
2021-01-26,143.01,143.1,139.92,140.88,551106.0,140.99477870448652,4492
2021-01-27,136.43,138.04,127.94,132.21,2487573.0,131.9831319713632,18830
2021-01-28,133.72,138.24,132.72,137.05,1131830.0,136.3133341355983,8478
2021-01-29,136.74,138.13,132.52,133.29,837339.0,134.60627817405245,6645
2021-02-01,135.07,138.98,134.09,134.93,1149562.0,135.7958548676742,9090
2021-02-02,135.73,139.94,135.03,137.71,867120.0,138.3528638236859,6403
2021-02-03,138.63,139.72,135.97,138.78,732395.0,138.19735191933563,4838
2021-02-04,139.9,142.59,138.99,141.64,496341.0,140.75793586165426,3923
2021-02-05,142.98,143.22,139.87,140.57,602177.0,140.7525733821939,3572
2021-02-08,141.55,143.02,140.82,141.61,617325.0,141.67045111649105,4363
2021-02-09,141.21,144.91,140.68,143.6,417284.0,143.6223936400596,3427
2021-02-10,144.58,146.13,141.57,144.66,597879.0,144.14166040113713,4898
2021-02-11,143.89,144.59,137.7,138.05,1154403.0,139.59695905848795,7453
2021-02-12,138.49,139.13,136.44,136.57,495931.0,137.3706363358647,3990
2021-02-16,134.96,141.2,134.96,138.99,1387921.0,138.7684559818634,9521
2021-02-17,138.37,145.62,138.02,144.63,1014996.0,143.5687688454561,7671
2021-02-18,143.02,149.86,142.74,149.75,963332.0,147.97136448240593,7493
2021-02-19,149.75,149.85,146.62,148.34,523360.0,148.40751281184797,4204
2021-02-22,147.58,151.32,147.02,149.88,452024.0,149.72221402621128,3700
2021-02-23,151.41,151.41,146.44,148.53,549610.0,148.07772032503635,4575
2021-02-24,149.2,149.35,146.09,148.5,667742.0,147.7202216943461,4286
2021-02-25,148.84,148.97,143.04,143.6,592573.0,144.69310203897678,3617
2021-02-26,145.11,145.96,143.03,143.31,494367.0,144.2024351683544,4232
2021-03-01,144.9,146.34,144.58,145.38,558430.0,145.42418673873814,3931
2021-03-02,145.8,148.59,144.06,147.33,541605.0,146.8917186177214,4462
2021-03-03,146.74,151.11,146.71,148.21,468586.0,148.76679893569155,3329
2021-03-04,148.26,150.0,145.18,147.95,480371.0,147.74614034507093,3973
2021-03-05,149.29,153.82,147.67,153.29,495370.0,150.8161598361231,3648
2021-03-08,154.19,158.82,153.68,157.75,768936.0,157.14388559933963,5630
2021-03-09,159.1,159.41,154.56,154.66,804380.0,157.48082805876524,4260
2021-03-10,155.5,158.42,152.75,157.6,658130.0,156.43514456399637,3881
2021-03-11,157.6,158.59,154.95,155.19,465339.0,156.1965142280107,4007
2021-03-12,155.64,160.65,155.2,160.5,700069.0,158.48450546442805,4803
2021-03-15,160.03,162.51,159.26,162.38,509458.0,161.4356566607756,3818
2021-03-16,163.19,163.45,158.39,160.08,659172.0,160.5714037210821,5080
2021-03-17,161.56,163.64,159.97,162.63,707571.0,162.46145147835242,4368
2021-03-18,162.12,165.49,162.12,164.43,513582.0,164.21560484975694,3645
2021-03-19,162.93,167.52,162.38,166.47,816118.0,165.63593209486868,5177
2021-03-22,165.59,167.66,161.11,163.77,527277.0,162.91430944056205,3745
2021-03-23,163.66,165.69,160.23,160.68,451083.0,161.80722386891543,3629
2021-03-24,160.68,164.43,160.68,162.64,464499.0,163.32062863985675,3858
2021-03-25,161.53,166.92,160.65,166.15,348321.0,164.57270035750722,2950
2021-03-26,167.17,167.97,165.41,167.65,480846.0,166.79134638184996,3932
2021-03-29,167.79,168.17,164.66,165.62,461253.0,165.89637017194968,3782
2021-03-30,165.89,167.29,163.31,166.53,398207.0,165.68157588157354,3221
