date,open,high,low,close,volume,average,barCount
2020-12-14,119.33,120.08,118.31,118.55,52644168.0,119.32968218550447,221116
2020-12-15,121.12,124.5,120.83,124.49,120793901.0,123.08331442549748,441732
2020-12-16,124.0,124.96,123.2,124.42,72858326.0,124.113227005869,273040
2020-12-17,125.49,126.14,124.64,125.28,65084292.0,125.24048482068018,239949
2020-12-18,125.51,125.67,122.77,123.3,95137509.0,124.03340391362848,336264
2020-12-21,121.72,124.9,120.16,124.83,87399181.0,122.49924301885953,333545
2020-12-22,128.1,130.84,126.21,128.38,139018417.0,128.77411683083957,470813
2020-12-23,128.63,128.91,127.31,127.48,65524758.0,128.1919923288904,229738
2020-12-24,127.84,129.92,127.62,128.47,45857271.0,128.8802231363788,152060
2020-12-28,130.43,133.69,129.97,133.06,101045308.0,132.2065097971817,353089
2020-12-29,134.4,135.11,130.77,131.29,100350209.0,132.8197847741515,345514
2020-12-30,131.94,132.38,129.86,130.17,76992497.0,130.7979242548399,269751
2020-12-31,130.48,131.16,128.22,129.17,74842982.0,129.36792276092137,276304
2021-01-04,129.98,130.07,123.43,125.97,100655506.0,126.30738859013869,385504
2021-01-05,125.46,128.24,125.02,127.53,72258461.0,127.24384974544813,261586
2021-01-06,124.33,127.57,123.02,123.24,121591559.0,125.09641387370937,451898
2021-01-07,124.99,128.14,124.47,127.44,84308570.0,126.62862786378949,306995
2021-01-08,128.91,129.11,126.77,128.54,81404848.0,128.00119566938864,320314
2021-01-11,125.73,126.71,125.09,125.56,72922367.0,125.9150872953469,292575
2021-01-12,125.11,126.25,123.49,125.38,71925546.0,125.04092709007882,271160
2021-01-13,125.27,127.96,125.08,127.42,69194324.0,127.07544248986754,272479
2021-01-14,127.33,127.52,125.34,125.49,66726106.0,126.4212825144331,264270
2021-01-15,125.26,126.77,123.63,123.76,77016212.0,125.03508637601244,293130
2021-01-19,124.33,125.29,123.56,124.44,60967833.0,124.28260771379394,233311
2021-01-20,125.18,128.97,125.14,128.52,76874934.0,127.89995662557149,295931
2021-01-21,130.29,135.96,130.04,133.24,91698793.0,132.1724389651279,336337
2021-01-22,132.68,136.14,131.44,135.38,89529879.0,134.09792770234415,322931
2021-01-25,139.23,141.24,132.92,139.13,119754818.0,138.76368478903674,435184
2021-01-26,139.79,140.47,137.62,139.36,75027856.0,138.94766728212767,262972
2021-01-27,139.61,140.47,136.68,138.29,94863467.0,138.85518930941,383193
2021-01-28,135.77,138.22,133.07,133.45,107554702.0,135.71191168935363,442550
2021-01-29,132.29,133.11,126.75,128.46,133891871.0,129.1800464584529,575322
2021-02-01,130.14,131.79,127.52,130.58,83025656.0,130.22164046695718,342071
2021-02-02,132.02,132.69,131.04,131.41,60137230.0,131.6633233890085,254007
2021-02-03,131.92,132.17,130.06,130.38,60981232.0,131.00916341357402,249505
2021-02-04,132.73,133.75,131.01,133.74,60933991.0,132.38164741648197,238773
2021-02-05,133.87,133.97,132.45,133.33,56733472.0,133.18204606827956,233093
2021-02-08,132.57,133.52,131.54,133.47,52877360.0,132.7082412634396,209017
2021-02-09,133.28,134.42,132.44,132.6,51214603.0,133.3965256095651,197366
2021-02-10,133.05,133.55,131.03,131.99,51383478.0,132.10672364083413,220890
2021-02-11,132.51,132.97,130.41,131.74,47751183.0,131.49058241314108,197485
2021-02-12,130.91,132.13,130.34,131.97,45472543.0,131.05967351655826,186877
2021-02-16,132.07,132.6,129.46,129.85,59574139.0,130.5634458505839,242347
2021-02-17,127.94,128.9,126.22,127.56,73758951.0,127.28678340394391,311372
2021-02-18,126.0,126.74,124.22,126.46,72928325.0,125.58459577174112,295230
2021-02-19,126.92,127.43,125.57,126.61,65274261.0,126.50978252028659,259170
2021-02-22,124.84,126.46,122.45,122.84,78446659.0,123.95942579300002,324433
2021-02-23,120.65,123.53,115.42,122.7,122863543.0,120.13779033009354,533726
2021-02-24,121.81,122.41,119.16,122.2,86286885.0,121.20433859448633,369294
2021-02-25,121.51,123.29,117.52,117.95,112655073.0,119.7039567124932,515002
2021-02-26,119.51,121.72,118.21,118.22,113031548.0,120.19336002942663,517275
2021-03-01,120.66,124.72,119.71,124.58,87356206.0,122.72616843060803,367494
2021-03-02,125.18,125.49,121.87,121.98,76838973.0,123.03911357948378,336007
2021-03-03,121.64,122.56,118.78,119.0,82452531.0,120.42538789681738,402738
2021-03-04,118.68,120.5,115.64,117.12,130749900.0,117.82921054025616,616931
2021-03-05,117.96,118.88,114.62,118.37,116900282.0,116.67589555234333,562651
2021-03-08,117.93,117.96,113.29,113.44,115189494.0,115.1014207379061,538779
2021-03-09,116.02,118.99,115.81,118.05,95005196.0,117.69662318746147,425384
2021-03-10,118.49,119.1,116.45,116.97,86691617.0,117.31445964117084,412458
2021-03-11,119.24,120.12,118.22,118.9,78011789.0,119.00884801732684,331702
2021-03-12,117.37,118.13,116.17,117.99,69619676.0,117.17407303232939,307854
2021-03-15,118.34,120.89,117.4,120.88,67742817.0,119.75465187679713,284551
2021-03-16,122.56,124.03,121.58,122.42,92674023.0,122.81683478215153,376275
2021-03-17,120.96,122.7,119.26,121.63,88015235.0,120.58332283176411,387946
2021-03-18,119.77,120.09,117.3,117.51,90611184.0,118.68127926336346,406621
2021-03-19,116.89,118.38,116.67,116.98,96269297.0,117.3125098271592,399731
2021-03-22,117.29,120.76,117.24,120.29,77966029.0,119.65813608321864,346229
2021-03-23,120.22,121.12,119.08,119.47,72299488.0,119.95645762700676,309474
2021-03-24,119.71,119.82,117.05,117.08,68564879.0,118.26986850689751,303583
2021-03-25,116.59,118.61,116.01,117.56,77575511.0,117.22281838262157,363717
2021-03-26,117.37,118.43,115.94,118.17,73404796.0,117.12240296101967,324316
2021-03-29,118.6,119.5,117.69,118.34,61125437.0,118.41415474376231,284935
2021-03-30,117.09,117.39,115.88,116.89,67151632.0,116.6768704593492,295425
2021-03-31,118.6,120.42,118.11,119.08,84214266.0,119.6357132220842,381490
2021-04-01,120.54,121.06,119.42,119.91,58142715.0,120.07052174669042,244772
2021-04-05,120.65,123.0,119.98,122.74,69453288.0,122.1548729251838,289182
2021-04-06,123.35,123.94,122.5,123.04,62869136.0,123.21459684053568,261015
2021-04-07,122.66,124.71,122.0,124.69,67044483.0,123.85803546439239,275540
2021-04-08,125.72,127.12,125.3,127.09,70632804.0,126.44641356490689,298593
2021-04-09,126.64,129.7,126.22,129.66,84157265.0,128.28996271295688,338974
2021-04-12,129.25,129.52,127.35,127.95,68272686.0,128.24414208368216,271534
2021-04-13,129.18,131.28,128.62,131.06,70853319.0,130.35091612330993,281730
2021-04-14,131.55,131.61,128.35,128.72,67376280.0,129.7620722917804,284897
2021-04-15,130.49,131.61,130.29,131.12,66090815.0,131.01872742231257,274830
2021-04-16,130.93,131.29,129.94,130.79,60207231.0,130.63851369003362,229817
2021-04-19,130.12,132.07,129.99,131.46,65598794.0,131.1825117992943,275309
2021-04-20,131.63,132.13,128.5,129.77,76477003.0,130.1110889998722,325441
2021-04-21,129.07,130.39,128.01,130.15,54497737.0,129.46667546900966,234498
2021-04-22,129.7,130.78,128.11,128.63,67239840.0,129.52614479636608,291847
2021-04-23,128.84,131.73,128.84,130.95,61963311.0,130.78669955492168,258175
2021-04-26,131.45,131.67,130.21,131.34,49672028.0,131.13961589103707,207121
