date,open,high,low,close,volume,average,barCount
2020-12-14,22.62,22.83,22.06,22.21,145944.0,22.34215989830798,864
2020-12-15,22.34,22.98,22.16,22.97,163859.0,22.667617471305025,984
2020-12-16,22.97,23.1,22.49,22.67,116442.0,22.657567712518897,923
2020-12-17,22.74,22.94,22.49,22.86,176606.0,22.75188083343491,1123
2020-12-18,22.81,22.86,21.68,21.89,339899.0,22.37926669997984,1279
2020-12-21,21.37,21.77,20.99,21.54,202564.0,21.416035973247492,1373
2020-12-22,21.58,21.8,21.34,21.72,104181.0,21.663414651059973,831
2020-12-23,21.73,22.22,21.65,21.73,93182.0,21.832714433687876,708
2020-12-24,21.79,22.06,21.6,21.99,38619.0,21.873686527200565,318
2020-12-28,22.02,22.55,21.85,22.36,116555.0,22.32901790604916,817
2020-12-29,22.3,22.47,21.62,21.91,83839.0,21.870594293727898,551
2020-12-30,21.91,22.27,21.76,21.92,73856.0,21.944807897071637,535
2020-12-31,21.78,22.36,21.72,22.33,47953.0,22.108696271122405,360
2021-01-04,22.26,22.58,21.12,21.17,132522.0,21.4794267594369,906
2021-01-05,21.21,21.51,21.06,21.37,108458.0,21.32017673559511,837
2021-01-06,21.63,22.47,21.63,22.2,193905.0,22.11719991317221,1486
2021-01-07,22.17,22.17,21.43,21.78,87998.0,21.690471693945675,638
2021-01-08,21.85,21.88,21.59,21.82,101897.0,21.73530907929919,681
2021-01-11,21.57,21.84,21.36,21.55,85233.0,21.525037203158572,602
2021-01-12,21.48,21.88,21.34,21.77,79633.0,21.651045717169303,653
2021-01-13,21.75,22.26,21.75,22.01,150192.0,22.077000878027665,1060
2021-01-14,22.18,22.6,21.88,22.35,150064.0,22.392408692238583,1008
2021-01-15,22.21,22.51,21.98,22.37,87452.0,22.309691446845036,565
2021-01-19,22.54,22.63,22.07,22.63,155923.0,22.465076178846008,907
2021-01-20,22.67,23.35,22.53,23.15,166418.0,23.09357263216334,1000
2021-01-21,23.08,23.14,22.19,22.47,189284.0,22.510686622567675,1444
2021-01-22,22.15,22.45,21.79,22.4,76526.0,22.191413516515944,590
2021-01-25,22.12,22.56,21.85,22.12,92139.0,22.141937780953445,686
2021-01-26,22.32,22.53,21.99,22.18,119118.0,22.18986739977961,838
2021-01-27,21.76,22.15,21.54,21.74,265672.0,21.822664674901695,1766
2021-01-28,21.92,22.64,21.74,22.03,266254.0,22.239343135342093,1644
2021-01-29,21.9,22.33,21.36,21.36,208225.0,21.738401312771817,1600
2021-02-01,21.41,21.85,21.03,21.75,115196.0,21.538952253785503,915
2021-02-02,21.88,21.88,21.34,21.56,110181.0,21.50416462721812,921
2021-02-03,21.44,21.85,21.1,21.79,106489.0,21.46087335860094,706
2021-02-04,21.81,22.32,21.8,22.05,66968.0,22.125703555221985,507
2021-02-05,22.3,22.41,21.96,22.27,55759.0,22.137299430744445,429
2021-02-08,22.34,22.64,21.97,22.6,99351.0,22.431061610646765,731
2021-02-09,22.79,22.99,22.42,22.62,126008.0,22.736419666071555,723
2021-02-10,22.36,23.16,22.36,22.82,141221.0,22.91654226585377,1049
2021-02-11,22.96,23.81,22.89,23.42,210005.0,23.319305675667223,1524
2021-02-12,23.33,23.55,23.11,23.25,311509.0,23.262872414791246,1717
2021-02-16,23.38,23.38,22.33,22.57,413552.0,22.678440288459257,2199
2021-02-17,22.47,23.03,22.34,22.57,223894.0,22.670709704777618,1269
2021-02-18,22.37,22.97,22.37,22.62,228014.0,22.76656894242995,1513
2021-02-19,22.64,22.92,22.54,22.65,243732.0,22.744923308121358,1242
2021-02-22,22.65,23.55,22.6,23.54,185186.0,23.261326298054914,1293
2021-02-23,24.37,24.58,24.14,24.44,357630.0,24.403906566201318,2216
2021-02-24,24.54,25.43,24.48,25.26,317753.0,25.195518335201253,2058
2021-02-25,25.28,26.08,25.17,25.27,299043.0,25.512472266148496,1742
2021-02-26,25.35,25.5,24.03,24.03,168978.0,24.587894457824344,1267
2021-03-01,24.59,25.05,24.31,24.72,194597.0,24.74946365677062,1375
2021-03-02,24.61,25.14,24.11,25.05,352856.0,24.741733073088987,2376
2021-03-03,25.14,26.49,25.05,26.21,373661.0,26.092266042271504,2227
2021-03-04,26.25,26.66,25.53,26.14,348097.0,26.048974773654322,2269
2021-03-05,26.5,26.83,25.89,26.75,290967.0,26.365928704601565,2126
2021-03-08,26.83,28.07,26.68,28.05,560754.0,27.431203135931572,2426
2021-03-09,28.14,28.3,27.49,27.52,862070.0,27.82943588090328,4242
2021-03-10,27.51,27.54,26.94,27.15,208491.0,27.213099119177606,1450
2021-03-11,27.15,27.38,26.63,27.05,399062.0,27.001939495375257,1378
2021-03-12,27.17,27.79,27.06,27.65,147615.0,27.532565708694076,1081
2021-03-15,27.5,28.0,27.02,27.75,100498.0,27.62918487235272,766
2021-03-16,27.54,27.54,26.68,26.71,164542.0,26.938046177471964,1138
2021-03-17,26.66,27.31,26.62,27.26,245046.0,27.11647995551898,1174
2021-03-18,27.4,27.57,26.91,27.14,293014.0,27.254396019773658,915
2021-03-19,27.26,27.38,26.3,26.3,356478.0,26.980901451675408,1261
2021-03-22,26.31,26.31,25.4,25.69,124843.0,25.663296566620883,925
2021-03-23,25.88,25.99,25.26,25.35,167432.0,25.58148195223252,1045
2021-03-24,25.59,26.09,25.2,25.2,179470.0,25.700697533198426,1328
2021-03-25,25.09,25.78,24.52,25.57,149931.0,25.376555822859753,1121
2021-03-26,25.87,26.15,25.7,26.03,132498.0,25.937570321522823,1039
2021-03-29,25.89,26.17,25.26,25.3,189853.0,25.485641975377572,1501
2021-03-30,25.25,25.88,25.06,25.69,152474.0,25.677321929087462,1134
2021-03-31,25.49,25.68,25.01,25.28,209830.0,25.4092816686151,1385
2021-04-01,25.42,25.74,25.25,25.73,80323.0,25.517588634329222,589
2021-04-05,26.0,26.0,25.08,25.32,115228.0,25.32590868061934,818
2021-04-06,25.32,25.85,25.32,25.73,110709.0,25.678880302694857,847
2021-04-07,25.65,25.84,25.26,25.74,77564.0,25.62199966602484,606
2021-04-08,25.86,25.86,25.53,25.67,62506.0,25.713943708861294,448
2021-04-09,25.57,25.98,25.57,25.83,98862.0,25.801991817679255,693
