date,open,high,low,close,volume,average,barCount
2023-12-13,45.94,49.01,45.68,48.91,171917.0,47.518272780899004,1372
2023-12-14,50.22,52.08,50.22,51.31,194447.0,51.145137436478905,1365
2023-12-15,51.38,51.96,50.49,50.92,296535.0,51.23983619060846,1071
2023-12-18,51.38,51.39,50.02,50.21,169216.0,50.56815842935975,1307
2023-12-19,50.29,51.66,50.28,51.23,175059.0,51.10315757640086,1185
2023-12-20,51.26,52.37,50.27,50.27,176052.0,51.49269162689249,1396
2023-12-21,50.68,50.81,50.01,50.51,195235.0,50.35142519825915,1409
2023-12-22,51.01,51.64,50.45,51.27,146262.0,51.21445301939848,1113
2023-12-26,51.67,52.56,51.42,52.31,130786.0,52.21708828219269,1036
2023-12-27,52.43,52.56,51.67,52.47,89489.0,52.37499356284956,670
2023-12-28,52.24,52.63,52.1,52.57,69439.0,52.40632183295332,533
2023-12-29,52.3,52.46,51.61,51.94,153442.0,52.01373944821552,1166
2024-01-02,51.35,52.57,49.5,51.06,254963.0,51.53989936289609,1851
2024-01-03,50.45,50.57,48.97,49.09,127525.0,49.85600484481874,987
2024-01-04,49.22,49.78,48.79,49.38,192470.0,49.33321433746217,1229
2024-01-05,48.87,50.16,48.87,49.51,91855.0,49.6347489372109,702
2024-01-08,49.61,50.52,49.25,50.51,91412.0,50.052785541408014,770
2024-01-09,49.66,50.82,49.17,49.83,290727.0,49.76593606827043,1371
2024-01-10,49.54,50.37,49.3,50.35,85117.0,49.97054883238563,724
2024-01-11,49.8,50.15,48.68,50.11,91003.0,49.644539021618336,780
2024-01-12,50.77,50.77,48.9,49.69,90463.0,49.5818824814108,588
2024-01-16,48.93,49.55,48.59,48.85,139438.0,48.99349840852448,1101
2024-01-17,47.8,48.99,43.08,48.32,130399.0,48.20050157152294,1055
2024-01-18,48.65,49.07,48.41,48.85,120385.0,48.78007456844258,913
2024-01-19,49.21,50.49,48.38,50.46,138157.0,49.56426032947743,950
2024-01-22,51.24,52.01,50.92,51.98,89369.0,51.47136877204408,745
2024-01-23,52.49,52.49,51.4,51.4,104648.0,51.713183856907506,852
2024-01-24,51.64,52.41,51.52,51.99,93055.0,51.905069511293064,741
