date,open,high,low,close,volume,average,barCount
2023-12-13,211.0,222.78,208.41,221.75,99456.0,215.417,681
2023-12-14,227.65,238.28,227.65,234.34,108498.0,234.342,889
2023-12-15,236.45,237.39,229.51,233.17,161013.0,234.532,849
2023-12-18,233.15,234.72,221.41,223.06,150808.0,225.366,1237
2023-12-19,225.48,227.45,222.66,225.55,165079.0,224.647,1361
2023-12-20,225.66,227.83,220.61,221.79,65661.0,224.246,463
2023-12-21,227.46,227.59,224.14,226.28,58407.0,225.584,396
2023-12-22,226.37,228.56,224.09,224.18,61943.0,225.775,492
2023-12-26,224.81,225.67,222.83,223.33,84466.0,224.161,537
2023-12-27,224.43,226.72,221.53,223.99,60444.0,223.353,485
2023-12-28,223.45,228.04,222.52,227.48,45463.0,226.069,361
2023-12-29,226.6,226.6,222.82,224.97,31847.0,225.095,266
2024-01-02,222.98,225.63,220.64,222.84,82290.0,222.482,271
2024-01-03,220.0,220.01,208.0,208.67,63681.0,212.119,476
2024-01-04,209.85,209.85,205.94,207.0,34310.0,207.366,248
2024-01-05,205.33,209.98,204.37,205.54,27973.0,206.522,223
2024-01-08,205.79,209.1,204.28,208.75,24313.0,207.91,204
2024-01-09,205.05,209.06,204.29,209.05,24447.0,207.825,199
2024-01-10,208.34,210.65,207.15,210.44,28798.0,209.48,231
2024-01-11,209.41,209.57,205.0,209.5,27304.0,207.498,169
2024-01-12,211.85,212.24,200.1,202.23,57552.0,203.636,430
2024-01-16,200.28,205.34,198.23,202.59,46371.0,202.708,335
2024-01-17,199.38,203.74,199.38,202.54,24408.0,202.511,196
2024-01-18,204.69,205.11,201.36,203.4,24788.0,203.112,170
2024-01-19,204.25,206.79,201.11,204.46,27386.0,204.084,183
2024-01-22,206.31,209.33,204.76,207.57,29585.0,208.109,235
2024-01-23,211.14,211.14,206.13,207.75,67310.0,208.0,510
2024-01-24,210.0,210.0,203.13,205.07,80235.0,206.438,656
2024-01-25,208.99,211.8,205.37,211.59,85037.0,209.421,684
2024-01-26,214.17,215.35,211.38,213.92,37574.0,213.778,301
2024-01-29,213.92,220.07,212.92,219.68,38175.0,217.219,280
2024-01-30,218.11,221.85,217.86,218.36,29455.0,218.779,214
2024-01-31,214.95,219.1,208.65,209.06,63956.0,212.418,495
2024-02-01,210.77,214.82,209.75,213.67,56422.0,212.558,415
2024-02-02,209.96,215.81,207.37,213.27,50614.0,212.791,352
2024-02-05,209.28,213.57,207.61,210.8,44490.0,210.754,315
2024-02-06,210.8,211.67,209.07,209.8,26690.0,209.952,212
2024-02-07,211.07,211.88,207.2,210.74,110002.0,209.932,821
