date,open,high,low,close,volume,average,barCount
2023-12-13,46.37,50.4,46.37,50.21,1750408.0,48.73918371574061,9012
2023-12-14,50.86,50.93,44.65,45.09,903543.0,45.934803704834145,5519
2023-12-15,44.96,45.11,43.64,44.08,688635.0,44.32091709123134,3203
2023-12-18,44.08,44.24,43.43,43.97,197849.0,44.00793253677892,1434
2023-12-19,44.2,44.96,44.19,44.77,165354.0,44.70974759599584,1140
2023-12-20,44.47,45.12,43.57,43.59,190950.0,44.29211483161916,1463
2023-12-21,43.77,43.85,43.08,43.53,396340.0,43.353161168261906,2712
2023-12-22,43.88,44.45,43.44,43.82,305678.0,43.97721012652593,1951
2023-12-26,43.73,44.06,43.3,43.73,203400.0,43.663265496753105,1450
2023-12-27,43.9,44.11,43.27,43.55,152739.0,43.54805645830436,1117
2023-12-28,43.39,43.71,43.16,43.44,108740.0,43.39540448235977,779
2023-12-29,43.41,43.5,42.95,43.04,74988.0,43.119862865403206,561
2024-01-02,42.78,43.16,42.54,42.77,208939.0,42.790654500079555,1545
2024-01-03,42.75,42.8,41.87,41.88,215184.0,42.28888112450077,1604
2024-01-04,42.19,42.19,41.7,41.78,173993.0,41.872988192049874,1197
2024-01-05,41.49,42.17,40.9,40.96,284239.0,41.28822921974077,1585
2024-01-08,40.93,41.24,40.78,41.05,149099.0,40.999709528782965,1047
2024-01-09,40.56,40.75,40.18,40.65,169224.0,40.49021656281065,1091
2024-01-10,40.62,41.35,40.42,41.28,125739.0,41.01611365836919,783
2024-01-11,40.71,41.07,40.36,41.0,128827.0,40.74013830180086,962
2024-01-12,41.37,41.38,40.44,40.6,122083.0,40.6996104522349,846
2024-01-16,40.25,40.43,39.72,39.91,168363.0,39.95466997926023,1205
2024-01-17,39.56,40.38,39.54,40.02,323540.0,40.04634011518327,2212
2024-01-18,40.2,40.45,39.71,40.44,175656.0,40.233540182226136,1276
2024-01-19,40.58,40.64,39.55,40.28,100126.0,40.130290660712795,680
2024-01-22,40.61,41.12,40.5,40.92,178355.0,40.84917751610932,1391
