date,open,high,low,close,volume,average,barCount
2023-12-13,142.95,144.94,140.34,144.51,4228370.0,142.502,25871
2023-12-14,145.0,149.92,144.98,147.26,4504332.0,148.092,29893
2023-12-15,147.63,148.73,145.86,146.6,2943109.0,147.028,15748
2023-12-18,147.16,148.46,146.12,147.5,2132037.0,147.472,14963
2023-12-19,147.62,148.61,146.68,146.91,2619858.0,147.476,17104
2023-12-20,146.5,146.5,140.65,141.07,3305209.0,142.935,22521
2023-12-21,142.37,143.49,140.31,142.09,1758897.0,141.574,12189
2023-12-22,142.1,142.51,139.73,140.8,1490400.0,140.918,10553
2023-12-26,141.0,141.0,137.77,138.72,2210577.0,138.67,13184
2023-12-27,139.14,139.14,136.05,136.55,2085743.0,136.836,12698
2023-12-28,136.55,137.19,135.69,137.0,1582263.0,136.601,10489
2023-12-29,136.78,137.87,135.43,136.14,1296071.0,136.267,8537
2024-01-02,134.42,135.6,133.34,134.48,1757005.0,134.285,12671
2024-01-03,132.71,134.54,130.82,133.42,2386260.0,132.966,17713
2024-01-04,132.86,137.04,132.5,133.72,1909375.0,135.023,13179
2024-01-05,134.27,136.65,133.89,135.98,2103794.0,135.86,13681
2024-01-08,137.4,140.25,136.61,140.08,2144559.0,138.965,15074
2024-01-09,138.52,139.54,137.79,139.53,1871293.0,138.841,11948
2024-01-10,139.2,140.83,138.7,139.76,1340493.0,139.986,9354
2024-01-11,140.71,141.2,137.55,139.45,1279530.0,138.979,8160
2024-01-12,139.35,140.99,137.13,137.14,1314473.0,138.338,8468
2024-01-16,135.9,136.0,133.67,135.02,1987262.0,134.547,13588
2024-01-17,132.89,135.09,131.1,134.98,1659381.0,133.559,11632
2024-01-18,136.99,139.54,135.22,137.04,3030660.0,137.387,20682
2024-01-19,138.75,140.29,136.32,139.93,2296632.0,138.705,14787
2024-01-22,141.16,144.05,140.9,142.01,2368169.0,142.349,16500
2024-01-23,142.75,143.93,140.52,142.3,2320464.0,141.583,13943
2024-01-24,143.81,144.1,139.58,141.19,2077878.0,141.703,14307
2024-01-25,143.2,143.29,140.36,142.11,1657952.0,141.906,12219
2024-01-26,142.11,151.53,141.49,149.62,7737438.0,148.323,46331
2024-01-29,149.99,153.38,148.54,152.7,2947199.0,151.106,19163
2024-01-30,150.73,151.03,148.68,149.44,2153351.0,149.683,14044
2024-01-31,148.65,148.74,143.92,144.14,2120902.0,146.224,14473
2024-02-01,144.51,146.85,143.65,146.49,1884547.0,145.526,13230
2024-02-02,143.99,148.08,141.24,146.55,2394695.0,145.937,18243
2024-02-05,145.93,146.4,142.68,144.78,1536618.0,144.458,11404
2024-02-06,145.12,145.13,142.95,144.53,2123097.0,143.84,17054
2024-02-07,145.28,148.77,143.86,147.55,2375206.0,146.964,15846
2024-02-08,149.25,150.67,148.06,150.54,1901069.0,149.835,12563
2024-02-09,145.83,148.68,145.18,147.59,3091643.0,147.323,20534
2024-02-12,148.68,157.35,148.34,153.8,5020780.0,154.231,29417
2024-02-13,149.21,153.02,148.58,150.82,4442797.0,151.069,28195
2024-02-14,146.16,149.53,142.57,148.2,11089959.0,145.812,61814
2024-02-15,148.91,158.27,148.75,157.69,7602561.0,155.178,44711
2024-02-16,155.99,156.1,151.78,152.51,4111230.0,153.557,24207
2024-02-20,150.37,150.68,145.88,148.15,2578469.0,147.84,18043
2024-02-21,146.03,149.26,145.39,149.24,2932578.0,147.436,19222
2024-02-22,151.0,155.7,150.26,155.26,3659529.0,153.947,23677
