date,open,high,low,close,volume,average,barCount
2023-12-13,11.08,11.72,10.84,11.64,4899055.0,11.326378842452774,19827
2023-12-14,11.93,12.56,11.92,12.28,5534583.0,12.228327513310434,24806
2023-12-15,12.38,12.42,11.92,12.03,4607685.0,12.11724623728113,17503
2023-12-18,12.09,12.33,11.94,12.02,2296931.0,12.07109274935346,12106
2023-12-19,12.15,12.7,12.13,12.59,5231483.0,12.516982378485173,24046
2023-12-20,12.44,12.64,12.11,12.12,4113036.0,12.423893140122587,19401
2023-12-21,12.26,12.57,12.11,12.54,3522841.0,12.351924989455712,14783
2023-12-22,12.48,12.76,12.19,12.33,5042537.0,12.390255852310894,19644
2023-12-26,12.39,12.75,12.28,12.65,3699348.0,12.589732791659292,12214
2023-12-27,12.67,12.79,12.52,12.59,2779433.0,12.639015329615955,13740
2023-12-28,12.48,12.62,12.27,12.37,2366319.0,12.40433657744137,9944
2023-12-29,12.33,12.33,11.77,11.87,3897768.0,11.994431023643095,14283
2024-01-02,11.73,11.98,11.58,11.76,4542679.0,11.762881321497499,18093
2024-01-03,11.58,11.72,11.33,11.49,2660650.0,11.532113881859155,11840
2024-01-04,11.48,11.67,11.38,11.59,1691585.0,11.556364019583865,8056
2024-01-05,11.51,11.66,11.23,11.39,3358533.0,11.413992243264618,13665
2024-01-08,11.35,11.5,11.19,11.48,2775697.0,11.38974210553991,12661
2024-01-09,11.29,11.64,11.27,11.57,1980786.0,11.487524918945983,9695
2024-01-10,11.59,11.86,11.55,11.84,2334574.0,11.756623221439506,11932
2024-01-11,11.77,11.87,11.47,11.73,2639152.0,11.73863118377279,10490
2024-01-12,11.88,11.98,11.42,11.51,2990992.0,11.621291807685497,11224
2024-01-16,11.4,11.42,11.09,11.19,4430189.0,11.213733041408965,17297
2024-01-17,11.01,11.22,10.87,11.02,4467110.0,10.968102614132897,20169
2024-01-18,11.1,11.3,10.96,11.2,3678603.0,11.13628905319135,16147
2024-01-19,11.3,11.46,10.98,11.45,2638833.0,11.230160554061186,11898
2024-01-22,11.53,11.65,10.83,11.03,5870940.0,11.14724072829283,25917
2024-01-23,11.1,11.12,10.87,10.88,3377391.0,10.970449401654646,15172
2024-01-24,11.04,11.09,10.53,10.61,5271623.0,10.720125399335085,20795
2024-01-25,10.65,10.74,10.54,10.65,4006484.0,10.627036160972501,14305
2024-01-26,10.75,10.96,10.72,10.77,3239238.0,10.808521062654185,11924
2024-01-29,10.8,11.18,10.74,11.15,3637251.0,11.04554660235052,17809
2024-01-30,11.08,11.21,11.04,11.11,2961002.0,11.11203891546665,12548
2024-01-31,10.95,11.0,10.38,10.4,7080324.0,10.604350548262293,30270
2024-02-01,10.48,10.6,10.11,10.56,6630625.0,10.353244283435483,24802
2024-02-02,10.47,10.58,9.96,10.05,11400479.0,10.146726981521848,46061
2024-02-05,9.91,10.02,9.58,9.97,7835292.0,9.833821978622403,32432
2024-02-06,9.97,10.18,9.79,9.83,3532085.0,9.930040267013982,15948
2024-02-07,9.84,9.85,9.39,9.58,7913802.0,9.542038063418664,30589
2024-02-08,9.57,9.68,9.32,9.48,4475208.0,9.452860137592321,17546
2024-02-09,9.54,9.72,9.47,9.65,3104284.0,9.602272276476807,12616
2024-02-12,9.66,10.08,9.65,9.91,7440059.0,9.887798091622555,27983
2024-02-13,9.65,9.72,9.42,9.55,6232066.0,9.554554263534644,26251
2024-02-14,9.6,10.02,9.5,9.97,4476955.0,9.840862341187643,17611
2024-02-15,9.93,10.5,9.93,10.26,9765554.0,10.309437583029565,37113
2024-02-16,10.56,11.11,10.19,10.94,11096443.0,10.796004862538206,48654
2024-02-20,10.81,10.92,10.34,10.49,9004287.0,10.515172622435953,32160
2024-02-21,10.4,10.5,10.18,10.23,4556955.0,10.303179482971576,19679
