date,open,high,low,close,volume,average,barCount
2023-12-13,102.0,103.23,101.9,103.2,2957038.0,102.50532241344082,20089
2023-12-14,103.75,104.56,102.65,104.5,3801126.0,104.04869470675325,25955
2023-12-15,103.78,103.89,102.48,103.23,4898126.0,103.1134341898582,26327
2023-12-18,103.57,104.51,103.11,103.98,3066400.0,104.02367745012853,19736
2023-12-19,104.06,104.61,103.37,104.32,3018682.0,104.12855748751697,19364
2023-12-20,103.77,104.71,103.24,103.34,3272453.0,104.01501763052765,21259
2023-12-21,103.36,104.57,103.13,104.38,1745744.0,104.04099708933029,11091
2023-12-22,104.75,105.21,104.4,104.91,1439967.0,104.87811298408204,9190
2023-12-26,104.41,105.58,104.41,105.1,1247348.0,105.08883526103676,8682
2023-12-27,104.92,105.65,104.92,105.64,1280413.0,105.35728966866405,8450
2023-12-28,105.7,106.53,105.56,106.23,1868211.0,106.19921657430517,11424
2023-12-29,106.23,106.54,105.68,105.91,1775588.0,106.01639816050879,12237
2024-01-02,105.42,106.8,105.42,105.7,2761507.0,106.0510374389123,16979
2024-01-03,105.98,106.08,105.16,105.38,1757278.0,105.52952385850375,11363
2024-01-04,105.53,106.83,105.37,106.79,2284046.0,106.53694953873949,14686
2024-01-05,106.53,106.85,105.87,106.61,2242251.0,106.48787722766784,13095
2024-01-08,106.93,108.27,106.73,108.15,2534914.0,107.54822402768673,14772
2024-01-09,107.91,109.25,107.82,108.47,2008052.0,108.58644017761446,12763
2024-01-10,108.77,110.09,108.53,110.08,2642814.0,109.56253153475328,17173
2024-01-11,109.5,109.96,108.85,109.74,3427679.0,109.50548735539633,21819
2024-01-12,110.39,111.13,109.69,110.14,2116867.0,110.15907829175735,12762
2024-01-16,109.79,110.29,109.17,109.99,3195954.0,109.93766952781257,20153
2024-01-17,109.85,110.7,109.67,110.15,2455425.0,110.17938215220641,15872
2024-01-18,110.41,110.77,109.64,110.24,2441742.0,110.06045954100463,15642
2024-01-19,109.86,111.05,109.7,110.89,3639063.0,110.40852572013182,21654
2024-01-22,111.12,111.81,110.36,110.4,2757935.0,110.87454765996317,17477
2024-01-23,110.66,111.67,109.13,110.22,3071424.0,110.18034900270396,19462
2024-01-24,107.08,109.59,106.1,107.1,5185924.0,107.21211797514732,34063
2024-01-25,107.72,108.84,107.11,108.72,3274179.0,108.06294641301373,21486
