date,open,high,low,close,volume,average,barCount
2023-12-13,77.81,79.58,77.19,78.92,84485.0,78.58634196728521,675
2023-12-14,80.24,80.9,79.22,79.7,147790.0,79.96000283588207,1200
2023-12-15,80.05,80.54,79.1,79.72,167771.0,79.91520954668869,635
2023-12-18,79.61,80.16,79.0,79.79,77858.0,79.67332578504447,579
2023-12-19,80.36,81.09,79.68,80.7,102407.0,80.69958981078605,828
2023-12-20,81.03,82.58,80.53,80.62,129456.0,81.73779871364586,973
2023-12-21,81.5,82.26,80.99,82.02,84043.0,81.73779871364586,628
2023-12-22,82.62,83.39,82.55,83.04,45759.0,83.02983625526811,368
2023-12-26,83.18,83.82,83.05,83.24,124366.0,83.40809069734551,938
2023-12-27,83.51,83.73,82.99,83.62,56570.0,83.49070943074662,459
2023-12-28,83.13,83.68,83.08,83.2,33645.0,83.30855005469355,279
2023-12-29,83.02,83.18,81.93,82.26,57223.0,82.51819735203713,442
2024-01-02,81.3,82.44,81.03,81.65,112304.0,81.57455205969669,808
2024-01-03,81.55,81.55,78.56,78.69,89174.0,79.47026287403456,674
2024-01-04,79.29,79.6,78.08,78.1,59685.0,78.82922113535602,491
2024-01-05,77.4,78.72,77.4,78.01,58802.0,78.19116561595705,445
2024-01-08,77.92,78.97,77.92,78.96,55164.0,78.45693913183774,460
2024-01-09,77.74,78.04,77.03,77.87,31631.0,77.69843943482991,264
2024-01-10,77.44,78.48,77.44,78.46,31840.0,78.15513890414427,279
2024-01-11,77.79,78.53,77.33,78.49,39446.0,78.0714716894532,341
2024-01-12,79.35,79.35,78.13,78.62,33175.0,78.50773645177081,285
2024-01-16,77.92,78.76,77.71,78.45,74352.0,78.34040202238869,557
2024-01-17,77.28,78.11,76.62,76.93,48713.0,77.05252453910856,405
2024-01-18,77.43,78.29,77.22,78.17,28725.0,77.9370065229854,246
2024-01-19,78.34,79.27,77.13,79.18,78173.0,78.52267702582279,603
2024-01-22,79.67,79.92,78.9,79.44,120625.0,79.38225805294636,973
2024-01-23,80.03,80.07,77.12,77.4,67161.0,77.81847796883982,568
2024-01-24,78.34,78.56,76.03,76.38,63476.0,76.80152289503548,479
2024-01-25,77.44,78.03,77.12,78.0,58754.0,77.56548424822637,483
2024-01-26,78.65,78.7,77.59,78.21,38154.0,78.07545584253373,296
2024-01-29,78.14,80.23,77.66,80.02,66945.0,79.5097509515232,567
2024-01-30,79.41,80.16,79.06,79.87,41285.0,79.67608934263515,339
2024-01-31,79.89,80.18,77.77,77.97,70978.0,78.92507648695594,570
2024-02-01,78.35,80.69,78.35,80.32,50795.0,79.88924153244332,428
2024-02-02,79.48,81.1,79.48,80.42,49800.0,80.41614577734293,393
2024-02-05,79.26,80.38,78.34,79.99,87785.0,79.76274467213662,776
