date,open,high,low,close,volume,average,barCount
2020-12-14,51.91,52.85,51.63,52.13,587412.0,52.302,3923
2020-12-15,52.45,52.87,51.31,52.57,389856.0,52.164,2898
2020-12-16,53.04,53.6,52.25,53.08,640423.0,53.183,4118
2020-12-17,53.45,55.41,53.31,55.21,688940.0,54.495,4413
2020-12-18,55.45,55.9,54.39,55.25,622399.0,55.151,4398
2020-12-21,55.1,57.34,54.82,56.69,659118.0,56.577,4610
2020-12-22,57.04,57.27,55.35,55.59,493514.0,56.082,3229
2020-12-23,55.72,55.9,54.86,55.09,507936.0,55.262,3348
2020-12-24,55.56,55.8,54.94,55.01,174944.0,55.229,1230
2020-12-28,55.55,55.84,52.92,53.17,691549.0,53.973,3759
2020-12-29,52.68,53.97,51.64,53.78,457226.0,53.037,3192
2020-12-30,54.0,54.59,53.06,53.69,415794.0,53.692,3199
2020-12-31,53.87,53.89,52.81,53.46,322408.0,53.552,2261
2021-01-04,54.11,54.43,52.42,52.81,389643.0,53.156,2981
2021-01-05,52.94,53.47,51.64,52.03,637886.0,52.105,4661
2021-01-06,51.63,54.05,51.04,53.79,823233.0,52.635,4163
2021-01-07,53.43,55.78,53.34,54.99,696275.0,54.799,4608
2021-01-08,55.23,55.85,52.8,53.13,752114.0,53.94,5376
2021-01-11,53.2,54.95,52.08,54.42,622836.0,53.893,4344
2021-01-12,54.36,55.05,52.63,53.57,537975.0,53.618,3434
2021-01-13,53.77,54.45,53.13,53.31,468243.0,53.772,2465
2021-01-14,53.46,54.91,53.25,54.46,360961.0,54.249,2458
2021-01-15,54.35,54.73,53.13,53.66,339769.0,53.644,2328
2021-01-19,54.48,54.5,53.15,53.37,415790.0,53.606,2878
2021-01-20,53.5,53.9,52.56,53.34,386209.0,53.308,2587
2021-01-21,53.72,53.76,51.9,52.01,417971.0,52.341,2370
2021-01-22,51.99,52.99,51.43,52.83,341104.0,52.182,2054
2021-01-25,53.3,54.58,52.7,53.95,553677.0,53.778,3356
2021-01-26,54.06,54.5,51.5,51.61,706868.0,52.722,4113
2021-01-27,51.39,51.5,48.32,48.61,1199197.0,49.349,6710
2021-01-28,48.23,49.85,47.14,49.54,1070752.0,48.818,6112
2021-01-29,49.73,49.96,47.26,48.05,616462.0,48.393,4044
2021-02-01,48.74,48.9,45.65,46.58,1273668.0,46.618,7230
2021-02-02,46.93,50.3,46.93,49.43,1048221.0,49.261,5822
2021-02-03,49.45,51.21,49.22,49.32,899802.0,50.126,4785
2021-02-04,49.63,51.61,49.3,51.07,384611.0,50.572,2584
2021-02-05,50.61,51.96,50.1,51.7,571369.0,51.034,3208
2021-02-08,52.24,52.78,51.08,51.28,453737.0,51.819,2932
2021-02-09,51.07,51.76,50.03,50.45,382477.0,50.718,2502
2021-02-10,50.51,52.8,50.4,51.63,697609.0,51.996,3661
2021-02-11,51.92,52.64,50.61,51.24,450898.0,51.597,2395
2021-02-12,51.01,51.13,49.64,50.13,535090.0,50.224,3637
2021-02-16,50.64,50.88,48.86,49.12,740788.0,49.544,4229
2021-02-17,48.88,50.21,48.12,50.07,526142.0,49.236,3933
2021-02-18,49.86,50.9,49.47,50.42,389054.0,50.392,2933
2021-02-19,50.69,52.11,50.47,51.73,364165.0,51.528,2506
2021-02-22,50.63,52.12,50.07,50.18,397807.0,51.001,3084
2021-02-23,49.3,50.61,48.13,49.74,643679.0,49.605,4258
2021-02-24,49.71,50.4,48.33,48.69,723863.0,49.06,5350
2021-02-25,48.29,50.13,47.17,47.31,821985.0,48.319,5818
2021-02-26,47.34,49.37,47.13,48.97,596038.0,48.529,3833
2021-03-01,49.22,49.91,48.55,49.56,587273.0,49.142,3560
2021-03-02,49.22,49.75,46.87,46.94,481069.0,47.753,3259
2021-03-03,47.07,48.1,45.55,47.44,710196.0,47.242,4387
2021-03-04,47.52,48.16,45.44,45.82,753086.0,46.318,5463
2021-03-05,46.29,49.25,44.3,48.98,1228538.0,46.593,8668
2021-03-08,48.96,49.23,45.71,45.78,840172.0,47.02,5862
2021-03-09,25.99,26.25,23.35,25.02,19839554.0,24.123,77948
2021-03-10,25.61,28.87,25.56,26.89,10095289.0,27.172,48679
2021-03-11,27.17,27.58,26.42,26.75,3930653.0,26.842,20593
2021-03-12,26.55,27.3,25.98,27.04,2165816.0,26.743,12064
2021-03-15,27.09,30.11,26.86,29.99,3755862.0,28.652,18199
2021-03-16,30.12,30.16,26.75,27.34,3664659.0,27.927,19741
2021-03-17,27.39,28.07,27.06,27.55,1900769.0,27.441,10604
2021-03-18,27.36,27.89,26.75,27.05,1302252.0,27.265,6565
2021-03-19,27.39,27.98,26.65,27.75,1620908.0,27.377,8893
2021-03-22,27.86,28.31,26.96,27.0,1112407.0,27.286,6110
2021-03-23,26.94,26.94,25.78,25.88,1560305.0,26.029,7549
2021-03-24,25.78,26.18,25.22,25.34,1117781.0,25.531,5659
2021-03-25,25.09,26.2,24.99,26.02,913252.0,25.732,5083
2021-03-26,25.95,26.3,25.37,25.86,1037799.0,25.914,5704
2021-03-29,25.8,26.12,25.22,25.3,1089356.0,25.536,5485
2021-03-30,25.12,25.98,24.99,25.71,715315.0,25.566,4185
2021-03-31,25.94,26.56,25.43,25.8,1316721.0,25.906,7277
2021-04-01,25.86,26.28,25.26,25.59,1063866.0,25.762,6300
2021-04-05,21.26,22.07,20.92,21.18,9741447.0,21.32,42546
2021-04-06,20.75,21.18,20.36,20.64,6624350.0,20.682,30757
