date,open,high,low,close,volume,average,barCount
2023-12-13,76.21,76.42,74.11,74.53,972859.0,75.10862427575364,6758
2023-12-14,74.21,74.21,70.37,71.0,2261387.0,71.20898929588523,15285
2023-12-15,70.76,71.13,69.27,69.81,1932242.0,69.96426308553465,11398
2023-12-18,71.16,71.54,69.95,70.98,1044693.0,71.05114013551993,7326
2023-12-19,71.01,71.42,70.7,71.16,730615.0,71.12911381714616,4964
2023-12-20,70.78,70.91,69.73,70.0,771145.0,70.41118540705091,5321
2023-12-21,69.81,70.59,69.61,70.52,1020423.0,70.10879966611012,6933
2023-12-22,70.58,70.89,69.89,70.21,644511.0,70.23431827555723,4553
2023-12-26,70.37,70.37,69.6,69.9,494310.0,69.85490975154663,3414
2023-12-27,69.65,70.01,69.44,69.93,432859.0,69.80356122950008,2807
2023-12-28,70.21,70.62,69.9,70.42,795969.0,70.28471589904736,5459
2023-12-29,70.34,70.87,69.97,70.62,585817.0,70.55477108906993,3997
2024-01-02,70.95,72.02,70.63,71.84,931545.0,71.56747805165463,6443
2024-01-03,72.23,73.85,72.03,73.16,1125843.0,73.29716252577818,8464
2024-01-04,73.9,74.61,73.5,73.67,1015813.0,73.9646933123833,6684
2024-01-05,73.84,74.17,72.73,73.04,716527.0,73.15452774231555,5395
2024-01-08,73.36,73.5,72.0,73.33,715527.0,72.72281979770197,4798
2024-01-09,73.05,73.25,71.17,72.41,868777.0,72.08761956201504,6043
2024-01-10,72.5,73.51,72.5,73.18,801479.0,73.03946901698903,6127
2024-01-11,73.46,73.9,73.05,73.81,576265.0,73.49494942551304,4422
2024-01-12,73.91,74.27,73.28,73.88,536668.0,73.74408484729445,4051
2024-01-16,74.67,74.77,73.74,74.33,667430.0,74.3697760974172,5055
2024-01-17,74.21,75.4,74.11,74.81,796478.0,74.83286369439254,5457
2024-01-18,73.87,75.18,73.72,75.08,813187.0,74.8033858391436,6496
2024-01-19,75.86,77.37,75.75,76.91,1009007.0,76.70328115486588,7182
2024-01-22,77.03,77.3,76.36,76.52,894214.0,76.74797338701751,5767
2024-01-23,76.48,77.04,76.08,76.4,605794.0,76.45319483452808,4765
2024-01-24,77.11,77.11,76.11,76.2,818813.0,76.44083315329465,5686
2024-01-25,76.07,76.54,74.8,75.69,872865.0,75.45094775606397,5743
2024-01-26,75.87,76.2,75.36,75.98,681415.0,75.93590601983693,4956
2024-01-29,75.38,75.91,75.12,75.82,641553.0,75.4518986546204,4807
2024-01-30,75.82,76.69,75.61,76.62,477679.0,76.2325863694392,3583
2024-01-31,77.01,78.72,77.0,78.38,1022457.0,78.36164823725811,7483
2024-02-01,77.57,78.29,77.08,78.06,1003270.0,77.79966719041532,7250
2024-02-02,79.08,79.53,78.53,79.21,759969.0,79.08623293724827,5717
2024-02-05,79.07,79.79,78.8,79.55,801140.0,79.49702111362065,5831
2024-02-06,79.86,80.02,79.09,79.21,711426.0,79.45423067858187,4257
2024-02-07,79.29,80.56,78.95,80.27,561151.0,80.1284177550819,4333
2024-02-08,79.85,80.1,76.99,78.7,990203.0,78.24563861337514,7395
2024-02-09,78.04,79.42,77.58,79.36,538365.0,78.94454905234204,3975
2024-02-12,79.59,79.59,78.69,79.02,664582.0,79.15945212609242,4973
2024-02-13,79.36,80.3,79.04,79.93,884157.0,79.73569665128146,6308
2024-02-14,79.88,81.18,79.79,80.7,1434765.0,80.76076529509959,9370
2024-02-15,82.19,84.1,80.64,83.11,1445892.0,82.21088559363636,10103
2024-02-16,83.87,84.41,81.8,81.88,1235796.0,83.00773858391427,8809
2024-02-20,81.81,81.86,80.95,81.18,1043897.0,81.35888048708622,7370
2024-02-21,82.0,82.02,79.85,80.55,1052789.0,80.71036767160945,7579
2024-02-22,80.93,81.72,79.88,81.61,832754.0,80.93953422370609,6661
2024-02-23,81.69,83.05,81.58,83.0,620554.0,82.44385573995866,4429
2024-02-26,82.99,83.8,82.57,82.99,615022.0,83.15132426593333,4443
2024-02-27,82.85,83.02,81.93,82.94,945445.0,82.58458872630845,6833
2024-02-28,83.09,84.13,82.82,83.95,671635.0,83.65149690660897,4246
2024-02-29,83.76,83.8,82.17,83.29,1101083.0,82.97445713443966,7328
2024-03-01,82.92,83.38,82.54,82.89,608476.0,82.94497927919072,4128
2024-03-04,82.84,83.26,82.31,82.86,523204.0,82.68348217617589,4098
2024-03-05,83.29,84.04,82.79,83.1,590734.0,83.23310154178523,4550
2024-03-06,83.1,84.53,82.58,84.46,700268.0,83.9082395168417,4712
2024-03-07,84.25,84.53,82.98,83.38,1040340.0,83.34911116566818,7226
