date,open,high,low,close,volume,average,barCount
2023-12-13,75.69,78.98,75.69,78.96,342282.0,77.687,1808
2023-12-14,79.12,79.67,76.87,77.58,389300.0,77.896,2337
2023-12-15,77.62,78.71,75.38,75.43,275140.0,76.453,1517
2023-12-18,75.98,75.98,74.92,75.73,159487.0,75.459,1355
2023-12-19,75.8,77.25,75.8,76.52,128774.0,76.557,938
2023-12-20,76.78,77.94,75.58,75.66,181766.0,76.766,1354
2023-12-21,76.28,77.07,75.93,76.69,142402.0,76.354,1160
2023-12-22,76.95,77.88,76.8,77.86,136385.0,77.449,1035
2023-12-26,78.02,79.03,77.38,78.79,148489.0,78.663,1051
2023-12-27,78.79,79.1,77.69,78.68,127665.0,78.554,761
2023-12-28,78.47,79.18,77.98,78.25,101713.0,78.436,761
2023-12-29,78.13,78.53,77.09,77.76,148960.0,77.947,1179
2024-01-02,76.97,78.94,76.96,78.26,185012.0,78.265,1549
2024-01-03,77.61,77.64,76.43,76.68,149366.0,77.024,1193
2024-01-04,76.63,78.47,75.94,78.32,316762.0,77.606,1811
2024-01-05,79.11,82.1,78.59,79.25,274571.0,79.852,2122
2024-01-08,78.62,80.0,78.62,79.95,214786.0,79.493,1206
2024-01-09,79.07,80.78,79.07,80.19,171251.0,80.324,1472
2024-01-10,80.17,84.28,79.61,83.76,450545.0,83.075,3330
2024-01-11,84.04,84.92,82.99,84.69,401279.0,84.013,2193
2024-01-12,85.02,86.0,84.18,85.86,544508.0,85.365,4391
2024-01-16,85.65,85.71,83.98,84.82,282522.0,84.836,1596
2024-01-17,84.47,84.74,82.98,83.53,212964.0,83.687,1713
2024-01-18,83.58,85.12,83.23,85.06,204976.0,84.172,1203
2024-01-19,85.08,85.95,84.28,85.92,147464.0,85.52,988
2024-01-22,86.39,87.39,84.84,85.36,169380.0,85.932,1343
2024-01-23,85.43,85.6,83.97,84.16,124199.0,84.542,951
2024-01-24,84.35,85.06,82.63,82.64,218667.0,83.075,1346
2024-01-25,82.76,83.95,82.6,83.89,89926.0,83.249,767
2024-01-26,84.28,84.99,84.16,84.18,110475.0,84.482,861
2024-01-29,83.83,85.19,83.79,84.93,93089.0,84.685,779
2024-01-30,85.12,85.99,84.1,84.34,427217.0,84.597,1300
2024-01-31,84.61,85.09,81.35,82.14,680731.0,82.732,3376
2024-02-01,82.35,82.6,81.19,81.77,414532.0,81.783,2749
2024-02-02,81.52,81.52,79.66,80.3,394032.0,80.429,2092
2024-02-05,79.89,80.09,78.43,78.82,188480.0,79.228,1285
2024-02-06,79.07,79.87,79.07,79.83,91084.0,79.51,798
