date,open,high,low,close,volume,average,barCount
2023-12-13,28.29,29.33,28.1,29.24,322021.0,28.686,2372
2023-12-14,29.68,30.43,29.49,29.64,313916.0,29.851,2274
2023-12-15,29.69,29.92,29.23,29.72,637715.0,29.591,3117
2023-12-18,29.77,29.98,29.4,29.73,292099.0,29.707,2186
2023-12-19,29.91,30.52,29.91,30.36,237063.0,30.319,1805
2023-12-20,30.36,30.91,29.67,29.69,391604.0,30.357,2879
2023-12-21,30.01,30.36,29.68,30.09,203861.0,29.947,1582
2023-12-22,30.23,30.43,29.71,30.31,214437.0,30.238,1673
2023-12-26,30.47,30.77,30.35,30.56,151461.0,30.575,1182
2023-12-27,30.57,30.77,30.44,30.6,186321.0,30.605,1436
2023-12-28,30.43,30.78,30.43,30.56,111055.0,30.625,910
2023-12-29,30.58,30.85,30.38,30.6,253791.0,30.632,1831
2024-01-02,30.28,30.66,30.01,30.38,273772.0,30.332,1958
2024-01-03,30.03,30.26,29.51,29.53,341131.0,29.826,2535
2024-01-04,29.6,29.79,29.27,29.33,283367.0,29.455,2111
2024-01-05,29.05,29.49,28.94,29.31,255736.0,29.312,1903
2024-01-08,29.3,30.02,29.3,30.02,163644.0,29.816,1273
2024-01-09,29.66,29.88,29.47,29.77,170785.0,29.724,1362
2024-01-10,29.64,30.42,29.51,30.41,279662.0,30.192,2038
2024-01-11,30.42,30.83,30.14,30.81,209252.0,30.571,1565
2024-01-12,31.0,31.12,30.18,30.19,225767.0,30.479,1678
2024-01-16,29.88,30.2,29.16,30.05,311690.0,29.993,1996
2024-01-17,29.51,29.76,29.44,29.54,419193.0,29.577,2922
2024-01-18,29.82,29.89,29.18,29.61,390750.0,29.446,3169
2024-01-19,29.78,30.02,29.33,30.01,243532.0,29.766,1832
2024-01-22,30.41,30.77,30.26,30.62,242140.0,30.564,1782
2024-01-23,30.93,30.93,30.37,30.76,221344.0,30.674,1579
2024-01-24,31.09,31.23,30.2,30.41,299420.0,30.457,1859
2024-01-25,30.83,30.87,29.96,30.3,304048.0,30.306,2394
