date,open,high,low,close,volume,average,barCount
2023-12-13,126.39,131.59,124.42,131.5,327487.0,128.273,2076
2023-12-14,134.75,141.57,134.21,140.43,426471.0,138.644,2727
2023-12-15,141.46,141.72,134.56,136.09,471152.0,137.36,2274
2023-12-18,136.69,138.48,134.38,134.86,330676.0,135.503,1704
2023-12-19,136.22,137.18,133.5,136.18,347747.0,135.279,1702
2023-12-20,134.75,135.44,128.7,128.74,333291.0,132.403,1885
2023-12-21,132.91,135.58,131.41,134.81,210394.0,133.787,1203
2023-12-22,134.67,135.6,132.19,133.43,192880.0,133.605,1191
2023-12-26,134.57,136.33,134.0,135.59,129593.0,135.303,778
2023-12-27,136.82,136.89,132.58,133.2,140479.0,134.019,829
2023-12-28,133.63,133.89,131.3,132.36,104367.0,132.698,681
2023-12-29,132.37,132.48,128.81,129.69,167566.0,129.921,1052
2024-01-02,127.38,127.38,123.33,124.72,254529.0,125.213,1519
2024-01-03,122.15,123.0,120.21,120.92,232107.0,121.404,1441
2024-01-04,118.8,119.23,114.22,116.13,390422.0,117.014,2462
2024-01-05,116.44,118.07,115.21,117.83,257979.0,117.049,1884
2024-01-08,118.3,122.0,117.67,120.97,241154.0,119.976,1663
2024-01-09,119.01,121.24,117.61,120.15,135220.0,119.648,795
2024-01-10,118.3,118.9,112.95,116.08,661085.0,115.301,3918
2024-01-11,116.08,117.84,112.51,114.82,397303.0,114.359,2301
2024-01-12,114.85,116.02,113.1,114.12,222908.0,114.034,1469
2024-01-16,118.15,122.24,116.17,119.63,540887.0,119.351,3292
2024-01-17,118.12,120.8,116.26,120.34,358350.0,118.71,2383
2024-01-18,124.97,127.58,122.56,125.67,385052.0,125.073,2294
2024-01-19,127.76,131.85,125.41,131.64,361597.0,128.834,2017
2024-01-22,133.73,138.5,133.55,137.88,459162.0,136.224,2887
2024-01-23,138.98,140.64,136.63,139.33,349305.0,139.344,2492
2024-01-24,142.6,145.77,139.61,140.11,442504.0,142.438,2736
2024-01-25,143.54,144.2,135.87,136.31,419100.0,138.424,2700
2024-01-26,134.29,135.24,130.77,131.29,406068.0,132.548,2426
2024-01-29,132.29,134.5,129.79,134.42,189980.0,132.264,1227
2024-01-30,134.0,135.41,132.9,133.41,223575.0,133.685,1507
2024-01-31,130.97,135.2,128.1,130.05,430185.0,130.858,2707
2024-02-01,131.8,132.16,127.43,130.69,280550.0,129.714,1580
2024-02-02,130.25,132.94,129.47,131.62,163256.0,131.572,990
2024-02-05,132.75,134.26,128.53,130.2,277089.0,130.586,1645
2024-02-06,130.6,131.21,128.0,129.82,382714.0,129.786,2930
2024-02-07,132.21,134.3,129.39,131.49,592360.0,131.701,3694
