date,open,high,low,close,volume,average,barCount
2023-12-13,17.0,17.7,16.75,17.67,422932.0,17.336,2310
2023-12-14,17.97,18.49,17.55,17.89,474199.0,17.991,2501
2023-12-15,18.13,18.27,17.56,17.9,404325.0,17.916,1537
2023-12-18,17.97,18.32,17.71,18.3,330786.0,18.044,1752
2023-12-19,18.46,19.58,18.26,18.65,566552.0,18.73,2828
2023-12-20,18.52,18.87,17.76,17.8,338163.0,18.253,1523
2023-12-21,18.3,18.58,17.95,18.55,251280.0,18.255,1333
2023-12-22,18.63,18.87,18.36,18.52,215986.0,18.573,1268
2023-12-26,18.61,20.03,18.61,19.88,703687.0,19.714,3118
2023-12-27,19.97,20.24,19.66,19.79,460578.0,19.827,2555
2023-12-28,19.84,20.43,19.77,19.96,409478.0,20.091,2042
2023-12-29,19.95,20.29,19.26,19.54,330073.0,19.661,1665
2024-01-02,19.06,19.13,18.43,18.67,355273.0,18.792,2049
2024-01-03,18.15,18.19,17.33,17.66,866530.0,17.67,5514
2024-01-04,17.42,17.58,16.99,17.0,404651.0,17.289,2191
2024-01-05,16.89,17.26,16.66,16.96,320512.0,17.0,1922
2024-01-08,17.1,17.28,16.92,17.03,532260.0,17.095,3107
2024-01-09,17.85,19.56,16.7,19.42,1809386.0,18.645,8730
2024-01-10,19.71,21.23,19.65,21.15,1933427.0,20.574,7777
2024-01-11,21.25,21.36,20.17,20.5,1018661.0,20.614,5322
2024-01-12,20.5,22.24,20.49,21.81,982142.0,21.558,4399
2024-01-16,21.3,21.34,19.93,20.56,1268371.0,20.667,6859
2024-01-17,20.03,20.08,19.13,19.89,820465.0,19.638,4542
2024-01-18,20.38,20.46,19.45,19.9,843977.0,19.986,4004
2024-01-19,20.27,20.54,19.72,20.46,742917.0,20.124,3844
2024-01-22,20.97,22.47,20.85,21.65,1298104.0,21.779,5424
2024-01-23,21.56,22.31,20.87,21.0,994060.0,21.293,4742
2024-01-24,21.7,21.74,20.51,20.62,919074.0,21.068,5150
2024-01-25,20.39,21.19,20.12,20.25,681775.0,20.54,3873
2024-01-26,19.82,19.88,18.74,18.98,1092445.0,19.1,5030
2024-01-29,19.01,19.01,18.52,18.79,722023.0,18.697,3743
2024-01-30,18.57,18.81,17.6,18.01,870499.0,17.997,4359
2024-01-31,17.77,18.0,17.17,17.22,576350.0,17.564,2998
2024-02-01,17.48,17.57,16.57,16.99,811176.0,16.883,3845
2024-02-02,16.8,16.87,16.17,16.24,705028.0,16.427,4235
2024-02-05,16.03,16.17,15.7,15.84,695250.0,15.936,3670
2024-02-06,16.33,16.8,16.25,16.48,858795.0,16.465,4539
2024-02-07,16.4,16.53,16.11,16.29,507986.0,16.325,3099
2024-02-08,16.42,17.47,16.34,16.97,699412.0,17.083,3781
2024-02-09,17.2,18.35,17.2,18.33,802234.0,17.86,4097
2024-02-12,18.69,19.87,18.51,19.23,1144854.0,19.328,5399
2024-02-13,18.02,18.71,17.55,18.38,766139.0,18.321,4341
2024-02-14,18.77,19.86,18.77,19.78,758005.0,19.466,3710
2024-02-15,20.05,20.17,19.6,19.97,688426.0,19.889,2790
2024-02-16,19.97,20.34,19.46,19.58,668534.0,19.829,2925
2024-02-20,19.14,19.2,17.81,18.34,870210.0,18.294,4607
2024-02-21,17.97,19.16,17.95,19.13,700482.0,18.577,4501
2024-02-22,19.8,21.14,19.69,20.58,1689898.0,20.634,7034
2024-02-23,20.55,21.25,19.93,20.49,711529.0,20.49,3618
2024-02-26,22.02,22.29,21.2,21.6,1201115.0,21.686,6007
2024-02-27,21.96,22.79,21.49,21.79,1867481.0,22.099,8476
2024-02-28,25.2,31.01,25.17,30.68,9483569.0,29.475,42493
2024-02-29,31.71,32.98,30.0,30.92,2315209.0,31.362,12655
2024-03-01,31.55,34.4,30.81,33.91,2190113.0,32.969,12222
2024-03-04,33.56,33.72,30.03,31.92,3274407.0,31.499,14039
2024-03-05,31.32,31.33,27.28,29.22,2576139.0,28.714,11085
2024-03-06,31.19,31.2,29.35,30.46,1215588.0,30.492,6511
2024-03-07,31.36,32.18,30.3,30.4,1611355.0,31.17,8292
2024-03-08,30.5,30.75,30.01,30.16,1189074.0,30.359,6900
2024-03-11,29.34,29.4,27.52,28.34,1170171.0,28.357,5331
2024-03-12,28.76,29.71,28.02,29.35,808111.0,29.035,4870
2024-03-13,29.04,29.69,28.52,28.75,650230.0,28.92,3380
2024-03-14,28.53,28.53,26.95,27.47,834512.0,27.519,4235
2024-03-15,27.27,27.63,26.78,27.11,633522.0,27.284,3522
2024-03-18,27.6,28.88,27.32,28.63,1440047.0,28.353,7048
2024-03-19,27.75,27.85,24.07,27.55,2386693.0,26.176,11337
2024-03-20,27.88,29.39,27.32,29.22,1017483.0,28.466,5941
2024-03-21,30.03,31.06,30.03,30.19,1307798.0,30.559,6901
2024-03-22,30.19,31.39,29.45,30.84,898719.0,30.583,4028
2024-03-25,30.73,32.14,29.97,30.16,907599.0,31.005,4588
2024-03-26,30.38,31.8,29.6,29.64,761076.0,30.541,3730
2024-03-27,29.86,29.93,28.15,28.7,943509.0,28.782,4850
2024-03-28,28.71,29.6,28.61,29.14,776685.0,29.173,4860
2024-04-01,29.51,31.18,29.36,30.32,929306.0,30.576,4544
2024-04-02,29.44,30.53,28.77,30.48,608496.0,29.636,3324
2024-04-03,30.0,31.71,29.9,31.21,861278.0,31.184,4153
2024-04-04,32.25,33.4,30.4,30.61,1330586.0,32.246,6351
2024-04-05,30.9,32.69,29.7,32.04,1201000.0,31.544,6415
2024-04-08,32.83,32.95,31.0,31.19,547458.0,31.657,2415
2024-04-09,31.36,31.7,29.15,29.76,921251.0,29.907,4436
2024-04-10,28.88,29.96,28.51,28.61,797757.0,28.912,3921
2024-04-11,28.84,30.11,28.3,30.05,603814.0,29.197,2751
2024-04-12,29.54,29.78,28.47,28.61,557709.0,28.926,3042
2024-04-15,29.03,29.68,28.01,28.21,731280.0,28.628,3053
2024-04-16,28.0,29.19,27.62,28.84,479177.0,28.619,2801
2024-04-17,28.9,29.25,27.61,27.91,454183.0,28.238,2384
2024-04-18,27.7,28.41,26.78,27.41,639584.0,27.697,3050
2024-04-19,27.02,27.22,24.5,25.0,1247598.0,25.496,5356
2024-04-22,25.49,26.15,25.0,25.75,603755.0,25.609,3590
2024-04-23,26.14,28.25,25.9,27.39,962407.0,27.396,5818
2024-04-24,28.19,29.17,27.56,28.15,809668.0,28.115,3831
2024-04-25,27.28,28.58,26.67,28.29,725533.0,27.942,3708
2024-04-26,26.07,28.94,25.33,27.04,1780056.0,26.476,9652
2024-04-29,27.11,27.16,25.13,26.73,698277.0,26.393,3974
2024-04-30,26.5,26.66,25.5,25.52,407005.0,25.932,2321
2024-05-01,25.14,26.04,24.57,24.92,620558.0,25.177,3730
2024-05-02,25.75,26.57,25.03,26.51,602291.0,26.024,3822
2024-05-03,27.37,27.82,26.85,27.0,475027.0,27.217,2785
2024-05-06,27.51,27.97,27.39,27.75,694748.0,27.676,4687
2024-05-07,27.7,27.97,27.02,27.33,717443.0,27.349,4654
2024-05-08,27.53,28.21,25.4,25.56,1101713.0,26.403,6508
2024-05-09,26.0,26.31,25.1,25.29,635438.0,25.543,4040
2024-05-10,25.32,25.56,22.74,23.13,1641920.0,23.59,8299
2024-05-13,23.4,23.98,22.52,23.02,895106.0,22.988,5178
2024-05-14,23.24,23.59,23.02,23.16,880683.0,23.303,5283
2024-05-15,23.43,23.92,22.45,23.87,997157.0,23.313,4611
2024-05-16,24.08,24.86,23.95,24.49,820441.0,24.501,4919
2024-05-17,24.46,24.97,23.74,23.8,729563.0,24.299,4014
2024-05-20,23.86,24.13,23.13,23.34,511822.0,23.479,2971
2024-05-21,23.09,23.72,23.02,23.23,428033.0,23.33,2181
2024-05-22,23.31,23.31,22.46,22.63,742655.0,22.804,4227
2024-05-23,23.29,23.51,22.17,22.28,491974.0,22.689,2507
2024-05-24,22.55,22.81,22.1,22.56,435499.0,22.543,2449
2024-05-28,22.86,23.61,22.58,23.57,691952.0,23.158,3789
2024-05-29,22.82,23.25,22.41,22.62,657762.0,22.625,4051
2024-05-30,22.76,22.76,22.15,22.35,423640.0,22.462,2179
2024-05-31,22.41,22.45,21.12,21.6,697372.0,21.485,4116
2024-06-03,22.05,22.05,20.84,21.28,627206.0,21.21,3186
2024-06-04,21.25,21.49,20.3,20.6,678314.0,20.66,3515
2024-06-05,21.46,23.17,21.23,22.96,1244167.0,22.587,5682
2024-06-06,23.01,23.3,22.42,22.75,677132.0,22.807,4499
2024-06-07,22.61,22.68,21.86,22.41,530493.0,22.197,2966
2024-06-10,22.03,23.69,21.77,23.27,778899.0,22.969,4075
2024-06-11,23.35,23.97,22.41,22.88,699334.0,22.816,3824
2024-06-12,23.64,25.02,23.63,24.56,754732.0,24.555,3984
2024-06-13,24.81,26.85,24.74,25.45,1139714.0,25.509,5287
2024-06-14,24.9,24.96,23.34,23.54,648181.0,23.971,3820
2024-06-17,23.73,24.0,23.01,23.69,567235.0,23.406,3160
2024-06-18,23.68,24.68,23.36,24.09,712245.0,24.127,3622
2024-06-20,24.12,24.15,22.82,23.02,704756.0,23.393,3579
2024-06-21,22.8,22.98,21.58,22.72,695597.0,22.535,3491
2024-06-24,22.55,22.95,21.88,22.63,431903.0,22.531,2339
2024-06-25,22.71,22.86,21.55,21.85,661150.0,22.096,3493
2024-06-26,21.76,22.16,21.55,21.88,407268.0,21.848,2353
2024-06-27,21.89,22.62,21.33,22.37,400314.0,22.186,1932
2024-06-28,22.74,23.85,22.63,23.06,717813.0,23.1,3666
2024-07-01,22.97,23.32,22.15,23.19,448159.0,22.844,2562
2024-07-02,23.17,23.49,22.45,22.79,334500.0,22.875,2007
2024-07-03,22.74,24.1,22.55,23.87,587919.0,23.561,2358
2024-07-05,24.0,24.81,23.59,23.94,638484.0,23.998,3848
2024-07-08,24.37,25.33,23.41,23.54,902791.0,24.298,4026
2024-07-09,23.64,23.71,22.43,22.54,800866.0,22.861,4287
2024-07-10,23.12,23.93,23.0,23.88,723872.0,23.621,3946
2024-07-11,24.5,25.03,23.38,23.87,759348.0,23.945,4116
2024-07-12,24.07,24.86,23.95,24.49,593202.0,24.527,3629
2024-07-15,24.89,25.73,24.59,25.52,932414.0,25.092,5338
2024-07-16,25.88,25.88,23.53,23.91,1075510.0,24.276,5595
2024-07-17,23.25,23.77,22.27,22.32,1177429.0,22.862,6219
2024-07-18,22.96,23.23,20.86,21.13,1291116.0,21.64,6053
2024-07-19,21.04,21.24,20.03,20.11,826396.0,20.457,4436
2024-07-22,20.64,21.63,20.57,21.48,967247.0,21.135,4363
2024-07-23,21.04,21.33,20.76,21.0,471827.0,21.022,2647
2024-07-24,20.76,20.76,19.28,19.32,1000037.0,19.816,4160
2024-07-25,19.02,19.31,18.12,18.7,1257144.0,18.803,6331
2024-07-26,19.51,19.67,18.58,18.74,798482.0,18.862,4343
2024-07-29,18.99,19.62,18.36,18.36,480268.0,18.746,2769
2024-07-30,18.45,18.59,17.19,17.36,972003.0,17.611,4787
2024-07-31,18.2,18.44,17.75,17.95,1078994.0,17.989,5879
2024-08-01,17.95,17.95,15.87,16.27,1578537.0,16.503,8710
2024-08-02,15.55,16.02,15.0,15.64,1630293.0,15.559,9790
2024-08-05,14.03,15.5,13.94,15.01,994928.0,14.904,5806
2024-08-06,15.33,15.38,14.63,15.13,1328241.0,15.114,7245
