date,open,high,low,close,volume,average,barCount
2023-12-13,331.05,332.79,327.65,331.29,1173364.0,330.3577927869725,7936
2023-12-14,330.42,332.97,328.49,330.41,1340154.0,330.4802271484382,8857
2023-12-15,326.27,334.49,324.16,331.78,1399542.0,330.2401786759584,6483
2023-12-18,330.34,331.61,328.39,329.56,1795486.0,329.8902284931867,13510
2023-12-19,321.22,332.4,320.08,329.23,1758566.0,328.2359185382658,12616
2023-12-20,333.14,334.17,327.02,327.3,1623932.0,329.9644603501383,12042
2023-12-21,327.94,336.94,327.94,336.21,1797361.0,332.98193713271553,11758
2023-12-22,337.42,342.06,335.4,341.71,1221156.0,339.68690551061474,8548
2023-12-26,341.41,342.17,338.87,340.72,652832.0,340.69915810540897,4757
2023-12-27,341.76,342.6,338.99,341.1,547162.0,340.85340611985373,3680
2023-12-28,341.41,341.76,338.62,338.95,634561.0,339.63966705619083,4595
2023-12-29,339.14,340.22,336.87,338.29,476803.0,338.3642287867501,3098
2024-01-02,335.67,337.71,332.88,334.45,1208833.0,334.308470056941,8396
2024-01-03,331.53,331.53,325.4,325.77,1585582.0,327.7461810924033,10748
2024-01-04,325.77,327.58,324.43,324.97,997983.0,325.85953506572463,6355
2024-01-05,325.85,327.54,323.48,324.52,716627.0,325.32448726561915,4961
2024-01-08,322.96,328.23,322.96,328.11,791764.0,326.3203510088787,5179
2024-01-09,327.07,330.44,325.88,330.43,741609.0,328.64660387672484,4608
2024-01-10,332.19,333.2,330.46,332.92,684351.0,332.0169229923447,4501
2024-01-11,331.15,335.9,330.72,335.46,923253.0,333.5092725320985,5857
2024-01-12,337.42,344.8,336.17,343.52,1267835.0,342.7217351948167,8204
2024-01-16,339.69,343.67,338.48,341.81,946729.0,341.02309498186787,6159
2024-01-17,340.4,345.74,340.4,342.18,961270.0,342.98532778063316,6579
2024-01-18,344.47,348.11,343.64,347.89,954202.0,345.78257384632866,6424
2024-01-19,349.81,352.99,348.44,352.1,1221450.0,351.1806491837605,7484
2024-01-22,352.2,356.69,351.71,355.3,1220384.0,355.271536892429,8013
2024-01-23,355.45,358.0,353.78,357.87,854346.0,356.64838959097096,5671
2024-01-24,358.97,360.17,355.89,356.94,1243531.0,357.8568850375477,7988
2024-01-25,360.3,363.55,358.12,359.88,1143700.0,360.3986925140548,7833
2024-01-26,359.86,362.01,357.82,359.04,663660.0,359.6884958304781,4663
2024-01-29,358.5,363.25,358.08,361.24,840028.0,360.0194049119267,5892
2024-01-30,361.87,363.08,358.95,359.26,952495.0,361.2946627170415,6293
2024-01-31,358.97,360.63,351.65,352.08,916403.0,354.647453975662,6173
2024-02-01,352.2,359.18,351.66,358.88,677730.0,355.9817335760059,4460
2024-02-02,360.12,362.66,357.5,360.86,726316.0,360.7857206794919,5072
