date,open,high,low,close,volume,average,barCount
2023-12-13,6.97,7.39,6.96,7.34,775001.0,7.183998401463914,3946
2023-12-14,7.46,7.57,7.39,7.5,700004.0,7.47458534072941,3875
2023-12-15,6.96,7.03,6.62,6.68,3631818.0,6.723445516590302,14383
2023-12-18,6.68,6.85,6.62,6.79,737034.0,6.7798397473911525,3348
2023-12-19,6.81,7.02,6.78,6.99,795579.0,6.953721959027108,3666
2023-12-20,7.0,7.06,6.82,6.82,672491.0,6.953721959027108,3157
2023-12-21,6.92,6.96,6.87,6.94,571265.0,6.9179871620848825,2661
2023-12-22,7.0,7.01,6.91,6.92,863585.0,6.962060982763056,3401
2023-12-26,6.91,7.0,6.9,6.97,503743.0,6.953246218627421,2643
2023-12-27,6.99,7.01,6.94,7.0,472638.0,6.9844985641992166,2303
2023-12-28,6.96,7.01,6.93,6.96,559135.0,6.968471720316246,2414
2023-12-29,6.95,6.95,6.83,6.84,565517.0,6.865098577271077,2492
2024-01-02,6.81,6.82,6.65,6.68,499569.0,6.724062351100922,2327
2024-01-03,6.63,6.63,6.5,6.54,390244.0,6.544561699611635,2013
2024-01-04,6.52,6.59,6.49,6.56,284156.0,6.549369752776528,1631
2024-01-05,6.54,6.64,6.5,6.61,227335.0,6.5910395468722545,1314
2024-01-08,6.63,6.8,6.6,6.79,312251.0,6.740089194983895,1577
2024-01-09,6.69,6.79,6.68,6.76,217155.0,6.7497053013136785,1305
2024-01-10,6.76,6.83,6.73,6.78,244482.0,6.774546909332286,1488
2024-01-11,6.75,6.75,6.59,6.69,202783.0,6.671173766287117,1292
2024-01-12,6.73,6.9,6.73,6.77,285301.0,6.820223414398757,1755
2024-01-16,6.71,6.75,6.55,6.63,338054.0,6.622291892444053,1895
2024-01-17,6.5,6.59,6.43,6.47,280168.0,6.486063719438792,1769
2024-01-18,6.5,6.55,6.42,6.53,347278.0,6.48686506163294,1923
2024-01-19,6.57,6.66,6.45,6.66,333304.0,6.560588543494612,1888
2024-01-22,6.68,6.76,6.61,6.65,282501.0,6.675180477257862,1581
2024-01-23,6.72,6.72,6.63,6.68,208788.0,6.664763028733931,1238
2024-01-24,6.74,6.78,6.59,6.6,289656.0,6.679988530422757,1723
2024-01-25,6.68,6.73,6.64,6.73,233288.0,6.6880019523642416,1508
2024-01-26,6.79,6.83,6.7,6.72,276689.0,6.755314696672723,1301
2024-01-29,6.7,6.8,6.67,6.79,348479.0,6.7400891949838995,1612
2024-01-30,6.75,6.76,6.55,6.55,322050.0,6.615881154890866,1779
2024-01-31,6.54,6.55,6.28,6.28,362099.0,6.4155456063537155,2119
2024-02-01,6.32,6.4,6.19,6.39,438608.0,6.3121724633085465,2541
2024-02-02,6.31,6.31,6.18,6.18,422076.0,6.215210057816565,2302
2024-02-05,6.1,6.1,5.91,6.04,616496.0,6.023689273415049,2720
2024-02-06,5.99,6.1,5.97,6.06,335608.0,6.042120143880467,1703
2024-02-07,6.05,6.05,5.83,5.89,774575.0,5.897878548933718,2682
2024-02-08,5.87,5.97,5.84,5.91,376599.0,5.903487944292759,1871
2024-02-09,5.92,6.05,5.9,6.04,384696.0,5.9964436388139974,1945
2024-02-12,6.05,6.15,6.04,6.14,291882.0,6.1126382569655435,1756
2024-02-13,5.95,5.95,5.74,5.75,517256.0,5.830565804625235,2566
2024-02-14,5.8,5.81,5.71,5.72,496869.0,5.733603399133254,2290
2024-02-15,5.77,6.08,5.77,6.03,617552.0,5.984423505901765,3170
2024-02-16,5.95,6.12,5.89,6.08,296641.0,6.0357094063272765,1589
2024-02-20,5.99,6.07,5.95,6.02,276715.0,6.022086589026749,1536
2024-02-21,6.02,6.03,5.88,5.92,394031.0,5.939548343029443,2092
2024-02-22,5.99,6.01,5.75,5.79,713967.0,5.854606070449692,3113
2024-02-23,5.77,5.91,5.71,5.88,605849.0,5.840983253149165,3102
2024-02-26,5.86,5.89,5.67,5.69,440650.0,5.737610110103995,2277
2024-02-27,5.74,5.74,5.63,5.7,459821.0,5.6662906548247705,2126
2024-02-28,5.65,5.66,5.59,5.6,300700.0,5.623819518534894,1302
2024-02-29,5.65,5.79,5.63,5.78,573252.0,5.722384608415173,2576
2024-03-01,5.77,5.77,5.67,5.71,295460.0,5.725589977191766,1421
2024-03-04,5.71,5.71,5.61,5.63,390427.0,5.6446544155827585,1782
2024-03-05,5.61,5.65,5.57,5.59,352949.0,5.6013819370987346,1514
2024-03-06,5.61,5.65,5.57,5.65,275730.0,5.623819518534896,1506
2024-03-07,5.71,5.78,5.68,5.75,240213.0,5.735206083521551,1309
2024-03-08,5.8,5.86,5.74,5.78,290239.0,5.7969094324709936,1436
2024-03-11,5.75,5.83,5.75,5.83,277854.0,5.811333591965669,1468
2024-03-12,5.82,5.83,5.75,5.83,282854.0,5.79851211685929,1469
2024-03-13,5.83,5.91,5.83,5.87,399663.0,5.872235598720961,1653
2024-03-14,5.87,5.87,5.63,5.69,461653.0,5.7111658176970925,2266
2024-03-15,5.71,5.83,5.65,5.78,745562.0,5.732000714744956,2666
2024-03-18,5.75,5.8,5.71,5.74,316292.0,5.766458429093346,1764
2024-03-19,5.75,5.78,5.71,5.75,387183.0,5.736007425715698,1496
2024-03-20,5.72,5.93,5.71,5.86,584062.0,5.837777884372571,2383
2024-03-21,5.87,5.92,5.83,5.87,709492.0,5.868071541456839,2689
