date,open,high,low,close,volume,average,barCount
2023-12-13,631.23,632.45,618.03,624.26,2454845.0,623.701,16321
2023-12-14,593.0,593.16,578.3,584.64,6196102.0,585.279,37646
2023-12-15,582.22,591.66,578.2,584.68,3335305.0,582.789,16657
2023-12-18,592.81,603.14,586.62,599.13,2523127.0,595.621,15450
2023-12-19,600.0,612.71,598.08,604.64,1945597.0,605.504,10816
2023-12-20,600.71,610.68,595.07,596.06,987473.0,602.664,6553
2023-12-21,603.0,607.41,594.82,600.14,1096056.0,598.913,7820
2023-12-22,600.8,601.86,596.0,598.75,634847.0,598.606,4589
2023-12-26,598.92,601.69,596.5,598.26,438246.0,598.333,3079
2023-12-27,598.99,599.79,593.71,596.08,504399.0,595.88,3243
2023-12-28,597.44,599.04,593.63,595.52,593192.0,595.875,4227
2023-12-29,596.4,600.75,592.94,596.6,719800.0,596.991,4640
2024-01-02,589.99,590.44,576.75,580.07,1071622.0,580.923,6978
2024-01-03,574.58,577.31,570.19,571.79,919755.0,572.939,6319
2024-01-04,570.99,572.91,566.66,567.05,827270.0,569.571,5591
2024-01-05,564.36,569.52,563.34,564.6,752736.0,566.33,5188
2024-01-08,567.87,581.51,567.87,580.55,859992.0,575.868,6169
2024-01-09,578.33,588.2,577.28,586.2,716695.0,584.46,4735
2024-01-10,585.43,593.65,585.43,591.03,808786.0,589.901,5706
2024-01-11,592.89,597.84,584.52,597.49,893143.0,593.235,5619
2024-01-12,598.39,599.38,593.01,596.54,448052.0,596.536,3237
2024-01-16,592.2,597.76,588.34,597.68,799282.0,593.939,4914
2024-01-17,591.99,596.75,582.44,596.1,935603.0,590.93,6618
2024-01-18,586.9,596.89,584.21,593.7,1104246.0,590.937,7233
2024-01-19,594.71,612.07,589.13,611.55,1742821.0,601.378,11159
2024-01-22,615.43,620.96,603.15,603.59,1205708.0,610.423,8003
2024-01-23,602.21,604.32,591.34,597.18,1033865.0,598.283,7468
2024-01-24,601.71,616.95,597.46,606.48,1176548.0,607.609,8123
2024-01-25,615.42,627.06,612.24,622.58,1693792.0,622.071,11123
2024-01-26,620.7,622.5,613.0,613.93,724868.0,617.381,5019
2024-01-29,615.71,636.25,615.71,630.23,1336281.0,628.96,8655
2024-01-30,630.0,630.47,620.89,627.96,701448.0,626.23,4871
2024-01-31,620.0,625.93,612.17,617.78,1014785.0,618.66,7214
2024-02-01,619.0,628.8,618.77,627.91,639680.0,623.921,4155
2024-02-02,624.79,638.25,617.01,634.76,1057974.0,632.228,7125
2024-02-05,633.03,634.59,624.54,630.5,762113.0,628.893,5164
2024-02-06,626.49,626.49,604.67,607.14,1585840.0,610.539,11077
2024-02-07,613.25,620.42,610.15,615.85,774330.0,616.514,4845
2024-02-08,615.85,621.34,612.51,615.86,648862.0,616.977,4951
2024-02-09,617.55,628.07,615.8,627.21,782014.0,623.35,5499
2024-02-12,626.0,626.35,611.57,611.84,848816.0,616.751,6037
2024-02-13,597.42,608.39,590.0,601.89,1059888.0,600.801,7986
2024-02-14,605.85,610.33,602.5,604.66,516983.0,605.208,3703
2024-02-15,606.0,607.32,589.77,590.44,1581499.0,594.864,11704
2024-02-16,589.99,590.14,546.37,546.66,5661789.0,561.072,39256
2024-02-20,531.5,545.88,528.01,541.91,3127816.0,536.333,20445
2024-02-21,539.76,542.57,529.36,538.52,1935304.0,535.245,13722
2024-02-22,553.26,555.55,534.56,537.57,2199239.0,541.472,15380
2024-02-23,543.49,557.18,541.48,553.44,2067250.0,551.147,13813
2024-02-26,556.56,570.6,556.56,560.48,2271539.0,563.993,13239
2024-02-27,565.91,565.91,548.54,552.49,1427815.0,553.045,9595
2024-02-28,552.0,557.2,549.76,551.82,958033.0,552.771,6446
2024-02-29,555.42,561.94,553.23,560.28,1183985.0,558.814,7983
2024-03-01,561.11,572.89,560.67,570.93,1153598.0,567.727,8373
2024-03-04,572.15,576.25,564.1,567.94,1208073.0,569.85,7802
2024-03-05,562.6,564.19,539.35,544.84,1702387.0,545.765,12218
2024-03-06,548.0,550.64,538.15,543.09,1364096.0,543.028,8996
2024-03-07,550.41,558.38,541.59,556.04,1140629.0,551.655,7376
2024-03-08,553.0,560.44,550.51,551.69,1175226.0,554.57,8784
2024-03-11,552.45,562.69,551.02,560.42,1248319.0,558.249,8310
2024-03-12,568.6,579.79,562.6,579.14,1520086.0,573.103,10001
2024-03-13,579.13,585.35,573.41,573.55,1578298.0,580.073,9681
2024-03-14,578.0,579.54,568.76,570.45,1894325.0,572.292,13964
2024-03-15,499.64,503.13,485.0,492.46,10901867.0,493.058,60697
2024-03-18,496.72,515.73,495.54,513.86,3481567.0,507.935,22550
2024-03-19,509.89,522.68,508.99,521.19,2233977.0,517.205,16476
2024-03-20,523.29,523.87,512.5,519.14,1381888.0,517.171,10012
2024-03-21,517.6,519.73,506.2,511.25,2352308.0,511.097,15891
2024-03-22,509.07,511.59,496.67,499.52,2935519.0,501.267,21104
2024-03-25,497.38,510.63,496.69,507.23,2070548.0,506.534,13632
2024-03-26,508.83,512.79,503.59,507.6,1236084.0,508.566,8393
2024-03-27,515.47,516.86,499.7,504.4,1654783.0,504.922,10805
2024-03-28,507.61,509.0,500.26,504.6,1525299.0,503.869,9691
2024-04-01,504.99,506.92,499.31,502.09,925626.0,501.83,5789
2024-04-02,494.75,500.75,491.34,499.21,1513866.0,496.72,9762
2024-04-03,496.41,498.86,494.71,497.01,1058141.0,497.327,6908
2024-04-04,503.56,504.11,486.7,487.11,1410579.0,494.864,10805
2024-04-05,488.44,490.09,481.28,485.12,2582119.0,485.264,18186
2024-04-08,484.78,486.98,477.23,484.28,1722759.0,483.214,12291
2024-04-09,486.0,493.31,483.31,492.55,1187218.0,489.284,8542
2024-04-10,489.39,491.77,480.28,487.22,1065753.0,485.973,7467
2024-04-11,488.44,488.67,479.74,484.28,1428116.0,484.306,9955
2024-04-12,477.95,478.78,468.6,474.09,3060960.0,473.145,19532
2024-04-15,477.02,478.52,468.35,470.1,1471265.0,473.804,10554
2024-04-16,470.0,478.98,468.49,476.22,1282770.0,474.892,8321
2024-04-17,477.31,481.02,472.68,474.45,880585.0,475.767,6299
2024-04-18,476.76,477.61,471.82,473.18,1008672.0,474.658,6558
2024-04-19,476.44,476.58,463.09,465.02,1135919.0,468.092,7224
2024-04-22,470.22,471.5,462.28,466.89,983885.0,465.837,6656
2024-04-23,469.72,474.81,467.83,472.9,870174.0,471.408,5824
2024-04-24,472.94,478.57,471.72,477.12,841838.0,475.714,5727
2024-04-25,468.42,474.51,465.78,473.44,959953.0,470.25,6369
2024-04-26,472.71,482.79,471.68,477.56,1008968.0,479.096,6999
2024-04-29,478.04,481.68,471.07,473.07,1165034.0,475.087,8246
2024-04-30,472.0,475.42,462.46,462.83,1290307.0,467.517,9262
2024-05-01,461.82,477.76,460.36,469.39,1118716.0,468.354,8307
2024-05-02,474.3,477.16,468.29,476.57,1025824.0,473.132,6803
2024-05-03,482.27,487.49,477.56,486.18,1289343.0,483.847,9154
2024-05-06,489.36,495.44,488.0,493.59,886918.0,492.952,6290
2024-05-07,492.92,496.76,489.14,492.27,976715.0,493.836,6186
2024-05-08,489.97,495.81,486.92,488.1,880924.0,490.729,5641
2024-05-09,489.41,490.44,481.65,482.65,1116442.0,483.92,7763
2024-05-10,483.5,489.48,480.3,482.29,1400276.0,483.427,9411
2024-05-13,486.24,490.16,481.71,483.11,916660.0,486.149,6317
2024-05-14,480.7,481.8,466.48,475.95,1797127.0,474.835,13709
2024-05-15,482.22,489.61,476.61,485.35,1257263.0,484.088,9053
2024-05-16,484.7,486.23,481.38,482.88,922748.0,483.66,6647
2024-05-17,483.32,485.88,481.52,483.43,812029.0,483.324,5433
2024-05-20,483.0,485.37,478.32,484.69,790457.0,482.782,5017
2024-05-21,481.19,487.5,477.12,481.85,702312.0,481.538,4856
2024-05-22,483.97,485.67,479.14,483.93,653614.0,482.831,4199
2024-05-23,488.38,491.68,478.69,483.31,995985.0,485.251,7047
2024-05-24,481.01,485.38,473.9,475.43,1235738.0,479.331,8694
2024-05-28,473.01,478.67,469.6,478.43,997658.0,473.99,7092
2024-05-29,473.08,482.79,472.59,477.6,790175.0,478.436,5727
2024-05-30,464.69,466.82,444.84,445.87,3110539.0,453.211,17094
2024-05-31,447.72,448.23,433.97,444.76,2997870.0,438.47,18131
2024-06-03,447.54,449.84,436.58,439.02,1990666.0,441.224,14484
2024-06-04,442.82,450.12,441.59,448.37,1542994.0,446.441,9916
2024-06-05,449.19,458.6,448.37,455.8,1406814.0,455.266,10271
2024-06-06,456.66,467.86,456.62,458.13,1651229.0,462.34,12020
2024-06-07,458.13,468.93,458.13,465.43,1194361.0,465.014,9343
2024-06-10,454.2,462.23,451.51,459.94,1571820.0,458.362,11823
2024-06-11,456.91,462.74,455.5,462.69,1131276.0,458.629,8591
2024-06-12,470.0,471.12,459.16,459.87,1707216.0,464.893,11804
2024-06-13,458.25,462.39,453.5,458.74,3606336.0,457.937,24377
2024-06-14,530.29,534.45,521.88,525.31,9161625.0,526.175,59447
2024-06-17,525.41,525.94,505.38,518.74,3733043.0,515.376,24667
2024-06-18,514.71,530.37,513.13,522.25,1950531.0,523.751,13199
2024-06-20,527.67,533.23,520.4,522.95,2100032.0,526.676,14627
2024-06-21,530.0,535.0,524.71,533.44,2172413.0,530.45,11456
2024-06-24,532.1,534.58,523.48,524.17,1199619.0,528.434,8331
2024-06-25,526.2,529.68,522.24,526.88,1257596.0,526.439,8663
2024-06-26,527.97,530.66,526.01,528.66,917204.0,528.448,6424
2024-06-27,533.21,549.16,532.1,546.76,2410815.0,543.498,16669
2024-06-28,549.61,558.48,548.01,555.54,2233222.0,554.426,15742
2024-07-01,551.71,561.21,549.73,560.01,1531374.0,556.087,10234
2024-07-02,560.0,570.14,560.0,567.71,1266194.0,566.27,8388
2024-07-03,565.09,571.83,564.0,570.15,692403.0,567.346,4882
2024-07-05,570.53,580.55,568.92,578.34,1171294.0,576.067,8161
2024-07-08,573.18,576.75,563.92,575.4,1189210.0,570.373,8076
2024-07-09,573.05,575.01,562.46,566.02,951616.0,566.554,6827
2024-07-10,564.71,566.93,558.21,564.55,951833.0,563.537,6419
2024-07-11,563.99,572.62,557.09,557.63,1174674.0,561.949,8622
2024-07-12,555.1,562.49,552.31,559.05,816655.0,558.479,5874
2024-07-15,560.23,568.23,560.23,565.71,836279.0,564.424,6212
2024-07-16,565.57,570.1,562.08,566.54,648953.0,565.793,4546
2024-07-17,563.93,565.0,556.46,563.09,923779.0,561.867,6679
2024-07-18,564.18,564.26,556.07,556.85,844674.0,559.359,5850
2024-07-19,557.05,561.09,548.96,551.0,961137.0,554.006,5850
2024-07-22,558.76,560.19,552.7,554.82,828292.0,556.096,5402
2024-07-23,557.0,557.25,544.44,546.01,747309.0,549.829,5268
2024-07-24,543.45,544.71,530.35,531.04,1034278.0,534.752,7354
2024-07-25,537.86,542.28,527.59,532.15,912441.0,535.894,6199
2024-07-26,535.35,545.5,533.33,542.44,909231.0,540.898,5843
2024-07-29,545.18,545.18,535.19,536.61,674459.0,538.285,4900
2024-07-30,541.85,543.67,530.95,538.71,614935.0,537.99,4154
2024-07-31,547.05,555.55,543.77,551.65,1231776.0,551.925,8622
2024-08-01,549.9,561.98,540.24,546.41,808291.0,548.253,6160
