date,open,high,low,close,volume,average,barCount
2020-12-16,4.87,4.9,4.71,4.8,1118672.967863894,4.780621489345826,2018
2020-12-17,4.82,4.9,4.8,4.9,1147073.7240075613,4.872259664581096,2060
2020-12-18,4.89,5.05,4.89,5.01,3481576.5595463132,4.959977490073679,3665
2020-12-21,4.99,5.05,4.87,4.91,1530279.7731568997,4.949686571999129,2693
2020-12-22,4.91,4.93,4.82,4.92,1194877.126654064,4.8879410635518346,2006
2020-12-23,4.93,5.11,4.93,5.07,1310378.0718336483,5.0378944412095485,2093
2020-12-24,5.09,5.12,5.04,5.1,609368.6200378072,5.080038200943418,981
2020-12-28,5.12,5.21,5.04,5.08,1732952.7410207938,5.122426982536203,3021
2020-12-29,5.1,5.13,4.98,5.03,1191776.9376181473,5.030053741724182,2225
2020-12-30,5.05,5.15,5.05,5.12,1033587.9017013231,5.1172815234989315,1728
2020-12-31,5.12,5.18,5.06,5.12,889640.831758034,5.138843447083701,1467
2021-01-04,5.17,5.17,4.86,4.98,1316241.9659735349,4.974188757890918,2056
2021-01-05,4.99,5.17,4.98,5.14,1116601.134215501,5.111400998884906,2010
2021-01-06,5.17,5.33,4.97,5.28,1967455.5765595462,5.257679048658854,3311
2021-01-07,5.28,5.39,5.21,5.36,981962.1928166351,5.325550103579096,1628
2021-01-08,5.39,5.41,5.17,5.28,1078155.0094517958,5.290511977753846,1804
2021-01-11,5.21,5.36,5.2,5.28,759837.4291115311,5.266744857438818,1217
2021-01-12,5.29,5.36,5.26,5.29,654189.0359168241,5.307173464160261,1190
2021-01-13,5.29,5.32,5.2,5.23,480461.247637051,5.2481231961610675,859
2021-01-14,5.25,5.41,5.24,5.37,767058.6011342155,5.3721042567734925,1415
2021-01-15,5.31,5.37,5.24,5.26,1265039.697542533,5.2946773493554575,2134
2021-01-19,5.34,5.4,5.29,5.36,1432930.056710775,5.353727617354658,2454
2021-01-20,5.39,5.4,5.25,5.35,960922.495274102,5.309133639031612,1733
2021-01-21,5.33,5.34,5.21,5.29,960725.8979206048,5.286346606152253,1879
2021-01-22,5.26,5.36,5.2,5.35,709769.3761814744,5.293697261919789,1273
2021-01-25,5.3,5.38,5.2,5.21,1360922.4952741018,5.23930240924003,2390
2021-01-26,5.26,5.35,5.15,5.19,595043.4782608695,5.208674676875301,1053
2021-01-27,5.19,5.19,4.91,4.96,1062438.5633270321,5.0244182389690915,2035
2021-01-28,4.95,5.02,4.82,4.84,1191073.7240075613,4.867114205543844,2186
2021-01-29,4.86,4.86,4.7,4.72,1281183.3648393194,4.775231008449659,2637
2021-02-01,4.75,4.82,4.64,4.81,810412.0982986767,4.743378166790344,1456
2021-02-02,4.9,4.98,4.81,4.9,752627.5992438563,4.893331544448056,1293
2021-02-03,4.91,4.98,4.87,4.92,2215621.9281663513,4.9195488833522605,4976
2021-02-04,4.93,5.16,4.93,5.14,2344090.7372400756,5.0964546654909375,5084
2021-02-05,5.19,5.22,5.08,5.22,1917799.6219281661,5.163100611116585,4239
2021-02-08,5.26,5.38,5.18,5.19,1102635.1606805292,5.236117125074098,2008
2021-02-09,5.16,5.29,5.08,5.25,718302.4574669186,5.215045245207163,1389
2021-02-10,5.27,5.3,5.15,5.19,783958.4120982985,5.209409742452051,1515
2021-02-11,5.21,5.29,5.11,5.19,1169931.9470699432,5.191033103033214,2285
2021-02-12,5.14,5.17,5.08,5.15,624582.2306238185,5.1261023104199905,980
2021-02-16,5.19,5.27,5.14,5.24,1209493.383742911,5.211369917323396,2053
2021-02-17,5.21,5.27,5.13,5.24,898381.8525519848,5.230971666036823,1666
2021-02-18,5.21,5.24,5.08,5.16,527482.0415879017,5.15011445259394,962
2021-02-19,5.19,5.33,5.17,5.32,998298.6767485822,5.275075600642035,1734
2021-02-22,5.3,5.34,5.24,5.32,2296812.854442344,5.3115838576207945,4123
2021-02-23,5.27,5.42,5.17,5.4,2374468.809073724,5.319914600824003,4677
2021-02-24,4.95,5.29,4.95,5.2,5956551.984877126,5.141538687531818,7531
2021-02-25,5.24,5.29,4.97,4.99,1963644.6124763703,5.102580211963887,3252
2021-02-26,4.99,5.23,4.92,5.17,1719221.1720226842,5.1427637968264115,3165
2021-03-01,4.9,5.2,4.89,5.17,2562627.599243856,5.052840774603569,3924
2021-03-02,4.96,5.36,4.96,5.27,3071387.5236294894,5.263804595131824,4635
2021-03-03,5.25,5.54,5.25,5.39,3741992.438563327,5.42943937176028,5423
2021-03-04,5.41,5.49,5.25,5.39,1874419.6597353495,5.37185923491459,3277
2021-03-05,5.46,5.53,5.29,5.5,2009100.1890359167,5.431154524772708,3689
2021-03-08,5.5,5.68,5.42,5.66,2744661.6257088846,5.611980656654071,3888
2021-03-09,5.71,5.82,5.66,5.81,3043425.330812854,5.758013684569099,5167
2021-03-10,5.88,5.9,5.59,5.62,2305107.7504725894,5.72763097406329,4306
2021-03-11,5.76,5.88,5.64,5.86,1800226.8431001888,5.811918493531024,3364
2021-03-12,5.88,5.94,5.78,5.9,1590393.194706994,5.876069422317875,2824
2021-03-15,5.89,6.05,5.87,5.95,2041175.8034026462,5.9705756232611265,3406
2021-03-16,5.94,6.01,5.91,5.99,2074956.5217391301,5.972785401630553,3448
2021-03-17,5.98,6.09,5.93,6.07,1449640.831758034,6.003967829732464,2719
2021-03-18,6.0,6.15,5.87,5.9,1926162.5708884685,6.015998845299344,3268
2021-03-19,5.87,6.1,5.85,6.01,2861553.8752362947,5.9406208498089,3071
2021-03-22,6.07,6.1,6.0,6.05,1414782.608695652,6.059457819898074,2519
2021-03-23,6.06,6.1,5.58,5.61,1506272.2117202268,5.74493269864967,2747
2021-03-24,5.68,5.77,5.31,5.32,1159829.867674858,5.4696925261910705,2059
