date,open,high,low,close,volume,average,barCount
2023-12-13,185.16,186.79,183.47,186.0,1854476.0,184.99231376292724,10144
2023-12-14,186.97,193.72,186.89,193.64,2585773.0,191.78419087058919,17737
2023-12-15,195.35,196.15,193.49,194.32,2891867.0,194.52183682055124,14330
2023-12-18,194.32,194.62,189.76,190.17,1161936.0,190.77716280206965,8918
2023-12-19,190.91,191.64,190.27,191.37,834838.0,191.04705793282557,5709
2023-12-20,189.86,191.0,185.79,185.92,1546522.0,187.9611602012429,11342
2023-12-21,189.02,191.25,188.41,189.87,1173714.0,189.97037950798185,8684
2023-12-22,191.17,192.95,189.34,190.67,818988.0,191.20280386849475,5949
2023-12-26,191.44,193.31,191.08,192.38,557217.0,192.3355895248218,4552
2023-12-27,192.38,192.93,191.62,192.84,558932.0,192.3800883635844,4369
2023-12-28,194.14,194.9,193.19,193.71,885459.0,194.21711651163304,6591
2023-12-29,193.35,194.15,191.63,192.08,494337.0,192.34429581936226,4042
2024-01-02,190.64,190.64,185.26,187.26,1274518.0,187.62161471416275,10084
2024-01-03,184.63,184.86,182.5,182.79,1219127.0,183.37681244263155,9118
2024-01-04,175.96,180.79,175.87,180.0,1785465.0,179.63310579021,11938
2024-01-05,180.23,181.67,178.94,180.46,1007135.0,180.34992404071247,8099
2024-01-08,181.07,183.28,180.91,182.81,835284.0,182.54004080068208,6002
2024-01-09,180.41,184.11,179.82,183.57,1566920.0,182.72867718239328,12506
2024-01-10,183.43,183.43,180.27,182.22,1417329.0,181.6771502751111,12027
2024-01-11,181.94,183.57,179.67,182.79,1318226.0,181.49625282188043,9990
2024-01-12,183.5,184.1,181.29,182.21,481630.0,182.28465616082704,3439
2024-01-16,181.72,183.19,179.4,181.66,965951.0,181.38500572497372,7436
2024-01-17,178.65,179.64,176.91,179.38,1191885.0,178.37456254607562,8968
2024-01-18,184.15,184.5,181.58,183.77,1627869.0,183.1901107930406,11977
2024-01-19,185.47,189.2,184.81,188.41,1986359.0,187.50553078695594,13411
2024-01-22,189.38,191.39,189.09,190.87,1221543.0,190.34958700352422,9968
2024-01-23,190.71,194.99,190.46,194.8,1962341.0,193.4499952260077,14970
2024-01-24,194.31,195.83,191.4,191.83,2143536.0,193.58639384047567,14700
2024-01-25,195.11,195.46,190.53,190.86,1195569.0,192.1527573394709,9089
2024-01-26,188.95,190.06,187.16,187.6,934972.0,188.25814158168043,7273
2024-01-29,187.61,190.88,186.61,190.76,1140838.0,189.11522791089115,8667
2024-01-30,189.44,190.15,187.04,188.38,1052520.0,188.4806357754935,8259
2024-01-31,187.21,189.69,185.37,186.08,1199621.0,186.67456334136668,9274
2024-02-01,185.69,186.34,182.58,185.74,1189841.0,184.79110162243526,9715
2024-02-02,184.49,186.59,183.55,185.83,1156773.0,185.61626487166407,8598
2024-02-05,186.58,187.66,184.2,186.28,1710898.0,186.20926026647916,11248
2024-02-06,186.9,186.9,182.85,183.52,1568353.0,184.05009922043143,12618
2024-02-07,185.57,186.53,182.72,185.71,1272957.0,185.27091518822368,10305
2024-02-08,186.67,188.8,185.64,187.73,1139543.0,187.73576390924956,8795
2024-02-09,189.14,189.15,187.14,188.66,1338761.0,188.2736194386414,10913
2024-02-12,188.33,189.29,186.31,187.72,3732444.0,188.18945859141635,22036
2024-02-13,182.02,182.78,177.04,178.66,3053487.0,179.21326892014523,24396
2024-02-14,179.84,180.97,178.72,180.24,1453104.0,179.97942283971057,11580
2024-02-15,181.65,183.15,180.6,181.42,1006862.0,181.60846728484697,7931
2024-02-16,180.97,184.3,179.99,182.1,2004806.0,182.62807111214732,15361
2024-02-20,181.14,183.33,179.95,183.22,1861687.0,181.9412412095067,14603
2024-02-21,184.11,187.95,183.95,187.4,2867471.0,186.09511107139252,21867
2024-02-22,190.75,190.9,182.86,185.65,2327328.0,185.58724388986246,16683
2024-02-23,186.76,186.76,183.67,183.91,1575262.0,184.79206898849537,10879
2024-02-26,185.16,185.31,182.72,182.84,1332294.0,183.4619406559166,10453
2024-02-27,183.61,184.16,181.86,182.9,879162.0,182.80316436901765,6615
2024-02-28,181.09,182.49,180.14,181.63,761413.0,181.65973768603004,5948
2024-02-29,183.9,186.01,182.59,185.56,883213.0,184.7591785424535,6724
2024-03-01,186.25,190.79,185.35,189.76,1124008.0,188.6417851670657,8841
2024-03-04,190.33,190.72,188.26,189.19,1350716.0,189.76047018969578,10525
2024-03-05,187.73,189.57,183.59,184.47,1461978.0,185.72698379185493,10454
2024-03-06,186.0,188.55,185.04,186.32,1714926.0,186.8524722855175,13176
2024-03-07,188.24,193.79,188.24,192.67,1797423.0,192.16695508633526,13994
2024-03-08,193.18,194.06,190.08,190.44,1607225.0,192.01144717702093,12470
2024-03-11,188.88,192.92,188.88,192.65,1164200.0,191.68390864302762,8757
2024-03-12,193.7,194.0,191.0,193.61,1489342.0,192.93380346414168,8772
2024-03-13,192.81,194.22,191.88,193.02,1287175.0,192.94643848177347,10156
2024-03-14,193.28,194.29,188.1,188.97,1701186.0,190.56813939369724,12714
2024-03-15,184.44,190.42,183.45,189.72,2882944.0,186.69016090517076,16226
2024-03-18,192.11,192.72,185.75,185.85,1053795.0,188.2209418874838,7878
2024-03-19,184.99,185.72,182.82,185.19,877772.0,184.49458361053883,7080
2024-03-20,185.11,189.28,184.62,188.86,1147750.0,186.62795774144504,8372
2024-03-21,191.15,193.09,188.84,189.67,1280798.0,191.09395051206636,8237
2024-03-22,189.81,190.13,187.14,188.08,604568.0,188.33076934843706,4715
2024-03-25,185.45,186.72,185.08,185.28,656381.0,185.64922983719785,5101
2024-03-26,185.28,186.54,183.46,183.65,885903.0,184.69868774151385,6507
2024-03-27,185.33,187.97,184.06,187.9,985416.0,186.34318388251302,7742
2024-03-28,188.43,193.0,188.43,192.24,1195499.0,191.81706229037795,9003
2024-04-01,191.86,194.08,190.66,191.1,879536.0,191.81706229037795,6814
2024-04-02,189.85,190.09,187.33,189.41,960488.0,188.7263425927553,7068
2024-04-03,187.27,191.15,187.11,189.88,804616.0,189.62245692017922,6295
2024-04-04,192.7,193.12,185.96,186.56,1020839.0,189.31824457258304,7987
2024-04-05,186.9,190.17,185.8,189.29,782607.0,188.46975454238662,6215
2024-04-08,189.15,191.45,188.58,191.17,1002334.0,190.59924097556,7377
2024-04-09,192.44,198.47,192.35,198.39,2238167.0,196.33456705595972,16591
2024-04-10,194.48,195.11,189.9,190.82,2123682.0,191.85302349440695,13174
2024-04-11,192.4,193.5,188.79,193.06,1510236.0,191.07742779670167,10134
2024-04-12,189.55,191.14,186.69,186.87,1394082.0,188.2374646028484,9092
2024-04-15,189.47,190.38,183.92,184.95,981674.0,185.9301159983968,6999
2024-04-16,187.34,188.59,185.12,185.86,877366.0,186.8903773384129,6252
2024-04-17,186.59,187.42,183.89,184.11,1137111.0,185.00290008911,7825
2024-04-18,182.94,184.86,181.36,182.31,968176.0,182.85591901613884,7771
2024-04-19,181.84,182.65,177.44,178.21,1519428.0,179.77005894068228,10866
2024-04-22,179.27,183.02,178.05,181.08,1139455.0,181.02092568622956,8265
2024-04-23,181.56,185.5,181.2,184.6,1648985.0,184.51013440147017,12806
2024-04-24,194.54,196.02,189.55,190.98,2884759.0,192.84341449185263,19665
2024-04-25,192.33,193.51,189.62,192.38,1110077.0,191.86663043647187,8242
2024-04-26,191.1,196.91,191.1,196.3,1189833.0,195.8213909552223,8320
2024-04-29,195.14,198.25,195.01,198.18,962710.0,197.20055172595391,7031
2024-04-30,197.91,198.47,194.87,194.98,877130.0,196.27527966553356,6221
2024-05-01,191.53,193.92,188.41,188.45,1408361.0,190.23379738867123,9202
2024-05-02,190.59,191.78,186.21,190.97,976353.0,189.88001689498114,7143
