date,open,high,low,close,volume,average,barCount
2020-12-14,43.74,43.79,42.36,42.36,1187394.0,42.77769947696139,7664
2020-12-15,42.62,43.36,42.31,43.12,895260.0,42.96647707414889,6010
2020-12-16,43.06,43.24,42.46,42.8,998857.0,42.712453763647765,6098
2020-12-17,43.31,43.36,42.57,42.96,917736.0,42.90297124652363,6738
2020-12-18,42.9,43.35,42.57,43.22,1638462.0,42.98822564525346,7763
2020-12-21,42.64,43.05,42.39,42.95,895925.0,42.76117056292195,5381
2020-12-22,42.86,43.02,42.36,42.39,755640.0,42.641988393269024,5022
2020-12-23,42.64,43.11,42.49,42.93,715168.0,42.93515913175835,4811
2020-12-24,42.98,43.06,42.64,43.01,241818.0,42.85686427578198,1443
2020-12-28,43.32,43.47,43.05,43.24,760367.0,43.2083211848315,5043
2020-12-29,43.37,43.44,42.71,43.02,919551.0,42.96038747423964,5485
2020-12-30,43.02,43.65,42.92,43.42,983764.0,43.36752072531683,6379
2020-12-31,43.53,43.94,43.32,43.85,955408.0,43.72941694849654,5967
2021-01-04,43.85,44.39,42.94,43.38,1824267.0,43.44842540982573,10558
2021-01-05,43.41,44.51,43.26,44.23,1888811.0,43.95647203082803,11846
2021-01-06,44.57,46.6,44.49,46.02,2193403.0,46.11306034155518,14064
2021-01-07,46.11,46.39,45.52,45.61,1729891.0,45.90253417326311,10347
2021-01-08,45.78,46.2,44.98,45.73,1753234.0,45.460603208418654,11652
2021-01-11,44.87,45.65,44.87,45.27,1187106.0,45.31358286775189,7272
2021-01-12,45.38,45.38,44.71,44.72,1481212.0,44.91775887364908,9839
2021-01-13,44.6,45.52,44.27,45.04,2489336.0,44.924718416402534,13885
2021-01-14,45.55,46.44,45.38,45.99,1588621.0,46.06260365659257,8813
2021-01-15,45.72,45.91,44.87,45.41,1864916.0,45.323152239037874,9595
2021-01-19,46.03,46.32,45.69,46.19,2452312.0,46.072173027878584,13281
2021-01-20,46.5,46.97,45.92,46.54,1511981.0,46.38709233747247,9226
2021-01-21,46.39,46.66,45.84,45.92,1071362.0,46.13045919843877,6968
2021-01-22,45.57,46.2,45.17,45.95,1031871.0,45.87556594509344,6761
2021-01-25,45.95,46.71,45.7,46.19,1731734.0,46.19135519753149,10783
2021-01-26,46.19,46.37,45.09,45.39,1964362.0,45.56499634972045,12017
2021-01-27,44.83,45.18,42.87,43.13,2786710.0,43.60414517893424,16180
2021-01-28,43.44,44.64,43.13,44.38,2180857.0,44.26095202629166,13406
2021-01-29,44.13,44.28,43.23,43.51,2318213.0,43.613714550220244,15028
2021-02-01,43.91,44.15,43.65,43.91,1630749.0,43.904275460177026,10290
2021-02-02,44.37,45.08,44.19,44.31,2667690.0,44.54281350780663,15846
2021-02-03,44.36,44.87,44.16,44.75,1253825.0,44.58196093579484,7209
2021-02-04,44.85,45.7,44.78,45.69,1161420.0,45.44755406575593,6875
2021-02-05,46.13,46.38,45.82,46.37,1469916.0,46.15332769974177,8496
2021-02-08,46.69,47.15,46.54,47.0,1557754.0,46.852394901115865,10535
2021-02-09,47.09,47.92,46.75,47.73,1378439.0,47.491892466282664,8107
2021-02-10,47.96,48.13,47.35,47.71,1347129.0,47.68023763958519,8963
2021-02-11,47.73,48.14,47.27,48.11,1074197.0,47.815145345113514,6535
2021-02-12,48.17,48.86,47.92,48.81,1508006.0,48.493187969002676,8709
2021-02-16,49.11,49.85,48.88,49.1,1853184.0,49.29825408186332,10048
2021-02-17,48.85,49.1,48.5,48.99,1943715.0,48.8786385562265,9669
2021-02-18,48.73,49.36,48.65,48.9,1829287.0,48.96448891428999,9998
2021-02-19,49.06,49.39,48.87,49.16,1540418.0,49.18086685757246,9377
2021-02-22,49.32,50.1,49.16,49.8,1389244.0,49.75115852185132,8372
2021-02-23,50.02,50.29,49.31,49.95,1854125.0,49.87204984238969,12033
2021-02-24,50.14,51.36,50.02,51.23,1996827.0,51.03803786874173,12151
2021-02-25,51.18,51.41,50.19,50.24,1688001.0,50.69463643648779,10615
2021-02-26,50.04,50.41,49.47,49.57,1454883.0,49.910594901112084,9336
2021-03-01,50.11,50.57,50.06,50.2,1343038.0,50.269764766479724,8491
2021-03-02,50.27,50.67,49.94,50.26,1605217.0,50.30130163270712,9567
2021-03-03,50.23,50.79,49.99,50.04,1439128.0,50.39941632763682,8323
2021-03-04,50.06,50.26,48.13,48.61,2231139.0,49.190503122253055,12372
2021-03-05,49.29,50.57,49.01,50.45,5124773.0,49.860661529585364,25403
2021-03-08,50.61,51.6,50.01,50.6,1688928.0,50.855824863872286,11170
2021-03-09,50.6,51.21,50.15,50.8,2087501.0,50.778734746427524,11596
2021-03-10,50.81,51.5,50.55,51.15,1560308.0,51.079210999649725,9508
2021-03-11,51.15,51.79,50.68,51.33,1638614.0,51.365670867881974,8834
2021-03-12,51.54,51.57,50.98,51.03,1620497.0,51.231639186415514,10499
2021-03-15,51.29,51.48,50.6,51.07,1727360.0,50.929410885069565,10129
2021-03-16,50.94,51.22,50.29,50.62,933876.0,50.664851618384134,7008
2021-03-17,50.63,50.7,50.14,50.55,864038.0,50.43095319386424,6396
2021-03-18,50.72,51.14,50.27,50.47,1605187.0,50.69551246054967,9624
2021-03-19,50.49,50.52,49.63,49.78,2169068.0,49.97629670575251,11987
2021-03-22,48.9,49.44,48.7,49.43,1555124.0,49.112536980746434,10234
2021-03-23,49.14,49.54,48.41,48.67,1127329.0,48.91981168713452,7753
2021-03-24,48.83,49.82,48.82,48.99,1337673.0,49.33767516464761,9469
2021-03-25,49.01,49.98,48.76,49.83,1072230.0,49.52339226576452,7798
2021-03-26,50.08,50.75,49.78,50.73,959354.0,50.296921512397745,7001
2021-03-29,50.4,50.79,49.95,50.01,1147544.0,50.16902199936438,7776
2021-03-30,50.08,51.11,50.08,50.72,1286490.0,50.73055342302452,9366
2021-03-31,50.63,50.77,49.9,49.93,1524797.0,50.292541392088374,9891
2021-04-01,50.05,50.72,49.99,50.5,1497140.0,50.42920114574046,9854
2021-04-05,50.77,51.08,50.26,50.39,1033864.0,50.526439816608274,6906
2021-04-06,50.49,51.07,50.21,50.84,1235570.0,50.779610770489356,7805
2021-04-07,50.91,51.19,50.5,50.67,862159.0,50.703396677106475,5888
2021-04-08,50.52,50.95,50.47,50.93,1044828.0,50.740189687705104,7280
2021-04-09,51.23,51.34,50.66,51.28,1468342.0,51.03365774843232,10325
2021-04-12,51.51,51.64,51.06,51.33,1072348.0,51.356034603201344,7606
2021-04-13,51.05,51.14,50.49,50.72,1192344.0,50.831296190139845,8354
2021-04-14,50.81,51.47,50.63,51.29,1168247.0,51.233391234539226,8123
2021-04-15,51.68,51.7,50.89,51.4,783224.0,51.32537376103581,5192
2021-04-16,51.81,52.19,51.37,52.08,1027348.0,51.84573205378796,5834
2021-04-19,52.25,52.33,51.55,51.94,1157445.0,51.85361627034481,7994
2021-04-20,51.94,52.11,51.05,51.43,920486.0,51.50233062153402,6363
2021-04-21,51.76,52.51,51.47,52.41,1206367.0,52.17073698074258,7781
2021-04-22,52.15,52.27,51.46,51.57,1323625.0,51.72484073324959,9268
2021-04-23,51.74,52.25,51.36,52.04,1347031.0,51.927202291542095,8815
2021-04-26,52.24,53.18,52.11,52.54,2596142.0,52.76643334281573,15358
2021-04-27,52.41,54.76,52.12,54.16,3533517.0,54.05856883407737,22485
2021-04-28,54.58,55.46,54.23,55.28,2680891.0,55.04146783149809,15249
2021-04-29,55.82,55.98,55.04,55.68,3014177.0,55.63628816950937,17051
2021-04-30,55.57,55.57,54.92,55.3,1880172.0,55.22806095667689,11578
2021-05-03,55.94,56.86,55.81,56.62,2346420.0,56.611302950373236,14314
2021-05-04,56.59,57.31,56.49,57.03,2237296.0,56.9757289601121,13613
2021-05-05,57.2,58.05,56.8,57.99,2046351.0,57.61259845309325,11537
2021-05-06,58.34,58.58,57.52,58.42,2415002.0,58.09353566306115,13135
2021-05-07,58.37,58.99,57.93,58.71,2128514.0,58.654191062659415,10966
2021-05-10,58.92,60.17,58.92,59.25,2795852.0,59.60555319385273,14766
2021-05-11,59.05,59.33,57.86,58.6,1486490.0,58.483366370594325,10059
2021-05-12,58.48,58.9,58.04,58.26,1448637.0,58.46058974498564,9632
2021-05-13,58.24,59.05,58.06,58.82,1658121.0,58.601629618947044,11243
2021-05-14,59.18,59.47,58.95,59.27,1070406.0,59.22273067881449,7481
2021-05-17,59.29,59.46,58.8,59.25,1251953.0,59.17234920281374,8800
2021-05-18,59.32,59.93,59.03,59.04,1315020.0,59.387274745863984,8503
2021-05-19,58.57,58.68,57.32,58.51,1441307.0,58.19725667758167,9676
2021-05-20,58.51,58.66,58.14,58.26,1385816.0,58.34259567185745,8908
2021-05-21,58.52,59.4,58.41,59.0,1317261.0,59.02612936614839,8554
2021-05-24,59.06,59.19,58.65,58.68,1495956.0,58.937164284803806,9975
2021-05-25,58.94,59.04,58.59,58.66,923828.0,58.842033306732375,6499
2021-05-26,58.43,58.67,57.76,58.57,1457641.0,58.352284938142475,9991
2021-05-27,58.98,59.51,58.55,58.66,1669665.0,58.83850993717417,10354
2021-05-28,58.94,58.94,58.51,58.6,1208235.0,58.724000426532676,8513
2021-06-01,59.15,60.09,59.04,59.83,1738812.0,59.7211140115035,11263
2021-06-02,60.09,60.1,59.39,59.83,1223301.0,59.79070056027796,8429
2021-06-03,59.81,60.17,59.16,60.12,1078675.0,59.77836876682428,7545
2021-06-04,60.31,60.76,60.21,60.58,1047076.0,60.448689825272005,7287
2021-06-07,60.69,61.04,60.3,60.48,1081628.0,60.52003805882558,7266
2021-06-08,60.32,60.71,59.99,60.54,946168.0,60.47247256978987,6988
2021-06-09,60.28,60.43,59.88,59.99,805753.0,60.10163792378925,5362
2021-06-10,60.21,60.32,59.1,59.22,1068131.0,59.50178425650557,7170
2021-06-11,59.18,59.33,57.76,58.14,2042542.0,58.10212569951031,13219
2021-06-14,57.99,58.05,57.11,57.45,1226669.0,57.44677896168496,7614
2021-06-15,57.45,57.61,56.62,56.94,1713768.0,57.01164282124715,11325
2021-06-16,56.86,56.89,56.22,56.37,1724323.0,56.46728222450513,11192
2021-06-17,56.21,56.23,53.69,54.55,2674821.0,54.53383317944244,13730
2021-06-18,54.06,54.11,53.31,53.43,2708509.0,53.7366708168995,13386
2021-06-21,53.75,54.62,53.75,54.47,1724103.0,54.36999649498609,10571
2021-06-22,54.66,54.73,54.06,54.3,1259614.0,54.44310641331875,7666
2021-06-23,54.33,54.39,53.93,53.96,1214999.0,54.14185831609257,7326
2021-06-24,54.17,54.61,53.95,54.34,881152.0,54.37175817976517,5570
2021-06-25,54.44,54.52,53.51,54.14,1393708.0,54.00532774571229,7866
2021-06-28,54.19,54.35,53.48,53.55,1590175.0,53.71464975716074,9653
2021-06-29,53.79,54.22,53.19,53.38,1440192.0,53.50589011083734,8858
2021-06-30,53.29,53.56,53.01,53.38,1434905.0,53.28567951344979,9053
2021-07-01,53.73,53.97,53.41,53.48,1626769.0,53.60894867041473,10256
2021-07-02,53.55,53.64,53.06,53.41,982637.0,53.351742692666065,6145
2021-07-06,53.15,53.25,52.1,52.37,1067417.0,52.45768766727261,6619
2021-07-07,52.06,52.85,51.93,52.76,1266178.0,52.50613399869786,8299
2021-07-08,52.16,52.43,51.71,52.08,1208777.0,52.11856334729577,8225
2021-07-09,52.76,53.27,52.63,53.13,1164642.0,53.076919867126385,8100
2021-07-12,53.29,53.35,52.62,52.85,1117840.0,52.9650528836535,6655
2021-07-13,52.76,53.03,52.04,52.18,1215135.0,52.381935221771265,7687
2021-07-14,52.03,52.6,51.67,51.78,954767.0,51.90892285858281,6404
2021-07-15,51.59,52.09,51.54,51.99,943679.0,51.86664242388439,5719
2021-07-16,52.18,52.3,51.1,51.27,1103301.0,51.40420016937055,6103
2021-07-19,50.75,51.1,50.13,50.6,1500310.0,50.474911448395076,9960
2021-07-20,50.67,51.71,50.45,51.12,1390751.0,51.28088223483351,8800
2021-07-21,51.33,51.77,51.02,51.18,2248227.0,51.33725614776472,9979
2021-07-22,51.05,51.09,50.17,50.57,1428106.0,50.44936701909812,8529
2021-07-23,50.71,51.22,50.46,51.1,1156722.0,50.985800034334176,7433
2021-07-26,51.28,51.85,51.28,51.48,2187397.0,51.619125712420775,13844
2021-07-27,52.08,52.7,50.67,51.84,2570961.0,51.61384065808347,16656
2021-07-28,51.71,51.99,50.77,51.65,1977400.0,51.5601092723209,13290
2021-07-29,52.23,52.63,51.93,52.5,1335263.0,52.368722585927976,7092
2021-07-30,52.65,53.33,52.52,52.6,2174629.0,52.767744188394204,11760
2021-08-02,52.79,53.47,52.26,52.29,1454095.0,52.63033277562437,9338
2021-08-03,52.3,52.77,51.55,52.67,815228.0,52.47178114550534,5286
2021-08-04,52.47,52.47,51.54,51.75,1525555.0,51.859595684767946,8903
2021-08-05,52.09,52.28,51.72,51.79,1352641.0,51.944156554164785,8059
2021-08-06,52.14,53.24,52.14,53.11,2050038.0,52.94655519347292,13444
2021-08-09,53.1,53.55,52.74,53.34,1527160.0,53.13681714961576,8671
2021-08-10,53.38,54.12,53.29,54.09,1605369.0,53.71024554521294,9912
2021-08-11,54.3,54.52,53.95,54.17,1114627.0,54.23522760938487,6999
2021-08-12,54.17,54.54,53.85,54.45,931772.0,54.23698929416399,6012
2021-08-13,54.67,54.99,54.42,54.96,1638574.0,54.75404377682996,9141
2021-08-16,54.8,55.3,54.54,55.21,1887241.0,55.05613822350023,12807
2021-08-17,55.09,55.44,54.24,54.47,1245426.0,54.7699366841715,7864
2021-08-18,54.16,54.67,53.94,53.96,999097.0,54.31360915242445,6987
2021-08-19,53.57,53.81,52.37,52.56,1378969.0,52.86576607111441,9287
2021-08-20,52.44,52.61,51.84,52.23,1901282.0,52.178173518423705,12306
2021-08-23,52.47,52.95,51.99,52.55,1175313.0,52.59551384357489,7909
2021-08-24,52.56,53.13,52.35,52.82,1413799.0,52.803740969711896,8763
2021-08-25,52.81,53.59,52.57,53.43,856246.0,53.33184040451042,5497
2021-08-26,53.4,53.41,52.77,52.93,1105147.0,53.03411991777838,7279
2021-08-27,52.93,53.73,52.86,53.67,911885.0,53.509054979946185,5527
2021-08-30,53.64,53.74,53.21,53.23,807347.0,53.41335910921087,5324
2021-08-31,53.32,53.34,52.86,53.16,1200755.0,53.105005747952674,8011
2021-09-01,53.35,53.35,52.24,52.86,1037841.0,52.79665238669449,7244
2021-09-02,52.89,53.6,52.86,53.37,1077377.0,53.30259999956354,6633
2021-09-03,53.37,53.47,52.89,53.34,727947.0,53.19095481703901,5241
2021-09-07,53.13,53.36,52.46,52.59,1387477.0,52.81348777136087,9444
