date,open,high,low,close,volume,average,barCount
2023-12-13,3.74,4.01,3.73,4.01,1993712.0,3.9253,9318
2023-12-14,4.1,4.1,3.95,4.04,1472144.0,4.00529,6781
2023-12-15,4.14,4.24,4.04,4.2,2517868.0,4.13433,6949
2023-12-18,4.19,4.225,4.09,4.14,1022833.0,4.14664,5047
2023-12-19,4.19,4.35,4.15,4.22,1360281.0,4.22326,5837
2023-12-20,4.22,4.24,4.06,4.09,1060474.0,4.1557,4287
2023-12-21,4.14,4.21,4.07,4.13,685143.0,4.11297,2655
2023-12-22,4.16,4.275,4.16,4.24,1265774.0,4.24526,4594
2023-12-26,4.28,4.415,4.27,4.36,808402.0,4.35525,2869
2023-12-27,4.36,4.49,4.36,4.49,1250764.0,4.44839,5931
2023-12-28,4.46,4.58,4.44,4.52,1179405.0,4.50804,5294
2023-12-29,4.53,4.61,4.52,4.52,1181627.0,4.56864,5170
2024-01-02,4.5,4.69,4.45,4.55,2182501.0,4.57594,8130
2024-01-03,4.54,4.54,4.37,4.42,1221849.0,4.4485,4878
2024-01-04,4.48,4.56,4.39,4.53,1130315.0,4.49189,4548
2024-01-05,4.47,4.48,4.4,4.4,1032783.0,4.42713,4190
2024-01-08,4.7,4.84,4.61,4.81,4690286.0,4.74889,16206
2024-01-09,4.79,5.1,4.74,5.07,6112243.0,4.98897,18966
2024-01-10,5.07,5.08,4.915,4.96,3509779.0,4.96606,12543
2024-01-11,4.99,4.99,4.77,4.94,3595922.0,4.89918,16498
2024-01-12,5.0,5.015,4.895,4.99,2056053.0,4.96802,8918
2024-01-16,4.97,4.985,4.91,4.93,1375997.0,4.94624,5732
2024-01-17,4.89,4.95,4.82,4.93,1674009.0,4.89177,6738
2024-01-18,4.95,5.03,4.875,5.02,1351609.0,4.95883,6781
2024-01-19,5.05,5.06,4.8605,5.01,1566545.0,4.96541,7161
2024-01-22,5.0,5.3,5.0,5.29,4191330.0,5.20594,16781
2024-01-23,5.33,5.34,5.17,5.27,2556397.0,5.24642,9682
2024-01-24,5.33,5.34,5.025,5.05,1752175.0,5.12614,5815
2024-01-25,5.11,5.195,5.05,5.08,1148857.0,5.10661,5260
2024-01-26,5.13,5.2,5.06,5.09,791377.0,5.10088,3794
2024-01-29,5.11,5.35,5.08,5.33,1928982.0,5.22841,7599
2024-01-30,5.3,5.38,5.27,5.35,1720457.0,5.32668,6030
2024-01-31,5.36,5.41,5.17,5.19,1983264.0,5.28534,7936
2024-02-01,5.25,5.3157,5.18,5.3,897112.0,5.26176,4709
2024-02-02,5.23,5.27,5.18,5.23,976023.0,5.23158,4973
2024-02-05,5.19,5.21,5.1,5.18,1035300.0,5.16704,4946
2024-02-06,5.16,5.28,5.13,5.27,1100224.0,5.22994,5098
2024-02-07,5.29,5.3095,5.18,5.18,780926.0,5.22512,3618
2024-02-08,5.18,5.195,5.105,5.17,661704.0,5.14349,3067
2024-02-09,5.21,5.25,5.19,5.24,819242.0,5.23257,3929
2024-02-12,5.24,5.46,5.2,5.46,1461095.0,5.38062,6455
2024-02-13,5.34,5.35,5.14,5.17,2025409.0,5.21416,7546
2024-02-14,5.25,5.34,5.17,5.33,1208067.0,5.27035,4743
2024-02-15,5.36,5.4,5.245,5.4,1496528.0,5.32764,6544
2024-02-16,5.36,5.41,5.27,5.28,1579141.0,5.33495,7059
2024-02-20,5.24,5.28,5.11,5.15,1016036.0,5.16234,4168
2024-02-21,5.13,5.26,5.02,5.18,1576342.0,5.185,7318
2024-02-22,5.19,5.32,5.16,5.26,1295895.0,5.25176,5250
2024-02-23,5.26,5.28,5.1701,5.26,898643.0,5.23542,3882
2024-02-26,5.25,5.44,5.205,5.4,1309528.0,5.37096,6062
2024-02-27,5.44,5.58,5.415,5.52,2049117.0,5.4988,7782
2024-02-28,5.53,5.53,5.36,5.38,2404926.0,5.42144,8500
2024-02-29,5.38,5.72,5.08,5.36,4729094.0,5.39716,15972
2024-03-01,5.38,5.565,5.315,5.52,2341264.0,5.45515,8596
2024-03-04,5.59,5.805,5.52,5.72,2128662.0,5.72167,8096
2024-03-05,5.7,5.82,5.685,5.8,1518054.0,5.76273,5748
2024-03-06,5.84,6.19,5.705,6.12,5112781.0,6.0067,15346
2024-03-07,6.18,6.41,6.095,6.16,5817965.0,6.25268,17705
2024-03-08,6.21,6.415,6.21,6.34,2520308.0,6.35007,10835
2024-03-11,6.33,6.34,6.1,6.18,2455441.0,6.19524,8880
2024-03-12,6.2,6.36,6.12,6.22,1961784.0,6.25126,8338
2024-03-13,6.22,6.27,6.13,6.26,1740674.0,6.21345,6374
2024-03-14,6.2,6.25,6.01,6.02,2247203.0,6.06125,8800
2024-03-15,5.98,6.08,5.89,5.99,2150226.0,5.99496,7941
2024-03-18,6.03,6.045,5.92,5.94,1504466.0,5.9761,6975
2024-03-19,5.94,6.19,5.88,6.19,1905120.0,6.08117,8396
2024-03-20,6.15,6.33,6.09,6.32,1455669.0,6.23188,5397
2024-03-21,6.29,6.44,6.15,6.19,1716211.0,6.24077,7342
2024-03-22,6.26,6.47,6.22,6.29,2124756.0,6.36489,8167
2024-03-25,6.31,6.51,6.29,6.39,1667361.0,6.42128,6239
2024-03-26,6.49,6.6185,6.48,6.5,1627981.0,6.52567,6540
2024-03-27,6.57,6.75,6.5,6.74,2239683.0,6.66098,8299
2024-03-28,6.74,6.76,6.51,6.6,1988570.0,6.61724,8873
2024-04-01,6.6,6.66,6.47,6.54,1456470.0,6.54591,6031
2024-04-02,6.49,6.51,6.365,6.44,1822469.0,6.4397,8410
2024-04-03,6.46,6.46,6.29,6.35,1314244.0,6.34982,6104
2024-04-04,6.39,6.45,6.27,6.28,1142536.0,6.35102,4241
2024-04-05,6.28,6.49,6.2,6.39,1294428.0,6.40506,5731
2024-04-08,6.38,6.39,6.16,6.22,1480459.0,6.2307,5757
2024-04-09,6.22,6.26,6.05,6.11,1777486.0,6.13422,8408
2024-04-10,5.99,6.09,5.895,6.04,1940099.0,6.00795,8503
2024-04-11,6.07,6.23,6.045,6.22,1004839.0,6.13803,4336
2024-04-12,6.225,6.225,5.98,6.02,938097.0,6.05795,4405
2024-04-15,6.03,6.21,5.94,5.98,1353852.0,6.06215,5821
2024-04-16,5.93,6.245,5.91,6.16,1410521.0,6.13229,6222
2024-04-17,6.18,6.22,5.97,6.04,1107616.0,6.04926,4545
2024-04-18,6.03,6.21,6.01,6.2,2017670.0,6.11779,7531
2024-04-19,6.1999,6.29,6.1,6.27,2632253.0,6.19654,9486
2024-04-22,6.28,6.475,6.19,6.2,1798125.0,6.28915,6311
2024-04-23,6.23,6.63,6.23,6.54,2288726.0,6.515,9563
2024-04-24,6.54,6.55,6.4201,6.46,1153774.0,6.47456,5594
2024-04-25,6.41,6.485,6.26,6.44,983306.0,6.39546,4740
2024-04-26,6.46,6.6,6.4,6.55,1005592.0,6.53109,5076
2024-04-29,6.59,6.64,6.49,6.58,768537.0,6.56691,3368
2024-04-30,6.51,6.68,6.5,6.52,1714846.0,6.60199,7069
2024-05-01,6.55,6.75,6.52,6.67,1961838.0,6.66912,7915
2024-05-02,6.71,6.75,6.6,6.74,953999.0,6.69535,3848
2024-05-03,6.79,6.81,6.65,6.81,2321633.0,6.75013,8998
2024-05-06,6.85,6.94,6.76,6.91,1762605.0,6.87207,7110
2024-05-07,6.93,6.97,6.86,6.91,1401686.0,6.9199,6389
2024-05-08,6.9,6.91,6.72,6.86,1522635.0,6.82756,7298
2024-05-09,6.93,6.97,6.84,6.93,2032259.0,6.9245,6676
2024-05-10,8.19,9.02,7.96,8.81,10371649.0,8.64091,39269
2024-05-13,8.8,8.91,8.4233,8.79,4109473.0,8.72368,17178
2024-05-14,8.75,9.17,8.75,9.16,3021861.0,9.03189,13420
2024-05-15,9.26,9.33,9.05,9.1,2317146.0,9.14033,9605
2024-05-16,9.11,9.1567,8.97,9.06,1366925.0,9.0742,6227
2024-05-17,9.12,9.31,8.91,9.21,2748723.0,9.19864,10928
2024-05-20,9.22,9.59,9.22,9.41,3432819.0,9.4685,11448
2024-05-21,9.42,9.62,9.3101,9.6,2351266.0,9.46182,9569
2024-05-22,9.61,9.775,9.5,9.63,1213940.0,9.6278,6426
2024-05-23,9.65,9.76,9.425,9.47,1800245.0,9.55188,9022
2024-05-24,9.55,9.74,9.435,9.56,1902866.0,9.58457,7888
2024-05-28,9.6,9.73,9.49,9.51,2052009.0,9.57971,9223
2024-05-29,9.4,9.56,9.35,9.4,2060859.0,9.46391,9587
2024-05-30,9.4698,9.66,9.42,9.48,1911935.0,9.54116,7627
2024-05-31,9.52,9.64,9.4,9.55,1370556.0,9.4977,5954
2024-06-03,9.64,10.0,9.63,9.81,3846250.0,9.78771,14087
2024-06-04,9.87,10.15,9.815,10.09,3951488.0,10.02162,12248
2024-06-05,10.18,10.54,10.06,10.49,2198867.0,10.3523,8902
2024-06-06,10.63,10.855,10.52,10.58,1951172.0,10.66953,7859
2024-06-07,10.51,10.6001,10.39,10.47,1246139.0,10.4792,5783
2024-06-10,10.32,10.49,10.075,10.48,1840767.0,10.31287,8628
2024-06-11,10.42,10.55,10.28,10.5,987762.0,10.44496,4867
2024-06-12,10.73,10.85,10.66,10.78,1613534.0,10.76083,7462
2024-06-13,10.76,10.84,10.57,10.78,1294514.0,10.71305,5744
2024-06-14,10.67,10.75,10.495,10.63,1751391.0,10.6171,7972
2024-06-17,10.58,10.63,10.35,10.44,1810939.0,10.46941,8121
2024-06-18,10.43,10.88,10.43,10.62,2519688.0,10.69601,9637
2024-06-20,10.82,10.99,10.695,10.71,1431975.0,10.82698,6885
2024-06-21,10.85,11.0,10.57,11.0,2817472.0,10.84874,10024
2024-06-24,11.04,11.265,10.985,11.01,2335269.0,11.11209,8257
2024-06-25,11.04,11.21,10.97,11.01,1616502.0,11.07351,7152
2024-06-26,11.0,11.01,10.62,10.84,1567781.0,10.77104,7572
2024-06-27,10.86,10.978,10.77,10.95,1024340.0,10.90152,4244
2024-06-28,11.03,11.25,10.925,11.18,2728154.0,11.10925,10689
2024-07-01,11.25,11.645,11.21,11.55,2051194.0,11.51455,9395
2024-07-02,11.53,11.68,11.34,11.4,1738121.0,11.44315,7965
2024-07-03,11.45,11.5,11.17,11.21,1274106.0,11.27569,6315
2024-07-05,11.205,11.47,11.01,11.46,1522108.0,11.22908,7532
2024-07-08,11.59,11.9,11.45,11.64,2772170.0,11.70399,11970
2024-07-09,11.81,12.15,11.75,11.96,2339081.0,11.99539,10906
2024-07-10,12.19,12.19,11.83,12.0,1175753.0,11.93293,6259
2024-07-11,12.12,12.465,12.03,12.31,2067940.0,12.29557,8852
2024-07-12,12.35,12.8,12.35,12.78,1690078.0,12.66646,7665
2024-07-15,13.1,13.455,12.975,13.39,3132331.0,13.2223,14098
2024-07-16,13.49,13.84,13.47,13.73,2695104.0,13.64364,12300
2024-07-17,13.57,13.7401,13.22,13.29,3090581.0,13.41635,11078
2024-07-18,13.37,13.54,12.87,13.05,2922822.0,13.10865,13220
2024-07-19,13.17,13.42,13.04,13.36,2323481.0,13.28395,7889
2024-07-22,13.5,13.95,13.47,13.75,3232136.0,13.77551,13869
2024-07-23,13.78,14.03,13.6,13.76,2184204.0,13.89642,8918
2024-07-24,13.71,13.84,13.47,13.58,1551077.0,13.66152,7117
2024-07-25,13.67,13.755,13.07,13.08,2012284.0,13.3642,9290
2024-07-26,13.25,13.35,12.94,13.16,2058229.0,13.09723,8817
2024-07-29,13.34,13.51,12.26,12.36,3874503.0,12.57668,15736
2024-07-30,12.38,12.55,11.81,12.18,3303608.0,12.14349,15236
2024-07-31,12.24,12.495,12.07,12.28,1835212.0,12.29065,8585
2024-08-01,12.36,12.5699,12.16,12.255,1213587.0,12.30475,6731
2024-08-02,11.83,12.0,11.39,11.69,2629929.0,11.68018,11925
2024-08-05,10.46,11.395,10.21,11.3,2868540.0,11.04177,12595
2024-08-06,11.4,12.0,11.22,11.86,1803026.0,11.74916,8826
2024-08-07,12.1,12.17,11.42,11.45,1492614.0,11.67193,7261
2024-08-08,11.6,12.285,11.55,12.19,3055505.0,12.08603,14601
2024-08-09,15.0,16.64,14.95,15.96,10660936.0,15.80682,41333
2024-08-12,16.04,17.04,15.8787,16.45,5769990.0,16.48826,24357
2024-08-13,16.54,17.295,16.54,17.27,3972683.0,17.086,14978
2024-08-14,17.63,17.87,17.13,17.57,2538318.0,17.51752,11892
2024-08-15,17.75,17.79,17.225,17.59,2183805.0,17.5208,10232
2024-08-16,17.59,17.66,17.305,17.55,1847928.0,17.49974,8457
2024-08-19,17.61,18.425,17.53,18.22,3151656.0,18.16379,11777
2024-08-20,18.12,18.23,17.64,17.93,1640620.0,17.93325,8385
2024-08-21,18.0,18.1,17.6542,17.84,1277828.0,17.82989,7024
2024-08-22,17.99,17.99,17.4,17.5,1766731.0,17.57311,9262
2024-08-23,17.57,18.4,17.54,18.4,2657945.0,18.10919,9757
2024-08-26,18.45,18.48,17.42,17.46,2873173.0,17.75538,14736
2024-08-27,17.38,17.48,17.03,17.35,2388640.0,17.24363,14096
2024-08-28,17.22,17.35,16.88,17.24,2206020.0,17.14079,10864
2024-08-29,17.24,17.595,17.12,17.22,1696638.0,17.27472,9185
2024-08-30,17.31,17.42,16.72,17.31,2082889.0,17.04404,8883
2024-09-03,17.34,17.49,16.43,16.57,2973679.0,16.75358,12163
2024-09-04,16.44,16.93,16.06,16.87,1607651.0,16.70654,9123
2024-09-05,16.79,16.79,16.3225,16.74,1409875.0,16.56072,7563
2024-09-06,16.77,16.94,16.07,16.26,2190721.0,16.30761,8633
2024-09-09,17.5,19.34,17.48,18.38,6502452.0,18.60969,32065
2024-09-10,18.48,18.52,16.94,17.29,3710646.0,17.48256,19312
2024-09-11,17.25,17.585,16.91,16.91,2390703.0,17.15131,13251
2024-09-12,16.99,17.885,16.95,17.65,2111115.0,17.56924,11869
2024-09-13,17.85,18.425,17.85,18.09,1974262.0,18.16853,9972
2024-09-16,18.27,18.7,17.7,18.2,3941557.0,18.32101,19410
2024-09-17,18.26,19.15,18.25,18.71,4356112.0,18.80475,22338
2024-09-18,18.69,19.75,18.69,19.32,5349902.0,19.40169,24094
2024-09-19,19.87,19.915,18.81,19.74,3928498.0,19.46203,21363
2024-09-20,19.89,20.16,19.43,19.98,5797747.0,19.93318,27787
2024-09-23,20.06,20.1,19.63,20.03,3362246.0,19.86912,21981
2024-09-24,19.93,20.05,19.07,19.29,2427247.0,19.30748,13459
2024-09-25,19.32,19.8,19.23,19.49,2668725.0,19.49169,14566
2024-09-26,19.6,19.7599,19.1001,19.44,1646710.0,19.41653,9662
2024-09-27,19.5,19.6,19.18,19.385,1188550.0,19.4271,7682
2024-09-30,19.285,20.37,19.2715,19.99,2916084.0,19.95722,11566
2024-10-01,19.93,20.06,19.4,19.77,1777046.0,19.72129,9376
2024-10-02,19.59,19.68,19.1,19.5,2040125.0,19.36985,10424
2024-10-03,19.5,19.98,19.425,19.57,1234621.0,19.59309,5740
2024-10-04,19.89,20.58,19.71,20.29,3218428.0,20.20172,12895
2024-10-07,20.33,20.41,19.83,20.18,1631567.0,20.06702,7555
2024-10-08,20.29,20.92,20.06,20.72,2236090.0,20.60471,9733
2024-10-09,20.76,21.13,20.31,20.325,2219208.0,20.71777,9718
2024-10-10,20.04,20.04,15.67,17.01,19237628.0,16.99114,66451
2024-10-11,17.13,17.43,16.42,17.145,7290632.0,16.9158,28823
2024-10-14,17.03,17.19,16.08,16.37,5125401.0,16.50326,16608
2024-10-15,16.34,16.82,16.1,16.58,3023426.0,16.42372,10345
2024-10-16,16.61,16.9699,16.42,16.44,1707834.0,16.62375,8525
2024-10-17,16.49,16.78,16.01,16.12,2907541.0,16.29649,9134
2024-10-18,16.12,16.18,15.75,15.78,2445605.0,15.92223,9717
2024-10-21,15.69,15.96,15.33,15.62,2227178.0,15.54638,9214
2024-10-22,15.5,15.79,15.335,15.67,1620302.0,15.58865,6784
2024-10-23,15.6,15.76,15.37,15.69,1544280.0,15.5917,7218
2024-10-24,15.77,16.0,15.61,15.96,1359394.0,15.85652,7233
2024-10-25,16.11,16.35,15.765,15.81,1681688.0,16.03026,7953
2024-10-28,15.94,16.685,15.88,16.43,1814538.0,16.38535,8812
2024-10-29,16.35,16.751,16.2,16.71,1440222.0,16.56728,6686
2024-10-30,16.85,17.03,16.37,16.96,1602891.0,16.8193,7117
2024-10-31,16.74,16.85,16.09,16.31,1356500.0,16.41922,5932
2024-11-01,18.25,20.18,18.24,19.37,9075494.0,19.41306,35680
2024-11-04,19.46,19.55,18.95,19.11,3079752.0,19.23879,12750
2024-11-05,19.08,19.25,18.57,18.83,1310066.0,18.80543,7109
2024-11-06,19.7,19.86,19.17,19.67,2370728.0,19.60094,12619
2024-11-07,19.8,20.06,19.63,19.72,2469546.0,19.84714,10416
2024-11-08,20.76,23.52,20.0,22.62,7434899.0,22.57386,31101
2024-11-11,23.0,23.64,21.84,22.48,3309245.0,22.46626,14790
2024-11-12,22.34,22.46,21.74,21.78,1811702.0,22.02299,9107
2024-11-13,22.11,22.55,21.46,21.47,1540114.0,21.97403,7458
2024-11-14,21.25,21.3345,20.18,20.2,2094562.0,20.64788,10127
2024-11-15,20.23,20.34,19.02,19.04,2532210.0,19.39202,10862
2024-11-18,19.05,19.588,18.9,19.54,1646479.0,19.30853,8287
2024-11-19,19.29,20.65,19.29,20.63,1339722.0,20.21181,6987
2024-11-20,20.63,21.395,20.47,21.37,1390961.0,21.09333,6736
2024-11-21,21.6,21.7,20.87,21.3,1396509.0,21.31626,6228
2024-11-22,21.45,21.48,20.88,21.18,1208011.0,21.17441,6803
2024-11-25,21.43,21.88,20.98,21.47,1630473.0,21.42877,7037
2024-11-26,21.32,21.86,21.08,21.82,1188076.0,21.50579,4930
2024-11-27,21.86,22.1899,21.53,21.83,1278355.0,21.79549,6882
2024-11-29,21.74,21.78,19.69,20.11,2961179.0,20.31547,10082
2024-12-02,20.03,20.03,18.4,19.69,4266947.0,19.14427,19196
2024-12-03,19.69,20.18,19.5,19.92,1580468.0,19.84934,7831
2024-12-04,19.87,20.0,19.6,19.95,963458.0,19.83953,4949
2024-12-05,19.74,19.8408,19.14,19.315,1117684.0,19.41733,5875
2024-12-06,19.47,19.88,19.36,19.82,1464596.0,19.65411,7395
2024-12-09,19.96,19.9926,18.89,19.01,1600788.0,19.18088,7189
2024-12-10,19.1,19.49,19.06,19.21,1167934.0,19.25611,6415
2024-12-11,19.38,19.88,19.3,19.63,970324.0,19.65032,4840
2024-12-12,19.6,19.65,18.6,18.67,1252080.0,18.96267,6701
2024-12-13,18.73,19.08,18.29,18.59,1179340.0,18.55882,6346
2024-12-16,18.63,19.19,18.5,18.98,1043336.0,18.99381,6166
2024-12-17,18.78,18.91,18.55,18.63,858051.0,18.70027,4739
2024-12-18,18.7,18.97,17.315,17.7,1716924.0,18.16259,8646
2024-12-19,18.01,18.24,17.63,17.9,1106113.0,17.94423,6321
2024-12-20,17.13,17.96,17.08,17.4,1897729.0,17.51968,9094
2024-12-23,17.39,17.87,17.2504,17.72,1125010.0,17.64,7182
2024-12-24,17.75,17.75,17.2801,17.41,489693.0,17.44916,2644
2024-12-26,17.3,17.9,17.2,17.89,898710.0,17.66581,4445
2024-12-27,17.71,17.75,17.06,17.45,739318.0,17.35725,3855
2024-12-30,17.22,17.53,16.95,17.49,969828.0,17.33301,5307
2024-12-31,17.59,17.75,16.96,17.15,940738.0,17.14231,4665
2025-01-02,17.33,18.15,17.11,17.97,1367119.0,17.81612,7641
2025-01-03,18.05,18.48,17.92,18.44,1156323.0,18.30516,6235
2025-01-06,18.69,19.195,18.5,19.13,1515619.0,18.98718,8181
2025-01-07,19.24,19.25,17.82,18.29,1564652.0,18.30863,7478
2025-01-08,18.12,18.6,17.93,18.56,796889.0,18.26879,4203
2025-01-10,18.08,18.8799,17.975,18.56,1171842.0,18.3725,6540
2025-01-13,17.97,18.2,16.47,16.49,2806745.0,17.0006,13993
2025-01-14,16.67,16.755,15.92,16.32,1743492.0,16.209,8659
2025-01-15,16.9,17.3199,16.48,16.71,1798793.0,16.82669,8191
2025-01-16,16.73,17.03,16.4,16.63,953798.0,16.77054,5210
2025-01-17,16.77,16.865,15.98,16.02,2087129.0,16.33689,9971
2025-01-21,16.2,16.5,15.92,16.16,2043012.0,16.13237,10808
2025-01-22,16.18,16.49,15.95,16.47,1522915.0,16.25798,7798
2025-01-23,16.36,16.58,15.91,16.58,1290787.0,16.25424,6536
2025-01-24,16.52,16.575,16.06,16.08,969521.0,16.27401,4729
2025-01-27,15.8,16.515,15.48,16.19,1354497.0,16.17258,6171
