date,open,high,low,close,volume,average,barCount
2023-12-13,33.26,33.74,32.23,33.74,797997.0,32.932,5158
2023-12-14,34.3,35.88,33.96,35.86,944488.0,35.447,5753
2023-12-15,35.96,36.08,35.08,35.18,785391.0,35.532,3670
2023-12-18,35.37,35.79,34.89,35.5,460002.0,35.49,3212
2023-12-19,35.63,36.64,35.63,36.53,369887.0,36.38,2540
2023-12-20,36.37,36.98,35.78,35.83,435212.0,36.476,2926
2023-12-21,36.25,36.72,36.02,36.66,350011.0,36.568,2373
2023-12-22,36.69,37.19,36.54,36.74,324885.0,36.913,2153
2023-12-26,36.97,37.03,36.52,36.9,180774.0,36.802,1446
2023-12-27,37.12,37.12,36.35,36.53,266798.0,36.583,1944
2023-12-28,36.38,36.75,36.38,36.59,315656.0,36.56,1903
2023-12-29,36.63,36.69,36.25,36.36,546141.0,36.407,3382
2024-01-02,36.05,37.04,35.77,36.49,285443.0,36.507,2253
2024-01-03,35.83,36.04,33.89,33.93,586952.0,34.501,4452
2024-01-04,33.6,34.17,33.28,34.04,522642.0,33.856,3690
2024-01-05,33.93,35.17,33.69,34.29,315066.0,34.425,2641
2024-01-08,34.16,34.97,34.08,34.64,249635.0,34.654,1464
2024-01-09,34.13,34.28,33.83,34.02,304742.0,33.986,2313
2024-01-10,33.94,34.04,33.18,34.02,248256.0,33.762,1801
2024-01-11,33.8,33.91,33.23,33.64,320966.0,33.585,1890
2024-01-12,34.17,34.17,32.48,32.64,236772.0,32.786,1974
2024-01-16,32.03,32.79,31.77,32.72,257216.0,32.558,2042
2024-01-17,32.2,32.58,31.85,32.26,429449.0,32.135,3033
2024-01-18,32.63,32.86,32.14,32.79,459978.0,32.565,3070
2024-01-19,32.76,33.2,32.38,33.13,395699.0,32.87,2773
2024-01-22,33.6,35.13,33.53,34.31,839971.0,34.486,4333
2024-01-23,34.83,35.29,34.48,34.56,534467.0,34.737,3800
2024-01-24,34.85,34.85,34.05,34.14,320827.0,34.368,2075
2024-01-25,34.48,34.89,34.28,34.83,315689.0,34.631,2120
2024-01-26,35.27,35.89,34.85,35.21,516466.0,35.43,3445
2024-01-29,35.1,35.65,34.96,35.53,309174.0,35.389,2146
2024-01-30,35.46,35.9,35.16,35.23,319949.0,35.447,2130
2024-01-31,35.23,35.85,34.53,34.71,357982.0,35.049,2463
2024-02-01,35.06,35.96,34.89,35.89,361164.0,35.637,2671
2024-02-02,35.35,35.72,35.1,35.52,446441.0,35.487,3171
2024-02-05,34.94,35.1,34.54,34.94,443820.0,34.896,3116
2024-02-06,34.78,36.04,34.67,35.61,1051993.0,35.782,4002
2024-02-07,35.15,35.39,32.85,32.88,2282014.0,33.556,9020
2024-02-08,32.87,34.06,32.47,33.62,1427866.0,33.559,7410
2024-02-09,33.78,34.36,33.5,34.13,1800571.0,34.072,8447
2024-02-12,34.17,35.19,34.17,34.72,1085337.0,34.834,7325
2024-02-13,33.29,34.18,32.92,33.16,1321336.0,33.503,7243
2024-02-14,33.66,34.0,33.19,33.81,708401.0,33.724,4994
2024-02-15,34.2,35.25,34.07,34.89,796881.0,34.825,4610
2024-02-16,34.58,35.04,33.96,34.5,660151.0,34.662,4196
2024-02-20,34.01,34.53,33.83,34.36,634023.0,34.271,4901
2024-02-21,34.22,34.68,34.04,34.28,779786.0,34.318,4733
2024-02-22,34.14,34.41,33.83,34.17,699989.0,34.1,4378
2024-02-23,34.11,35.09,34.11,34.38,415804.0,34.559,2633
2024-02-26,34.15,34.74,33.48,33.98,335245.0,33.913,2346
2024-02-27,34.46,34.83,33.83,34.2,353701.0,34.104,2425
2024-02-28,33.72,34.28,33.66,33.67,283355.0,33.893,1808
2024-02-29,34.11,34.43,33.51,33.94,551301.0,33.826,3810
2024-03-01,34.03,34.03,33.33,33.44,274508.0,33.514,1988
2024-03-04,33.52,33.61,32.99,33.37,401671.0,33.276,2675
2024-03-05,33.22,34.36,33.08,34.34,521152.0,34.055,3514
2024-03-06,34.63,34.68,34.14,34.63,406851.0,34.473,2654
2024-03-07,34.75,35.72,34.49,35.32,466109.0,35.265,2661
2024-03-08,35.67,35.94,34.96,35.24,364414.0,35.339,2744
2024-03-11,35.1,35.62,35.1,35.31,660185.0,35.323,3600
2024-03-12,35.4,35.49,34.01,34.46,584067.0,34.532,3679
2024-03-13,34.23,35.05,34.0,34.4,529268.0,34.61,3974
2024-03-14,34.1,34.23,32.28,32.52,529563.0,32.793,3770
2024-03-15,32.49,33.2,32.49,32.58,919382.0,32.629,5128
2024-03-18,32.75,33.08,32.23,32.52,547918.0,32.722,4100
2024-03-19,32.51,32.97,32.38,32.83,458011.0,32.717,3431
2024-03-20,32.83,33.96,32.83,33.77,354860.0,33.565,2651
2024-03-21,33.9,34.16,33.53,33.73,408524.0,33.773,2922
2024-03-22,33.57,33.6,32.66,32.99,441323.0,32.937,3077
2024-03-25,33.18,33.43,32.76,33.2,290036.0,33.12,2009
2024-03-26,33.3,33.3,31.84,31.91,628251.0,32.32,4560
2024-03-27,32.01,33.21,30.67,33.17,1972991.0,32.025,12083
2024-03-28,33.33,33.74,32.89,32.92,571588.0,33.172,3817
2024-04-01,32.79,32.79,31.8,31.92,578304.0,32.099,3350
2024-04-02,31.53,31.9,31.41,31.55,543080.0,31.611,3237
2024-04-03,31.31,31.89,31.31,31.83,325086.0,31.747,2454
2024-04-04,32.27,32.49,31.17,31.26,492102.0,31.728,3395
2024-04-05,31.18,31.58,30.82,31.15,424903.0,31.031,2789
2024-04-08,31.52,31.85,31.09,31.11,695706.0,31.476,4352
2024-04-09,31.49,31.85,31.2,31.78,826383.0,31.618,4825
2024-04-10,30.46,30.6,29.3,30.24,1258914.0,30.04,8293
2024-04-11,30.24,31.21,29.96,31.13,740635.0,30.811,5358
2024-04-12,30.79,30.79,29.74,29.76,517219.0,30.096,3425
2024-04-15,29.8,30.1,29.13,29.19,618903.0,29.408,3778
2024-04-16,28.89,28.92,28.35,28.64,611123.0,28.657,4591
2024-04-17,28.83,28.93,27.98,28.11,608309.0,28.419,3680
2024-04-18,28.2,28.46,27.73,28.02,691368.0,28.073,4196
2024-04-19,27.88,28.9,27.76,28.83,657237.0,28.425,4251
2024-04-22,28.95,29.18,28.59,28.99,517101.0,28.896,2800
2024-04-23,28.96,29.18,28.8,28.94,408418.0,28.944,2938
2024-04-24,28.91,29.81,28.71,29.69,775128.0,29.475,4583
2024-04-25,29.3,29.67,29.11,29.41,577124.0,29.331,3050
2024-04-26,29.48,30.7,29.36,30.42,602316.0,30.381,3775
2024-04-29,30.75,31.19,30.64,30.75,624016.0,30.821,4311
2024-04-30,30.15,30.33,29.58,29.87,522289.0,29.958,3508
2024-05-01,29.74,30.07,28.95,29.44,837225.0,29.428,5655
2024-05-02,29.97,30.44,29.76,30.22,642632.0,30.206,4254
2024-05-03,30.37,30.89,26.97,27.41,1605481.0,27.775,10495
2024-05-06,27.7,28.26,27.03,28.12,1153907.0,27.768,7182
2024-05-07,27.98,28.53,27.74,27.74,767287.0,28.011,4223
2024-05-08,27.47,28.61,27.35,28.56,628575.0,28.306,3655
2024-05-09,28.63,29.06,28.51,28.9,591065.0,28.858,3556
2024-05-10,29.08,29.21,28.3,28.91,605476.0,28.714,3763
2024-05-13,29.35,30.05,29.35,29.47,593505.0,29.65,3316
2024-05-14,30.1,30.29,29.45,29.72,749578.0,29.689,4203
2024-05-15,30.05,30.19,29.22,29.57,674819.0,29.588,3961
2024-05-16,29.67,29.71,29.35,29.64,443488.0,29.578,2659
2024-05-17,29.47,29.52,29.04,29.12,614722.0,29.276,2485
2024-05-20,29.14,29.28,28.74,28.86,303481.0,28.909,1851
2024-05-21,28.65,28.71,28.17,28.22,404555.0,28.31,2526
2024-05-22,28.02,28.34,27.72,28.05,476584.0,28.084,3243
2024-05-23,28.05,28.15,26.79,26.92,452253.0,27.103,2732
2024-05-24,26.95,27.27,26.79,27.24,502203.0,27.02,2880
2024-05-28,27.35,27.71,27.22,27.41,642629.0,27.402,4179
2024-05-29,26.93,27.17,26.78,27.03,379638.0,27.008,2552
2024-05-30,27.15,27.69,27.05,27.68,343228.0,27.493,2006
2024-05-31,27.68,28.41,27.42,28.24,523100.0,28.132,3643
2024-06-03,28.3,28.48,27.41,28.09,640478.0,28.098,4150
2024-06-04,27.76,28.21,27.69,28.13,872375.0,28.052,5111
2024-06-05,28.35,28.38,27.78,28.04,755299.0,28.144,3766
2024-06-06,27.85,28.01,27.13,27.32,879548.0,27.44,4840
2024-06-07,26.99,27.92,26.83,27.88,807200.0,27.652,3878
2024-06-10,27.39,28.11,26.94,27.85,975195.0,27.702,6229
2024-06-11,27.66,27.79,26.75,27.24,637299.0,27.15,3936
2024-06-12,27.87,28.46,27.35,27.64,627232.0,27.853,3624
