date,open,high,low,close,volume,average,barCount
2023-12-13,228.99,235.0,227.9,234.91,1157619.0,231.846,7615
2023-12-14,235.36,242.64,235.25,240.81,1851912.0,240.262,13982
2023-12-15,241.43,243.18,238.89,242.29,1344985.0,241.21,5994
2023-12-18,240.79,242.47,236.35,239.14,762996.0,238.793,6248
2023-12-19,239.65,240.8,237.75,238.16,643464.0,238.558,4762
2023-12-20,237.33,241.56,235.71,236.71,649602.0,238.742,4865
2023-12-21,240.65,242.65,239.06,241.89,504202.0,240.941,3860
2023-12-22,243.74,244.04,240.3,242.76,305018.0,242.188,2249
2023-12-26,242.86,245.36,241.96,245.07,208312.0,244.041,1629
2023-12-27,245.36,245.88,244.38,245.11,294873.0,245.087,2429
2023-12-28,245.39,245.85,244.02,244.91,199396.0,245.036,1532
2023-12-29,243.82,245.4,242.78,243.48,266280.0,243.887,1972
2024-01-02,240.79,241.2,232.21,234.12,549589.0,234.986,4386
2024-01-03,231.94,231.94,227.04,227.19,488624.0,228.468,3707
2024-01-04,227.19,229.57,225.45,228.92,819221.0,227.961,4631
2024-01-05,228.71,231.86,228.41,229.52,461365.0,230.161,3700
2024-01-08,231.0,235.95,230.78,235.45,576484.0,234.902,3755
2024-01-09,233.5,236.68,232.63,235.96,390200.0,235.463,2546
2024-01-10,236.0,239.18,235.77,238.82,451187.0,237.935,3372
2024-01-11,239.53,241.02,237.34,240.65,418847.0,239.48,3369
2024-01-12,242.47,243.34,239.83,242.44,522284.0,241.803,2969
2024-01-16,240.28,242.68,240.13,241.5,571196.0,241.338,4231
2024-01-17,239.66,240.45,235.96,238.47,640091.0,238.094,4773
2024-01-18,238.66,241.94,237.85,241.18,481368.0,240.581,3148
2024-01-19,242.37,249.05,241.73,248.64,562107.0,245.525,3496
2024-01-22,250.57,252.81,249.81,250.79,722619.0,250.922,5323
2024-01-23,251.18,253.24,249.31,252.78,466392.0,251.95,3288
2024-01-24,254.61,256.48,252.5,252.66,522840.0,254.054,3919
2024-01-25,255.62,255.8,250.53,251.75,510827.0,252.978,3745
2024-01-26,252.4,254.29,250.86,253.07,419453.0,252.626,2961
2024-01-29,253.05,257.63,252.68,257.23,315579.0,255.631,2414
2024-01-30,255.63,257.56,255.04,256.47,583456.0,256.733,3841
2024-01-31,255.02,256.93,251.73,253.81,990324.0,254.247,7286
2024-02-01,253.88,255.77,251.37,255.07,509092.0,254.258,3692
2024-02-02,254.14,259.25,254.05,256.45,763379.0,257.512,5377
2024-02-05,255.84,256.42,251.74,252.81,525465.0,253.193,3810
2024-02-06,254.07,254.91,252.7,253.98,353477.0,253.872,2405
2024-02-07,256.81,261.0,255.18,258.43,454295.0,258.741,3385
2024-02-08,258.08,262.92,258.02,261.51,337775.0,261.13,2615
2024-02-09,262.85,269.53,262.85,266.68,941129.0,267.062,6475
2024-02-12,265.91,267.31,261.51,262.04,440077.0,263.958,3498
2024-02-13,255.08,258.73,252.75,256.76,534960.0,255.907,3943
2024-02-14,259.41,263.03,259.13,262.17,327244.0,260.911,2568
2024-02-15,264.12,264.94,259.59,261.25,284926.0,261.582,2221
2024-02-16,260.6,261.44,257.2,258.3,483618.0,259.196,3859
2024-02-20,256.33,256.7,251.66,255.26,544065.0,254.057,3960
2024-02-21,252.15,252.68,249.13,252.52,267090.0,250.997,2288
2024-02-22,258.65,260.33,255.77,256.98,400535.0,257.14,3023
2024-02-23,259.01,260.0,256.85,257.2,313167.0,257.945,2377
2024-02-26,257.84,259.14,256.14,257.35,417565.0,257.825,3332
2024-02-27,258.5,258.6,255.96,256.95,411193.0,257.273,3227
2024-02-28,254.8,258.84,254.66,255.25,721989.0,256.332,5001
2024-02-29,256.35,258.99,255.0,258.17,1279704.0,257.36,7651
2024-03-01,275.0,279.53,258.6,264.74,2117271.0,265.962,14093
2024-03-04,263.01,263.85,259.66,260.7,943882.0,260.972,6318
2024-03-05,257.35,257.51,246.17,247.29,753429.0,251.024,5314
2024-03-06,248.15,252.23,248.15,251.1,366136.0,250.2,2407
2024-03-07,252.89,256.09,250.89,253.84,620952.0,253.509,4265
2024-03-08,253.77,256.03,251.69,251.86,349789.0,253.409,2451
2024-03-11,252.31,259.11,251.38,258.26,663439.0,257.005,4716
2024-03-12,258.85,264.09,258.39,262.78,662682.0,262.246,4593
2024-03-13,262.91,264.08,258.51,258.7,400901.0,261.223,2879
2024-03-14,258.56,259.47,254.38,258.53,416516.0,257.594,3214
2024-03-15,258.28,258.28,253.13,254.24,631815.0,255.529,3024
