date,open,high,low,close,volume,average,barCount
2020-12-14,105.85,105.92,103.46,103.46,21806.0,104.462,190
2020-12-15,103.41,108.21,103.41,107.79,48644.0,106.855,432
2020-12-16,108.55,109.91,107.93,109.29,28868.0,109.081,239
2020-12-17,109.55,112.56,109.55,112.56,21388.0,111.879,196
2020-12-18,113.52,116.08,111.12,115.16,89540.0,114.392,495
2020-12-21,114.1,115.49,111.69,112.99,83142.0,113.624,563
2020-12-22,112.95,115.3,112.85,114.74,66931.0,113.944,453
2020-12-23,115.0,116.2,113.28,115.01,60903.0,114.41,441
2020-12-24,115.81,116.31,114.08,115.24,20325.0,115.337,155
2020-12-28,116.07,117.53,115.08,117.12,34202.0,116.538,298
2020-12-29,117.07,117.61,114.01,116.01,51109.0,115.275,416
2020-12-30,116.17,116.69,115.56,116.02,21018.0,116.084,178
2020-12-31,115.81,117.99,114.96,117.09,24269.0,116.324,223
2021-01-04,117.63,117.66,115.23,116.26,37770.0,116.317,326
2021-01-05,115.49,116.42,114.49,114.67,97177.0,115.159,770
2021-01-06,114.13,121.56,113.27,119.74,108107.0,119.432,818
2021-01-07,120.15,123.58,120.15,123.49,48564.0,122.35,339
2021-01-08,123.49,123.82,120.55,121.67,37483.0,121.376,291
2021-01-11,120.97,122.5,119.22,121.1,49296.0,120.868,308
2021-01-12,120.16,123.29,119.99,121.46,19398.0,121.465,152
2021-01-13,121.85,121.85,119.37,120.27,39901.0,120.192,321
2021-01-14,121.49,122.09,119.81,121.33,53802.0,120.997,384
2021-01-15,120.73,121.76,118.02,120.43,53090.0,119.98,384
2021-01-19,121.57,122.01,119.05,121.47,52622.0,120.831,375
2021-01-20,122.23,125.52,121.52,124.95,42526.0,124.16,282
2021-01-21,125.49,125.97,123.31,124.4,45615.0,124.45,312
2021-01-22,124.23,127.99,121.45,127.8,31051.0,126.346,189
2021-01-25,127.57,128.54,122.85,127.46,98081.0,127.144,689
2021-01-26,128.8,128.8,123.7,124.13,33006.0,125.331,270
2021-01-27,123.04,123.04,115.42,115.75,55086.0,118.607,469
2021-01-28,116.0,117.31,111.21,113.91,50855.0,114.5,423
2021-01-29,113.52,115.34,111.64,112.55,20433.0,112.825,175
2021-02-01,112.55,114.65,112.13,114.57,39551.0,113.231,295
2021-02-02,115.08,119.12,114.88,118.21,35156.0,117.582,305
2021-02-03,118.86,119.87,115.43,118.56,16946.0,118.219,148
2021-02-04,119.28,122.87,118.14,120.81,17951.0,120.99,154
2021-02-05,122.05,124.1,119.48,124.1,28234.0,122.673,255
2021-02-08,125.33,129.01,124.15,126.69,63971.0,127.072,422
2021-02-09,127.1,127.1,125.48,126.03,18071.0,126.085,160
2021-02-10,126.8,127.74,124.56,125.05,24162.0,125.595,224
2021-02-11,125.48,126.14,123.25,123.75,34009.0,124.346,283
2021-02-12,123.32,124.0,122.27,123.17,58305.0,123.189,395
2021-02-16,123.52,123.52,120.14,121.49,30365.0,121.648,234
2021-02-17,120.21,121.49,119.23,119.71,27776.0,120.048,239
2021-02-18,119.15,119.15,115.45,116.82,63935.0,117.156,413
2021-02-19,116.9,118.2,115.86,117.61,41041.0,116.966,379
2021-02-22,116.78,116.78,113.46,115.52,10203.0,115.427,94
2021-02-23,115.23,116.09,112.37,115.09,36939.0,114.608,308
2021-02-24,115.46,121.99,114.23,121.31,44284.0,119.585,408
2021-02-25,120.66,121.51,113.0,113.26,43462.0,116.208,338
2021-02-26,113.3,113.35,101.75,107.57,103882.0,106.155,867
2021-03-01,108.09,108.38,101.75,102.46,63302.0,104.847,512
2021-03-02,100.58,105.11,100.07,104.13,102099.0,102.99,845
2021-03-03,102.63,103.43,97.27,97.73,81622.0,99.538,552
2021-03-04,97.12,99.29,92.02,93.01,38673.0,94.994,329
2021-03-05,93.06,93.98,88.67,93.83,63090.0,91.777,458
2021-03-08,94.61,97.04,93.88,96.19,65564.0,95.836,559
2021-03-09,98.84,103.12,97.01,102.73,74083.0,101.844,656
2021-03-10,104.65,107.09,103.38,103.38,35134.0,104.682,314
2021-03-11,104.06,104.39,101.64,102.36,73493.0,102.275,635
2021-03-12,101.87,106.64,101.87,106.25,60598.0,104.596,486
2021-03-15,105.8,108.74,105.7,107.82,40656.0,107.609,352
2021-03-16,108.24,108.24,103.27,104.8,38723.0,104.24,279
2021-03-17,104.49,106.7,103.14,106.35,30994.0,105.447,238
2021-03-18,104.86,107.53,104.86,107.17,27306.0,106.652,233
2021-03-19,107.56,109.98,106.77,109.48,90044.0,108.124,428
2021-03-22,110.0,112.4,108.79,109.52,36967.0,109.799,263
2021-03-23,109.0,109.48,103.76,107.69,65041.0,106.461,541
2021-03-24,108.01,108.93,105.48,105.48,39757.0,107.041,370
2021-03-25,105.45,105.45,103.03,104.44,35559.0,104.466,306
2021-03-26,104.6,107.6,104.1,107.6,29160.0,106.154,227
2021-03-29,107.76,109.74,105.01,105.16,19330.0,106.427,167
2021-03-30,104.61,106.63,103.5,105.59,26767.0,105.148,239
2021-03-31,106.0,108.58,104.58,104.59,38616.0,105.628,342
2021-04-01,104.95,108.04,104.5,106.49,44224.0,105.72,290
2021-04-05,107.32,107.4,105.73,106.51,17848.0,106.734,140
2021-04-06,105.94,106.37,104.14,104.51,36733.0,105.583,264
2021-04-07,104.51,105.04,102.59,102.98,42159.0,103.7,327
2021-04-08,103.84,105.34,102.54,105.34,18590.0,104.221,166
2021-04-09,105.0,107.49,104.74,106.84,19584.0,106.46,181
2021-04-12,107.08,107.68,105.53,106.0,20449.0,106.723,157
2021-04-13,105.2,106.85,104.77,106.47,27677.0,105.807,199
2021-04-14,106.19,107.76,104.55,104.94,11394.0,105.854,88
2021-04-15,105.53,108.56,105.5,108.46,23290.0,107.588,200
2021-04-16,109.19,109.76,107.85,108.35,21991.0,108.488,177
2021-04-19,109.0,109.24,106.66,107.26,52076.0,107.715,385
2021-04-20,106.78,108.18,105.86,105.9,19660.0,107.053,182
2021-04-21,105.61,108.25,105.61,108.25,16957.0,107.338,143
2021-04-22,108.07,109.8,107.32,109.11,22025.0,109.12,197
2021-04-23,109.45,111.59,108.71,110.22,41673.0,110.537,357
2021-04-26,109.4,110.36,107.16,107.37,15211.0,108.573,120
2021-04-27,106.99,108.28,106.36,107.26,23813.0,107.579,207
2021-04-28,107.59,110.6,107.59,110.13,30591.0,109.722,261
2021-04-29,110.53,110.53,107.16,108.59,45143.0,108.736,414
2021-04-30,107.43,110.32,105.25,105.8,19784.0,106.619,176
2021-05-03,106.25,107.49,103.59,105.07,58333.0,104.283,458
2021-05-04,104.3,104.3,94.35,98.83,299979.0,98.055,1259
2021-05-05,98.49,99.05,91.3,92.87,182044.0,93.778,899
2021-05-06,93.08,95.42,91.14,94.22,182757.0,94.298,752
2021-05-07,94.62,98.99,94.53,97.27,36395.0,97.353,309
2021-05-10,97.36,98.66,95.81,96.3,22907.0,96.951,195
2021-05-11,94.24,98.28,94.24,97.18,33197.0,97.124,293
2021-05-12,96.24,97.51,95.47,96.33,33761.0,96.584,292
2021-05-13,96.66,97.42,91.03,91.96,67326.0,92.899,549
2021-05-14,92.87,96.69,92.25,95.87,26656.0,95.369,235
2021-05-17,95.51,97.68,93.86,94.39,38661.0,95.36,324
2021-05-18,94.78,96.3,94.78,95.0,42820.0,95.33,325
2021-05-19,94.0,95.33,92.58,95.14,18516.0,94.1,163
2021-05-20,95.4,95.92,94.39,95.72,18210.0,95.295,164
2021-05-21,96.09,96.42,94.45,94.48,23073.0,95.088,178
2021-05-24,94.77,95.81,94.53,94.62,26456.0,95.128,206
2021-05-25,94.68,95.97,94.32,95.02,65725.0,94.954,527
2021-05-26,94.82,96.84,94.32,95.87,37822.0,95.658,330
2021-05-27,96.35,96.74,95.08,96.0,40640.0,96.012,353
2021-05-28,96.43,96.57,95.19,96.17,42649.0,95.927,384
2021-06-01,95.93,96.44,94.3,95.44,42478.0,95.091,314
2021-06-02,95.77,95.77,94.45,95.27,24150.0,94.926,227
2021-06-03,94.67,95.51,92.73,94.43,35265.0,93.797,293
2021-06-04,94.9,95.61,94.14,94.91,12074.0,94.886,104
2021-06-07,94.99,95.94,94.32,94.8,86144.0,94.809,666
2021-06-08,95.47,95.47,94.34,94.6,56939.0,94.802,297
2021-06-09,95.1,95.5,91.94,92.18,94800.0,93.293,735
2021-06-10,92.71,93.28,91.31,92.21,50542.0,92.466,461
2021-06-11,92.13,93.34,90.12,90.97,37638.0,90.901,353
2021-06-14,90.97,91.49,89.03,90.87,66340.0,90.682,508
2021-06-15,90.82,91.16,87.89,87.9,44697.0,88.647,356
2021-06-16,87.9,89.46,84.18,84.38,141900.0,85.542,1107
2021-06-17,84.46,86.57,83.16,84.16,94306.0,84.103,749
2021-06-18,82.99,83.16,80.32,80.75,71985.0,81.63,455
2021-06-21,83.11,85.08,82.53,84.35,276503.0,84.256,1168
2021-06-22,84.5,85.44,83.92,84.0,168799.0,84.509,989
2021-06-23,84.56,85.95,84.2,85.0,267854.0,85.009,1510
2021-06-24,85.25,87.17,85.25,86.62,122918.0,86.313,569
2021-06-25,87.0,88.26,86.27,88.06,45645.0,87.632,346
2021-06-28,88.07,88.54,85.43,86.11,53055.0,86.916,368
