date,open,high,low,close,volume,average,barCount
2023-12-13,99.09,104.71,96.49,104.2,201215.0,101.68903700804418,1267
2023-12-14,106.03,111.25,106.03,110.46,139908.0,109.16444799435119,956
2023-12-15,110.66,110.92,107.87,108.78,153920.0,109.65923197510358,600
2023-12-18,109.27,109.27,106.99,108.4,58364.0,108.56732917420626,338
2023-12-19,109.29,110.52,109.2,109.53,34918.0,109.78938599413681,289
2023-12-20,109.09,111.78,107.27,107.39,105431.0,109.3085116032048,749
2023-12-21,108.7,109.81,107.3,109.32,62069.0,108.47492975611394,405
2023-12-22,110.13,111.09,107.06,110.02,44274.0,110.26429913228871,343
2023-12-26,110.61,112.56,109.49,111.95,36021.0,111.69201917313444,290
2023-12-27,112.66,112.66,110.88,111.47,33205.0,111.62147768190268,259
2023-12-28,111.2,111.67,109.77,110.12,30679.0,110.22455744708773,254
2023-12-29,109.77,110.74,107.7,108.22,72618.0,109.00945542206733,516
2024-01-02,106.75,106.96,104.61,105.55,121417.0,105.64929593832323,832
2024-01-03,104.2,104.2,101.19,101.39,116086.0,102.48287716993401,829
2024-01-04,101.38,101.38,99.77,100.62,52576.0,100.60210191779696,414
2024-01-05,99.59,101.11,99.59,100.22,39598.0,100.2762200991488,329
2024-01-08,100.22,102.9,99.51,102.75,47798.0,102.43021943704267,333
2024-01-09,100.63,102.61,100.63,102.36,27317.0,101.82018456920741,241
2024-01-10,101.78,102.41,100.35,102.35,15968.0,101.7367270302853,132
2024-01-11,101.81,102.42,99.84,101.86,54780.0,101.06211192399842,414
2024-01-12,103.14,103.5,101.0,101.56,36334.0,101.90761627664959,296
2024-01-16,100.37,102.54,100.37,101.92,38298.0,101.64035344367285,310
2024-01-17,99.85,100.7,97.9,99.84,71305.0,98.93295113935513,449
2024-01-18,101.11,102.6,100.91,102.08,67951.0,101.83011999050761,482
2024-01-19,103.23,105.22,101.32,104.93,179736.0,103.38004571334638,771
2024-01-22,106.79,107.78,105.92,106.91,48956.0,106.89519776937433,392
2024-01-23,108.35,108.81,106.58,107.07,54757.0,107.46648449413863,434
