date,open,high,low,close,volume,average,barCount
2023-12-13,19.33,19.54,18.87,19.51,2979110.0,19.24602839795008,17314
2023-12-14,19.93,20.04,19.2,19.34,4183312.0,19.447758902316277,24392
2023-12-15,19.32,19.4,18.69,18.79,3755697.0,18.93451896795207,19275
2023-12-18,18.93,19.18,18.67,18.87,3424549.0,18.877283801597013,20285
2023-12-19,19.0,19.7,18.94,19.6,2329096.0,19.479660470448604,12965
2023-12-20,19.56,19.73,19.28,19.33,1956505.0,19.47778390761729,11984
2023-12-21,19.64,19.7,19.41,19.7,1425838.0,19.583809707586497,9577
2023-12-22,19.43,20.05,19.18,19.87,2850431.0,19.76771286505521,15244
2023-12-26,19.93,20.16,19.84,19.88,1945209.0,19.981641027824928,11320
2023-12-27,19.95,20.14,19.84,19.99,2262484.0,19.962875399511795,12770
2023-12-28,19.83,20.14,19.8,20.01,2057635.0,20.00040665613806,11885
2023-12-29,19.96,20.1,19.82,19.85,2486460.0,19.916899610144622,14659
2024-01-02,19.75,20.29,19.47,19.88,5385427.0,19.80712068451279,31694
2024-01-03,19.62,19.62,18.64,18.92,4737513.0,18.968624923717783,26444
2024-01-04,19.28,19.6,18.89,19.29,3196693.0,19.333061199689862,19987
2024-01-05,19.32,19.51,18.71,18.73,4366817.0,19.03471440381635,20657
2024-01-08,19.85,20.45,19.58,19.88,7625173.0,19.950525770896448,41354
2024-01-09,19.86,20.3,19.63,20.08,3521826.0,20.053436532764213,20194
2024-01-10,20.2,20.45,20.06,20.28,2221266.0,20.255481514779817,13699
2024-01-11,20.27,20.34,19.75,20.25,2388577.0,20.087425408243472,15395
2024-01-12,20.4,20.47,19.57,19.72,2634076.0,19.854223957038542,17011
2024-01-16,19.57,19.64,19.21,19.4,3339083.0,19.43408369069767,18173
2024-01-17,19.17,19.55,18.9,19.46,3862647.0,19.3037930013605,21953
2024-01-18,19.58,19.69,18.74,19.13,2538251.0,19.052652976985957,15775
2024-01-19,19.18,19.23,18.61,19.09,2778823.0,18.945965673398277,17708
2024-01-22,19.15,19.3,18.93,19.19,3244697.0,19.13573689482415,18572
2024-01-23,19.45,19.51,18.89,18.96,2643953.0,19.068703279295605,15198
2024-01-24,19.09,19.22,18.88,18.96,1994461.0,19.033770268386366,12456
2024-01-25,19.12,19.33,19.04,19.14,2617356.0,19.191440885192936,14728
2024-01-26,19.22,19.55,19.02,19.52,2194167.0,19.356664585439347,12575
2024-01-29,19.44,19.53,19.18,19.35,1395470.0,19.346279095709573,8864
2024-01-30,19.19,19.22,18.88,19.08,2404983.0,19.035658539246324,14502
2024-01-31,19.04,19.29,18.67,18.71,1963490.0,18.921418152218806,12407
2024-02-01,18.87,19.18,18.63,19.13,1994565.0,18.957295298558023,12229
2024-02-02,19.36,19.74,19.27,19.61,3169152.0,19.528497233695607,19981
2024-02-05,19.27,19.45,18.94,19.38,2306746.0,19.244312469271787,13449
2024-02-06,19.28,19.8,19.06,19.72,2328001.0,19.559653702884933,13399
2024-02-07,19.68,19.8,19.4,19.72,1912245.0,19.643681756153104,11331
2024-02-08,19.82,20.43,19.79,20.41,1820601.0,20.247928431339975,10342
2024-02-09,20.31,21.24,20.31,21.22,4243003.0,20.94847692038475,22272
2024-02-12,21.29,21.74,21.18,21.23,2773715.0,21.406382603924797,15698
2024-02-13,20.51,21.03,20.32,20.81,2371973.0,20.730381636059487,14802
2024-02-14,21.07,21.16,20.42,21.0,2309999.0,20.82385104362746,14435
2024-02-15,21.12,21.31,20.86,21.21,2160082.0,21.144857089820484,13402
2024-02-16,20.98,21.23,20.66,20.99,2136735.0,21.05988490112233,13179
2024-02-20,20.78,20.97,20.58,20.68,2850408.0,20.72660509433957,14209
2024-02-21,20.66,21.23,20.5,21.2,2342983.0,21.068382119992147,14446
2024-02-22,21.39,21.88,21.39,21.69,2037649.0,21.673572930609,11798
2024-02-23,21.58,22.15,21.48,22.02,1789748.0,21.988914164222145,11225
2024-02-26,22.51,22.56,21.94,22.47,3701581.0,22.27593133493591,20190
2024-02-27,22.73,23.1,22.57,22.58,3880518.0,22.80842371744434,18859
2024-02-28,22.25,22.37,21.87,22.22,3317391.0,22.18340606279793,18253
2024-02-29,22.45,22.56,22.1,22.42,2744523.0,22.341076679604498,15104
2024-03-01,22.29,22.86,22.14,22.79,2656545.0,22.68002129896713,13136
2024-03-04,22.78,23.08,22.68,22.77,2606217.0,22.84996567636344,16041
2024-03-05,22.74,23.04,22.36,22.87,3658247.0,22.86696011410307,19977
2024-03-06,23.07,23.07,22.08,22.14,8854906.0,22.497803160981093,38619
2024-03-07,24.66,24.96,21.65,21.72,13701699.0,23.031239678919494,65835
2024-03-08,22.09,22.19,20.73,21.04,5318308.0,21.17223701728989,31448
2024-03-11,20.84,21.42,20.64,21.26,3882898.0,21.127862652080854,22196
2024-03-12,21.2,21.24,20.64,21.11,3014747.0,20.91826458662541,16609
2024-03-13,21.11,22.01,21.1,21.91,3506044.0,21.72077970210797,20018
2024-03-14,21.99,22.07,21.46,21.79,2518892.0,21.664131576309202,15272
2024-03-15,21.72,22.06,21.4,21.87,3605892.0,21.78214850505663,20812
2024-03-18,21.81,22.35,21.55,22.22,3081611.0,22.16924403134822,17739
2024-03-19,21.98,22.39,21.89,22.34,2672522.0,22.190959146237745,16126
2024-03-20,22.17,23.55,22.17,23.45,4742760.0,23.138871117937146,24543
2024-03-21,23.6,24.44,23.6,24.43,4890140.0,24.221794456123614,23865
2024-03-22,24.25,24.52,23.87,24.01,2212885.0,24.103777527376185,11083
2024-03-25,24.08,24.13,22.97,23.11,3890747.0,23.344692641672683,21612
2024-03-26,23.15,23.63,23.09,23.37,3206455.0,23.431553101230794,16056
2024-03-27,23.55,23.94,23.26,23.74,2349459.0,23.714793730224642,12961
2024-03-28,23.91,24.5,23.8,24.35,2741943.0,24.328481759711305,15567
2024-04-01,24.42,24.78,24.38,24.74,3779398.0,24.627772691014805,20242
2024-04-02,24.31,24.35,23.68,24.23,3262073.0,24.01502879695812,18417
2024-04-03,24.32,24.5,23.58,23.7,2883640.0,23.893235326490768,16153
2024-04-04,23.88,23.92,22.76,23.01,4216484.0,23.229508119215193,22261
2024-04-05,23.09,23.26,22.97,23.13,2040372.0,23.14453593051704,12380
2024-04-08,23.27,23.44,23.02,23.06,2957475.0,23.144535930517044,16821
2024-04-09,23.84,24.08,22.7,23.04,5201198.0,23.1690834516965,27094
2024-04-10,22.61,22.79,22.1,22.2,4185270.0,22.383612837153624,25015
2024-04-11,22.15,22.48,21.97,22.4,3095982.0,22.27445689294734,19303
2024-04-12,22.04,22.38,21.87,21.9,3389897.0,22.076077829128952,21810
2024-04-15,22.19,22.23,21.33,21.5,2262802.0,21.666980333886258,14351
2024-04-16,21.39,21.45,20.8,21.17,4333627.0,21.025333218377995,23882
2024-04-17,21.41,21.47,20.94,21.23,3211677.0,21.166761354784406,19531
2024-04-18,21.35,21.79,21.13,21.2,3113155.0,21.39551424655584,16944
2024-04-19,21.14,21.58,20.89,21.24,2056817.0,21.199982729108058,13071
2024-04-22,21.4,21.63,20.9,21.38,2524133.0,21.34046168339093,15731
2024-04-23,21.55,22.06,21.55,21.96,2230160.0,21.910920139634225,13255
2024-04-24,21.97,22.01,21.47,21.48,2499205.0,21.639454052303805,15840
2024-04-25,21.23,21.89,21.01,21.77,1687893.0,21.661285241145062,11895
2024-04-26,21.92,23.26,21.83,23.15,2959187.0,22.891425273243744,16099
2024-04-29,23.55,23.87,23.3,23.57,3154563.0,23.66216115755249,18462
2024-04-30,23.49,23.68,23.02,23.03,2267587.0,23.25211448018626,12412
2024-05-01,22.88,23.18,22.42,22.5,2159351.0,22.656028106607582,13334
2024-05-02,22.88,23.38,22.58,23.23,2030627.0,23.047091141503152,12791
2024-05-03,23.45,23.62,23.01,23.07,1995654.0,23.150551992968243,12300
2024-05-06,23.28,23.53,23.19,23.38,1986389.0,23.320455593080638,13133
2024-05-07,23.36,23.7,22.99,23.03,1680034.0,23.18851927790956,10452
2024-05-08,22.74,22.91,22.55,22.67,2310111.0,22.749997136837337,15539
2024-05-09,22.63,23.43,22.56,23.28,1803664.0,23.085058426444466,11367
2024-05-10,23.43,23.86,23.07,23.22,2187761.0,23.26825057628632,13952
2024-05-13,23.43,23.87,22.95,23.01,2443002.0,23.192316006403686,14870
2024-05-14,23.29,23.71,23.25,23.41,2279811.0,23.48846082894596,13213
2024-05-15,23.41,23.68,22.83,22.95,2673934.0,23.040446866638415,14409
2024-05-16,22.87,22.93,22.11,22.42,2807210.0,22.41113911873608,15020
2024-05-17,22.57,22.68,22.17,22.33,2081657.0,22.312424177888655,13892
2024-05-20,22.31,22.59,22.17,22.5,2016344.0,22.437716218195003,12527
2024-05-21,22.71,22.76,22.29,22.41,2018858.0,22.452903132171524,12510
2024-05-22,22.41,22.41,21.37,21.47,3042039.0,21.59863922099189,18237
2024-05-23,21.42,22.0,21.34,21.76,2885790.0,21.778983824463143,16584
2024-05-24,21.98,22.08,21.77,21.98,2878671.0,21.96122679218146,15636
2024-05-28,22.18,22.8,22.08,22.69,4858440.0,22.528837702054155,25128
2024-05-29,22.46,23.03,22.11,22.83,4454624.0,22.760438140196193,26078
2024-05-30,20.49,22.21,20.12,21.1,10089933.0,21.368937147096922,55338
2024-05-31,21.07,21.21,20.54,20.85,6350236.0,20.787088505371234,39396
2024-06-03,21.03,21.69,20.84,21.08,5215599.0,21.147777712313747,29451
2024-06-04,20.89,20.97,20.5,20.5,3508486.0,20.734883488576926,20004
2024-06-05,20.64,20.98,20.36,20.59,3960007.0,20.681729289659078,22535
2024-06-06,20.45,20.8,20.13,20.45,3175187.0,20.520368328658478,18898
2024-06-07,20.37,20.55,20.17,20.3,2002582.0,20.38653364924033,12650
2024-06-10,20.08,20.14,19.62,19.7,4047159.0,19.753429172843866,24211
2024-06-11,19.73,20.12,19.63,19.74,3777639.0,19.859737570679556,21271
2024-06-12,20.18,20.6,19.84,19.86,3710396.0,20.12740692951584,23959
2024-06-13,19.82,20.04,19.68,19.83,2646096.0,19.82461783210883,16380
2024-06-14,19.58,19.82,19.37,19.51,3271866.0,19.591119029719728,17989
2024-06-17,19.45,19.91,19.24,19.81,3876737.0,19.590169847596197,21365
2024-06-18,19.72,20.0,19.64,19.65,2910818.0,19.826516196355893,17736
2024-06-20,19.63,19.66,18.44,18.81,6491382.0,18.80234868506386,34053
2024-06-21,18.8,19.34,18.71,19.24,6971840.0,19.083306593629608,32900
2024-06-24,19.42,19.66,19.16,19.62,2756817.0,19.5066418207253,17268
2024-06-25,19.62,20.03,19.47,19.65,3699962.0,19.80468500751464,21568
2024-06-26,19.55,19.64,19.32,19.55,2335892.0,19.471522082154582,13512
2024-06-27,19.24,19.39,18.84,19.08,3301289.0,19.048186855058898,18812
2024-06-28,18.96,19.18,18.65,18.95,3450848.0,18.832722513016925,19760
2024-07-01,19.16,19.22,18.4,18.41,2396683.0,18.598274528504284,14211
2024-07-02,18.44,18.65,18.28,18.38,2725630.0,18.38565773283291,15136
2024-07-03,18.4,18.65,18.24,18.32,1621813.0,18.373318365226982,9747
2024-07-05,18.37,18.51,18.11,18.23,2381960.0,18.223347589708776,14539
2024-07-08,18.4,18.89,18.39,18.81,3663685.0,18.763432217999014,21855
2024-07-09,18.77,19.42,18.75,19.15,3971011.0,19.13456242830039,21214
2024-07-10,19.29,19.3,18.97,19.15,2196701.0,19.130765699806258,13725
2024-07-11,19.65,20.15,19.45,20.13,4075631.0,19.95551313060423,24455
2024-07-12,20.31,20.42,20.06,20.21,2140199.0,20.235272238128967,12902
2024-07-15,19.98,20.24,19.45,19.48,2678340.0,19.701533872578356,15023
2024-07-16,19.71,20.46,19.56,20.41,2881388.0,20.2085375793894,16703
2024-07-17,20.16,20.49,19.51,19.57,2993158.0,19.945010228956548,17472
2024-07-18,19.49,19.76,18.94,19.03,2927889.0,19.08854634004975,14734
2024-07-19,19.05,19.08,18.52,18.93,2334727.0,18.772504481378455,13617
