date,open,high,low,close,volume,average,barCount
2023-12-13,74.47,77.71,74.14,77.59,2653822.0,76.16045590122111,14920
2023-12-14,77.92,78.63,77.22,77.37,4458293.0,77.78440759120873,26769
2023-12-15,76.82,77.6,76.04,76.35,4148607.0,76.67948905999933,16312
2023-12-18,76.4,76.99,75.67,75.89,1851927.0,76.07224811931788,11346
2023-12-19,76.2,76.43,75.75,76.26,1313979.0,76.0499640481002,7842
2023-12-20,76.27,76.59,74.55,74.58,1718701.0,75.52628837448498,11536
2023-12-21,74.92,75.04,73.77,74.32,1665449.0,74.28487990706732,9798
2023-12-22,74.81,75.6,74.6,74.63,1330601.0,74.98682815042393,9246
2023-12-26,74.87,75.27,74.61,74.96,904229.0,75.05089485517473,5571
2023-12-27,74.94,75.09,74.49,75.03,1544496.0,74.81134108958479,9114
2023-12-28,74.71,75.59,74.61,75.52,1118836.0,75.29416263263428,7183
2023-12-29,75.26,75.5,74.71,75.41,988572.0,75.17624275577413,6177
2024-01-02,75.09,77.38,75.03,77.23,1832500.0,76.89861576030646,12493
2024-01-03,77.65,77.73,76.94,77.42,1391802.0,77.2950865273875,9610
2024-01-04,77.37,77.98,77.12,77.43,1669505.0,77.60984903333706,11639
2024-01-05,77.19,78.5,77.05,78.06,1284753.0,77.80669166242647,8631
2024-01-08,77.78,78.51,77.64,78.47,1262102.0,78.15766578410476,7526
2024-01-09,78.01,78.45,77.69,78.11,1205440.0,78.19851991467051,7684
2024-01-10,77.81,77.96,76.59,76.64,1677876.0,76.98589503924234,11969
2024-01-11,75.67,75.88,74.21,74.65,2114418.0,74.81041258661739,14724
2024-01-12,75.08,75.91,74.82,75.66,3203760.0,75.47336370534306,13829
2024-01-16,75.2,75.7,74.9,75.19,1380716.0,75.30066215340611,8076
2024-01-17,74.79,75.29,73.44,74.03,1669528.0,74.07968075127131,11716
2024-01-18,73.58,73.82,72.38,72.61,2489776.0,72.92183755091993,13007
2024-01-19,72.65,72.88,71.53,72.14,2568062.0,72.11403996927939,15295
2024-01-22,71.99,72.65,71.22,71.74,1794000.0,71.64885998261056,10683
2024-01-23,71.93,72.66,71.5,72.53,2269552.0,72.35545074080416,12553
2024-01-24,73.12,73.3,71.33,71.49,2587137.0,71.77885039804696,13511
2024-01-25,72.46,72.68,71.53,72.51,1224509.0,72.24867289955283,7846
2024-01-26,72.51,73.07,72.06,72.27,1325691.0,72.3368806814561,8584
