date,open,high,low,close,volume,average,barCount
2023-12-13,15.37,15.46,14.94,15.22,766211.0,15.248806415252298,4261
2023-12-14,15.45,16.02,15.45,15.89,1020506.0,15.871336506106813,5014
2023-12-15,16.08,16.32,15.89,15.91,797572.0,16.121257345500954,4648
2023-12-18,16.13,16.13,15.58,15.87,483635.0,15.820443535175633,2771
2023-12-19,15.91,16.13,15.84,16.08,385917.0,16.027650631109683,2001
2023-12-20,16.04,16.26,15.2,15.25,416616.0,15.646862152178239,2410
2023-12-21,15.46,15.46,15.09,15.23,389801.0,15.16065251917508,2166
2023-12-22,15.3,15.65,15.3,15.49,386009.0,15.476007178337877,1814
2023-12-26,15.75,16.18,15.53,16.12,321399.0,15.984028084597256,1594
2023-12-27,16.05,16.38,16.04,16.29,444181.0,16.264848227771033,1856
2023-12-28,16.29,16.37,15.61,15.67,299694.0,15.878606930525528,1510
2023-12-29,15.65,15.8,15.48,15.65,291657.0,15.655950182701652,1640
2024-01-02,15.68,16.18,14.97,15.07,383741.0,15.37694764563255,2006
2024-01-03,15.01,15.71,14.95,15.53,488994.0,15.476915981390206,2851
2024-01-04,15.59,15.59,15.0,15.02,394439.0,15.117938775714979,2454
2024-01-05,15.04,15.23,14.91,15.2,251033.0,15.121573987924346,1599
2024-01-08,15.05,15.05,14.5,14.99,323007.0,14.774411221929569,1610
2024-01-09,15.0,15.0,14.6,14.72,427584.0,14.693527750271098,2501
2024-01-10,14.68,14.88,14.29,14.34,386949.0,14.439971698667586,2145
2024-01-11,14.5,14.74,14.39,14.74,538553.0,14.620823506083712,2679
2024-01-12,14.97,15.03,14.66,14.77,230180.0,14.80621932876155,1365
2024-01-16,14.7,14.8,14.24,14.39,313373.0,14.40725478878326,2059
2024-01-17,14.3,15.2,14.13,15.07,743405.0,14.842571450855242,4074
2024-01-18,15.08,15.4,15.05,15.25,403220.0,15.235174369467138,2163
2024-01-19,15.28,15.32,14.77,14.87,511046.0,14.983435923968306,3027
2024-01-22,14.88,15.66,14.68,15.57,706513.0,15.42784061656372,3212
2024-01-23,15.54,15.79,15.42,15.42,578878.0,15.581428332409578,3659
2024-01-24,15.55,15.62,15.15,15.29,298137.0,15.351501160166963,1693
2024-01-25,15.38,15.77,15.27,15.7,374607.0,15.587789953775973,2272
2024-01-26,15.65,15.86,15.56,15.85,191682.0,15.735016048255432,1287
2024-01-29,15.82,15.97,15.59,15.97,259666.0,15.798632261919394,1111
2024-01-30,15.89,16.21,15.48,16.11,297405.0,15.920411870933263,1764
2024-01-31,16.28,16.29,15.78,15.79,253257.0,16.04219147994714,1423
2024-02-01,15.94,16.14,15.69,15.95,394952.0,15.934952719770742,2255
2024-02-02,15.88,15.88,15.2,15.29,328699.0,15.371494827318486,1705
2024-02-05,15.19,15.41,14.92,15.34,253217.0,15.210636687053896,1334
2024-02-06,15.4,15.99,15.37,15.74,226525.0,15.728654426889037,1325
2024-02-07,15.69,15.75,15.25,15.54,222248.0,15.471463163076152,1439
2024-02-08,15.54,15.83,15.51,15.7,169834.0,15.716839987208592,993
2024-02-09,15.89,16.2,15.86,16.01,223074.0,16.046735495208868,1193
2024-02-12,16.01,16.39,16.01,16.18,281737.0,16.258486606404635,1460
2024-02-13,16.02,16.03,15.67,15.88,287204.0,15.8413460053795,1747
2024-02-14,15.96,16.01,15.62,15.86,239704.0,15.816808322966255,1514
2024-02-15,15.82,16.27,15.79,16.15,388171.0,16.081270011197883,2495
2024-02-16,16.19,16.4,15.99,16.33,354114.0,16.290294713236623,1626
2024-02-20,16.33,16.76,16.12,16.68,782727.0,16.59471618110324,3046
2024-02-21,16.98,17.17,16.79,16.84,491750.0,16.972558314527067,2692
2024-02-22,16.84,17.11,16.73,16.87,536733.0,16.943139948907692,2559
2024-02-23,16.83,17.04,16.59,16.84,577997.0,16.89625442870182,2593
2024-02-26,16.74,16.95,16.63,16.85,395584.0,16.813515275397336,1798
2024-02-27,16.84,19.19,16.73,18.21,1893825.0,18.44899253904936,9444
2024-02-28,18.48,18.48,17.54,17.74,528616.0,17.90751074686778,2959
2024-02-29,17.93,18.05,16.81,17.34,789960.0,17.28420912530731,4271
2024-03-01,17.6,18.35,17.58,17.77,583558.0,17.956234914924863,3140
2024-03-04,17.78,17.85,17.45,17.8,539845.0,17.674002469764,2610
2024-03-05,18.11,18.88,17.9,18.62,981742.0,18.616309493509547,4024
2024-03-06,18.76,18.76,18.05,18.74,641160.0,18.572181945080494,3425
2024-03-07,18.74,18.98,18.39,18.41,997945.0,18.68525878792996,4476
2024-03-08,18.39,18.59,18.16,18.54,495790.0,18.36441473789367,2666
2024-03-11,18.87,19.48,18.75,19.28,1356433.0,19.16974249672401,4977
2024-03-12,19.25,19.59,19.1,19.42,620504.0,19.37383240820841,3240
2024-03-13,19.48,19.94,19.46,19.68,693526.0,19.651468233741248,3591
2024-03-14,19.74,20.37,19.74,20.23,1112513.0,20.140548562163325,5107
2024-03-15,20.23,20.91,20.04,20.16,1327213.0,20.383250078523155,5765
