date,open,high,low,close,volume,average,barCount
2020-12-14,40.5,40.57,39.33,39.35,1908672.0,39.80202086002544,12411
2020-12-15,39.91,40.15,39.34,39.94,1943735.0,39.836738911814514,11925
2020-12-16,40.05,40.26,39.63,39.77,2010655.0,39.91240646058554,11874
2020-12-17,39.93,40.06,39.59,39.89,1807753.0,39.86166469258612,11261
2020-12-18,39.92,40.19,38.74,39.07,4165512.0,39.28125008318939,23185
2020-12-21,38.96,39.05,38.04,38.8,2763208.0,38.58154780867127,17192
2020-12-22,38.81,38.95,38.28,38.31,1763963.0,38.540598311689294,9628
2020-12-23,38.65,39.09,38.4,38.75,1725559.0,38.84504891968573,10679
2020-12-24,38.88,39.11,38.62,39.03,932176.0,38.931398945930326,6079
2020-12-28,39.24,39.84,39.08,39.1,1741456.0,39.4121104322405,10859
2020-12-29,39.31,39.45,38.89,38.95,1553600.0,39.14059746312087,9072
2020-12-30,39.05,39.6,39.02,39.18,1311577.0,39.303505244592635,7576
2020-12-31,39.18,39.74,39.08,39.59,1389393.0,39.42724394199468,8079
2021-01-04,39.7,39.79,38.31,38.45,2131832.0,38.68303134467005,13498
2021-01-05,38.57,38.9,38.24,38.51,1756437.0,38.600242144250004,10641
2021-01-06,39.09,40.24,38.76,40.0,2519059.0,39.88124923462098,15906
2021-01-07,40.22,40.29,39.57,39.77,2072542.0,39.83495849890223,12334
2021-01-08,39.99,40.05,38.92,39.61,1898786.0,39.4619619937838,12583
2021-01-11,39.36,39.9,39.17,39.62,1609451.0,39.68184298844788,9789
2021-01-12,41.14,41.43,40.29,41.11,4749406.0,41.048309898607336,28645
2021-01-13,40.89,41.45,40.62,41.03,2004269.0,41.09994187306286,12629
2021-01-14,41.26,41.84,41.12,41.72,1790499.0,41.5859945981098,11555
2021-01-15,41.42,41.68,40.96,41.38,1963168.0,41.3687842228141,10751
2021-01-19,41.66,42.13,41.5,41.88,1605726.0,41.90379830294822,10404
2021-01-20,41.81,42.03,41.58,41.89,1450560.0,41.83258178645784,9302
2021-01-21,41.77,41.95,41.23,41.23,1912308.0,41.54504510112784,11157
2021-01-22,40.82,41.49,40.74,41.33,1767738.0,41.2494965576927,11070
2021-01-25,40.9,41.49,40.7,41.46,2280586.0,41.198754789693304,14304
2021-01-26,41.61,41.83,41.31,41.33,2630319.0,41.529911591373654,14734
2021-01-27,40.74,41.01,39.85,40.19,3195969.0,40.42160455349189,20931
2021-01-28,40.61,41.4,40.33,41.06,3009214.0,41.17649962829009,18821
2021-01-29,40.86,40.91,39.85,40.22,2964830.0,40.363741133843455,20516
2021-02-01,40.41,40.86,39.93,40.6,2018737.0,40.45187157300032,13414
2021-02-02,41.18,41.55,40.99,41.23,1855318.0,41.31448162899023,11636
2021-02-03,40.95,41.07,40.53,40.85,2425016.0,40.83466034913617,15869
2021-02-04,41.0,41.52,40.52,40.73,3538011.0,40.897865007521396,22803
2021-02-05,40.83,40.85,40.0,40.46,3550186.0,40.31745039812468,21499
2021-02-08,40.69,41.38,40.56,41.2,3732156.0,41.11418517636099,21210
2021-02-09,41.21,41.47,40.86,41.17,2580940.0,41.182731073483,14089
2021-02-10,41.35,41.72,41.04,41.56,2804681.0,41.47560899754975,17409
2021-02-11,41.67,41.91,41.36,41.74,1995907.0,41.594006456215034,12580
2021-02-12,41.55,42.16,41.35,41.77,1719790.0,41.69049039098371,10743
2021-02-16,41.73,42.18,41.55,41.55,2030127.0,41.816002049473205,12585
2021-02-17,41.46,42.26,41.36,42.17,2655508.0,41.90744625780129,14712
2021-02-18,41.93,42.75,41.91,42.4,3074665.0,42.30370449388959,17973
2021-02-19,42.68,43.5,42.6,43.1,2713344.0,43.1661488900818,16068
2021-02-22,43.0,44.56,43.0,44.12,2982878.0,44.077901437823456,17771
2021-02-23,44.61,44.76,43.7,44.16,2507408.0,44.030386309966694,16837
2021-02-24,44.23,44.82,44.16,44.69,3029611.0,44.59967133240126,19457
2021-02-25,44.83,44.96,43.61,43.62,2748035.0,44.106589816906755,17787
2021-02-26,43.47,43.88,42.84,42.93,3392647.0,43.21635355347755,23513
2021-03-01,43.63,44.1,43.48,43.68,2345281.0,43.805361836531894,14732
2021-03-02,43.7,44.1,43.6,43.61,2153245.0,43.812533931302724,13360
2021-03-03,43.66,44.32,43.61,43.88,2024956.0,44.020524679656766,14554
2021-03-04,43.97,44.05,42.76,43.39,2957768.0,43.392966387209206,20606
2021-03-05,43.91,44.92,43.59,44.78,2935189.0,44.24554915309153,21854
2021-03-08,44.97,46.46,44.94,45.52,3697662.0,45.744516960194844,24905
2021-03-09,45.2,45.89,44.68,45.0,2384921.0,45.36887849657267,16316
2021-03-10,45.01,45.72,44.93,45.55,2186062.0,45.36260291364819,15069
2021-03-11,45.13,45.95,45.0,45.73,2242111.0,45.654865775559465,14081
2021-03-12,46.22,46.56,45.86,46.48,3229357.0,46.402556655418394,21051
2021-03-15,46.48,46.82,46.03,46.74,1992998.0,46.3926950251085,12988
2021-03-16,46.35,46.46,45.47,45.81,2078430.0,45.81175534867135,13749
2021-03-17,46.12,46.4,45.73,46.32,1909344.0,46.15870543321022,13640
2021-03-18,46.69,47.32,46.25,46.41,2975010.0,46.80509047443119,20523
2021-03-19,46.04,46.12,45.45,45.87,4141789.0,45.87720071345517,23964
2021-03-22,45.54,45.71,45.19,45.32,2257091.0,45.42356571920023,14724
2021-03-23,45.01,45.24,44.23,44.38,2051647.0,44.59698179686216,13557
2021-03-24,44.66,45.44,44.58,44.74,2172783.0,45.035376089729084,14813
2021-03-25,44.86,45.9,44.47,45.85,1676082.0,45.37246454395804,11540
2021-03-26,46.04,46.27,45.66,46.22,1849746.0,45.97402399286134,12656
2021-03-29,45.58,46.36,45.54,46.03,1565128.0,45.99285074163477,10538
2021-03-30,46.24,46.7,45.99,46.47,1731002.0,46.37028222894967,11596
2021-03-31,46.2,46.45,45.72,45.88,1700387.0,45.975817016554075,10929
2021-04-01,45.69,46.15,45.61,46.1,1368915.0,45.93637049531453,8397
2021-04-05,46.43,46.65,45.95,46.13,1471417.0,46.23580545199664,10018
2021-04-06,46.16,46.51,46.0,46.27,1237308.0,46.218771726915904,8554
2021-04-07,46.3,46.56,46.1,46.37,1301609.0,46.27345894954349,8770
2021-04-08,46.02,46.28,45.86,46.16,1915762.0,46.09057053288734,13196
2021-04-09,46.53,46.66,46.04,46.3,2219745.0,46.18380776490811,13888
2021-04-12,46.63,47.13,46.39,47.01,1804444.0,46.95839400015766,11746
2021-04-13,46.68,47.09,46.55,46.88,1570107.0,46.886673052449375,11112
2021-04-14,46.82,47.43,46.74,47.4,1462608.0,47.27396617007415,9952
2021-04-15,47.42,47.45,47.06,47.36,1377518.0,47.282034776691326,8260
2021-04-16,47.77,48.04,47.63,47.92,1776262.0,47.819941884503514,11032
2021-04-19,47.95,48.15,47.78,48.02,2201939.0,48.01000239593048,13507
2021-04-20,47.83,47.86,46.82,47.15,1650619.0,47.17176381958981,11402
2021-04-21,47.27,48.02,47.16,47.96,1809098.0,47.671120918008796,11394
2021-04-22,47.64,47.84,47.37,47.46,2975548.0,47.57698717414169,15825
2021-04-23,47.55,48.03,47.34,47.85,1807026.0,47.8495267754332,12112
2021-04-26,47.96,48.47,47.76,47.85,1361661.0,48.05482798824818,8625
2021-04-27,47.87,48.03,47.68,47.99,1678370.0,47.86297445312848,11273
2021-04-28,48.29,48.41,47.96,47.98,1442667.0,48.119376841185634,9716
2021-04-29,48.51,49.19,47.96,48.61,2346918.0,48.50577344696404,13877
