date,open,high,low,close,volume,average,barCount
2023-12-13,70.48,71.13,69.76,70.89,196772.0,70.43507559831149,1339
2023-12-14,71.09,71.29,69.83,70.38,114379.0,70.497140623415,923
2023-12-15,69.93,70.22,68.96,69.65,125766.0,69.46724911310389,928
2023-12-18,69.84,70.36,69.25,69.83,91113.0,69.7901811968455,731
2023-12-19,69.71,71.06,69.71,70.75,89354.0,70.8220122391911,692
2023-12-20,70.89,71.59,70.53,70.54,179075.0,71.00141895238089,1216
2023-12-21,70.3,71.43,70.3,71.29,92899.0,71.01305614458781,704
2023-12-22,71.25,72.32,70.87,71.94,116040.0,71.86063164365741,850
2023-12-26,72.15,72.67,71.87,72.06,94852.0,72.34842395033023,685
2023-12-27,71.96,72.52,71.6,72.45,99877.0,72.31254260769227,795
2023-12-28,72.51,72.81,72.43,72.47,78928.0,72.59765381676145,529
2023-12-29,72.67,72.7,71.97,72.57,63496.0,72.5152237052959,486
2024-01-02,72.13,72.88,72.12,72.41,135750.0,72.37266810076133,1119
2024-01-03,71.88,72.72,71.79,71.96,126681.0,72.37557739881304,1007
2024-01-04,72.55,73.51,72.09,72.79,186055.0,73.12326699810671,1456
2024-01-05,72.8,74.11,72.79,73.4,127739.0,73.56935936603807,1086
2024-01-08,73.37,73.89,72.97,73.67,99453.0,73.42777352752073,735
2024-01-09,73.04,73.15,72.45,73.0,84887.0,72.94192075288242,719
2024-01-10,73.02,73.39,72.88,73.3,77186.0,73.16787623489981,656
2024-01-11,73.36,73.56,72.84,73.23,80435.0,73.16399717083081,618
2024-01-12,73.74,73.98,73.03,73.21,84720.0,73.29103651908953,710
2024-01-16,72.97,73.43,72.83,73.39,74302.0,73.20375757753776,604
2024-01-17,72.72,73.91,72.72,73.5,92215.0,73.36958756648616,786
2024-01-18,73.57,75.39,73.29,75.36,170263.0,74.76120180122861,1402
2024-01-19,75.64,77.16,75.62,77.0,167069.0,76.52617595260928,1268
2024-01-22,77.32,79.88,77.32,79.52,226703.0,79.00683742471459,1519
2024-01-23,79.65,80.06,78.83,78.88,140753.0,79.31231372014584,1064
2024-01-24,79.46,80.08,79.32,79.71,110935.0,79.7787711744393,877
