date,open,high,low,close,volume,average,barCount
2020-12-14,39.93,40.11,38.12,38.22,54078.0,38.925,459
2020-12-15,38.59,39.71,38.25,39.22,234241.0,38.835,1317
2020-12-16,39.01,39.81,38.47,38.92,41685.0,38.888,339
2020-12-17,39.01,40.73,39.01,40.56,51145.0,40.192,429
2020-12-18,41.0,41.71,39.51,39.67,161547.0,40.412,775
2020-12-21,38.79,40.43,38.23,40.08,51296.0,39.737,416
2020-12-22,39.99,42.19,39.99,41.93,79473.0,41.414,624
2020-12-23,41.99,42.63,41.71,41.82,57960.0,41.986,436
2020-12-24,41.94,42.17,40.68,41.04,19687.0,41.262,152
2020-12-28,41.2,41.2,39.69,39.8,34935.0,40.13,283
2020-12-29,40.03,40.15,38.32,38.67,51308.0,38.844,401
2020-12-30,38.76,39.06,38.59,38.67,28849.0,38.883,254
2020-12-31,38.79,38.79,37.97,38.38,29379.0,38.395,234
2021-01-04,38.4,38.5,36.68,37.12,74285.0,37.305,622
2021-01-05,36.89,38.3,36.8,38.04,54487.0,37.95,451
2021-01-06,38.26,40.18,37.59,39.87,200365.0,39.457,884
2021-01-07,39.96,40.44,38.23,40.19,122058.0,40.024,493
2021-01-08,40.21,40.44,38.45,39.34,44636.0,39.507,334
2021-01-11,38.66,39.87,38.5,39.48,62867.0,39.398,389
2021-01-12,39.55,40.64,39.26,40.55,41808.0,39.915,234
2021-01-13,40.57,41.45,40.56,41.1,54745.0,41.005,386
2021-01-14,41.32,43.09,41.32,42.55,98141.0,42.401,844
2021-01-15,42.48,43.03,41.91,42.5,67572.0,42.542,444
2021-01-19,43.58,43.94,40.82,41.23,122387.0,41.428,706
2021-01-20,41.23,42.57,40.7,42.56,59676.0,41.962,489
2021-01-21,43.3,43.69,42.31,43.22,54437.0,43.155,410
2021-01-22,42.97,45.37,42.09,44.88,115499.0,44.634,827
2021-01-25,45.12,48.73,45.11,48.39,149740.0,47.371,1098
2021-01-26,48.51,51.3,47.98,49.87,299750.0,50.005,2447
2021-01-27,44.79,45.54,39.12,40.26,457389.0,40.787,3289
2021-01-28,40.26,40.78,38.76,39.73,172382.0,39.679,1462
2021-01-29,39.47,39.53,36.2,36.79,221203.0,37.309,1012
2021-02-01,37.13,38.65,35.8,38.49,155564.0,37.118,969
2021-02-02,38.75,42.47,38.75,41.83,118786.0,41.311,863
2021-02-03,41.9,43.78,41.9,42.66,206310.0,43.095,1586
2021-02-04,43.07,44.37,41.97,43.75,126704.0,43.445,862
2021-02-05,43.82,45.08,43.21,45.07,53137.0,44.133,417
2021-02-08,45.45,47.82,45.25,47.82,165612.0,46.477,1163
2021-02-09,48.0,53.86,47.75,53.61,218001.0,52.182,1526
2021-02-10,53.6,55.31,52.69,54.68,269113.0,54.395,1149
2021-02-11,54.81,55.97,54.04,55.69,68857.0,55.167,519
2021-02-12,55.55,57.26,54.33,56.36,243418.0,56.538,644
2021-02-16,56.87,56.87,54.28,55.62,118948.0,55.533,857
2021-02-17,54.85,57.21,54.01,55.6,120363.0,55.613,812
2021-02-18,55.32,57.37,54.25,55.49,86361.0,55.378,681
2021-02-19,55.71,58.24,55.62,57.25,117577.0,57.004,422
2021-02-22,55.86,60.02,55.18,59.97,129490.0,59.024,853
2021-02-23,58.49,60.55,58.0,59.16,218789.0,59.571,1162
2021-02-24,59.08,61.49,58.34,60.16,132641.0,59.828,835
2021-02-25,60.26,61.27,58.78,58.95,173037.0,59.575,1135
2021-02-26,58.75,61.21,58.28,59.59,177118.0,60.025,1374
2021-03-01,59.68,64.09,59.68,62.91,178782.0,62.741,1144
2021-03-02,61.65,63.13,60.89,61.37,253923.0,61.79,879
2021-03-03,61.01,62.7,58.51,59.21,161337.0,60.081,865
2021-03-04,59.0,59.18,50.0,52.04,311263.0,52.562,1835
2021-03-05,52.54,54.79,50.13,54.15,256252.0,52.297,1942
2021-03-08,54.41,56.86,53.88,54.04,101223.0,55.283,768
2021-03-09,56.36,57.43,54.26,55.47,167274.0,55.829,1429
2021-03-10,55.86,57.66,55.53,57.0,60067.0,56.617,512
2021-03-11,57.88,61.44,57.88,61.25,55046.0,60.378,421
2021-03-12,61.2,61.2,59.51,59.92,60261.0,60.12,528
2021-03-15,59.27,59.82,56.75,58.49,121159.0,57.816,889
2021-03-16,58.34,60.96,56.68,57.34,95091.0,59.068,523
2021-03-17,56.8,59.02,55.02,58.77,61525.0,57.344,396
2021-03-18,59.12,59.12,54.32,54.51,70294.0,56.324,523
2021-03-19,54.04,56.48,51.64,54.37,178451.0,54.646,784
