date,open,high,low,close,volume,average,barCount
2023-12-13,10.61,10.94,10.45,10.84,263256.0,10.725058818733238,1678
2023-12-14,11.11,11.26,11.04,11.24,523246.0,11.137759909203455,2861
2023-12-15,11.24,11.3,11.03,11.2,353800.0,11.20065590002668,1332
2023-12-18,11.28,11.28,11.0,11.01,162211.0,11.08520298536487,976
2023-12-19,11.05,11.17,11.05,11.13,186787.0,11.117081775234176,1191
2023-12-20,11.11,11.28,10.94,10.95,192896.0,11.116220186318783,1325
2023-12-21,11.05,11.09,10.87,10.99,126194.0,10.949071936733768,745
2023-12-22,11.06,11.15,11.01,11.05,138822.0,11.061318034513679,847
2023-12-26,11.09,11.13,10.97,11.1,111260.0,11.078815967021017,653
2023-12-27,11.08,11.15,11.0,11.02,123439.0,11.063942724389777,805
2023-12-28,10.95,11.1,10.95,11.08,140890.0,11.029821756000468,764
2023-12-29,11.07,11.08,10.82,10.82,179511.0,10.913460504826672,1186
2024-01-02,10.76,10.94,10.66,10.87,194607.0,10.86271650055539,1272
2024-01-03,10.81,10.81,10.58,10.58,138698.0,10.688612072107379,851
2024-01-04,10.66,10.79,10.59,10.72,137104.0,10.707859797865453,766
2024-01-05,10.61,10.86,10.59,10.74,158738.0,10.753354422384529,946
2024-01-08,10.77,11.02,10.74,10.97,136884.0,10.963329612472583,770
2024-01-09,10.81,10.91,10.73,10.82,130502.0,10.841718981546585,858
2024-01-10,10.79,10.87,10.77,10.83,80243.0,10.836469601794382,551
2024-01-11,10.73,10.8,10.66,10.76,115229.0,10.748105042632323,723
2024-01-12,10.92,10.95,10.78,10.83,78895.0,10.85571732755245,444
2024-01-16,10.73,10.75,10.58,10.61,268480.0,10.643992344213661,1454
2024-01-17,10.46,10.65,10.39,10.53,255755.0,10.485636055022251,1640
2024-01-18,10.59,10.64,10.46,10.61,204939.0,10.535505162668168,1146
2024-01-19,10.66,10.67,10.54,10.64,206212.0,10.618620342078023,1261
2024-01-22,10.75,10.82,10.67,10.72,132420.0,10.734106696626455,859
2024-01-23,10.78,10.81,10.54,10.59,136593.0,10.622119928579496,912
2024-01-24,10.65,10.66,10.48,10.55,144505.0,10.546003922172575,775
2024-01-25,10.73,10.74,10.59,10.6,227749.0,10.632618688083898,1356
2024-01-26,10.68,10.87,10.63,10.86,403139.0,10.766477871765034,1303
2024-01-29,10.83,10.83,10.55,10.69,355173.0,10.666739656473203,2303
2024-01-30,10.66,10.71,10.52,10.54,122339.0,10.575750407435043,705
2024-01-31,10.56,10.72,10.4,10.46,367586.0,10.491760331399822,2128
2024-02-01,10.46,10.55,10.21,10.53,251931.0,10.402520875612398,1501
2024-02-02,10.36,10.47,10.23,10.28,153310.0,10.316781006326444,1017
2024-02-05,10.13,10.28,10.03,10.18,121057.0,10.180297132769208,756
2024-02-06,10.15,10.36,10.12,10.32,131333.0,10.293158797441537,797
2024-02-07,10.38,10.38,10.25,10.29,109033.0,10.299283073819105,786
2024-02-08,10.26,10.39,10.25,10.33,149502.0,10.345652594963548,760
2024-02-09,10.34,10.43,10.25,10.42,110259.0,10.35440156121722,712
2024-02-12,10.41,10.5,10.39,10.45,162528.0,10.45064019000758,1002
2024-02-13,10.15,10.15,9.77,9.93,536523.0,9.914328558657672,2573
2024-02-14,10.25,10.25,9.86,10.01,300782.0,9.993944151566062,1755
2024-02-15,10.07,10.23,10.03,10.17,380690.0,10.099806643235457,2087
2024-02-16,10.02,10.17,9.98,9.98,259243.0,10.074434641099819,1347
2024-02-20,10.08,10.18,9.9,10.01,209510.0,10.042938362586613,1192
2024-02-21,9.98,10.11,9.96,10.09,150548.0,10.059561398468583,913
2024-02-22,9.65,9.92,9.29,9.47,668550.0,9.460257210092259,3606
2024-02-23,9.45,9.48,9.24,9.3,299654.0,9.343021062293094,1660
2024-02-26,9.24,9.46,9.1,9.1,353558.0,9.258156089632504,1863
2024-02-27,9.15,9.2,8.98,9.05,303490.0,9.054305175922018,1709
2024-02-28,8.97,9.06,8.88,8.96,461041.0,8.976439376264365,1529
2024-02-29,9.07,9.08,8.85,8.91,758662.0,8.960691237007762,3104
2024-03-01,8.88,9.13,8.77,9.1,624781.0,8.995687102022437,3165
2024-03-04,9.1,9.2,9.06,9.19,253679.0,9.136545458706506,1338
2024-03-05,9.18,9.23,9.04,9.05,219315.0,9.126046699202105,1168
