date,open,high,low,close,volume,average,barCount
2023-12-13,70.71,71.65,70.09,71.39,166166.0,70.868,1347
2023-12-14,72.21,72.32,69.69,70.97,75472.0,70.812,639
2023-12-15,71.04,71.3,70.06,70.96,117082.0,70.875,441
2023-12-18,71.33,71.62,70.15,70.66,129856.0,70.869,1014
2023-12-19,70.99,72.54,70.77,72.28,139230.0,72.152,989
2023-12-20,72.28,72.76,70.92,70.96,79458.0,72.121,555
2023-12-21,71.97,73.95,70.18,70.79,357796.0,71.168,2425
2023-12-22,69.09,70.5,63.32,63.57,611618.0,65.064,3512
2023-12-26,63.78,64.76,63.08,63.8,199840.0,63.966,1482
2023-12-27,63.97,64.5,62.82,63.09,150179.0,63.481,1019
2023-12-28,63.13,63.52,62.2,62.74,99403.0,62.698,654
2023-12-29,62.58,62.91,62.0,62.4,86811.0,62.523,601
2024-01-02,61.98,62.88,61.54,62.2,141254.0,62.038,1066
2024-01-03,61.83,62.13,60.85,61.17,107065.0,61.45,753
2024-01-04,61.85,61.97,60.69,60.71,131121.0,61.227,918
2024-01-05,60.5,61.41,59.92,60.0,119868.0,60.3,747
2024-01-08,59.47,59.47,55.0,58.87,1107254.0,57.402,6660
2024-01-09,58.18,58.85,57.11,58.62,170788.0,58.418,1190
2024-01-10,58.75,59.18,56.69,57.29,150555.0,57.579,1107
2024-01-11,57.46,59.53,57.14,58.93,216524.0,58.664,1509
2024-01-12,58.97,59.96,58.97,59.56,108320.0,59.468,805
2024-01-16,59.25,59.37,57.21,57.81,169810.0,57.957,1194
2024-01-17,57.47,58.29,57.03,57.14,96759.0,57.406,696
2024-01-18,57.23,58.33,56.57,58.08,126330.0,57.725,761
2024-01-19,58.45,59.33,57.47,58.81,229060.0,58.637,1324
2024-01-22,59.19,59.64,58.3,59.0,98656.0,58.887,720
2024-01-23,59.63,59.63,58.32,58.55,93740.0,58.814,630
2024-01-24,59.34,59.34,57.01,57.63,75523.0,57.75,573
2024-01-25,57.99,58.36,56.72,57.7,101824.0,57.396,746
2024-01-26,58.47,58.91,57.49,57.81,72658.0,58.035,555
2024-01-29,58.1,59.61,57.76,59.31,99220.0,58.815,770
2024-01-30,59.19,62.29,58.95,61.53,212377.0,61.264,1377
2024-01-31,61.92,62.18,60.77,60.82,168665.0,61.328,1379
2024-02-01,60.98,62.48,60.78,62.13,141030.0,61.901,1058
2024-02-02,61.62,62.46,61.62,62.05,121583.0,62.04,861
2024-02-05,61.66,61.66,59.93,59.95,109935.0,60.638,839
2024-02-06,60.19,61.31,59.95,60.83,62633.0,60.794,542
2024-02-07,60.84,61.0,60.17,60.48,59462.0,60.624,424
2024-02-08,60.48,61.41,60.14,61.35,43610.0,60.941,368
2024-02-09,61.56,63.65,61.32,63.25,126412.0,62.816,976
2024-02-12,63.41,64.14,63.0,63.2,142643.0,63.587,973
2024-02-13,62.31,63.66,61.43,62.75,121749.0,62.575,1025
2024-02-14,63.17,67.52,63.01,66.94,359106.0,66.31,2664
2024-02-15,66.94,69.85,66.94,68.8,329677.0,68.861,2021
2024-02-16,68.56,69.59,68.02,68.26,192337.0,68.776,1187
2024-02-20,67.71,68.43,66.49,66.61,405474.0,67.452,1458
2024-02-21,66.61,67.59,65.79,66.51,96932.0,66.604,793
