date,open,high,low,close,volume,average,barCount
2023-12-13,164.68,165.08,163.41,164.24,135971.0,163.99733425446755,953
2023-12-14,165.42,165.9,159.25,159.3,248907.0,160.64364320948184,1921
2023-12-15,158.01,159.19,156.5,158.32,500847.0,157.68746975005376,3233
2023-12-18,159.32,160.88,158.66,160.6,168862.0,160.1598352212054,1226
2023-12-19,160.48,162.63,160.48,162.3,144316.0,162.12803204725955,965
2023-12-20,161.27,162.86,159.02,159.07,156355.0,161.1478118545795,1048
2023-12-21,159.77,160.68,158.45,160.15,122132.0,159.60234104633795,878
2023-12-22,160.52,161.81,160.3,160.89,105023.0,161.15847696053342,702
2023-12-26,161.57,161.78,160.04,161.25,74784.0,161.3717790796131,473
2023-12-27,160.32,162.34,160.32,161.3,144875.0,161.49200391036717,1035
2023-12-28,161.11,163.1,161.11,162.94,102747.0,162.7844208409731,663
2023-12-29,162.34,163.61,161.9,163.36,124333.0,162.9443974302829,772
2024-01-02,163.36,165.11,163.03,164.69,86997.0,164.24166213632245,623
2024-01-03,165.11,168.32,164.56,164.81,138836.0,166.50266459856783,1020
2024-01-04,165.46,166.92,163.65,163.93,95218.0,165.1414092568043,509
2024-01-05,164.02,165.34,162.81,162.96,186868.0,163.62696421133805,1483
2024-01-08,163.47,163.9,160.18,160.95,207898.0,161.05958234168722,1660
2024-01-09,160.03,160.74,157.97,159.14,116950.0,159.0681161935518,973
2024-01-10,158.37,159.16,157.82,158.33,142457.0,158.29635034451778,1190
2024-01-11,157.71,161.65,157.62,161.53,287104.0,159.14955882083677,1407
2024-01-12,161.01,162.12,158.82,159.63,118986.0,159.78364784755567,912
2024-01-16,159.62,160.59,158.43,159.48,102837.0,159.07102485881197,824
2024-01-17,159.93,162.93,159.9,161.07,121274.0,161.16526384614048,934
2024-01-18,160.38,161.93,159.28,161.51,87955.0,161.12939030793163,704
2024-01-19,162.88,162.88,161.28,162.71,96183.0,162.3965988062827,569
2024-01-22,162.78,163.83,161.72,163.66,125654.0,162.94633654045649,981
2024-01-23,163.47,164.84,163.47,164.0,116983.0,164.1156199750482,993
2024-01-24,164.75,165.01,163.52,164.43,139720.0,164.3386176449952,1160
2024-01-25,165.31,166.26,164.68,166.11,115203.0,165.59031326195867,1029
2024-01-26,166.19,166.75,164.88,165.48,106620.0,165.63782146120823,970
2024-01-29,164.82,165.15,163.38,164.17,98512.0,164.00896891550832,782
2024-01-30,164.2,165.85,163.8,164.91,198930.0,165.18794790096737,1512
2024-01-31,165.44,165.56,162.79,162.84,158756.0,163.98957781377388,1250
2024-02-01,161.72,164.3,158.7,164.15,231329.0,162.5595253552265,1978
2024-02-02,164.27,165.2,161.91,162.47,161276.0,162.9577670301508,1323
2024-02-05,162.4,164.29,161.8,163.98,183173.0,163.6802494819695,1428
2024-02-06,163.54,165.14,163.22,164.45,229855.0,164.38325801325396,1853
2024-02-07,169.25,174.69,167.97,170.74,372729.0,171.88363850699943,2902
2024-02-08,170.66,172.17,168.96,169.98,171522.0,170.12416978673483,1339
2024-02-09,168.45,170.46,167.33,169.9,123740.0,169.3812397183553,851
2024-02-12,170.1,170.12,167.2,167.37,166365.0,168.33549018566896,1303
2024-02-13,167.98,168.9,164.65,166.72,233937.0,166.18751675074716,1781
2024-02-14,166.85,168.69,166.43,167.26,108900.0,167.06773795889276,881
2024-02-15,167.57,169.07,167.13,167.97,141799.0,168.03364441738887,1190
2024-02-16,168.27,170.23,167.98,169.15,136471.0,169.4007136388894,1014
2024-02-20,168.53,171.78,168.53,170.04,112538.0,170.28677702319533,854
2024-02-21,170.79,170.79,168.84,169.62,142474.0,169.97908907875504,927
2024-02-22,170.02,173.12,169.69,172.79,111251.0,172.1027201130091,837
2024-02-23,173.32,174.49,172.44,173.68,110934.0,173.63921244315713,898
2024-02-26,173.93,175.21,173.45,174.23,148615.0,174.49509125063508,1181
2024-02-27,173.26,177.48,173.26,176.97,168398.0,176.29448150799476,1339
2024-02-28,176.76,178.32,176.1,177.46,82532.0,177.36944192148235,656
2024-02-29,177.61,177.61,175.04,176.68,87580.0,176.1688747205492,580
2024-03-01,176.68,176.68,174.78,175.71,77761.0,175.706369107862,628
2024-03-04,174.77,176.63,173.09,173.35,134794.0,174.22148266712958,1030
2024-03-05,173.19,175.14,172.41,173.91,115505.0,174.00824323728014,902
2024-03-06,175.05,176.24,173.37,175.11,174253.0,175.27599546405628,1357
2024-03-07,175.05,175.68,173.56,174.2,74304.0,174.4298536168455,564
2024-03-08,173.66,174.7,172.76,173.81,73782.0,173.8115566398848,636
2024-03-11,173.35,173.92,171.81,173.66,128407.0,173.0666791794518,1051
2024-03-12,173.96,176.37,173.42,176.36,120030.0,175.464892493238,902
2024-03-13,176.93,177.23,175.74,176.74,108940.0,176.56419530739336,854
2024-03-14,175.59,176.06,174.11,175.09,136644.0,174.96830751961602,1075
2024-03-15,174.06,176.56,174.06,176.39,224243.0,175.7978965343728,1556
2024-03-18,176.08,176.69,173.32,173.7,108899.0,174.7842789705679,809
2024-03-19,174.44,175.09,173.37,174.54,115112.0,174.22050897110293,726
2024-03-20,174.12,176.41,173.71,175.86,147350.0,175.36849658659378,1011
2024-03-21,175.8,176.67,173.41,174.82,145799.0,174.77162092222068,1034
2024-03-22,174.98,175.57,174.18,174.95,64483.0,175.0111501447913,513
2024-03-25,175.49,177.92,175.49,176.72,276036.0,177.11822834659122,1417
2024-03-26,176.55,180.55,176.55,178.45,133967.0,178.61187805156405,957
2024-03-27,180.03,182.51,179.66,182.48,91602.0,181.24767319586746,695
2024-03-28,182.63,184.5,182.45,183.29,124931.0,183.5378062506889,993
2024-04-01,182.32,183.69,181.31,182.3,147585.0,182.4686880133615,946
2024-04-02,182.88,184.01,181.32,181.71,127434.0,182.19410573382936,1014
2024-04-03,181.5,182.36,180.08,180.1,104715.0,180.90785328254577,836
2024-04-04,181.44,181.44,174.3,174.62,227055.0,177.09193855387014,1795
2024-04-05,175.69,176.29,173.82,175.12,144798.0,175.1903102137059,1003
2024-04-08,175.04,178.09,173.87,176.48,94533.0,176.46682570472242,777
2024-04-09,176.82,177.67,172.8,174.1,128516.0,174.2467987638241,1019
2024-04-10,173.56,175.06,172.31,172.82,71367.0,173.48049999080354,546
2024-04-11,172.32,172.32,169.05,169.05,82940.0,170.0764586814261,571
2024-04-12,168.63,169.83,167.95,169.61,82478.0,169.0745254699417,631
2024-04-15,171.36,172.24,167.79,168.05,73029.0,169.80187640189394,590
2024-04-16,168.53,169.23,166.39,166.6,106486.0,167.13979146486938,868
2024-04-17,166.69,166.87,165.31,165.61,107691.0,165.9411716559896,824
2024-04-18,166.52,167.56,165.98,166.39,79414.0,166.4952046951875,656
2024-04-19,167.36,169.31,166.94,169.26,89858.0,168.32770061745535,648
2024-04-22,170.13,170.83,169.08,170.01,94834.0,169.80771857805428,717
2024-04-23,170.38,171.94,169.98,171.67,81442.0,171.16797192736783,620
2024-04-24,170.44,172.71,170.44,172.39,108234.0,171.72784714272592,755
2024-04-25,172.13,173.13,168.36,169.07,124992.0,169.5545576111097,739
