date,open,high,low,close,volume,average,barCount
2023-12-13,244.17,244.62,240.37,240.94,360064.0,241.97487469262416,2675
2023-12-14,239.18,241.82,219.24,223.09,2098251.0,224.66849584423835,13921
2023-12-15,216.71,221.08,216.52,218.93,1334263.0,218.30621780850916,7188
2023-12-18,220.69,224.92,219.9,223.6,736890.0,223.75075566116948,5371
2023-12-19,223.23,224.56,219.97,220.68,716885.0,222.23953039183334,4909
2023-12-20,219.36,220.08,216.27,216.28,695938.0,217.85619103779658,4856
2023-12-21,216.16,219.08,214.81,218.98,413225.0,217.37472134860627,3008
2023-12-22,219.31,219.41,217.57,219.0,301736.0,218.56267411234322,2069
2023-12-26,218.22,218.93,217.32,218.49,210801.0,218.273792298829,1293
2023-12-27,217.98,219.46,217.3,219.13,242104.0,218.59804739563066,1779
2023-12-28,219.91,220.54,219.27,219.57,209418.0,219.89801555644445,1536
2023-12-29,219.76,221.31,219.0,220.97,183926.0,220.40011966088582,1425
2024-01-02,220.95,222.5,220.42,221.08,332151.0,221.12035901226642,2450
2024-01-03,221.67,223.68,220.89,221.1,491370.0,222.06069879299113,3345
2024-01-04,222.61,224.83,221.68,221.97,382372.0,222.86937135259035,2485
2024-01-05,222.48,223.56,219.54,221.36,257984.0,220.9601966462704,2015
2024-01-08,222.7,225.04,220.84,224.86,381547.0,222.91948350391428,3046
2024-01-09,223.01,223.5,220.31,222.2,409116.0,221.56055987095468,3065
2024-01-10,221.62,226.24,221.62,226.14,473552.0,224.5417415791249,2839
2024-01-11,226.7,228.22,225.61,227.96,440962.0,226.9461422514692,2754
2024-01-12,228.56,230.76,227.96,230.71,420898.0,229.83004743059897,2859
2024-01-16,230.99,232.78,228.66,229.41,385588.0,229.92830655084188,2510
2024-01-17,229.9,233.5,229.13,229.92,364332.0,230.64461553741276,2259
2024-01-18,228.29,233.59,227.47,232.82,453032.0,231.43167109055858,3370
2024-01-19,233.97,235.76,233.11,234.63,379318.0,234.6791350145871,2433
2024-01-22,234.26,235.67,233.25,233.39,313416.0,234.15934426850202,1499
2024-01-23,234.15,237.07,234.15,235.51,300500.0,235.52514603987865,2270
2024-01-24,236.95,236.97,234.62,234.91,253357.0,235.77177643168844,1971
2024-01-25,235.84,236.61,231.71,233.61,464941.0,233.03427734172064,3738
2024-01-26,231.88,231.88,223.13,228.97,763827.0,228.28050110436808,5701
2024-01-29,228.13,229.41,224.65,224.8,600780.0,225.82795346310473,4778
2024-01-30,225.43,227.17,224.29,226.56,463626.0,226.33005756754605,3554
2024-01-31,227.4,229.76,227.12,228.12,547949.0,228.33552621170412,4083
2024-02-01,226.04,228.24,223.47,228.08,464510.0,225.9419340425865,3355
2024-02-02,229.95,230.24,226.9,228.69,478943.0,228.70792827742474,3390
2024-02-05,228.46,232.52,227.14,232.15,726189.0,231.06418198085,5410
2024-02-06,233.02,233.73,229.74,229.98,441121.0,230.6033467069107,2971
2024-02-07,230.62,232.82,228.61,232.09,442731.0,231.3894196688541,2958
2024-02-08,231.85,233.99,231.29,232.9,327620.0,232.91145344141697,2310
2024-02-09,231.98,235.02,231.98,234.68,216588.0,233.94710456877738,1521
2024-02-12,234.84,235.14,231.0,231.52,243799.0,231.99273066714565,1882
2024-02-13,233.2,233.83,230.22,232.21,600390.0,231.39924558087841,3097
2024-02-14,232.34,234.77,232.34,234.52,277232.0,233.76827296993525,2001
2024-02-15,234.64,237.82,233.92,236.36,310656.0,236.44288622294758,2275
2024-02-16,236.84,237.51,234.76,235.06,245790.0,236.46155545579373,1522
2024-02-20,234.35,238.38,233.14,237.53,440720.0,236.9695551074496,3035
2024-02-21,238.2,238.8,234.25,235.92,269636.0,235.6882561794819,1971
