date,open,high,low,close,volume,average,barCount
2020-12-14,104.43,105.31,103.22,103.27,841810.0,104.42,5798
2020-12-15,103.39,104.18,102.77,103.87,421702.0,103.408,3172
2020-12-16,104.24,106.13,104.0,104.52,533393.0,105.036,3757
2020-12-17,104.98,106.08,104.46,105.61,748642.0,105.324,5481
2020-12-18,106.08,107.35,105.01,107.08,938450.0,106.33,6164
2020-12-21,107.64,107.64,104.58,105.98,552223.0,105.886,4242
2020-12-22,106.77,106.77,105.34,106.64,561885.0,106.269,4515
2020-12-23,106.93,108.21,106.8,107.06,594012.0,107.576,4551
2020-12-24,108.6,108.6,106.43,107.46,245775.0,107.258,1844
2020-12-28,107.59,108.22,106.75,107.28,477185.0,107.303,3132
2020-12-29,106.9,108.94,106.5,106.71,426294.0,107.408,3223
2020-12-30,106.74,106.95,104.49,104.65,647627.0,105.157,4644
2020-12-31,104.81,105.07,103.94,104.99,431599.0,104.429,3351
2021-01-04,105.41,106.43,103.76,105.24,746043.0,104.939,5685
2021-01-05,104.33,105.52,104.25,105.42,488712.0,104.962,2912
2021-01-06,104.31,105.05,101.5,101.53,985312.0,103.031,7209
2021-01-07,101.9,103.18,101.44,102.81,883171.0,102.472,5705
2021-01-08,103.28,103.95,102.1,103.46,905431.0,102.725,5347
2021-01-11,103.18,103.4,102.06,102.37,799566.0,102.497,4983
2021-01-12,102.38,103.03,100.7,101.68,915327.0,101.855,6108
2021-01-13,102.44,102.72,101.44,101.68,822141.0,101.928,5505
2021-01-14,101.52,103.16,101.15,102.85,997862.0,102.312,6973
2021-01-15,103.32,107.04,103.21,106.45,2147117.0,106.073,14404
2021-01-19,107.38,110.07,107.28,110.01,1282203.0,109.085,8211
2021-01-20,110.7,111.96,108.89,109.36,656967.0,109.838,5032
2021-01-21,109.43,111.25,108.17,109.95,990062.0,110.112,7146
2021-01-22,109.9,110.15,108.85,109.06,715716.0,109.325,4689
2021-01-25,109.57,111.76,109.12,111.33,877338.0,110.94,5408
2021-01-26,112.0,117.22,111.5,117.0,1857593.0,115.177,10604
2021-01-27,117.0,124.91,116.04,120.44,3798023.0,121.924,22794
2021-01-28,120.63,121.11,112.31,112.78,2405489.0,114.715,16727
2021-01-29,111.63,116.2,110.91,111.03,1565274.0,113.18,10898
2021-02-01,112.8,112.81,109.22,111.65,869671.0,111.244,5857
2021-02-02,112.12,112.89,110.78,112.21,714709.0,112.015,5026
2021-02-03,113.0,113.19,111.35,111.6,670941.0,112.145,4298
2021-02-04,112.51,113.06,111.06,112.11,561489.0,111.963,3971
2021-02-05,112.64,114.88,111.8,114.67,833750.0,114.072,4752
2021-02-08,115.47,117.84,114.83,117.28,824966.0,116.701,5867
2021-02-09,117.55,118.63,115.98,117.97,1041332.0,117.807,7225
2021-02-10,107.36,110.17,103.48,105.1,7248552.0,105.681,41288
2021-02-11,105.91,105.95,100.46,101.46,4292209.0,102.009,24954
2021-02-12,102.39,102.39,100.52,101.59,1785460.0,101.459,9785
2021-02-16,102.25,102.52,98.5,98.88,1993083.0,99.821,12955
2021-02-17,99.0,102.11,98.6,101.95,1709164.0,101.207,11046
2021-02-18,101.22,101.55,99.36,99.7,1547517.0,100.062,9567
2021-02-19,100.03,100.61,98.72,98.86,1560297.0,99.599,9438
2021-02-22,98.66,99.69,97.12,98.06,1510732.0,98.099,9551
2021-02-23,97.22,98.26,95.4,97.64,1338037.0,97.07,9325
2021-02-24,97.37,98.29,95.05,97.54,1778772.0,96.684,11495
2021-02-25,98.46,99.22,94.92,95.49,1648940.0,96.34,11347
2021-02-26,96.0,96.57,94.13,94.5,1685237.0,95.148,12230
2021-03-01,96.28,96.58,94.5,95.94,1261226.0,95.697,8746
2021-03-02,98.35,98.56,95.84,95.86,1082495.0,96.568,7239
2021-03-03,95.19,95.83,92.66,93.41,1232913.0,93.867,8184
2021-03-04,92.92,95.65,92.64,93.44,1921528.0,93.887,11175
2021-03-05,94.27,97.42,92.69,97.13,2706929.0,95.335,15824
2021-03-08,96.79,99.53,96.41,97.28,2891708.0,98.326,17367
2021-03-09,98.78,100.44,96.87,97.07,1659525.0,98.595,11029
2021-03-10,98.6,98.71,96.17,96.36,1002131.0,96.905,7373
2021-03-11,96.86,98.18,96.72,96.95,1323313.0,97.452,8770
2021-03-12,96.44,97.63,95.29,97.55,971549.0,96.608,5971
2021-03-15,98.61,100.41,98.02,99.99,1109913.0,99.567,7526
2021-03-16,100.22,101.48,99.85,100.21,808245.0,100.671,5612
2021-03-17,99.74,100.72,98.68,100.26,695911.0,99.665,4975
2021-03-18,99.01,99.5,96.77,98.17,1271629.0,98.149,9072
2021-03-19,98.64,99.81,97.72,99.4,993202.0,98.954,6417
2021-03-22,99.92,101.53,99.71,100.19,637635.0,100.491,4367
2021-03-23,100.1,101.44,99.56,99.69,741136.0,100.433,5880
2021-03-24,100.26,100.26,97.94,98.39,1215519.0,98.689,7211
2021-03-25,97.94,100.22,97.69,99.54,1126250.0,99.501,7975
2021-03-26,99.0,102.78,98.84,102.7,1303969.0,101.377,8361
2021-03-29,102.98,103.78,101.95,103.1,912923.0,102.907,6465
2021-03-30,102.05,102.77,100.74,101.18,967561.0,101.357,6086
2021-03-31,101.73,102.76,101.25,101.9,812896.0,101.962,6261
2021-04-01,102.47,103.13,102.07,102.83,714090.0,102.702,5667
2021-04-05,102.12,104.53,102.11,103.86,734116.0,103.832,5175
2021-04-06,103.13,104.1,102.44,103.74,656766.0,103.291,4649
2021-04-07,102.84,103.47,102.24,102.49,694628.0,102.831,4978
2021-04-08,103.67,104.64,103.06,104.39,1226796.0,104.046,7530
2021-04-09,104.34,104.37,102.98,103.87,602358.0,103.471,3979
2021-04-12,103.4,104.71,103.17,104.23,645480.0,104.189,4321
2021-04-13,103.63,105.31,103.63,104.54,553186.0,104.674,3623
2021-04-14,104.53,104.7,103.47,103.57,728075.0,104.04,5214
2021-04-15,104.0,106.04,103.72,105.83,826494.0,105.244,5047
2021-04-16,105.74,106.15,104.91,105.96,593898.0,105.767,4300
2021-04-19,105.98,107.11,105.52,105.74,730568.0,106.112,5057
2021-04-20,105.5,106.93,105.05,105.38,708557.0,105.777,4257
2021-04-21,105.43,106.66,105.25,105.55,564988.0,105.873,4023
2021-04-22,105.55,106.62,104.62,106.36,1779950.0,106.039,10136
2021-04-23,105.85,108.02,105.22,107.01,1692068.0,107.019,7886
2021-04-26,107.17,113.99,106.18,109.75,3066393.0,110.978,18596
2021-04-27,110.05,111.76,110.05,111.62,1326955.0,111.275,9512
2021-04-28,111.31,112.1,108.87,108.98,1080507.0,110.372,7776
2021-04-29,110.48,110.89,108.17,110.0,946315.0,109.354,6461
2021-04-30,108.83,109.53,108.22,108.7,1122190.0,108.753,7366
2021-05-03,108.92,108.98,106.13,107.02,1106007.0,107.323,6615
2021-05-04,106.31,107.1,104.1,105.19,1326833.0,105.106,9345
2021-05-05,108.5,110.39,107.33,108.51,1797762.0,108.922,12617
2021-05-06,107.78,110.19,107.13,110.18,887956.0,108.996,6586
2021-05-07,110.88,110.99,109.45,110.81,864624.0,110.278,6196
2021-05-10,110.86,112.42,110.06,111.23,601928.0,111.597,4661
2021-05-11,109.1,111.95,108.91,111.17,765720.0,111.266,5863
2021-05-12,110.45,112.27,109.79,111.3,1313054.0,111.273,8617
2021-05-13,111.59,112.29,110.59,111.04,734466.0,111.315,5055
2021-05-14,111.82,113.58,111.4,113.16,748979.0,112.766,5296
2021-05-17,112.69,114.46,112.26,113.49,628895.0,113.32,3898
2021-05-18,112.66,114.06,112.66,112.74,633313.0,113.376,4387
2021-05-19,111.46,113.15,110.74,112.94,830986.0,112.384,5891
2021-05-20,113.72,114.79,113.23,113.47,496253.0,114.002,3537
2021-05-21,113.2,114.89,113.2,113.53,672032.0,113.922,5396
2021-05-24,113.53,115.21,113.53,114.37,647165.0,114.667,4582
2021-05-25,115.01,115.47,114.05,115.16,613714.0,115.076,4394
2021-05-26,115.1,115.63,114.38,114.56,387773.0,114.762,2837
2021-05-27,114.79,115.78,114.0,114.69,695527.0,115.022,4389
2021-05-28,114.87,115.53,114.04,114.21,505515.0,114.555,4103
2021-06-01,114.08,114.47,113.21,113.85,419155.0,113.934,3124
2021-06-02,113.67,115.19,113.57,114.91,535197.0,114.465,3768
2021-06-03,114.51,115.21,113.51,114.56,459272.0,114.569,3445
2021-06-04,114.9,116.63,114.82,116.13,520977.0,115.959,4038
2021-06-07,116.27,116.41,115.21,115.95,478722.0,115.793,3761
2021-06-08,117.29,117.59,116.66,117.3,712821.0,117.192,4689
2021-06-09,117.75,118.49,117.5,117.79,336279.0,118.069,2617
2021-06-10,117.9,119.18,117.4,119.08,517654.0,118.609,4295
2021-06-11,119.3,119.31,117.76,118.45,294606.0,118.246,2466
2021-06-14,118.07,118.07,117.02,118.0,487363.0,117.575,3719
2021-06-15,118.69,118.84,117.57,118.18,506917.0,118.163,3286
2021-06-16,117.96,118.7,115.98,116.69,653102.0,117.223,5161
2021-06-17,116.82,117.04,115.72,116.78,504837.0,116.604,3790
2021-06-18,116.52,116.59,114.48,114.63,870274.0,115.304,6099
2021-06-21,115.33,116.07,114.62,115.82,639182.0,115.562,4561
2021-06-22,116.13,116.34,115.25,115.98,455406.0,115.737,3370
2021-06-23,116.46,116.46,114.95,115.96,304417.0,115.894,2531
2021-06-24,116.81,116.89,115.68,115.83,445482.0,116.063,3118
2021-06-25,115.71,118.22,115.24,116.95,777279.0,116.551,5405
2021-06-28,117.44,117.68,116.47,116.97,415906.0,117.048,3362
2021-06-29,117.05,118.0,116.39,117.43,419380.0,117.448,3258
2021-06-30,117.7,117.81,116.35,116.6,421476.0,116.866,3417
2021-07-01,116.82,117.56,116.63,117.08,430459.0,117.216,3399
2021-07-02,117.78,118.24,117.56,118.04,331460.0,117.946,2694
2021-07-06,118.04,118.62,116.53,117.19,530809.0,117.488,3635
2021-07-07,117.68,118.17,115.25,117.95,757814.0,117.232,5199
2021-07-08,116.82,118.23,116.16,117.72,453739.0,117.363,3419
2021-07-09,118.0,118.1,116.72,117.9,589229.0,117.473,4400
2021-07-12,118.24,118.26,115.29,115.55,540152.0,116.212,4253
2021-07-13,115.31,116.69,115.02,115.14,557829.0,115.519,4534
2021-07-14,115.64,116.83,115.3,116.01,378502.0,116.068,2771
2021-07-15,116.02,116.79,115.45,116.45,338642.0,116.322,2742
2021-07-16,116.57,117.84,116.4,117.03,324644.0,117.17,2509
2021-07-19,116.49,117.72,116.17,117.27,399652.0,116.895,3126
2021-07-20,117.98,118.58,117.48,117.54,400472.0,117.925,3146
2021-07-21,117.51,117.94,116.14,117.62,242461.0,117.418,1943
2021-07-22,117.86,119.56,116.72,116.96,1191694.0,117.72,7984
2021-07-23,117.42,120.67,116.56,119.54,665127.0,119.312,4639
2021-07-26,119.54,120.0,118.34,119.22,295258.0,119.186,2172
2021-07-27,119.66,120.49,118.74,119.85,578639.0,119.69,4077
2021-07-28,119.85,120.63,118.73,119.14,264949.0,119.415,2028
2021-07-29,118.73,119.88,118.56,119.38,430360.0,119.162,2423
2021-07-30,118.54,120.68,118.43,119.92,478701.0,119.901,3319
2021-08-02,119.86,120.0,117.23,118.9,656253.0,118.718,4572
2021-08-03,118.9,120.28,118.56,119.82,568350.0,119.638,3885
2021-08-04,113.55,113.97,110.27,112.41,2669115.0,111.981,18214
2021-08-05,112.22,114.3,111.28,113.38,1164749.0,113.243,7768
2021-08-06,114.01,115.08,113.45,114.57,1013785.0,114.517,5794
2021-08-09,114.57,115.48,114.33,115.09,509397.0,114.952,3532
2021-08-10,115.73,116.12,115.11,115.6,377534.0,115.601,2752
2021-08-11,116.07,116.82,115.41,116.36,408124.0,116.031,2568
2021-08-12,116.64,117.77,115.95,117.28,484042.0,117.235,3245
2021-08-13,117.75,117.81,115.96,116.29,620671.0,116.548,4585
2021-08-16,116.29,116.29,114.65,115.26,500960.0,115.164,4245
2021-08-17,115.25,115.25,114.21,114.93,371143.0,114.717,2990
2021-08-18,114.56,114.9,112.15,112.22,647510.0,113.103,5041
2021-08-19,112.17,113.95,111.93,113.02,573087.0,113.05,3893
2021-08-20,113.27,114.7,112.75,114.49,445271.0,114.218,3472
2021-08-23,114.18,114.87,114.16,114.38,286100.0,114.521,2330
