date,open,high,low,close,volume,average,barCount
2023-12-13,14.57,15.37,14.51,15.36,697790.0,15.015474554601772,3404
2023-12-14,15.78,16.05,15.7,15.95,604034.0,15.89759554266077,3857
2023-12-15,15.95,15.95,15.53,15.66,488226.0,15.795883479048095,1978
2023-12-18,15.81,15.81,15.41,15.42,378538.0,15.520336252170125,2637
2023-12-19,15.69,15.69,15.48,15.56,352483.0,15.555473146872684,2215
2023-12-20,15.59,15.86,15.43,15.52,774727.0,15.612801764545281,3872
2023-12-21,15.64,15.68,15.5,15.66,470813.0,15.574890904471467,2143
2023-12-22,15.79,15.92,15.65,15.73,330230.0,15.767219170211796,1820
2023-12-26,15.79,16.01,15.72,15.92,384638.0,15.872629854319479,2043
2023-12-27,15.89,16.06,15.83,16.01,685692.0,15.972142825711392,2273
2023-12-28,15.96,16.18,15.96,16.16,297359.0,16.098282949817566,1686
2023-12-29,16.1,16.16,15.87,15.87,391196.0,15.987092766346198,2025
2024-01-02,16.0,16.14,15.87,16.05,573881.0,16.031008216960938,3290
2024-01-03,15.88,15.89,15.52,15.66,806061.0,15.69370018138812,3895
2024-01-04,15.64,15.87,15.52,15.71,576398.0,15.755368686506703,2617
2024-01-05,15.56,15.9,15.47,15.72,510585.0,15.73948437458222,3112
2024-01-08,15.67,16.08,15.64,16.08,867989.0,15.958127256366266,4093
2024-01-09,16.09,16.16,15.66,16.08,4168896.0,15.928227375096647,19956
2024-01-10,16.07,16.26,16.02,16.19,581515.0,16.16836079654323,3659
2024-01-11,16.06,16.18,15.89,16.12,690179.0,16.08520175176212,3562
2024-01-12,16.35,16.38,16.02,16.04,450683.0,16.07772678144472,2996
2024-01-16,15.76,15.98,15.76,15.87,809892.0,15.875902582874836,4173
2024-01-17,15.59,15.91,15.46,15.73,644064.0,15.646047245614687,3388
2024-01-18,15.81,15.81,15.43,15.56,458974.0,15.569428799861305,2921
2024-01-19,15.7,15.87,15.48,15.77,520086.0,15.670340899146249,2155
2024-01-22,15.9,16.11,15.75,15.81,569864.0,15.880574439323217,3434
2024-01-23,15.95,16.02,15.83,16.02,936247.0,15.921686776068935,5138
2024-01-24,16.27,16.3,15.93,16.03,889406.0,16.047826900175117,4446
2024-01-25,16.35,16.46,16.16,16.44,923100.0,16.306647747415198,5090
2024-01-26,16.54,16.57,16.27,16.34,1422069.0,16.3711193664028,4181
2024-01-29,16.4,16.41,16.17,16.4,730531.0,16.29450092064942,3791
2024-01-30,16.29,16.4,16.21,16.32,382218.0,16.283288465173314,2379
2024-01-31,16.38,16.43,15.93,15.94,439303.0,16.14219840043233,2812
2024-02-01,15.94,16.22,15.81,16.15,1841943.0,16.070251811127328,6922
2024-02-02,15.84,15.95,15.68,15.78,510205.0,15.817037191625294,3264
2024-02-05,15.48,15.87,15.37,15.66,548057.0,15.61895047821411,3404
2024-02-06,15.62,15.98,15.57,15.92,283889.0,15.885246295771603,2024
2024-02-07,15.94,15.99,15.79,15.85,337303.0,15.878705696743877,2307
2024-02-08,15.85,16.1,15.73,16.04,337991.0,15.957192885076612,2140
2024-02-09,16.03,16.04,15.74,15.8,832789.0,15.820774676784,4772
2024-02-12,15.83,16.02,15.79,15.88,583449.0,15.926358632517324,3657
2024-02-13,15.41,15.71,15.16,15.68,899681.0,15.537660176012352,5711
2024-02-14,15.73,15.79,15.29,15.52,1255579.0,15.484401012500857,7108
2024-02-15,15.72,15.96,15.66,15.85,638276.0,15.829184018391084,4122
2024-02-16,15.51,15.82,15.45,15.74,846651.0,15.726403176526784,3860
2024-02-20,15.62,15.74,15.41,15.43,554582.0,15.497482210556312,3692
2024-02-21,15.42,15.64,15.37,15.53,375575.0,15.55354448793684,2479
2024-02-22,15.48,15.57,15.39,15.49,392096.0,15.495613467976966,2556
2024-02-23,15.51,15.61,15.39,15.47,841622.0,15.539528918591712,3426
2024-02-26,15.41,15.53,15.27,15.32,551594.0,15.347982804208252,2269
2024-02-27,15.46,15.65,15.44,15.52,990374.0,15.544200775040087,5936
2024-02-28,15.38,15.76,15.36,15.47,1563479.0,15.602131794999964,4218
2024-02-29,15.69,15.69,15.31,15.31,1591016.0,15.450763646072547,6380
2024-03-01,15.31,15.68,15.25,15.63,1018508.0,15.563822572123273,5163
2024-03-04,15.63,15.75,15.16,15.65,667481.0,15.648850359483738,3905
2024-03-05,15.61,15.69,15.45,15.54,593264.0,15.571297542440677,3505
2024-03-06,15.65,15.65,15.39,15.45,608685.0,15.488138497659564,3562
2024-03-07,15.61,15.61,15.34,15.37,419690.0,15.41806065093391,2310
2024-03-08,15.58,15.7,15.31,15.43,638021.0,15.446091789624175,4061
2024-03-11,15.37,15.49,15.32,15.45,436677.0,15.446091789624177,2882
2024-03-12,15.39,15.53,15.32,15.49,644009.0,15.433944962858403,3595
2024-03-13,15.45,15.64,15.41,15.43,424748.0,15.516169636349838,2439
2024-03-14,15.38,15.41,15.11,15.22,561713.0,15.200352140439552,3831
2024-03-15,15.09,15.41,15.03,15.11,758865.0,15.138683635320975,3605
2024-03-18,15.08,15.42,15.07,15.28,487925.0,15.281642442641312,3078
2024-03-19,15.16,15.42,15.16,15.38,382901.0,15.346114061628914,2202
2024-03-20,15.37,15.7,15.31,15.59,783183.0,15.565691314702635,3935
2024-03-21,15.67,16.04,15.67,15.97,703763.0,15.930096117676042,3362
2024-03-22,16.02,16.02,15.33,15.36,606559.0,15.52738209182594,3134
2024-03-25,15.45,15.51,15.16,15.16,346222.0,15.287248670379357,2224
2024-03-26,15.22,15.24,15.07,15.1,386406.0,15.144795055045428,2184
2024-03-27,15.25,15.82,15.23,15.78,577824.0,15.609683947426408,2845
2024-03-28,15.86,16.1,15.86,16.07,748831.0,16.00370563060297,3211
2024-04-01,16.09,16.14,15.79,15.93,470048.0,15.961185305080315,2985
2024-04-02,15.77,15.77,15.32,15.41,987411.0,15.433933268599448,4525
2024-04-03,15.34,15.56,15.28,15.46,635198.0,15.449996502685783,2904
2024-04-04,15.66,15.74,15.36,15.41,399797.0,15.544486114958337,2559
2024-04-05,15.72,15.72,15.47,15.62,793774.0,15.585116648235537,3966
2024-04-08,15.72,15.9,15.7,15.88,286358.0,15.84212839361689,1797
2024-04-09,15.89,16.31,15.84,16.3,612179.0,16.126542126557286,3021
2024-04-10,15.87,16.09,15.69,15.87,1227698.0,15.873309965666834,5450
2024-04-11,15.93,16.16,15.74,16.06,680071.0,15.997091357743882,3936
2024-04-12,15.99,16.19,15.99,16.16,1380688.0,16.120872749820933,4556
2024-04-15,16.2,16.54,16.04,16.28,2380303.0,16.256937791493414,8476
2024-04-16,16.19,16.25,15.69,15.74,1650318.0,15.916775187312211,6603
2024-04-17,15.76,15.99,15.7,15.72,543371.0,15.821340678916929,3527
2024-04-18,15.84,15.93,15.73,15.83,443328.0,15.828899847898734,2628
2024-04-19,15.81,16.19,15.81,16.11,501274.0,16.04433616388016,2936
