date,open,high,low,close,volume,average,barCount
2023-12-13,15.93,16.65,15.83,16.58,230834.0,16.31530380627347,1403
2023-12-14,16.74,16.92,16.6,16.72,305672.0,16.731441302857096,1369
2023-12-15,16.84,16.84,16.52,16.55,286184.0,16.738678476710728,1028
2023-12-18,16.64,16.79,16.43,16.76,267969.0,16.72691806919858,1403
2023-12-19,16.87,17.13,16.87,17.03,211240.0,17.0625420066606,1393
2023-12-20,17.03,17.46,16.97,17.0,272655.0,17.2564795323082,1723
2023-12-21,17.2,17.27,17.05,17.19,198173.0,17.152571713696723,1124
2023-12-22,17.25,17.43,17.12,17.28,142908.0,17.256937276002525,878
2023-12-26,17.3,17.45,17.19,17.38,113059.0,17.341162115758085,780
2023-12-27,17.49,17.55,17.39,17.54,116387.0,17.475738761889243,788
2023-12-28,17.39,17.6,17.39,17.59,73362.0,17.525175080876206,523
2023-12-29,17.53,17.59,17.41,17.41,102791.0,17.493133022273554,670
2024-01-02,17.27,17.52,17.25,17.48,133919.0,17.448274140229838,883
2024-01-03,17.36,17.4,17.07,17.1,141428.0,17.235881066063655,961
2024-01-04,17.19,17.28,16.95,16.95,144355.0,17.078417235216307,892
2024-01-05,16.76,17.11,16.69,16.74,166971.0,16.874263547547947,848
2024-01-08,16.65,16.95,16.58,16.92,111784.0,16.876094522325246,707
2024-01-09,16.69,16.74,16.58,16.65,113099.0,16.671025347268237,853
2024-01-10,16.59,16.75,16.59,16.74,80710.0,16.688419607652538,496
2024-01-11,16.68,16.75,16.47,16.7,88359.0,16.629828414779105,525
2024-01-12,16.96,16.96,16.62,16.62,76649.0,16.702151918482247,523
2024-01-16,16.45,16.45,16.3,16.34,106203.0,16.3570131729622,798
2024-01-17,16.09,16.28,15.89,16.1,150254.0,16.02102930132862,995
2024-01-18,16.13,16.19,16.02,16.12,95762.0,16.123563888857124,570
2024-01-19,16.23,16.34,16.04,16.26,89083.0,16.215112627721854,507
2024-01-22,16.42,16.59,16.42,16.53,130594.0,16.51722346597548,980
2024-01-23,16.66,16.7,16.3,16.41,116747.0,16.423843752333454,500
2024-01-24,16.62,16.62,16.22,16.29,76492.0,16.320393677416302,505
2024-01-25,16.57,16.58,16.31,16.4,128345.0,16.38630876939891,724
2024-01-26,16.52,16.52,16.22,16.23,105032.0,16.346942811687068,715
2024-01-29,16.19,16.34,16.15,16.3,127909.0,16.252647610656393,945
2024-01-30,16.2,16.31,16.12,16.19,83207.0,16.19222544300567,571
2024-01-31,16.19,16.28,15.85,15.86,165118.0,16.009127965276196,1108
2024-02-01,15.87,15.98,15.61,15.96,157488.0,15.834269874044553,939
2024-02-02,15.69,15.83,15.53,15.69,147580.0,15.688707379249625,938
2024-02-05,15.46,15.75,15.35,15.59,121109.0,15.54863780878658,745
2024-02-06,15.55,15.8,15.46,15.67,184757.0,15.67314409364262,800
2024-02-07,15.72,15.72,15.55,15.62,87123.0,15.622792287267016,546
2024-02-08,15.62,15.76,15.55,15.76,213233.0,15.679552505363155,1071
2024-02-09,15.78,15.8,15.52,15.72,297431.0,15.700608715302042,1683
2024-02-12,15.76,16.12,15.76,16.01,169745.0,16.02926868782644,1086
2024-02-13,15.56,15.75,15.36,15.61,213305.0,15.538567447511461,1445
2024-02-14,15.76,15.78,15.47,15.61,84201.0,15.639271060262665,608
2024-02-15,15.76,16.03,15.76,16.02,115206.0,15.942297385904945,907
2024-02-16,15.85,16.04,15.76,15.88,118046.0,15.913917276856877,578
2024-02-20,15.72,15.94,15.72,15.85,70516.0,15.8388473109878,514
2024-02-21,15.84,15.97,15.71,15.78,114669.0,15.802227815441906,816
2024-02-22,15.76,15.76,15.57,15.75,114631.0,15.701524202690697,793
2024-02-23,15.71,15.8,15.59,15.59,108536.0,15.67497506841992,682
2024-02-26,15.57,15.66,15.47,15.57,167934.0,15.558708170061708,909
2024-02-27,15.62,15.69,15.53,15.54,154717.0,15.595327665607602,945
2024-02-28,15.42,15.65,15.31,15.32,301809.0,15.408568238323536,1728
