date,open,high,low,close,volume,average,barCount
2020-12-14,172.28,172.38,166.49,166.66,54806.0,168.56822839552348,421
2020-12-15,169.12,169.32,165.97,168.34,65094.0,168.03083283700465,562
2020-12-16,167.91,170.5,166.37,168.54,58381.0,168.43291296711945,527
2020-12-17,169.29,170.11,167.0,170.11,64459.0,168.9287473583427,531
2020-12-18,173.5,173.5,167.58,169.26,96307.0,169.9716426958279,571
2020-12-21,165.75,169.02,164.58,168.39,120994.0,167.56109499268783,991
2020-12-22,169.2,171.48,167.87,169.3,53923.0,169.61982258197742,458
2020-12-23,169.64,176.79,169.64,173.39,54208.0,173.82813240534213,460
2020-12-24,175.0,175.54,172.12,173.23,21583.0,173.21341374487818,195
2020-12-28,175.91,178.53,174.23,174.86,74263.0,175.40262406870025,599
2020-12-29,175.86,176.51,171.48,175.14,74306.0,174.8217342653373,626
2020-12-30,176.18,180.71,175.7,179.77,69834.0,178.9623863745001,634
2020-12-31,179.4,184.14,176.84,182.91,79996.0,182.37523478660418,723
2021-01-04,182.45,184.3,168.01,168.89,70005.0,171.75780635076083,553
2021-01-05,167.12,175.56,167.12,173.75,43543.0,172.94664904316753,339
2021-01-06,175.61,183.84,169.14,182.21,70566.0,180.8191073599581,602
2021-01-07,182.62,185.99,180.83,184.15,48600.0,184.22422346186767,403
2021-01-08,182.78,183.61,177.23,180.67,61330.0,180.19085715665378,541
2021-01-11,180.1,183.13,178.16,179.48,53388.0,179.5713058023183,407
2021-01-12,180.97,183.23,178.97,181.13,36852.0,181.12936630651305,312
2021-01-13,180.21,181.52,176.13,181.4,74977.0,178.9382229051424,557
2021-01-14,183.54,190.53,183.15,189.55,94165.0,188.0323862326663,749
2021-01-15,186.27,186.31,179.23,179.68,76336.0,182.2457185908462,642
2021-01-19,181.45,184.16,175.47,178.95,71960.0,178.6134658769728,594
2021-01-20,180.26,185.4,180.26,184.91,47515.0,183.75641869509957,432
2021-01-21,185.0,185.28,179.86,183.88,49298.0,183.48675437706584,441
2021-01-22,180.41,185.83,178.81,185.01,37229.0,181.95382388100322,336
2021-01-25,183.53,183.53,177.85,182.33,34831.0,180.73888464169008,314
2021-01-26,184.49,186.29,181.34,181.69,32249.0,182.84013993704949,284
2021-01-27,177.88,179.36,170.61,173.01,69443.0,174.34523064960047,581
2021-01-28,177.55,183.71,177.55,181.54,54928.0,180.64513038058152,445
2021-01-29,180.49,180.49,172.68,175.42,34546.0,176.06663620665435,304
2021-02-01,177.08,179.34,172.7,177.77,37938.0,176.9703499606383,336
2021-02-02,181.43,183.38,176.87,181.42,25373.0,181.05397628211648,222
2021-02-03,182.32,187.13,181.21,186.89,67618.0,184.26385155161452,576
2021-02-04,193.11,213.85,193.11,212.04,194562.0,206.9427173521269,1624
2021-02-05,208.88,213.78,202.78,206.35,184771.0,208.28234009332658,1532
2021-02-08,207.51,207.51,202.72,205.21,114851.0,205.24837488075377,1044
2021-02-09,203.73,209.71,202.98,204.42,78206.0,206.25550828358936,615
