date,open,high,low,close,volume,average,barCount
2023-12-13,26.54,27.48,26.5,27.42,1684972.0,27.165,11676
2023-12-14,27.6,27.93,26.91,26.95,1768983.0,27.298,13879
2023-12-15,27.07,27.77,26.79,27.42,4765270.0,27.279,30360
2023-12-18,26.83,27.32,26.53,27.04,1642358.0,26.882,12843
2023-12-19,27.16,27.83,26.82,27.74,3500851.0,27.405,20671
2023-12-20,27.69,27.7,27.15,27.18,1043550.0,27.371,7965
2023-12-21,27.3,27.61,27.2,27.55,522893.0,27.437,4142
2023-12-22,27.81,28.12,27.69,27.92,639578.0,27.89,5006
2023-12-26,28.02,28.12,27.68,27.87,467567.0,27.89,3528
2023-12-27,27.95,28.08,27.74,28.06,430528.0,27.942,3318
2023-12-28,28.04,28.33,27.83,27.88,476948.0,28.01,3483
2023-12-29,27.95,27.95,27.54,27.74,601503.0,27.736,4075
2024-01-02,27.54,28.98,27.52,28.62,1059203.0,28.548,7316
2024-01-03,28.97,29.23,28.65,28.67,896768.0,28.884,6372
2024-01-04,28.99,29.0,28.53,28.63,591347.0,28.693,4385
2024-01-05,28.41,28.74,28.14,28.56,722891.0,28.572,5697
2024-01-08,28.43,29.61,28.27,29.6,1468061.0,29.081,9291
2024-01-09,29.29,29.34,28.88,28.98,701520.0,29.057,5267
2024-01-10,28.94,29.06,28.04,28.15,675511.0,28.308,5018
2024-01-11,27.89,28.19,27.75,27.94,704411.0,27.964,5392
2024-01-12,28.07,28.29,27.91,28.2,1009217.0,28.094,5499
2024-01-16,27.87,27.9,27.22,27.76,628089.0,27.712,5108
2024-01-17,27.57,27.91,27.39,27.69,688402.0,27.58,4957
2024-01-18,27.71,27.78,27.28,27.76,652933.0,27.553,4182
2024-01-19,27.74,27.96,27.5,27.9,557000.0,27.804,4002
2024-01-22,28.1,28.54,27.78,28.46,502410.0,28.401,3801
2024-01-23,28.53,28.81,28.27,28.54,628508.0,28.505,4526
2024-01-24,28.54,28.82,28.1,28.12,514196.0,28.315,3776
2024-01-25,28.4,28.49,27.89,28.02,773420.0,28.05,3810
2024-01-26,28.31,28.31,27.73,27.74,434177.0,27.866,3387
2024-01-29,27.7,28.32,27.65,28.31,777009.0,28.019,5163
2024-01-30,28.26,28.34,27.39,27.41,662447.0,27.582,4757
2024-01-31,27.41,27.7,27.03,27.05,795416.0,27.282,5745
2024-02-01,26.94,27.15,26.5,26.94,1160729.0,26.871,6830
2024-02-02,26.78,26.96,26.47,26.74,555636.0,26.738,3668
2024-02-05,26.5,26.59,26.21,26.4,418261.0,26.442,3107
2024-02-06,26.21,27.1,26.18,27.04,630452.0,26.846,4138
2024-02-07,27.04,27.04,26.63,26.7,694182.0,26.814,4707
2024-02-08,26.68,26.8,26.4,26.77,605388.0,26.648,3836
2024-02-09,26.92,27.37,26.67,27.32,1081989.0,27.026,5510
2024-02-12,27.36,28.74,27.25,28.52,1572918.0,28.36,9877
2024-02-13,28.04,28.26,27.07,27.23,1048000.0,27.562,7883
2024-02-14,27.5,28.03,27.26,27.99,1452016.0,27.769,9298
2024-02-15,28.97,32.71,28.22,32.56,3509731.0,31.229,23338
2024-02-16,32.6,32.88,31.83,32.18,2468896.0,32.463,12743
2024-02-20,31.14,31.43,30.33,30.39,1516375.0,30.715,10724
2024-02-21,30.19,30.64,29.13,29.18,1462886.0,29.506,10273
2024-02-22,29.02,29.27,28.59,28.91,2140085.0,28.958,9602
2024-02-23,29.19,29.6,29.0,29.57,1255435.0,29.343,6644
2024-02-26,29.41,30.12,29.12,30.04,1516933.0,29.876,7677
2024-02-27,30.02,30.02,29.17,29.7,1298200.0,29.629,6758
2024-02-28,29.51,30.04,29.35,29.8,1114201.0,29.735,5210
2024-02-29,30.08,30.36,29.14,29.69,1123776.0,29.624,6281
2024-03-01,29.77,30.35,29.64,30.24,1035771.0,30.166,7204
2024-03-04,30.37,30.41,29.69,29.92,908981.0,29.999,5524
2024-03-05,29.87,29.99,29.34,29.76,870026.0,29.567,6106
2024-03-06,30.0,30.0,28.8,28.94,653360.0,29.209,4743
2024-03-07,29.26,29.54,28.98,29.45,1191374.0,29.332,6112
2024-03-08,29.67,30.07,29.17,29.25,632939.0,29.491,4052
2024-03-11,29.19,29.38,28.48,28.6,678517.0,28.748,4772
2024-03-12,28.78,28.93,28.34,28.47,811178.0,28.63,5363
2024-03-13,28.41,28.81,28.26,28.79,820805.0,28.62,5181
2024-03-14,28.74,28.89,28.43,28.88,750196.0,28.719,5766
2024-03-15,28.8,29.05,28.32,28.75,2172762.0,28.66,11208
2024-03-18,28.58,28.79,27.48,27.53,1257865.0,27.849,8228
2024-03-19,27.7,27.93,27.43,27.7,971965.0,27.654,6576
2024-03-20,27.55,27.76,27.31,27.71,1262968.0,27.586,6688
2024-03-21,27.92,27.99,26.9,26.97,1070484.0,27.337,7645
2024-03-22,27.05,27.49,26.75,27.29,1179688.0,27.182,6481
2024-03-25,27.37,27.57,27.22,27.31,472307.0,27.429,2892
2024-03-26,27.45,27.5,26.75,26.78,645973.0,27.019,4053
2024-03-27,27.02,27.29,26.99,27.25,826443.0,27.184,5415
2024-03-28,27.33,27.33,26.91,27.07,556214.0,27.136,3755
2024-04-01,27.13,27.39,26.88,27.24,677774.0,27.159,4701
2024-04-02,27.04,27.15,26.38,26.77,1230513.0,26.642,6074
2024-04-03,26.76,26.88,26.21,26.33,536073.0,26.443,3266
2024-04-04,26.56,26.78,25.77,25.81,641169.0,26.103,4288
2024-04-05,25.69,26.42,25.43,26.12,866624.0,26.11,5601
2024-04-08,26.24,26.38,25.83,25.93,687366.0,26.101,3864
2024-04-09,27.29,27.56,26.23,26.73,3132269.0,26.823,15661
2024-04-10,26.32,26.42,25.75,26.14,1339708.0,26.056,8821
2024-04-11,26.31,26.31,24.91,24.99,1250633.0,25.354,7112
2024-04-12,25.05,25.17,24.16,24.42,1109762.0,24.457,6305
2024-04-15,24.28,24.64,23.91,24.02,1120354.0,24.125,6153
2024-04-16,23.85,24.1,23.65,23.77,914065.0,23.882,5942
2024-04-17,23.9,24.59,23.73,24.01,1428350.0,24.255,8411
2024-04-18,23.86,24.14,23.62,23.76,1098790.0,23.848,6479
2024-04-19,23.65,23.87,23.48,23.85,1122904.0,23.703,7453
2024-04-22,24.03,24.19,23.76,24.07,975299.0,24.023,5205
2024-04-23,24.09,24.63,24.06,24.26,766375.0,24.414,5004
2024-04-24,24.26,24.81,24.16,24.65,924105.0,24.567,5769
2024-04-25,24.39,24.6,23.89,24.44,728030.0,24.307,5204
2024-04-26,24.55,24.8,24.3,24.68,507413.0,24.61,3656
2024-04-29,24.69,25.26,24.58,24.88,1149223.0,24.9,6411
2024-04-30,24.83,24.98,24.4,24.54,1238723.0,24.577,7352
2024-05-01,23.85,24.28,23.26,24.01,1859186.0,23.864,11730
2024-05-02,23.87,23.99,23.39,23.86,1209870.0,23.679,7338
2024-05-03,24.14,24.48,23.92,24.05,781221.0,24.14,5750
2024-05-06,24.18,24.43,23.8,24.1,980463.0,24.078,6119
2024-05-07,24.22,24.79,24.07,24.59,977343.0,24.452,6053
2024-05-08,24.57,24.57,23.88,24.1,590043.0,24.071,3977
2024-05-09,24.27,24.44,24.08,24.26,556208.0,24.246,3660
2024-05-10,24.35,24.46,24.04,24.05,579627.0,24.187,3854
2024-05-13,24.28,24.75,24.28,24.71,812736.0,24.62,5509
2024-05-14,24.96,25.29,24.24,24.49,818031.0,24.57,5799
2024-05-15,24.82,25.16,23.98,24.14,1737627.0,24.192,7787
2024-05-16,24.18,24.52,24.04,24.46,914233.0,24.326,6264
