date,open,high,low,close,volume,average,barCount
2023-12-13,106.21,108.61,104.84,108.07,432507.0,106.7623056797555,2813
2023-12-14,109.14,115.54,109.03,115.19,857655.0,114.0484985591754,7036
2023-12-15,114.93,115.68,113.96,114.6,567590.0,114.82567201761059,3386
2023-12-18,115.36,115.36,114.02,115.02,367777.0,114.69403034020938,2735
2023-12-19,115.89,116.6,115.38,116.55,437665.0,116.24155139232562,3278
2023-12-20,116.31,119.55,116.2,117.54,893313.0,118.32929088355489,6564
2023-12-21,118.37,120.14,118.18,119.95,648764.0,119.42727998543447,4391
2023-12-22,121.0,122.99,120.37,122.98,1073680.0,122.2288099052391,7207
2023-12-26,123.15,124.45,122.34,124.31,444387.0,124.0717933888558,3333
2023-12-27,124.35,125.24,123.46,124.42,586079.0,124.52230046262876,3115
2023-12-28,124.04,124.37,123.29,123.7,392741.0,123.7870573162547,2189
2023-12-29,123.0,124.01,122.35,123.54,361882.0,123.23123690056076,2501
2024-01-02,122.79,123.33,120.41,121.16,568283.0,121.37070119329057,3670
2024-01-03,119.98,119.98,117.66,118.49,415533.0,118.6189025738375,3196
2024-01-04,118.54,119.87,118.08,119.23,348862.0,119.1698473718499,2692
2024-01-05,119.24,120.23,118.9,119.73,337216.0,119.66813549890182,2548
2024-01-08,119.98,121.0,119.61,120.65,339035.0,120.42385623953831,2407
2024-01-09,119.6,120.99,119.6,120.96,285162.0,120.3234185152989,1916
2024-01-10,120.37,121.28,118.85,119.06,449454.0,119.61742907501397,3285
2024-01-11,118.82,119.14,116.85,117.67,464907.0,117.78029633261511,3890
2024-01-12,118.96,118.96,116.2,116.8,241508.0,116.98654577406272,2012
2024-01-16,115.86,116.48,114.26,116.44,444937.0,115.84857660719463,2817
2024-01-17,115.57,116.65,115.01,115.77,482418.0,115.68475585309537,3805
2024-01-18,116.29,118.24,116.29,118.16,302587.0,117.57064477230949,2377
2024-01-19,118.24,119.46,117.17,119.15,264464.0,118.73591739819415,1788
2024-01-22,120.1,122.29,119.92,122.27,386247.0,121.62033281858471,2756
2024-01-23,122.35,123.0,119.7,121.24,261303.0,120.90459214293675,1860
2024-01-24,122.31,122.31,119.45,119.87,256057.0,120.48528902232555,1861
2024-01-25,121.69,122.68,120.49,122.63,269259.0,121.7685515961031,1879
2024-01-26,122.59,123.11,121.61,121.76,207363.0,122.1888298402506,1453
2024-01-29,121.56,123.73,121.01,123.7,337525.0,122.76415272667063,2354
2024-01-30,122.89,124.16,122.5,123.05,227086.0,123.36775419564351,1856
2024-01-31,122.63,123.26,120.63,120.81,290898.0,122.09814335137425,1661
2024-02-01,121.84,124.1,120.93,124.06,421869.0,122.41798387128232,3243
2024-02-02,123.16,125.23,121.96,124.46,308076.0,124.02693770618579,2179
2024-02-05,123.06,123.6,120.81,122.63,275950.0,122.4335858478632,1873
2024-02-06,121.94,123.3,121.94,122.89,132848.0,122.79828205044133,981
2024-02-07,123.77,124.42,122.93,123.78,202573.0,123.88164429927632,1342
2024-02-08,125.56,127.34,124.64,127.27,403346.0,126.70365181334331,2944
2024-02-09,126.95,129.64,126.95,128.63,408056.0,128.77481420445534,3403
2024-02-12,128.39,130.6,128.32,130.25,401434.0,130.07367875481378,3094
2024-02-13,125.79,127.42,125.03,126.37,467418.0,126.04836879694626,3273
2024-02-14,127.81,128.04,125.82,127.92,302375.0,127.14148228114433,2396
2024-02-15,128.75,130.34,128.13,129.99,343932.0,129.55978865118107,2624
2024-02-16,129.28,131.53,128.67,129.13,546421.0,130.41692223959325,3842
2024-02-20,125.0,133.5,124.86,128.77,877550.0,130.27357907975636,6368
2024-02-21,128.33,129.24,125.55,127.85,578978.0,127.05177091580418,4520
2024-02-22,129.17,130.0,124.1,126.43,658248.0,126.39258740526195,5085
2024-02-23,124.57,126.63,124.33,125.88,477649.0,125.76558297141774,3750
2024-02-26,125.57,126.4,125.03,125.29,373910.0,125.66514524717832,2792
2024-02-27,128.42,128.42,125.48,126.07,486373.0,126.36820931685433,3028
2024-02-28,125.67,126.59,124.78,124.97,419862.0,125.78118494799864,3079
2024-02-29,125.4,126.39,124.61,124.69,686095.0,125.38723503933137,4546
2024-03-01,124.38,124.82,123.33,123.65,666909.0,124.01036060606853,4443
2024-03-04,123.28,126.66,122.65,125.59,649170.0,125.34335448019763,4215
2024-03-05,125.03,126.21,123.42,124.36,343219.0,124.82653900595591,2603
2024-03-06,125.09,126.16,124.01,125.22,272452.0,125.37845892750461,1960
2024-03-07,126.14,128.67,125.83,128.62,694804.0,127.81236727412222,4079
2024-03-08,129.22,131.15,127.4,127.59,412331.0,129.47007728584097,3297
2024-03-11,127.23,128.12,126.12,127.78,333408.0,127.3735616827849,2854
2024-03-12,128.02,130.28,127.13,129.77,386587.0,129.58124136897976,3158
2024-03-13,129.72,131.06,129.0,129.46,424256.0,130.17084523003248,2551
2024-03-14,129.57,129.86,125.91,127.28,405374.0,127.02836175873628,3115
2024-03-15,126.25,128.79,126.25,127.61,299184.0,127.19473428758099,1829
2024-03-18,128.65,129.07,127.73,128.54,183336.0,128.49733332224164,1289
2024-03-19,128.5,130.45,128.5,130.17,225329.0,129.92324376063422,1857
2024-03-20,130.4,132.46,129.86,132.39,299468.0,131.74551228245096,2414
2024-03-21,132.92,133.17,131.91,132.4,312545.0,132.42763965071424,2586
2024-03-22,132.58,132.58,130.88,131.26,132015.0,131.46952961695558,1085
2024-03-25,130.9,131.39,129.7,130.07,147132.0,130.23347959383287,1175
2024-03-26,130.35,131.08,130.22,130.49,174326.0,130.6083071147007,1303
2024-03-27,131.29,132.12,130.61,131.38,251754.0,131.29043448296397,1685
2024-03-28,131.95,132.17,130.97,131.84,114196.0,131.71713108635393,791
2024-04-01,131.54,131.54,129.36,129.5,91803.0,129.994686081844,690
2024-04-02,129.35,129.35,127.32,128.77,178597.0,128.25071051477775,1415
2024-04-03,128.54,129.83,128.33,128.67,153288.0,128.94164584045046,1154
2024-04-04,129.55,131.06,127.68,128.22,166431.0,129.04146935775722,1260
2024-04-05,128.7,129.94,127.67,129.49,131328.0,129.1794606905049,1124
2024-04-08,130.21,130.66,129.68,130.03,210954.0,130.03970453082545,1685
2024-04-09,130.58,131.47,128.65,131.02,135752.0,130.2941566337644,1117
2024-04-10,128.23,128.94,126.29,126.37,261170.0,127.11448400896174,1843
2024-04-11,126.39,127.06,125.28,126.98,189278.0,126.20824305772527,1502
2024-04-12,125.86,127.14,124.06,124.7,299973.0,124.8733481792301,2132
2024-04-15,126.1,126.57,123.13,124.23,184384.0,124.31942552437067,1458
2024-04-16,123.64,124.36,122.37,123.68,244474.0,123.58053576391329,1817
2024-04-17,124.89,124.93,122.92,123.1,307586.0,123.44156576923125,2146
2024-04-18,123.31,124.12,121.94,122.18,196532.0,122.93168290141894,1282
2024-04-19,122.37,123.36,121.95,122.54,121027.0,122.58915122438572,748
2024-04-22,123.15,124.1,122.24,122.74,339742.0,123.05401564321652,2446
2024-04-23,123.02,124.87,123.02,124.26,288372.0,124.25091918896405,2104
2024-04-24,123.9,124.92,122.41,123.84,441363.0,123.61381026968226,3306
2024-04-25,123.84,125.04,120.52,122.21,429964.0,122.78390494932748,3380
2024-04-26,122.41,123.29,120.8,121.21,430864.0,121.49207119594506,3348
2024-04-29,121.31,122.65,121.31,122.15,323918.0,121.86494139294408,2630
2024-04-30,121.72,122.08,118.65,118.97,233554.0,119.85770576552942,1579
2024-05-01,119.27,121.03,117.72,118.48,297481.0,118.83500404410168,2343
2024-05-02,119.41,119.98,117.46,119.65,229554.0,119.0101845303558,1777
2024-05-03,121.52,122.66,119.99,120.26,313108.0,120.738501506472,2193
2024-05-06,121.21,122.33,120.4,122.22,140757.0,121.69367555442747,992
2024-05-07,122.64,123.25,121.5,121.72,232897.0,122.2133450415836,1778
2024-05-08,121.35,122.0,120.89,121.48,243796.0,121.4803272527325,1896
2024-05-09,121.84,123.21,121.29,122.99,275381.0,122.70659065651142,1589
2024-05-10,123.35,124.15,122.66,123.3,235865.0,123.39850464411852,1753
2024-05-13,123.89,124.27,122.78,123.03,207999.0,123.20570824304554,1584
2024-05-14,124.05,124.89,123.52,124.62,196388.0,124.50439262996863,1510
2024-05-15,125.58,126.23,125.13,125.21,145087.0,125.61419526355625,1152
2024-05-16,124.83,125.34,122.64,122.71,209135.0,123.55998386329132,1621
2024-05-17,123.31,123.56,121.37,121.77,191186.0,121.97259420572595,1439
2024-05-20,121.96,121.96,120.43,120.61,292692.0,121.02818543904866,2355
2024-05-21,120.38,121.5,119.09,120.91,260077.0,120.75513875935646,2130
2024-05-22,120.59,121.0,119.63,120.44,231565.0,120.38128990042306,1740
2024-05-23,120.78,120.82,117.83,118.97,174653.0,118.73126587905733,1357
2024-05-24,119.65,120.96,119.16,119.98,145253.0,120.23840525800348,1191
2024-05-28,119.81,120.25,117.24,117.85,182862.0,118.39264884976163,1456
2024-05-29,116.74,117.23,115.98,116.84,154935.0,116.72207292777391,1113
2024-05-30,117.35,118.63,117.29,117.88,263659.0,117.9444216838153,2177
2024-05-31,117.96,119.4,117.21,119.22,255186.0,118.47094180451208,1965
2024-06-03,119.9,119.9,116.22,117.93,244110.0,117.63810049835416,1800
2024-06-04,114.93,116.56,113.49,115.13,347419.0,115.69545655860863,2636
2024-06-05,115.27,116.0,114.76,115.74,245950.0,115.46547100402918,1882
2024-06-06,115.64,116.48,113.89,115.01,207626.0,114.65024561269011,1408
2024-06-07,114.0,115.03,113.04,114.43,130173.0,114.46136385935463,991
2024-06-10,114.13,115.54,113.9,114.98,150899.0,114.89882574402277,1257
2024-06-11,114.65,115.35,113.25,114.81,199261.0,114.70211469521227,1582
2024-06-12,117.09,119.77,116.47,117.43,168169.0,117.917997811587,1303
2024-06-13,117.1,117.39,115.27,116.62,183606.0,116.33632674585054,1389
2024-06-14,114.96,115.29,113.0,114.34,146960.0,114.27380710938637,1047
2024-06-17,114.01,115.18,113.45,114.21,334556.0,114.13427505203624,2471
2024-06-18,114.19,114.74,113.74,114.58,447823.0,114.15687531484647,2987
2024-06-20,113.65,115.14,113.01,113.74,315907.0,113.84341949586981,2385
2024-06-21,113.55,114.58,111.61,114.21,302601.0,113.79527110988282,1923
2024-06-24,115.05,117.97,114.52,116.33,352490.0,116.7902972422996,2711
2024-06-25,115.56,116.25,113.13,114.11,392201.0,114.38091270270448,3022
2024-06-26,112.88,113.13,111.65,112.66,285557.0,112.59942242118491,2138
2024-06-27,113.52,114.37,112.59,114.3,177849.0,113.70683529888626,1351
2024-06-28,114.66,116.51,114.62,116.1,478659.0,115.92067843416677,3311
2024-07-01,116.48,116.74,113.36,113.73,239224.0,113.86208927819133,1745
2024-07-02,113.82,114.47,113.33,114.09,170347.0,113.78741014890535,1300
2024-07-03,114.29,114.94,113.37,113.68,102186.0,113.956420809921,659
2024-07-05,113.53,113.53,111.3,112.95,261198.0,112.48445586688939,1838
2024-07-08,113.49,114.18,112.5,113.04,177715.0,113.05732339812266,1210
2024-07-09,112.68,113.36,112.05,112.68,95041.0,112.76843308220059,703
2024-07-10,112.68,115.17,112.31,114.97,387288.0,114.0075170562746,2906
2024-07-11,116.42,119.67,116.19,117.75,358698.0,118.53150009880967,2847
2024-07-12,118.3,121.63,118.3,120.79,269273.0,120.88389267131814,2055
2024-07-15,120.99,122.58,120.14,120.59,165047.0,121.18555704882861,1346
2024-07-16,121.52,126.06,120.67,125.8,293999.0,124.7514854722343,1812
2024-07-17,125.34,126.69,123.84,124.71,293349.0,125.33712706505595,1810
2024-07-18,124.1,127.87,123.95,125.2,432739.0,125.67907886757598,2950
2024-07-19,125.75,125.75,121.9,121.94,264703.0,122.82063693214276,1893
2024-07-22,122.49,124.59,120.91,124.47,288464.0,123.22154594199384,2264
2024-07-23,123.78,125.43,123.17,124.97,343706.0,124.91853089300557,2868
2024-07-24,128.07,129.5,122.44,125.64,839995.0,126.1320667439028,5644
2024-07-25,126.79,131.63,125.14,130.57,676322.0,130.11560871923663,5045
2024-07-26,131.82,135.13,131.11,134.39,503674.0,133.67269356154267,3315
2024-07-29,134.27,136.27,134.05,135.27,375876.0,135.2871384222909,2748
2024-07-30,136.55,138.65,135.61,136.92,514729.0,137.17573429712846,3214
2024-07-31,139.3,139.53,134.21,134.43,447935.0,136.1302264871247,3325
2024-08-01,134.23,136.78,129.65,129.99,604593.0,130.98522752736937,4232
2024-08-02,127.82,128.29,125.6,127.29,595384.0,127.13139140816381,3523
2024-08-05,124.74,128.02,123.7,125.53,507207.0,125.40885833397527,2975
2024-08-06,124.74,127.45,124.67,125.37,255101.0,126.16645844817913,1969
2024-08-07,126.16,128.73,124.26,124.32,423442.0,125.99646516704131,3229
2024-08-08,125.05,127.61,125.05,127.21,320319.0,126.99873769166898,2557
2024-08-09,127.14,128.29,126.12,126.65,256759.0,126.8926147184731,1752
2024-08-12,126.45,127.63,125.6,126.52,245956.0,126.68528187269227,2125
2024-08-13,127.15,128.45,126.49,127.83,150452.0,127.51166539544899,1169
2024-08-14,128.22,129.16,127.42,128.81,155894.0,128.44810237189034,1073
2024-08-15,130.54,131.64,129.0,130.64,166470.0,130.16670496559016,1232
2024-08-16,130.28,130.81,128.85,128.99,130206.0,129.38257410808734,847
2024-08-19,129.72,130.73,129.4,130.54,160886.0,130.2738105589082,1115
2024-08-20,130.7,131.0,129.19,129.91,147771.0,129.95151115883183,1176
2024-08-21,130.57,132.37,129.94,132.17,259622.0,131.7654279043835,1907
2024-08-22,131.9,133.16,131.73,132.66,260835.0,132.64487291373823,1552
2024-08-23,133.79,135.58,132.85,134.62,244808.0,134.47352896112264,1668
2024-08-26,135.41,136.2,134.56,135.32,195048.0,135.53574131320352,1286
2024-08-27,134.62,135.1,133.6,134.83,209599.0,134.48433778246664,1544
2024-08-28,134.83,136.13,134.08,134.26,240084.0,134.72311447215733,1809
2024-08-29,135.46,136.51,133.89,134.92,139689.0,135.6644645492096,893
2024-08-30,135.59,137.04,133.81,136.43,253171.0,135.74995249983965,1516
2024-09-03,136.29,137.35,133.5,134.62,175078.0,134.37624956902647,1181
2024-09-04,134.72,135.45,134.36,134.96,311888.0,134.9137427758611,1788
2024-09-05,135.11,135.11,132.0,133.33,211035.0,133.39068158647595,1479
2024-09-06,133.88,135.04,131.65,132.16,215197.0,132.69007343935877,1819
2024-09-09,132.96,133.63,131.64,132.22,277197.0,132.49354941492194,2132
2024-09-10,133.15,133.84,132.04,133.79,397217.0,133.09098244920983,3126
2024-09-11,133.43,134.76,131.15,134.71,332037.0,133.34253320048893,1987
2024-09-12,134.36,136.83,133.77,136.7,313498.0,135.4315835802521,1804
2024-09-13,137.36,139.47,136.89,138.72,243692.0,138.63492517857185,1718
2024-09-16,139.32,140.65,137.95,140.24,203927.0,139.5841362166016,1387
2024-09-17,140.89,141.98,140.01,140.88,156400.0,141.07477094195474,1177
2024-09-18,141.35,143.87,139.78,140.93,230611.0,141.42261846520785,1618
2024-09-19,143.84,143.84,140.56,141.25,460378.0,141.37290976598157,3286
2024-09-20,140.73,140.77,138.06,138.42,365178.0,139.34981790766355,2181
2024-09-23,139.26,140.87,139.26,140.64,464768.0,140.21544882949746,2725
2024-09-24,140.77,141.99,140.69,141.81,217935.0,141.4971347046502,1258
2024-09-25,142.1,142.79,140.93,141.37,246117.0,141.67459890274827,1485
2024-09-26,142.52,143.01,141.12,141.68,181441.0,141.8284012077666,1155
2024-09-27,142.94,144.4,141.44,141.74,342121.0,142.4702300575546,2027
2024-09-30,141.43,144.1,140.99,143.69,340286.0,143.3595228724683,2568
