date,open,high,low,close,volume,average,barCount
2023-12-13,57.85,60.26,57.6,59.89,85985.0,59.009,568
2023-12-14,60.67,61.75,60.67,60.96,101353.0,61.25,804
2023-12-15,61.44,61.49,60.39,60.77,167858.0,61.221,591
2023-12-18,60.82,61.3,60.21,60.6,56966.0,60.789,484
2023-12-19,61.19,61.97,60.68,61.7,65411.0,61.45,575
2023-12-20,61.83,62.32,60.51,60.58,57173.0,61.444,450
2023-12-21,61.03,61.99,60.63,61.61,46507.0,61.429,375
2023-12-22,62.19,62.61,61.93,62.23,52232.0,62.272,381
2023-12-26,62.13,62.82,61.8,62.49,51724.0,62.395,398
2023-12-27,62.66,62.93,62.24,62.72,72028.0,62.615,609
2023-12-28,62.6,63.34,62.5,63.2,44842.0,62.985,380
2023-12-29,64.67,67.02,63.85,64.62,311497.0,65.851,1763
2024-01-02,64.02,64.28,62.62,63.41,154155.0,63.392,1098
2024-01-03,63.42,63.68,61.11,61.15,119794.0,62.243,1032
2024-01-04,61.67,61.94,61.01,61.8,241354.0,61.515,742
2024-01-05,61.25,62.24,61.19,61.19,77484.0,61.505,621
2024-01-08,61.56,62.65,61.48,62.0,106945.0,62.194,590
2024-01-09,61.16,61.82,60.3,60.36,107196.0,60.907,685
2024-01-10,60.09,61.32,59.69,61.3,56300.0,60.702,423
2024-01-11,61.38,62.01,60.77,61.94,47677.0,61.426,372
2024-01-12,62.8,63.3,62.14,62.71,49402.0,62.644,343
2024-01-16,62.12,62.63,61.74,62.41,59584.0,62.285,487
2024-01-17,61.67,62.05,60.96,61.15,96522.0,61.533,789
2024-01-18,61.56,62.46,60.18,60.49,99184.0,60.618,751
2024-01-19,60.87,61.68,60.0,61.58,93791.0,61.005,543
2024-01-22,61.96,63.23,61.68,62.53,57497.0,62.737,495
2024-01-23,63.26,63.99,62.39,63.02,46661.0,62.969,367
2024-01-24,63.7,63.81,62.15,62.24,66022.0,62.852,505
2024-01-25,63.02,63.2,61.86,62.39,67036.0,62.366,527
2024-01-26,62.88,63.04,61.57,61.87,34450.0,62.169,288
2024-01-29,61.74,63.03,61.34,62.9,72586.0,62.322,609
2024-01-30,62.59,62.73,61.71,62.37,64870.0,62.168,554
2024-01-31,62.2,62.27,60.75,60.82,154022.0,61.425,1157
2024-02-01,61.12,61.92,60.7,61.87,39198.0,61.417,343
2024-02-02,61.14,62.58,61.13,62.35,39588.0,61.986,304
2024-02-05,61.69,62.18,60.96,61.57,56551.0,61.535,471
2024-02-06,61.42,62.81,61.42,62.66,87332.0,62.303,662
2024-02-07,62.75,64.19,62.43,63.35,65551.0,63.485,569
2024-02-08,63.26,64.71,62.84,64.58,55207.0,64.223,477
2024-02-09,65.0,66.4,64.92,66.36,68064.0,66.062,580
