date,open,high,low,close,volume,average,barCount
2020-12-14,84.72,86.69,84.58,84.75,4072305.0,85.4382282787201,22092
2020-12-15,86.08,86.77,84.22,84.72,3871720.0,85.02261027909036,25154
2020-12-16,84.58,85.47,83.59,84.8,2537916.0,84.73435908579883,16224
2020-12-17,85.3,85.46,83.44,83.79,2825389.0,84.04676986060501,18046
2020-12-18,83.98,84.42,81.72,82.44,5469055.0,83.2672467000092,30398
2020-12-21,80.93,82.87,80.25,82.75,3045225.0,81.9322893463598,18468
2020-12-22,82.91,82.94,81.92,82.01,2605766.0,82.42356131366405,16771
2020-12-23,82.57,82.84,80.4,80.47,2885749.0,81.33471876624708,17803
2020-12-24,81.15,81.77,80.63,81.72,896085.0,81.35674460493715,5663
2020-12-28,82.56,83.07,80.98,81.28,2010727.0,81.52816308865543,13067
2020-12-29,81.49,81.54,79.99,80.7,1880188.0,80.57626379918091,11935
2020-12-30,81.74,83.86,81.55,83.3,4747665.0,83.20499976458086,27052
2020-12-31,83.31,83.37,81.56,82.64,3823998.0,82.32109328149733,23104
2021-01-04,83.53,85.52,82.5,83.19,5024542.0,83.8025703446936,32638
2021-01-05,82.58,85.82,82.58,85.81,4639260.0,84.9833468275126,28564
2021-01-06,84.41,88.01,84.41,86.98,6378975.0,87.04611450309422,40522
2021-01-07,88.2,91.03,88.09,90.55,5995640.0,90.1364354358249,34217
2021-01-08,92.21,93.66,90.85,91.51,6054600.0,92.22601717589872,37193
2021-01-11,90.61,94.14,90.19,93.81,5305761.0,92.9873450784463,28793
2021-01-12,94.26,96.6,94.04,95.77,4760325.0,95.45423901173235,29937
2021-01-13,95.86,96.24,93.81,93.9,3351579.0,94.78197210910545,22017
2021-01-14,98.47,102.08,98.35,101.32,8673808.0,100.99804684550293,44339
2021-01-15,100.74,100.95,96.87,98.77,5721079.0,98.70735962173724,33511
2021-01-19,100.49,104.94,99.97,104.59,6241788.0,102.61838245696251,39104
2021-01-20,105.45,106.18,100.71,103.27,7143482.0,102.93823594054852,37862
2021-01-21,104.35,104.65,101.77,103.4,4469242.0,102.945897101832,25431
2021-01-22,103.25,105.11,101.75,101.83,4116495.0,102.96026177923856,24873
2021-01-25,102.95,105.44,102.47,103.54,6040466.0,104.00217971379419,31851
2021-01-26,104.38,104.38,100.81,101.06,3846959.0,102.03709184457716,19568
2021-01-27,97.71,99.65,93.93,94.4,6137579.0,96.40518065604633,41118
2021-01-28,96.71,98.97,95.74,96.87,4620505.0,97.41070807450534,29232
2021-01-29,95.98,96.21,92.0,92.59,5195166.0,93.60981443273037,33051
2021-02-01,94.91,97.82,93.54,96.92,5698183.0,96.18971049494802,35535
2021-02-02,98.63,99.54,97.46,99.2,3197804.0,98.58861162184304,18422
2021-02-03,99.65,99.99,95.59,95.64,3435388.0,96.74322939768065,22668
2021-02-04,95.97,99.34,95.78,98.87,4204164.0,98.25439346085044,25762
2021-02-05,100.69,100.74,96.43,96.44,3755225.0,97.3350541068308,22091
2021-02-08,97.54,101.75,97.45,101.69,4438863.0,100.15914968495994,26042
2021-02-09,102.13,102.81,100.34,100.92,3109946.0,101.49793761925103,16883
2021-02-10,102.33,103.62,100.58,101.4,3507796.0,102.10221171548685,20872
2021-02-11,102.78,109.46,102.75,108.21,9263865.0,107.16336638839714,49395
2021-02-12,108.24,112.83,106.96,111.76,5964643.0,110.80720622386045,32426
2021-02-16,113.54,116.01,112.71,113.34,6245229.0,114.1091667370477,33678
2021-02-17,111.53,112.1,107.34,110.81,4905147.0,109.96352083751532,27672
2021-02-18,109.17,110.73,107.68,108.63,5613301.0,108.82966896755775,31883
2021-02-19,116.46,119.23,113.86,114.4,16751271.0,116.47550792848786,78733
2021-02-22,113.0,114.79,109.77,110.35,5322388.0,111.96308393250808,29423
2021-02-23,108.15,112.81,105.99,111.22,7003134.0,109.7155120550107,38884
2021-02-24,110.38,118.03,109.78,117.83,7125023.0,114.58478494006795,40222
2021-02-25,116.26,116.31,108.99,109.31,7532227.0,112.30126386293767,42301
2021-02-26,111.82,115.38,108.84,113.4,6267639.0,112.87886037068239,33528
2021-03-01,116.63,117.51,114.62,117.29,4552084.0,116.47684526111877,23461
2021-03-02,116.93,116.97,112.48,112.74,4033912.0,114.22882430157412,22866
2021-03-03,113.49,114.99,110.43,110.76,4937121.0,112.62460277175825,26332
2021-03-04,110.34,111.77,102.79,103.85,8493651.0,106.06571618215213,47059
2021-03-05,107.08,109.7,101.37,108.85,6129963.0,106.27104118656634,35616
2021-03-08,108.24,109.49,101.22,101.4,8336852.0,104.3530753743044,44225
2021-03-09,105.79,110.29,104.97,109.59,7871037.0,108.21970980322668,43860
2021-03-10,111.13,111.78,108.02,108.11,6380483.0,109.60421438906656,35961
