date,open,high,low,close,volume,average,barCount
2023-12-13,8.47,8.75,8.44,8.75,5503275.0,8.59638614260407,17508
2023-12-14,8.82,8.97,8.71,8.73,15913675.0,8.817451477235121,29929
2023-12-15,8.7,8.75,8.56,8.63,10470600.0,8.65210179604767,25680
2023-12-18,8.69,8.75,8.65,8.7,4650353.0,8.714107926492963,15148
2023-12-19,8.75,8.82,8.72,8.75,3622461.0,8.759938544648179,12531
2023-12-20,8.76,8.8,8.64,8.64,5177628.0,8.721297043066329,16119
2023-12-21,8.7,8.73,8.61,8.73,4141085.0,8.676365064482784,11641
2023-12-22,8.73,8.79,8.68,8.7,4716531.0,8.718601124351318,13050
2023-12-26,8.68,8.73,8.64,8.7,3575632.0,8.691641937201188,10389
2023-12-27,8.81,8.81,8.69,8.73,5774789.0,8.746458951073114,15209
2023-12-28,8.73,8.76,8.68,8.73,3835057.0,8.719499763922983,11218
2023-12-29,8.7,8.74,8.64,8.66,3970597.0,8.674567785339441,11889
2024-01-02,8.66,8.92,8.64,8.76,8140311.0,8.79228956922833,21949
2024-01-03,8.67,8.7,8.57,8.63,4885276.0,8.637723562900932,17036
2024-01-04,8.59,8.69,8.54,8.66,5668968.0,8.645811319045972,18426
2024-01-05,8.61,8.75,8.57,8.75,8253933.0,8.706918809919596,23948
2024-01-08,8.69,8.82,8.68,8.82,6354220.0,8.776114056938258,20010
2024-01-09,8.75,8.79,8.72,8.78,4557731.0,8.759938544648183,14909
2024-01-10,8.73,8.79,8.71,8.77,4259441.0,8.740168474071421,12469
2024-01-11,8.77,8.89,8.68,8.84,9632420.0,8.793188208800004,26404
2024-01-12,8.91,8.91,8.74,8.76,4002226.0,8.783303173511623,12425
2024-01-16,8.67,8.67,8.52,8.61,5461841.0,8.594588863460729,18041
2024-01-17,8.54,8.6,8.48,8.5,4275729.0,8.545163687018826,12230
2024-01-18,8.5,8.52,8.43,8.49,3348098.0,8.466982044283457,12340
2024-01-19,8.49,8.54,8.41,8.51,4941495.0,8.488549394003554,13386
2024-01-22,8.51,8.54,8.45,8.5,5344227.0,8.496637150148592,21087
2024-01-23,8.56,8.59,8.48,8.51,4287867.0,8.516407220725352,11837
2024-01-24,8.49,8.52,8.36,8.37,5935008.0,8.404975913838156,15608
2024-01-25,8.48,8.54,8.45,8.51,4656260.0,8.484954835716866,18058
