date,open,high,low,close,volume,average,barCount
2020-12-14,92.21,95.41,91.85,94.78,40344103.0,93.886,157739
2020-12-15,95.9,97.98,95.45,97.12,48989718.0,96.962,185051
2020-12-16,97.05,97.27,95.46,96.85,30407471.0,96.445,113070
2020-12-17,97.57,97.92,96.25,96.84,27021244.0,96.864,104157
2020-12-18,97.27,97.68,93.63,95.92,37975116.0,96.326,154780
2020-12-21,94.26,95.28,91.08,93.23,40257544.0,92.804,171963
2020-12-22,93.37,93.55,90.53,93.16,30393044.0,92.22,123769
2020-12-23,93.08,93.13,91.46,91.55,22483550.0,92.043,95918
2020-12-24,91.8,92.51,91.31,91.81,14629342.0,91.906,59476
2020-12-28,92.95,93.14,90.82,91.6,25484848.0,92.004,106885
2020-12-29,91.7,92.46,89.43,90.62,27681198.0,90.638,120005
2020-12-30,90.78,92.85,90.19,92.29,22590276.0,91.751,93091
2020-12-31,92.08,92.3,90.87,91.71,21088603.0,91.432,91468
2021-01-04,92.12,96.06,90.91,92.3,44955796.0,93.131,188924
2021-01-05,92.19,93.21,91.41,92.77,29137255.0,92.26,124318
2021-01-06,91.65,92.28,89.46,90.33,41834128.0,90.986,180118
2021-01-07,91.34,95.51,91.2,95.16,35991587.0,94.193,159749
2021-01-08,96.0,96.4,93.27,94.58,34547517.0,94.401,153848
2021-01-11,94.1,99.23,93.76,97.25,41382862.0,97.693,170100
2021-01-12,97.88,98.97,94.07,95.36,58624554.0,96.063,216892
2021-01-13,93.01,93.89,90.84,91.78,50900382.0,91.963,212273
2021-01-14,91.77,92.36,90.45,90.79,44974688.0,91.089,186307
2021-01-15,90.74,91.59,87.86,88.21,38604612.0,89.342,156333
2021-01-19,89.5,89.58,87.24,89.45,35297694.0,88.537,136966
2021-01-20,90.55,90.78,88.6,88.75,28519835.0,89.406,119488
2021-01-21,89.35,92.07,88.43,91.53,43067271.0,90.586,168956
2021-01-22,94.42,95.95,91.88,92.79,60549583.0,93.462,232844
2021-01-25,94.14,95.74,91.4,94.13,44751338.0,93.931,181559
2021-01-26,94.81,95.72,93.63,94.71,38685956.0,94.887,156749
2021-01-27,91.1,91.88,86.22,88.84,55899296.0,89.427,245315
2021-01-28,89.83,89.88,87.3,87.52,35925215.0,88.252,184018
2021-01-29,87.56,88.33,85.02,85.64,41916562.0,86.504,200732
2021-02-01,86.82,87.95,84.66,87.66,33692855.0,86.323,155500
2021-02-02,88.45,89.28,86.95,88.86,27922422.0,88.13,127550
2021-02-03,88.66,89.48,87.34,87.89,26373667.0,88.084,118232
2021-02-04,88.2,88.6,87.06,87.84,24739206.0,87.776,105137
2021-02-05,88.15,88.36,86.87,87.9,23586553.0,87.793,101735
2021-02-08,88.28,91.99,87.98,91.47,38307034.0,90.589,162522
2021-02-09,91.5,92.41,90.55,90.91,30727474.0,91.409,127585
2021-02-10,91.61,93.27,90.46,92.35,37005697.0,92.135,163482
2021-02-11,92.87,93.65,91.33,92.66,30944759.0,92.365,129509
2021-02-12,92.86,94.22,91.9,93.77,31891374.0,93.32,127752
2021-02-16,93.9,94.0,90.74,91.46,28709527.0,92.048,130537
2021-02-17,90.84,90.96,88.57,89.94,27471078.0,89.731,124667
2021-02-18,89.04,89.6,87.31,88.64,27698787.0,88.258,119570
2021-02-19,89.69,90.42,88.69,89.58,24398800.0,89.569,111354
2021-02-22,88.21,88.3,85.21,85.37,31026696.0,86.919,138793
2021-02-23,83.55,85.11,79.4,84.74,42105162.0,82.856,197245
2021-02-24,84.41,87.09,82.81,86.94,34781678.0,84.982,166102
2021-02-25,86.31,87.09,81.92,82.42,46694533.0,83.924,228153
2021-02-26,83.56,85.59,82.91,84.51,37835635.0,84.504,195905
2021-03-01,85.34,86.5,83.97,86.39,27142002.0,85.397,128492
2021-03-02,86.92,86.95,84.04,84.13,28286723.0,85.616,129756
2021-03-03,84.29,84.38,80.85,80.86,37031932.0,82.391,179095
2021-03-04,80.26,81.81,76.78,77.75,48777839.0,78.842,251803
2021-03-05,79.0,79.48,74.2,78.52,47412670.0,77.107,256083
2021-03-08,78.09,79.0,73.86,73.96,44477008.0,76.239,218928
2021-03-09,76.73,79.22,75.77,78.53,35133450.0,77.814,174806
2021-03-10,79.8,80.04,77.41,77.52,38378541.0,78.427,186514
2021-03-11,79.4,81.89,79.37,81.23,36169604.0,80.869,179592
2021-03-12,79.75,81.19,79.23,81.05,26550537.0,80.501,122536
2021-03-15,81.9,83.39,81.2,82.5,32100903.0,82.392,152719
2021-03-16,83.66,84.75,82.25,82.75,35429657.0,83.716,162320
2021-03-17,81.74,83.25,80.41,82.63,37569685.0,81.731,173652
2021-03-18,81.14,81.62,78.01,78.12,42313897.0,79.596,189060
2021-03-19,78.41,79.34,77.59,79.06,30194934.0,78.607,144019
2021-03-22,79.96,81.27,79.22,80.3,29602705.0,80.436,143684
2021-03-23,80.13,80.34,77.95,78.38,33316041.0,78.771,166823
2021-03-24,77.56,78.8,76.4,76.48,34408986.0,77.644,173624
2021-03-25,75.96,76.95,74.97,76.22,35547106.0,76.072,179182
2021-03-26,76.62,77.5,75.03,77.41,39527285.0,76.531,189042
2021-03-29,77.0,78.02,76.26,77.14,31287343.0,77.106,157980
2021-03-30,76.52,76.56,74.85,76.0,33389768.0,75.627,166048
2021-03-31,76.49,79.13,76.49,78.5,32384376.0,78.199,159578
2021-04-01,80.11,81.31,79.48,81.09,33225924.0,80.576,163844
2021-04-05,81.73,81.9,80.39,81.43,27626757.0,81.09,129398
2021-04-06,81.21,82.46,80.88,81.44,25154814.0,81.705,122901
2021-04-07,81.32,83.1,80.35,82.2,30929111.0,81.983,145621
2021-04-08,83.3,83.79,82.43,83.35,33147682.0,83.172,166174
2021-04-09,82.8,83.59,82.16,82.76,27648471.0,83.02,142714
2021-04-12,82.1,82.18,78.03,78.58,53309853.0,79.824,236734
