date,open,high,low,close,volume,average,barCount
2023-12-13,159.71,159.99,157.55,159.41,647464.0,159.1725849272051,4877
2023-12-14,160.62,162.43,159.93,161.95,742799.0,161.74396042012535,5350
2023-12-15,161.06,162.43,160.29,161.02,580664.0,161.11024715085284,2720
2023-12-18,161.29,161.48,160.0,161.14,225890.0,161.07372473502247,1685
2023-12-19,161.86,162.04,160.68,161.28,291374.0,161.3728137079033,2281
2023-12-20,160.6,162.35,159.63,159.73,263365.0,160.90493194834696,1945
2023-12-21,160.54,161.68,159.98,161.58,216434.0,160.82991293204682,1673
2023-12-22,162.27,162.91,161.46,162.08,185008.0,162.14471990193928,1340
2023-12-26,162.37,163.13,162.2,162.77,230277.0,162.7369752937827,1641
2023-12-27,162.57,162.98,161.98,162.42,276496.0,162.4724345520926,2184
2023-12-28,162.46,163.28,162.14,162.99,206746.0,162.82383941791971,1479
2023-12-29,162.79,163.38,162.09,162.76,172720.0,162.7122979857892,1391
2024-01-02,161.65,162.46,159.86,160.77,301154.0,160.80128725477434,2260
2024-01-03,160.48,160.48,157.96,158.53,381763.0,158.78465764554744,2843
2024-01-04,159.06,159.72,158.28,158.41,236631.0,158.93173440118858,1791
2024-01-05,157.92,158.86,157.22,158.67,195813.0,158.36316922501885,1626
2024-01-08,158.77,159.97,157.87,159.79,203449.0,159.06499186435337,1621
2024-01-09,159.32,161.09,158.04,160.9,422350.0,160.16658689318214,2804
2024-01-10,161.09,161.73,160.02,161.57,259054.0,160.96119621057213,2062
2024-01-11,162.87,163.35,160.75,161.81,330389.0,161.7005283580567,2532
2024-01-12,162.79,162.87,160.68,161.33,382599.0,161.30273015320182,2859
2024-01-16,161.1,161.66,159.36,161.5,507679.0,161.1980983673095,3276
2024-01-17,160.55,161.35,157.92,158.0,527411.0,158.87448304664366,3574
2024-01-18,158.23,160.36,157.93,160.21,562721.0,159.62269902500591,3790
2024-01-19,160.49,160.82,159.39,159.94,740840.0,160.114271000236,4878
2024-01-22,160.68,161.83,160.2,161.05,610852.0,160.88519010195228,4451
2024-01-23,161.53,163.13,160.33,162.99,486487.0,162.1457069942591,3668
2024-01-24,164.21,164.5,160.4,160.64,364866.0,161.81206979018728,2733
2024-01-25,161.94,162.4,161.04,162.0,281018.0,161.62550934175658,2107
2024-01-26,162.53,162.84,161.21,161.41,176070.0,161.76370226652006,1236
2024-01-29,160.67,163.24,160.61,163.2,362533.0,162.12497805554457,2565
2024-01-30,163.01,164.49,162.39,163.73,390601.0,163.87805401540118,2766
2024-01-31,163.62,163.62,159.84,159.96,427179.0,161.47941967843522,3289
2024-02-01,161.4,163.76,160.26,163.73,645624.0,162.8455554489541,4882
2024-02-02,163.22,166.36,162.53,165.28,749687.0,165.02110692165905,5708
2024-02-05,163.95,165.42,162.65,164.83,752734.0,164.3163230053654,5425
2024-02-06,165.79,165.79,161.68,163.94,903911.0,163.16142499127065,5553
2024-02-07,164.52,166.46,163.98,164.58,510479.0,165.02011982933928,3888
2024-02-08,165.44,165.66,163.41,164.15,386787.0,164.20675575787428,3216
2024-02-09,164.26,166.43,164.26,166.33,469142.0,165.5610464205562,2886
2024-02-12,166.62,167.11,165.47,166.25,482365.0,166.17501784343395,3355
2024-02-13,164.29,165.96,162.5,165.87,1257396.0,164.48215451508148,6789
2024-02-14,166.61,171.55,166.33,171.17,1318026.0,169.87957531941476,6864
2024-02-15,171.96,172.69,169.14,171.5,896484.0,171.10554398053065,6990
2024-02-16,171.41,172.74,171.08,171.65,479925.0,171.94555954462865,3362
2024-02-20,171.65,173.11,170.28,172.55,686440.0,172.182461701366,4986
2024-02-21,172.49,173.39,171.0,172.54,405813.0,172.14791347017513,2917
2024-02-22,174.12,176.36,173.99,175.91,446657.0,175.32240237045596,3273
2024-02-23,176.48,176.92,174.74,175.9,413984.0,175.73303277546745,3130
2024-02-26,175.98,177.8,175.48,176.58,645747.0,176.9155693745149,4077
2024-02-27,176.97,177.22,174.41,175.48,331090.0,175.45072437202208,2502
2024-02-28,175.7,177.35,175.02,176.41,248025.0,176.47532619991128,1913
2024-02-29,176.5,178.41,175.94,177.85,407814.0,177.26006459410382,2855
2024-03-01,177.79,179.07,177.22,178.35,478324.0,178.35080160741552,3494
2024-03-04,178.78,179.82,178.35,178.76,456241.0,178.98451487668802,3536
2024-03-05,178.34,178.52,176.11,177.13,272718.0,177.5048634893991,2031
2024-03-06,177.84,178.94,177.26,178.03,443613.0,178.185207990895,3350
2024-03-07,179.31,180.14,178.66,179.51,228857.0,179.3013680032218,1608
2024-03-08,179.72,180.64,179.03,179.38,302817.0,179.76898862840392,2158
2024-03-11,178.74,179.25,176.89,178.8,289236.0,178.16840132994773,2151
2024-03-12,178.85,180.28,178.28,179.76,287186.0,179.3498107318348,1982
2024-03-13,179.75,180.15,178.61,179.47,235393.0,179.47734362961177,1837
2024-03-14,180.0,180.31,178.75,179.55,205708.0,179.50205930747555,1497
2024-03-15,178.29,180.89,178.29,179.46,465444.0,179.2558911559526,2252
2024-03-18,180.26,181.62,179.93,180.01,215494.0,180.50551582874363,1544
2024-03-19,179.73,180.74,179.37,179.86,365005.0,179.91332818712831,2692
2024-03-20,180.2,182.12,179.34,182.11,570370.0,180.7892518106195,3809
2024-03-21,182.46,184.21,180.65,182.81,523144.0,182.66665470114972,3270
2024-03-22,182.93,183.72,180.68,181.07,327592.0,181.36957592686028,2571
2024-03-25,181.07,181.29,180.33,180.68,263832.0,180.81199023425415,2035
2024-03-26,179.93,181.17,179.47,179.6,272907.0,180.21387082995147,1999
2024-03-27,180.1,182.12,179.71,181.63,299843.0,181.23017950370874,2279
2024-03-28,181.42,181.8,180.48,180.82,475592.0,181.04827211463152,3097
2024-04-01,180.91,180.92,178.26,178.41,319648.0,179.08782454647914,2342
2024-04-02,178.67,179.46,177.75,178.32,424506.0,178.3404224478794,3058
2024-04-03,178.33,180.42,178.33,179.05,299616.0,179.3814467995004,1916
2024-04-04,180.29,180.77,176.96,177.3,396297.0,178.59944275189144,2912
2024-04-05,178.59,180.58,177.75,180.15,314264.0,180.01416815281226,2420
2024-04-08,180.29,180.91,178.69,178.86,266263.0,179.49513891767361,1931
2024-04-09,179.14,179.5,176.78,179.12,429243.0,178.61031765015147,2982
2024-04-10,176.92,179.62,176.02,177.71,659026.0,178.4501600575944,5112
2024-04-11,177.92,179.29,176.55,178.45,401395.0,178.35624048171215,3209
2024-04-12,176.6,178.06,176.09,177.67,380660.0,177.1392405037012,2755
2024-04-15,180.27,180.73,176.52,177.0,435825.0,177.81842733139692,3159
2024-04-16,176.8,178.49,175.98,177.05,429225.0,177.33202279103833,3274
2024-04-17,177.41,177.98,175.22,176.03,427195.0,176.08338674536185,3084
2024-04-18,177.17,177.56,174.7,175.25,265285.0,176.16247691452583,1984
2024-04-19,176.11,176.7,174.76,175.68,372902.0,175.56139162887953,2365
2024-04-22,176.49,177.29,175.2,175.84,259760.0,176.2395898294607,1963
2024-04-23,177.06,178.36,176.55,177.8,263939.0,177.70473521322359,2034
2024-04-24,178.63,179.08,175.03,176.19,364241.0,176.32065725285383,2832
2024-04-25,175.12,176.75,174.36,175.91,520173.0,175.47933557837183,4053
2024-04-26,176.13,176.97,175.43,175.49,273255.0,176.05669381326896,2184
2024-04-29,175.79,176.43,174.86,175.67,347904.0,175.66717473013625,2693
2024-04-30,175.67,176.05,172.4,172.67,413285.0,173.5782056370924,3003
2024-05-01,172.24,174.22,171.59,172.0,622348.0,172.57178323448065,4117
2024-05-02,168.07,169.18,160.12,161.48,1451105.0,162.58071761483973,10909
2024-05-03,161.84,164.98,160.93,164.67,1045868.0,162.716159529533,6285
2024-05-06,165.1,167.31,165.02,166.14,728279.0,166.36023907376386,5423
2024-05-07,166.3,167.98,166.3,167.65,445450.0,167.26186700223334,2458
2024-05-08,167.27,167.91,166.39,167.22,446208.0,167.304377968159,3346
2024-05-09,167.35,169.32,166.94,167.97,727452.0,168.13976787995364,4373
2024-05-10,169.07,169.62,168.45,168.86,686762.0,168.8921131141261,4237
2024-05-13,169.31,169.61,167.87,168.17,459648.0,168.47392384467148,2710
2024-05-14,168.07,169.01,166.39,166.61,903455.0,166.78732598724932,5478
2024-05-15,167.6,169.04,167.29,167.7,637748.0,168.0547459481023,4263
2024-05-16,167.28,168.15,165.91,166.0,480759.0,166.60838447951588,3302
2024-05-17,166.42,166.42,164.38,164.9,1027566.0,165.12346655346195,6291
2024-05-20,165.18,167.62,164.76,166.68,416898.0,166.8090757837695,3008
2024-05-21,166.23,167.46,165.46,167.21,669925.0,166.41362493794955,3121
2024-05-22,169.35,172.49,168.61,172.15,923502.0,171.18177351142356,6051
2024-05-23,173.39,174.06,170.66,170.76,877885.0,171.60688317068,6103
2024-05-24,171.31,171.89,170.7,171.68,571744.0,171.41607813757184,4234
2024-05-28,171.72,172.44,166.3,166.4,602506.0,167.59800022118026,4449
2024-05-29,165.25,166.67,164.3,164.81,716687.0,165.05920579101615,4423
2024-05-30,164.74,166.33,164.35,165.78,551376.0,165.74036987294102,3871
2024-05-31,166.03,168.04,164.19,167.65,537000.0,166.22281990484137,3626
2024-06-03,168.07,168.32,162.96,164.32,734620.0,164.1803162861813,5226
2024-06-04,163.92,165.04,162.64,164.97,464275.0,163.8965803043055,3354
2024-06-05,165.68,166.79,165.09,166.73,344918.0,166.06266231228423,2429
2024-06-06,166.8,167.26,165.58,166.77,653381.0,166.5322601916954,4626
2024-06-07,166.87,168.56,166.31,168.07,552404.0,168.04980281252946,3638
2024-06-10,167.85,171.45,167.85,171.03,898368.0,170.87925361437118,6535
2024-06-11,170.29,170.67,169.37,170.57,719676.0,170.02903429585834,4617
2024-06-12,172.23,174.06,171.21,171.73,613873.0,172.17040062597334,4470
2024-06-13,172.29,172.87,170.57,171.94,374137.0,171.4409757811265,2416
2024-06-14,170.14,170.37,162.93,165.39,1215055.0,164.72430465515825,5443
2024-06-17,164.61,167.38,164.17,166.87,996615.0,166.25023568937866,4366
2024-06-18,166.7,169.42,165.94,169.23,961452.0,167.7949809284337,5007
2024-06-20,168.77,169.08,166.65,166.87,577122.0,167.64743795367778,3927
2024-06-21,167.43,168.09,164.72,167.02,614223.0,167.16420995581956,3372
2024-06-24,167.91,170.32,167.14,169.78,569250.0,169.77938442783525,3766
2024-06-25,169.29,169.56,166.05,167.07,286891.0,167.31472359449677,1945
2024-06-26,166.36,166.36,164.78,164.95,288754.0,165.38379204567798,2277
2024-06-27,164.94,166.31,164.28,164.84,574387.0,165.0263221538197,3256
2024-06-28,165.18,166.24,164.06,165.08,605198.0,165.0391950308118,3848
2024-07-01,166.42,166.45,163.58,163.95,448146.0,164.36485432068588,3261
2024-07-02,163.74,164.88,163.11,164.48,362965.0,163.9875800026859,2303
2024-07-03,164.99,165.86,164.49,164.67,253598.0,165.11544207145752,1725
2024-07-05,164.77,165.2,162.79,164.03,360075.0,163.80240861826076,2638
2024-07-08,164.92,165.85,162.78,162.89,1196708.0,163.44295828378827,5167
2024-07-09,163.4,163.99,162.29,162.53,871277.0,162.77752956542605,5357
2024-07-10,162.53,164.55,162.33,164.25,399311.0,163.6924940531741,2865
2024-07-11,164.84,169.1,164.45,167.66,595927.0,167.87716929692195,3743
2024-07-12,168.96,170.45,167.41,167.86,426227.0,168.8693710466227,3070
2024-07-15,167.94,171.28,167.47,170.43,775468.0,170.428969605284,4071
2024-07-16,171.34,175.31,170.82,174.29,944483.0,173.7283870004964,4725
2024-07-17,174.08,175.64,173.18,173.32,554120.0,174.16111371169328,3574
2024-07-18,172.45,173.8,169.89,170.05,522616.0,171.52217392830758,4236
2024-07-19,171.33,171.33,167.47,167.51,356340.0,168.69014099003994,2502
2024-07-22,169.16,171.42,167.85,171.28,401765.0,170.15170763929964,2533
2024-07-23,170.48,171.73,170.03,170.19,328922.0,170.7874297184492,2405
2024-07-24,169.47,169.56,165.25,165.32,451463.0,167.14737619359892,3015
2024-07-25,165.65,169.93,164.93,166.87,356076.0,167.77715694490598,2430
2024-07-26,168.95,172.33,168.26,170.59,393937.0,171.10925164325224,3110
2024-07-29,170.49,171.53,169.88,170.22,467204.0,170.74584042355147,2518
2024-07-30,171.04,172.86,169.29,170.66,409735.0,170.6626618337562,3202
2024-07-31,172.84,174.25,171.43,171.78,461255.0,172.64805555446472,3156
2024-08-01,163.39,165.37,155.01,157.57,3329526.0,157.69175293222915,15813
2024-08-02,156.11,156.11,148.99,151.25,2785675.0,151.34245391119003,12172
2024-08-05,149.03,155.12,147.57,153.18,1947939.0,152.63370249563093,12046
2024-08-06,153.69,158.05,153.6,155.44,939827.0,156.2074111929063,6036
2024-08-07,156.75,158.68,154.71,155.3,1375404.0,156.63122591233935,8375
2024-08-08,156.16,157.76,154.56,157.3,905743.0,156.67380542854403,6521
2024-08-09,157.27,159.32,155.44,157.96,630300.0,157.51747398218183,4176
2024-08-12,159.21,160.98,158.38,159.19,1430079.0,159.69695107907938,8771
2024-08-13,159.06,160.59,157.32,159.73,724160.0,159.11470095051246,4973
2024-08-14,159.58,161.37,159.2,159.9,467489.0,160.09303960191397,3072
2024-08-15,162.23,164.69,160.87,161.55,378533.0,161.88633038904777,2249
2024-08-16,160.91,161.94,160.16,161.1,580450.0,161.22882344114228,3373
2024-08-19,161.36,163.2,161.13,163.06,496502.0,162.55571999263827,3117
2024-08-20,163.23,164.24,162.78,163.25,591604.0,163.40136898889017,3650
2024-08-21,163.28,165.19,163.04,164.27,360167.0,164.07769014163028,2399
2024-08-22,164.33,165.73,163.35,163.6,553076.0,164.2093895754728,3539
2024-08-23,164.3,166.27,163.89,165.75,469287.0,165.1996108825594,3069
