date,open,high,low,close,volume,average,barCount
2023-12-13,257.87,264.96,256.93,264.74,980129.0,261.1488555346057,7034
2023-12-14,264.24,265.79,257.65,259.76,1114625.0,261.0247661854386,8743
2023-12-15,259.96,262.53,256.94,258.94,2110552.0,259.3363989801047,5921
2023-12-18,260.4,260.49,257.91,258.97,830934.0,259.1747067978568,6496
2023-12-19,261.99,263.76,260.01,261.75,785756.0,261.88117070885716,5123
2023-12-20,261.57,262.09,258.53,258.69,759888.0,260.0828152167614,5160
2023-12-21,260.37,263.05,259.84,262.59,609724.0,261.9432153834406,4013
2023-12-22,263.22,268.56,263.22,267.13,725103.0,267.0440396908692,4732
2023-12-26,266.69,267.66,264.79,266.89,454535.0,266.3258255790234,3051
2023-12-27,266.95,270.07,266.37,269.36,743692.0,268.84615546627316,4938
2023-12-28,270.63,271.72,270.39,271.17,490479.0,271.06002226391314,3218
2023-12-29,270.61,271.2,269.23,270.76,469913.0,270.21113830711124,3301
2024-01-02,270.43,282.63,270.06,279.57,1445678.0,279.178473926087,9183
2024-01-03,282.07,285.08,279.24,282.67,1085350.0,282.8137278141863,6637
2024-01-04,283.43,286.81,280.7,285.0,1139312.0,284.94298823739416,7668
2024-01-05,284.09,285.34,281.8,284.84,684127.0,283.79610182842566,4774
2024-01-08,283.4,292.41,282.34,292.25,1277729.0,288.45509284715354,8143
2024-01-09,289.61,291.39,287.61,288.85,1333854.0,289.439347003047,7806
2024-01-10,288.75,289.2,286.04,286.32,995121.0,287.0797692272184,6664
2024-01-11,285.28,286.35,282.02,284.94,808847.0,283.9427528774413,5485
2024-01-12,286.99,288.55,285.22,288.14,555008.0,286.9312380365484,3849
2024-01-16,287.85,289.54,283.13,285.29,706164.0,285.6085583829265,4183
2024-01-17,284.79,286.37,283.06,285.86,689838.0,285.0379353909234,4968
2024-01-18,283.87,287.33,281.6,286.24,755423.0,285.0821187197935,5333
2024-01-19,286.33,290.57,283.06,289.36,1105986.0,287.7490996560587,6207
2024-01-22,290.2,293.45,288.23,291.57,967027.0,290.69058127381476,6468
2024-01-23,290.98,292.64,290.58,291.34,814690.0,291.3599117026555,5465
2024-01-24,291.35,293.73,286.95,287.19,807550.0,289.07365945133466,5267
2024-01-25,289.95,291.72,287.38,291.67,742997.0,289.7298288885969,4974
2024-01-26,291.96,293.32,291.29,293.09,858947.0,292.51713889072107,5966
2024-01-29,292.78,294.82,291.32,294.67,793191.0,293.62830260826263,5887
2024-01-30,293.64,296.05,291.91,295.77,850319.0,294.29199261214114,6207
2024-01-31,296.61,297.66,293.88,295.43,860309.0,295.3326510176561,6427
2024-02-01,295.65,305.35,294.89,305.11,1179829.0,301.8755439737387,8513
2024-02-02,304.65,306.26,301.53,303.82,943503.0,303.7124423697423,6981
2024-02-05,304.23,309.96,298.67,302.67,1607771.0,303.4379416882515,10036
