date,open,high,low,close,volume,average,barCount
2023-12-13,68.82,69.7,67.28,69.67,764403.0,68.171,4765
2023-12-14,70.63,73.22,70.06,71.33,756383.0,71.446,3351
2023-12-15,71.91,72.31,68.79,70.11,416079.0,70.282,2463
2023-12-18,70.7,70.96,69.0,69.54,201420.0,69.483,1368
2023-12-19,69.75,71.72,69.73,71.26,272150.0,71.155,1909
2023-12-20,71.05,72.32,70.56,70.68,381259.0,71.511,2173
2023-12-21,71.26,73.39,70.68,73.12,217729.0,72.522,1590
2023-12-22,73.34,74.91,73.24,74.79,266259.0,74.232,1648
2023-12-26,74.79,75.93,74.4,75.71,219384.0,75.411,1503
2023-12-27,75.97,76.65,75.13,75.2,229155.0,75.823,1624
2023-12-28,75.17,75.66,74.44,75.12,106451.0,75.018,825
2023-12-29,74.8,75.56,74.42,74.88,115618.0,75.059,925
2024-01-02,74.69,78.05,74.42,77.44,229552.0,77.284,1730
2024-01-03,77.4,77.4,75.55,75.82,232797.0,76.292,1322
2024-01-04,75.89,76.0,74.35,74.45,182355.0,75.101,1406
2024-01-05,73.83,75.66,72.95,74.14,382389.0,74.19,2602
2024-01-08,73.95,75.5,73.26,75.17,387599.0,74.824,2383
2024-01-09,75.4,78.6,74.74,78.5,598339.0,77.39,3839
2024-01-10,77.83,80.22,77.66,78.41,728524.0,78.966,5164
2024-01-11,76.82,77.38,74.72,76.44,269828.0,75.95,2205
2024-01-12,76.84,77.57,75.75,77.06,264463.0,76.982,1883
2024-01-16,76.69,76.69,74.74,74.77,159674.0,75.545,1166
2024-01-17,73.97,74.77,73.24,73.34,240883.0,73.685,1387
2024-01-18,73.7,74.49,72.9,73.25,320382.0,73.676,2045
2024-01-19,73.13,74.28,71.32,74.19,291974.0,72.919,1980
2024-01-22,74.68,75.8,73.76,75.53,246544.0,74.858,1481
2024-01-23,76.51,76.77,72.78,73.07,167001.0,73.753,1320
2024-01-24,73.73,75.96,72.9,75.17,387095.0,74.624,2047
2024-01-25,76.61,76.84,73.59,75.15,221076.0,75.306,1308
2024-01-26,75.74,76.83,73.56,73.86,195928.0,74.651,881
2024-01-29,73.82,76.38,73.12,76.11,282485.0,75.666,1467
2024-01-30,76.04,76.75,75.02,75.07,184080.0,75.743,892
2024-01-31,75.22,76.62,73.9,74.01,197931.0,75.335,1028
2024-02-01,74.31,76.8,73.43,75.99,262924.0,75.528,1665
2024-02-02,75.28,77.06,74.12,76.59,191199.0,76.198,1531
2024-02-05,75.65,75.65,73.25,73.73,119618.0,74.023,949
2024-02-06,73.56,76.39,73.56,74.78,183106.0,75.119,1397
2024-02-07,74.94,74.95,73.13,74.16,231532.0,73.846,1031
2024-02-08,74.0,75.73,73.54,74.96,314933.0,74.879,1511
2024-02-09,74.66,75.8,73.37,75.73,219380.0,74.835,1373
2024-02-12,75.68,79.74,75.68,79.13,226743.0,78.909,1715
2024-02-13,77.36,78.48,75.89,76.42,217769.0,77.042,1778
2024-02-14,77.32,78.09,75.95,77.95,184078.0,77.368,1437
2024-02-15,77.9,79.49,77.02,77.63,631156.0,78.509,4347
2024-02-16,67.05,67.05,61.18,61.69,2375914.0,63.854,12501
2024-02-20,61.71,61.74,56.87,58.11,1335769.0,58.494,8072
2024-02-21,58.11,60.99,56.26,59.16,1023878.0,58.595,6266
2024-02-22,58.06,58.82,55.8,57.16,716445.0,57.036,5055
2024-02-23,56.68,56.68,54.69,54.85,594485.0,55.463,4363
2024-02-26,54.73,58.09,53.77,55.83,712079.0,56.226,5030
2024-02-27,55.97,57.59,54.79,54.89,589813.0,55.915,3594
2024-02-28,58.01,58.2,55.59,55.87,508223.0,56.905,3533
2024-02-29,57.03,57.14,55.86,56.27,423290.0,56.448,2707
2024-03-01,56.65,57.17,55.16,56.81,346186.0,56.496,2370
2024-03-04,57.45,58.47,55.79,57.93,390721.0,57.612,2715
2024-03-05,57.88,58.97,56.72,56.8,420230.0,57.666,2857
2024-03-06,56.56,58.31,56.04,58.29,323545.0,57.338,2129
2024-03-07,58.71,60.53,58.42,60.35,534330.0,59.439,3916
2024-03-08,60.74,61.64,59.84,60.89,647303.0,60.823,4401
2024-03-11,60.53,61.49,59.18,59.39,386095.0,60.271,2474
2024-03-12,59.16,59.34,58.27,59.1,236267.0,58.884,1837
2024-03-13,59.1,60.03,59.05,59.42,353091.0,59.618,2330
2024-03-14,59.47,59.59,57.14,57.33,585394.0,58.032,3989
2024-03-15,57.13,59.02,56.8,58.72,895528.0,58.091,5111
2024-03-18,59.61,63.05,59.41,62.87,589011.0,62.204,3715
2024-03-19,62.28,66.06,62.28,65.39,864135.0,65.188,6214
