date,open,high,low,close,volume,average,barCount
2020-12-14,180.25,180.25,176.8,176.9,373792.0,177.77753885753668,3006
2020-12-15,178.84,178.9,175.65,176.69,354860.0,177.17179797667828,2817
2020-12-16,178.06,178.46,174.92,175.74,381224.0,176.00662667985904,3030
2020-12-17,176.17,176.71,174.28,176.03,318926.0,175.5601937982478,2691
2020-12-18,174.17,176.28,171.93,173.15,623233.0,173.59107283080928,4153
2020-12-21,172.78,173.91,169.34,172.98,315893.0,172.5194486730828,2521
2020-12-22,173.42,173.87,170.83,171.4,267010.0,172.4027463015412,2286
2020-12-23,171.93,175.69,171.93,174.63,225172.0,174.51913454735356,1848
2020-12-24,175.04,175.87,173.15,175.7,116834.0,174.69789294185767,974
2020-12-28,177.05,178.82,175.91,175.96,198022.0,177.24959955770578,1576
2020-12-29,176.88,177.24,174.91,175.12,231352.0,175.63336433278562,1862
2020-12-30,174.9,178.3,174.9,177.23,184489.0,177.30517211558274,1460
2020-12-31,177.1,180.3,177.03,179.99,184271.0,179.17148385094907,1381
2021-01-04,180.89,181.44,172.09,174.23,270269.0,175.2878882646509,2152
2021-01-05,174.23,175.84,172.01,173.21,293203.0,173.5197547148672,2379
2021-01-06,177.15,185.19,176.75,183.15,374713.0,182.25761323171352,2968
2021-01-07,185.24,187.26,184.69,185.36,227637.0,185.9216972143978,1844
2021-01-08,185.94,186.76,183.87,186.68,266933.0,185.69940698289017,2177
2021-01-11,184.52,187.06,184.42,186.71,318112.0,186.2329035385085,2282
2021-01-12,187.18,190.94,186.47,189.46,443807.0,189.86179156787088,3298
2021-01-13,189.47,189.74,186.63,188.09,221547.0,188.13904227368664,1849
2021-01-14,188.92,191.98,187.58,191.68,356343.0,190.82690165633323,2750
2021-01-15,189.53,193.14,188.42,192.91,362134.0,191.2649986542629,2616
2021-01-19,194.13,197.96,193.83,197.27,374254.0,196.79076332582383,2997
2021-01-20,197.97,198.66,195.79,197.43,257650.0,197.50672311313804,2076
2021-01-21,197.65,198.67,196.3,196.3,304670.0,197.435404997196,2569
2021-01-22,194.87,196.77,194.5,196.16,217812.0,195.80620284210457,1802
2021-01-25,194.81,197.72,193.89,196.0,326941.0,195.65523072653897,2688
2021-01-26,197.5,197.66,194.82,195.68,317697.0,196.3471090721065,2527
2021-01-27,191.98,194.47,186.22,186.59,486847.0,189.90902824206637,4070
2021-01-28,189.38,193.96,184.59,191.41,413231.0,190.95286612085437,3322
2021-01-29,189.85,189.85,183.21,183.27,433535.0,185.1575745435905,3541
2021-02-01,185.08,186.22,182.25,186.02,299041.0,184.85377789386337,2420
2021-02-02,188.6,190.98,187.78,189.96,239432.0,189.91088066066234,1902
2021-02-03,189.27,190.15,186.21,186.96,423166.0,187.86303190289817,2951
2021-02-04,187.53,193.98,187.34,193.86,220313.0,192.41349818371927,1810
2021-02-05,195.14,197.55,194.4,195.49,234659.0,195.49407030869608,1819
2021-02-08,195.72,197.75,195.37,197.57,202810.0,196.76853430267326,1644
2021-02-09,197.13,199.55,195.86,198.82,302922.0,198.19674904010986,2231
2021-02-10,199.35,201.68,197.96,199.18,423817.0,199.79837044721728,2846
2021-02-11,200.1,200.95,198.2,199.82,267475.0,199.53684085525344,2021
2021-02-12,199.17,203.2,198.98,202.97,199375.0,201.90922138876235,1568
2021-02-16,204.52,206.03,203.5,204.93,239411.0,204.96288185578575,1942
2021-02-17,203.97,204.57,201.31,203.26,210834.0,202.87157583036614,1781
2021-02-18,200.8,202.24,198.05,199.36,277108.0,199.51171167737786,2376
2021-02-19,200.8,209.13,199.46,208.94,599340.0,206.83547096265903,4280
2021-02-22,207.98,212.14,206.75,210.23,385942.0,210.25676199489865,3299
2021-02-23,212.16,212.16,207.37,210.81,387255.0,209.32419028262873,2921
2021-02-24,210.57,216.68,209.61,216.02,387240.0,214.07918916285513,3111
2021-02-25,217.31,217.7,207.65,208.42,303162.0,211.57278634734328,2569
2021-02-26,208.57,210.61,205.11,205.91,386454.0,206.93412625357766,3180
2021-03-01,209.39,214.74,209.39,213.21,314921.0,213.01166445829054,2499
2021-03-02,212.45,213.2,210.15,210.15,381197.0,211.37919860667242,2578
2021-03-03,211.04,212.44,207.9,208.19,435499.0,210.15810670397966,3435
2021-03-04,206.53,208.73,198.59,202.19,555802.0,203.0484107857864,4641
2021-03-05,205.93,207.83,199.08,206.9,596625.0,205.87777007251344,4079
2021-03-08,209.41,214.06,207.99,208.54,543297.0,211.11394617354173,3722
2021-03-09,208.16,211.31,205.97,208.01,528684.0,209.0980276817487,4055
2021-03-10,210.11,212.66,208.92,210.01,786665.0,210.43452766061054,6185
2021-03-11,209.35,213.45,206.85,210.84,616317.0,211.54579574888422,4582
2021-03-12,213.3,213.52,208.98,209.87,455339.0,210.38054646369272,3359
2021-03-15,210.46,212.37,206.46,212.32,504735.0,209.0440464848309,4307
2021-03-16,210.6,211.85,205.13,205.8,547849.0,206.46132542540087,4218
2021-03-17,206.39,209.91,205.04,209.87,552062.0,207.70010082363567,4430
2021-03-18,211.28,220.06,210.03,211.18,1108289.0,215.56367207809492,7692
2021-03-19,209.58,214.38,206.52,212.6,697777.0,212.3331766556511,5148
2021-03-22,212.59,214.14,210.17,213.3,412336.0,212.4467233112368,3358
2021-03-23,212.01,213.28,205.52,206.22,433102.0,209.02543227899722,3195
2021-03-24,208.11,212.56,207.06,207.06,323305.0,209.89471569143245,2534
2021-03-25,207.11,212.57,203.99,211.91,346151.0,209.08778986854023,2762
2021-03-26,213.61,216.54,210.84,216.46,320741.0,213.85023443110003,2677
2021-03-29,213.92,215.63,210.44,213.39,306027.0,213.00142664508192,2465
2021-03-30,214.47,217.66,214.43,216.67,188478.0,216.243090591026,1468
2021-03-31,216.42,218.87,215.64,216.34,273702.0,217.0360557595429,2360
2021-04-01,217.83,219.23,216.57,219.1,233923.0,218.356733663446,1897
2021-04-05,221.93,223.85,219.61,221.77,242864.0,222.1428631300267,1993
2021-04-06,221.78,223.04,219.4,220.05,174180.0,220.72725277637156,1411
2021-04-07,220.68,222.36,218.86,221.59,201000.0,220.82218522612354,1567
2021-04-08,221.2,221.7,218.45,220.63,174015.0,219.94638684164647,1475
2021-04-09,222.74,224.47,221.42,224.11,229294.0,222.99074020575304,1725
2021-04-12,225.0,229.32,224.17,228.65,315925.0,227.37903923105486,2722
2021-04-13,227.5,228.07,224.29,226.43,310064.0,226.12444175786146,2664
2021-04-14,226.09,231.4,225.06,229.82,303520.0,229.79144030710626,2388
2021-04-15,230.85,232.0,227.81,230.37,281394.0,229.67417081035373,2310
2021-04-16,231.73,231.95,229.2,231.53,288183.0,230.84314293671196,2211
2021-04-19,231.47,232.37,228.98,229.62,186192.0,230.20095283544825,1563
2021-04-20,228.04,228.63,223.71,225.59,255982.0,225.24678195280092,1954
2021-04-21,224.25,230.44,223.77,230.19,228546.0,228.45028677678593,1925
2021-04-22,230.39,230.39,225.4,226.07,229167.0,227.58193407464242,1767
2021-04-23,226.95,232.68,225.84,231.88,196931.0,231.02183931271574,1651
2021-04-26,232.33,233.85,230.04,230.35,242768.0,231.20705066076135,2023
2021-04-27,233.6,241.65,233.6,238.76,438297.0,237.80671733911038,3400
2021-04-28,238.64,239.86,237.11,238.84,288338.0,238.89844051125863,2201
2021-04-29,241.98,243.7,239.69,242.77,326507.0,241.86926776232198,2465
2021-04-30,241.71,242.72,238.51,240.5,366673.0,240.7207712623809,3210
2021-05-03,243.13,243.6,239.13,239.98,259460.0,241.36668420481135,1928
2021-05-04,238.29,240.48,234.61,239.69,404859.0,238.59968250762736,3215
2021-05-05,241.95,244.68,239.36,243.15,255606.0,243.05499267393068,1887
2021-05-06,243.19,245.47,240.55,245.34,240317.0,243.28539799038535,2036
2021-05-07,242.77,249.02,241.96,248.31,224244.0,247.4271300623525,1825
2021-05-10,249.08,251.71,246.82,246.86,181021.0,249.61623782866874,1468
2021-05-11,243.11,244.62,238.37,241.3,298972.0,241.65244697938866,2409
2021-05-12,242.08,244.38,233.31,234.46,411227.0,237.04802987568513,3328
2021-05-13,233.31,239.34,233.31,237.34,381300.0,237.6490530583244,2676
2021-05-14,238.32,243.23,236.47,241.47,293509.0,241.28229895399951,2241
2021-05-17,240.0,241.75,237.48,240.36,252749.0,239.76712231471743,1967
2021-05-18,240.61,242.14,236.01,236.28,321983.0,238.81277601693395,2681
2021-05-19,232.03,235.93,231.16,235.79,329655.0,233.8326025844264,2745
2021-05-20,236.14,238.58,234.35,236.24,198083.0,236.67133882964515,1614
2021-05-21,236.84,240.12,236.84,237.67,366759.0,238.52394839106222,2857
2021-05-24,239.11,239.74,236.96,238.08,246897.0,238.25661926161456,2094
2021-05-25,239.47,242.07,236.94,236.95,386247.0,238.79034280327414,2979
2021-05-26,238.33,240.59,235.82,239.04,288639.0,238.8342745133582,2418
2021-05-27,241.76,243.92,240.07,243.31,447454.0,242.0403546322584,3648
2021-05-28,244.25,244.43,240.12,242.88,273674.0,242.65165970449186,2224
2021-06-01,245.98,246.57,243.41,245.16,273702.0,245.18848228253722,1991
2021-06-02,245.16,245.89,242.21,245.54,251954.0,245.00901657325755,1789
2021-06-03,244.74,249.06,243.93,246.6,240262.0,246.96724918232349,1915
2021-06-04,246.44,248.23,244.31,248.08,183422.0,246.897145389636,1361
2021-06-07,249.4,249.4,247.1,247.57,219597.0,247.82625432205202,1900
2021-06-08,246.33,247.77,243.32,246.68,237450.0,246.43446035789967,2050
2021-06-09,245.14,246.01,243.32,243.7,253598.0,244.72486253356476,2042
2021-06-10,246.12,247.13,240.08,240.52,233706.0,242.11980559730372,1768
2021-06-11,241.27,242.16,240.47,241.68,314581.0,241.21967289919846,2384
2021-06-14,241.4,241.62,236.74,238.0,435840.0,238.39589212975304,3494
2021-06-15,237.43,240.12,235.68,238.28,409617.0,237.63596701702244,3203
2021-06-16,237.56,238.57,232.98,237.05,547259.0,236.22173983921013,4768
2021-06-17,238.03,238.03,227.56,228.97,449724.0,230.76112174748542,3642
2021-06-18,224.59,225.0,220.92,221.21,530170.0,222.74405201576292,3562
2021-06-21,223.65,226.46,223.15,225.59,311603.0,225.6323282744807,2435
2021-06-22,225.67,228.76,223.51,227.11,512353.0,227.2353683339309,4267
2021-06-23,227.13,228.53,225.58,227.2,272227.0,227.1428313275836,2305
2021-06-24,229.34,229.94,226.58,229.42,265512.0,228.59164304312168,2169
2021-06-25,230.65,233.58,230.02,232.41,385376.0,232.47352372352782,3182
2021-06-28,231.6,232.12,229.42,230.47,264196.0,230.4769677077928,2318
2021-06-29,232.51,233.95,231.16,231.99,258378.0,232.56045242646013,2181
2021-06-30,231.12,233.47,230.93,232.63,228629.0,232.472589006292,1796
2021-07-01,234.03,235.74,232.79,234.6,234507.0,234.78040586155876,1917
2021-07-02,234.18,235.22,233.74,234.54,152558.0,234.5074684286961,1252
2021-07-06,233.7,234.3,229.94,231.05,174966.0,231.19669997938263,1536
2021-07-07,229.05,232.87,229.05,232.68,277868.0,231.31260491662567,2132
2021-07-08,229.07,230.71,224.72,225.58,334451.0,226.91476032204073,2621
2021-07-09,229.5,232.8,228.26,232.7,243466.0,231.75659560364528,2061
2021-07-12,230.62,235.71,230.54,235.22,237867.0,234.5915929799207,1890
2021-07-13,235.15,235.53,232.41,233.31,198691.0,233.44749908326352,1665
2021-07-14,232.99,234.91,229.04,230.73,195691.0,230.97610671172637,1657
2021-07-15,228.85,234.46,228.71,232.61,207620.0,232.471654289056,1711
2021-07-16,233.33,233.79,230.56,230.67,261864.0,232.33425085538886,1931
2021-07-19,226.15,226.42,221.1,222.57,215251.0,222.93753848357974,1795
2021-07-20,222.36,231.22,222.36,229.77,190618.0,229.4487787483785,1653
2021-07-21,232.24,236.28,231.53,234.73,230274.0,235.06269046677951,1979
2021-07-22,233.81,234.17,230.59,230.76,249754.0,231.4219668332177,2272
2021-07-23,232.0,234.32,231.66,232.64,160521.0,232.9249921484339,1332
2021-07-26,233.2,235.96,232.3,234.75,176661.0,234.58504995926967,1540
2021-07-27,225.96,235.84,225.96,233.26,326434.0,233.32224697366203,2815
2021-07-28,235.13,237.67,232.63,235.6,276413.0,235.89739295837643,2277
2021-07-29,238.18,243.07,236.75,242.29,302424.0,241.5543016696257,2572
2021-07-30,241.63,244.82,240.55,240.75,205948.0,241.74685342020686,1778
2021-08-02,242.67,245.97,241.04,241.55,216175.0,242.65352913896294,1840
2021-08-03,242.14,243.53,237.99,242.9,203317.0,241.9188413915998,1700
2021-08-04,240.53,243.05,238.62,238.88,146644.0,240.41768551085525,1179
2021-08-05,240.83,244.62,239.75,244.61,192742.0,243.331302522071,1684
2021-08-06,247.25,250.12,246.38,249.33,198069.0,248.65601123537257,1690
2021-08-09,248.71,250.69,246.46,249.35,161259.0,249.61637389646341,1307
2021-08-10,249.83,253.83,248.24,251.99,187141.0,251.91636267424704,1553
2021-08-11,252.01,256.23,251.33,254.71,250766.0,254.91198071094402,2055
2021-08-12,253.28,256.45,253.1,256.1,177711.0,255.23491791076344,1496
2021-08-13,256.11,256.84,253.89,255.51,136357.0,255.17859165498112,1076
2021-08-16,254.26,255.73,252.01,254.65,156354.0,254.37688128101078,1386
2021-08-17,252.5,254.28,249.42,252.28,192312.0,251.86942412776173,1670
2021-08-18,251.06,252.76,247.52,247.85,233360.0,250.73163376095613,1985
2021-08-19,244.15,248.23,242.83,244.42,234028.0,244.8746419305104,2013
2021-08-20,244.65,247.53,243.82,245.58,229897.0,245.84345352996857,1854
2021-08-23,246.97,250.02,245.96,248.79,252232.0,248.95172407823048,2016
2021-08-24,249.31,252.28,249.05,251.72,134671.0,251.15877453397295,1050
2021-08-25,252.74,257.43,252.04,255.98,139415.0,255.92397577316888,1041
2021-08-26,256.6,256.6,253.46,253.49,186324.0,254.75520596568288,1340
2021-08-27,254.28,259.65,253.97,259.5,377198.0,258.2502501369844,2798
2021-08-30,260.63,260.93,256.01,256.08,158873.0,257.32837708401166,1199
2021-08-31,256.26,257.69,254.81,256.2,216262.0,256.26099453693405,1637
2021-09-01,255.77,256.44,252.14,255.61,222821.0,255.14667344337116,1724
2021-09-02,256.84,257.82,255.62,257.17,144839.0,256.9312769807454,1116
