date,open,high,low,close,volume,average,barCount
2023-12-13,59.14,62.15,58.64,61.73,433712.0,60.907,2637
2023-12-14,62.46,62.72,57.24,58.16,448180.0,59.208,2566
2023-12-15,58.39,58.7,54.06,56.6,370175.0,56.734,1967
2023-12-18,57.33,58.1,56.68,58.06,162075.0,57.667,1150
2023-12-19,58.25,60.49,58.24,60.46,204251.0,59.573,1438
2023-12-20,60.54,60.72,58.53,58.53,133808.0,59.767,928
2023-12-21,59.35,59.97,58.62,59.96,91687.0,59.423,630
2023-12-22,60.42,61.47,59.94,60.92,169146.0,60.811,1165
2023-12-26,61.0,63.5,61.0,62.51,362856.0,62.645,2421
2023-12-27,62.96,63.67,61.62,62.93,165122.0,62.623,965
2023-12-28,63.1,63.15,62.1,62.17,186253.0,62.746,1276
2023-12-29,62.2,62.87,60.85,61.85,212482.0,61.584,1425
2024-01-02,61.78,62.41,60.07,62.29,181528.0,61.511,1157
2024-01-03,62.26,63.15,60.86,61.04,245784.0,61.996,1503
2024-01-04,61.66,64.42,61.5,63.45,246967.0,63.506,1449
2024-01-05,63.45,65.93,62.45,62.74,366200.0,63.852,1984
2024-01-08,63.31,63.96,56.42,59.45,604411.0,58.962,3647
2024-01-09,58.64,58.64,56.07,56.82,369532.0,57.204,2197
2024-01-10,56.97,57.25,53.58,54.82,760352.0,54.564,4387
2024-01-11,54.6,54.64,52.33,54.03,411373.0,53.421,3104
2024-01-12,54.28,54.8,53.53,54.21,264552.0,54.11,1726
2024-01-16,54.07,55.77,53.81,55.5,238493.0,55.132,1421
2024-01-17,55.02,56.37,54.91,56.14,179762.0,55.708,1045
2024-01-18,56.44,56.45,55.3,56.43,132395.0,55.864,873
2024-01-19,56.7,56.88,54.11,55.04,222399.0,55.03,1508
2024-01-22,55.52,56.57,55.23,55.92,113367.0,55.788,762
2024-01-23,56.19,56.77,55.25,55.45,81099.0,55.847,543
2024-01-24,56.02,56.13,55.0,55.22,92388.0,55.482,680
2024-01-25,55.59,55.86,52.92,53.24,206080.0,53.747,1030
2024-01-26,54.09,54.6,53.4,53.88,334328.0,54.082,1521
2024-01-29,54.49,55.56,53.82,55.39,694161.0,54.955,4273
2024-01-30,55.4,55.51,54.15,54.94,220793.0,54.698,1234
2024-01-31,55.14,55.28,53.32,53.36,150869.0,54.371,1003
2024-02-01,53.56,53.68,52.01,53.49,190974.0,53.19,1534
2024-02-02,53.14,53.41,52.25,52.8,205573.0,52.872,1290
2024-02-05,52.55,53.04,52.06,52.35,185323.0,52.43,1324
2024-02-06,52.24,52.72,51.25,52.49,367616.0,52.303,2182
2024-02-07,52.4,53.45,52.13,52.96,180518.0,52.857,1046
2024-02-08,53.09,54.72,52.79,54.6,173159.0,53.959,1303
2024-02-09,55.07,56.12,54.7,55.61,193192.0,55.533,1221
2024-02-12,55.91,56.45,55.38,56.02,175824.0,55.998,1158
2024-02-13,54.86,55.85,54.27,54.75,203367.0,54.929,1305
2024-02-14,55.24,55.88,54.8,54.93,101402.0,55.232,770
2024-02-15,55.0,55.61,54.04,55.51,180195.0,55.053,1180
2024-02-16,55.22,55.58,53.67,54.06,203646.0,54.707,1429
2024-02-20,53.59,53.59,51.7,52.45,251022.0,52.546,1540
2024-02-21,52.16,52.82,51.08,51.25,257516.0,51.608,1766
2024-02-22,51.34,52.38,51.26,51.91,211967.0,51.923,1452
2024-02-23,52.3,53.55,51.91,53.41,149030.0,52.963,1028
2024-02-26,53.41,55.69,53.39,55.09,195935.0,54.921,1253
2024-02-27,55.85,56.38,55.05,55.44,243923.0,55.796,1553
2024-02-28,55.95,55.95,53.96,54.74,199633.0,54.686,1016
2024-02-29,49.81,50.35,44.57,46.57,1179270.0,47.06,7507
2024-03-01,47.48,47.48,45.17,46.22,557956.0,45.822,3534
2024-03-04,46.47,46.96,45.48,46.68,336033.0,46.304,2178
2024-03-05,47.36,47.81,46.43,47.33,273203.0,47.218,1636
2024-03-06,48.0,48.0,45.77,46.31,236906.0,46.455,1608
2024-03-07,45.08,47.07,45.0,46.76,234471.0,46.327,1322
2024-03-08,46.53,47.05,45.42,45.67,225762.0,45.919,1453
2024-03-11,45.46,45.58,43.75,43.81,325839.0,44.191,2176
2024-03-12,43.82,44.24,43.17,44.15,279377.0,43.766,1896
2024-03-13,44.01,44.32,43.25,43.55,194697.0,43.797,1364
2024-03-14,43.37,43.52,42.95,43.19,166273.0,43.215,1176
2024-03-15,43.33,43.76,42.8,43.05,216223.0,43.119,1154
2024-03-18,43.05,43.4,42.16,42.85,167116.0,42.997,1127
2024-03-19,42.78,44.68,42.75,44.57,221652.0,44.124,1422
2024-03-20,44.61,44.89,44.0,44.03,170775.0,44.387,1029
2024-03-21,44.22,44.63,43.7,44.53,131118.0,44.118,891
2024-03-22,44.45,44.47,43.45,43.7,164937.0,43.788,1107
2024-03-25,44.04,44.32,43.61,43.63,167787.0,43.891,860
2024-03-26,43.98,43.98,42.83,43.21,176793.0,43.308,1393
2024-03-27,43.54,43.87,43.04,43.52,213172.0,43.441,1766
2024-03-28,43.76,44.83,43.76,43.91,189796.0,44.277,1153
2024-04-01,43.97,43.97,43.11,43.44,161572.0,43.501,1132
2024-04-02,43.11,43.15,42.07,42.32,197512.0,42.426,1533
2024-04-03,42.2,42.4,41.57,41.94,130683.0,41.966,852
2024-04-04,42.39,42.47,41.29,41.52,160345.0,41.742,1009
2024-04-05,41.34,42.01,41.01,41.79,161150.0,41.65,1313
2024-04-08,41.96,42.16,41.01,41.05,112400.0,41.637,787
2024-04-09,41.17,41.23,40.68,40.9,152981.0,40.93,1015
2024-04-10,40.08,40.5,39.64,40.05,215708.0,39.952,1650
2024-04-11,40.35,40.49,39.81,40.15,239419.0,40.092,1229
2024-04-12,40.01,40.18,38.95,39.62,235351.0,39.415,1622
2024-04-15,39.8,40.9,39.31,40.78,221473.0,40.349,1619
2024-04-16,40.58,41.43,40.41,40.9,141973.0,40.993,1120
2024-04-17,41.23,41.65,39.82,40.05,271781.0,40.32,1582
2024-04-18,40.02,40.02,38.43,38.65,167213.0,39.041,1141
2024-04-19,38.52,40.06,38.48,40.01,190441.0,39.379,1341
2024-04-22,40.31,40.75,39.93,40.17,198261.0,40.303,1151
2024-04-23,40.29,41.08,40.29,40.91,111974.0,40.824,662
2024-04-24,40.7,41.2,40.43,41.0,119304.0,40.86,887
2024-04-25,40.84,41.07,40.39,40.83,111898.0,40.782,711
2024-04-26,40.77,41.42,40.5,41.11,93299.0,41.101,723
2024-04-29,41.15,42.36,41.15,42.02,222561.0,41.796,1161
2024-04-30,42.02,42.3,41.21,41.25,200051.0,41.608,1421
2024-05-01,41.41,42.37,41.21,42.08,271716.0,41.687,1271
2024-05-02,42.43,43.3,41.92,42.66,131052.0,42.697,960
2024-05-03,42.99,43.13,42.03,42.46,193344.0,42.425,1385
2024-05-06,42.74,43.39,42.47,42.68,105304.0,42.724,825
2024-05-07,42.82,43.47,41.94,42.77,113872.0,42.889,714
2024-05-08,42.84,43.29,42.09,42.21,235051.0,42.638,1852
2024-05-09,45.56,46.62,42.15,42.43,238021.0,43.203,1772
2024-05-10,42.53,42.85,41.26,42.21,416958.0,42.02,2035
2024-05-13,42.3,42.5,41.21,42.37,186822.0,42.14,1501
2024-05-14,43.21,43.28,41.27,41.3,397207.0,42.125,1492
2024-05-15,41.54,42.63,41.3,42.44,257392.0,41.986,1267
2024-05-16,42.3,42.81,41.71,42.74,214443.0,42.25,1295
2024-05-17,42.69,43.6,42.18,43.48,171159.0,42.817,1119
2024-05-20,43.52,43.95,42.89,43.07,129001.0,43.403,903
2024-05-21,43.07,43.35,41.89,41.91,157783.0,42.36,1100
2024-05-22,42.26,44.14,42.19,43.46,177702.0,43.305,1315
2024-05-23,43.56,43.9,42.87,43.35,105772.0,43.361,767
2024-05-24,43.35,43.75,42.91,43.26,90080.0,43.309,558
2024-05-28,43.36,43.5,41.78,41.98,223224.0,42.268,997
2024-05-29,41.72,42.04,41.45,41.64,102814.0,41.744,550
2024-05-30,41.73,42.52,41.73,42.15,61160.0,42.158,411
2024-05-31,42.34,42.57,41.41,42.33,140874.0,42.107,1164
2024-06-03,42.33,43.19,42.17,42.25,198555.0,42.561,1447
2024-06-04,42.91,43.49,41.91,42.22,299956.0,42.649,1771
2024-06-05,42.65,42.68,41.65,42.04,312188.0,42.216,1349
2024-06-06,41.91,42.27,40.84,40.95,153001.0,41.289,1117
2024-06-07,40.8,41.16,40.2,40.71,211151.0,40.799,1101
2024-06-10,40.26,41.68,39.71,41.64,272560.0,40.929,1851
2024-06-11,41.4,41.93,40.8,41.14,123356.0,41.481,974
2024-06-12,41.74,41.9,40.39,40.45,131670.0,41.104,986
2024-06-13,40.43,41.06,40.05,40.63,119640.0,40.628,896
2024-06-14,40.33,40.53,39.75,40.49,140297.0,40.127,898
2024-06-17,40.49,40.83,39.77,40.54,138846.0,40.414,1040
2024-06-18,40.58,40.9,40.0,40.05,115497.0,40.481,781
2024-06-20,40.01,40.71,39.7,39.78,115395.0,40.08,798
2024-06-21,39.82,40.83,39.66,40.45,173065.0,40.266,766
2024-06-24,40.51,41.53,40.34,40.84,173532.0,41.081,978
2024-06-25,40.85,41.14,40.41,40.58,96896.0,40.689,625
2024-06-26,40.38,40.68,39.92,40.03,83290.0,40.246,585
2024-06-27,40.2,41.48,40.2,40.35,239418.0,40.748,1417
2024-06-28,40.63,40.94,39.53,40.0,153850.0,40.074,1122
2024-07-01,38.83,39.4,37.46,38.51,440815.0,38.318,2897
2024-07-02,38.57,38.57,37.3,37.58,352153.0,37.775,2548
2024-07-03,37.54,38.56,37.49,38.56,158929.0,38.179,1124
2024-07-05,38.51,38.51,37.26,37.75,208354.0,37.786,1459
2024-07-08,38.03,38.45,37.0,37.37,205483.0,37.501,1467
2024-07-09,37.48,37.48,36.56,36.99,438106.0,36.865,3538
2024-07-10,37.02,37.5,36.93,37.38,234006.0,37.218,1778
2024-07-11,37.94,39.35,37.94,39.17,209197.0,38.737,1550
2024-07-12,39.83,39.86,38.4,38.7,169061.0,38.804,1342
2024-07-15,38.88,39.26,38.52,38.76,123500.0,38.894,833
2024-07-16,39.21,39.86,39.01,39.64,95916.0,39.425,708
2024-07-17,39.41,40.36,39.31,39.42,139198.0,39.724,1054
2024-07-18,39.25,40.72,39.25,39.75,202165.0,39.862,1177
2024-07-19,39.8,40.37,39.57,39.61,148181.0,39.999,952
2024-07-22,39.89,40.84,39.46,40.67,171461.0,40.371,1233
2024-07-23,40.68,41.27,40.49,40.55,151448.0,40.938,1077
2024-07-24,40.63,41.26,40.51,41.19,191322.0,41.038,1362
2024-07-25,41.4,42.56,41.3,42.14,244768.0,41.998,1792
2024-07-26,42.48,43.16,41.89,42.48,154251.0,42.391,1085
2024-07-29,42.47,43.19,42.0,42.1,102446.0,42.359,745
2024-07-30,42.34,43.7,41.92,43.52,281091.0,43.108,2119
2024-07-31,43.78,44.25,43.32,43.52,325592.0,43.839,2083
2024-08-01,43.57,44.18,42.22,42.45,207118.0,42.71,1549
2024-08-02,41.62,42.0,41.21,41.57,185754.0,41.607,1392
2024-08-05,40.14,40.71,39.47,40.41,265995.0,40.087,1619
2024-08-06,40.57,40.75,39.2,39.4,211241.0,39.79,1558
