date,open,high,low,close,volume,average,barCount
2020-12-16,12.19,12.58,11.59,12.05,119110.0,12.10556431376988,664
2020-12-17,12.11,13.39,11.63,12.82,176870.0,12.63717629743606,1016
2020-12-18,12.86,13.07,12.07,12.32,74274.0,12.378964762512483,569
2020-12-21,12.29,12.49,11.55,12.12,118855.0,12.111260156452014,667
2020-12-22,12.26,12.31,11.54,11.83,59305.0,11.894818134530784,400
2020-12-23,11.88,12.53,11.7,12.07,82328.0,12.127398377384733,561
2020-12-24,12.02,12.29,11.63,11.76,24167.0,11.838809014823093,188
2020-12-28,11.78,12.16,11.16,11.69,120779.0,11.738182460772,687
2020-12-29,11.7,11.8,10.51,10.71,73078.0,10.86671853040494,410
2020-12-30,10.76,11.19,10.56,10.98,39492.0,10.857225459268044,288
2020-12-31,10.94,11.17,10.69,10.79,36159.0,10.861971994836493,250
2021-01-04,10.77,11.15,10.08,10.4,82495.0,10.50977905565765,535
2021-01-05,10.49,10.99,9.99,10.22,99185.0,10.551548568659989,501
2021-01-06,10.49,11.29,10.19,11.02,100962.0,10.970193005797105,548
2021-01-07,11.16,11.4,10.96,11.33,48452.0,11.193280177514163,266
2021-01-08,11.39,11.81,11.09,11.6,188722.0,11.575850944331075,584
2021-01-11,11.46,13.04,11.34,12.75,117536.0,12.392255062104137,610
2021-01-12,12.72,13.3,12.45,13.13,113816.0,13.020696371366656,711
2021-01-13,13.15,13.28,12.6,12.94,57344.0,12.79191335696746,393
2021-01-14,13.11,13.53,12.82,13.39,163737.0,13.17448412378437,826
2021-01-15,13.09,13.58,12.94,13.31,105992.0,13.289350284540813,651
2021-01-19,13.48,13.64,13.2,13.51,72703.0,13.446935265413288,515
2021-01-20,13.53,13.62,12.99,13.31,79616.0,13.303589891246155,544
2021-01-21,13.2,13.5,12.47,13.15,149024.0,12.846023862447762,928
2021-01-22,13.11,13.21,12.47,12.5,68167.0,12.64666936857294,373
2021-01-25,12.51,12.57,11.62,12.04,96977.0,12.042910044266351,465
2021-01-26,12.32,12.34,11.44,11.56,35140.0,11.859693771324256,238
2021-01-27,11.29,12.14,10.65,10.96,94634.0,11.335676244567592,492
2021-01-28,11.14,11.88,10.77,11.39,62388.0,11.470477854711518,389
2021-01-29,11.4,11.54,10.48,10.77,48657.0,10.83823931699424,265
2021-02-01,10.87,11.55,10.5,11.04,38996.0,11.068920945620818,252
2021-02-02,11.52,12.72,11.52,12.27,75919.0,12.280236822688757,423
2021-02-03,12.37,13.04,11.81,12.66,125826.0,12.717867402099666,474
2021-02-04,11.96,12.51,11.59,11.99,63374.0,12.27169305866555,307
2021-02-05,11.78,12.77,11.78,12.23,55892.0,12.383711298080923,365
2021-02-08,12.34,12.96,12.34,12.77,80826.0,12.712171559417527,537
2021-02-09,12.78,13.75,12.23,13.39,455247.0,13.273212063608081,1552
2021-02-10,13.89,15.07,13.64,14.33,305904.0,14.300362360620237,1366
2021-02-11,14.36,14.45,13.76,14.29,113471.0,14.223468484411377,747
2021-02-12,14.24,14.59,13.93,14.43,61304.0,14.255744926276826,351
2021-02-16,14.71,14.87,14.05,14.38,99876.0,14.377256236829094,602
2021-02-17,14.21,14.4,12.62,14.21,135464.0,13.706096107450541,710
2021-02-18,13.96,14.17,12.71,13.02,66654.0,13.07860410530171,440
2021-02-19,12.94,13.58,12.87,13.04,56884.0,13.138410453464154,408
2021-02-22,13.14,14.26,12.59,14.03,423757.0,13.851340095845048,1384
2021-02-23,14.17,15.26,12.89,14.98,350312.0,14.707615112393073,917
2021-02-24,15.02,15.85,14.57,15.42,363398.0,15.29333760153956,1490
2021-02-25,15.36,15.47,13.96,14.48,188124.0,14.805393745103103,963
2021-02-26,14.51,15.02,13.95,14.24,114417.0,14.372509701260643,668
2021-03-01,14.64,14.83,14.0,14.31,91142.0,14.369661779919573,507
2021-03-02,14.41,15.67,14.28,14.85,190869.0,15.017089231455886,962
2021-03-03,15.01,15.39,14.62,15.02,59366.0,14.95823219040713,406
2021-03-04,15.02,15.09,13.45,14.24,136818.0,14.002279926921696,746
2021-03-05,14.48,15.36,13.84,14.99,91885.0,14.731347790235313,508
2021-03-08,15.07,15.25,14.26,15.23,84648.0,14.895577920903616,429
2021-03-09,15.37,16.51,14.77,15.59,316547.0,15.587622806783337,1389
2021-03-10,15.56,15.95,14.24,14.68,244146.0,14.765522846328139,938
2021-03-11,14.63,15.5,13.99,15.5,98946.0,14.90791891338158,484
2021-03-12,15.57,15.78,14.53,14.72,100302.0,14.892729999562548,535
2021-03-15,14.14,14.14,12.02,12.53,626551.0,12.734005623032381,3564
2021-03-16,12.63,12.78,10.57,10.87,425314.0,11.587242629695341,2344
2021-03-17,11.25,12.14,10.75,11.14,362779.0,11.27017405372301,1902
2021-03-18,11.81,13.43,11.76,12.8,473150.0,12.88589476122272,2613
2021-03-19,12.53,13.24,11.88,11.94,363297.0,12.453960024493949,1847
2021-03-22,12.63,12.77,11.98,12.36,157231.0,12.326752871259544,849
2021-03-23,12.34,12.36,11.88,11.98,145494.0,11.989748845899733,741
2021-03-24,11.92,12.64,11.66,11.66,304270.0,12.18815403266086,878
2021-03-25,11.55,12.27,11.12,11.94,163863.0,11.765712367068984,539
2021-03-26,12.17,12.48,11.94,12.46,142939.0,12.230872852776892,700
2021-03-29,12.34,12.45,11.2,11.51,163036.0,11.63375867826613,715
2021-03-30,11.41,12.01,11.41,11.54,61126.0,11.70590601890654,338
2021-03-31,11.56,12.27,11.4,11.99,145385.0,12.057149650971693,702
2021-04-01,12.08,12.33,11.83,12.16,80856.0,12.178660961523963,410
2021-04-05,12.2,12.7,12.13,12.64,105938.0,12.510918451315325,509
2021-04-06,12.73,12.96,12.27,12.83,117693.0,12.668503432187801,714
2021-04-07,12.94,13.48,12.59,13.36,160861.0,13.275110677835459,933
2021-04-08,13.23,13.92,12.39,13.67,164378.0,13.131765303668328,969
2021-04-09,13.55,13.88,12.9,13.47,81586.0,13.526677062963204,513
2021-04-12,13.29,13.35,12.67,13.19,62925.0,12.936208038248267,325
2021-04-13,12.94,13.51,12.86,13.5,48403.0,13.14505560325998,269
2021-04-14,13.36,13.97,13.3,13.85,61205.0,13.788685826341531,369
2021-04-15,13.9,14.08,13.53,13.73,100196.0,13.845644253162908,497
2021-04-16,13.74,13.78,13.01,13.01,51592.0,13.199166108740286,303
2021-04-19,12.91,13.22,12.46,12.72,45305.0,12.72925908746393,259
2021-04-20,12.53,12.89,11.92,12.08,66573.0,12.151131055226957,263
2021-04-21,11.92,12.95,11.92,12.83,50669.0,12.65331451836876,331
2021-04-22,12.91,13.1,12.56,12.73,24811.0,12.839378712651925,165
