date,open,high,low,close,volume,average,barCount
2023-12-13,191.89,198.86,190.65,197.56,1144747.0,194.87226668580607,7340
2023-12-14,201.7,204.52,197.75,198.62,1661486.0,200.79419530656332,11378
2023-12-15,196.71,199.2,195.02,198.6,1712453.0,197.34738196770337,7115
2023-12-18,198.5,200.37,196.5,197.23,722659.0,197.70966245714902,5146
2023-12-19,197.94,199.61,197.19,197.52,948819.0,198.00079742411953,6897
2023-12-20,198.0,200.81,195.9,197.63,1714842.0,198.5746422303991,11297
2023-12-21,199.39,200.65,198.03,200.59,839552.0,199.14661478608713,5109
2023-12-22,201.23,203.24,200.01,201.44,537551.0,201.44854688827525,4339
2023-12-26,201.52,203.14,200.73,202.43,578576.0,202.16731605551115,4459
2023-12-27,201.93,204.85,201.93,204.48,727024.0,203.9100401377393,5261
2023-12-28,204.48,205.99,203.41,204.9,558750.0,204.54127046313758,3962
2023-12-29,203.79,204.56,202.86,203.69,531253.0,203.85908881102557,4036
2024-01-02,202.31,206.73,202.31,206.46,728622.0,205.17721850397237,4793
2024-01-03,205.21,206.63,202.49,202.57,757151.0,204.28462674339426,5738
2024-01-04,201.58,205.38,200.66,203.3,1036186.0,203.39486561207795,7318
2024-01-05,201.64,204.04,201.01,202.18,1027439.0,202.46830630035728,7389
2024-01-08,201.37,204.01,200.52,203.88,872886.0,202.70513561526752,5384
2024-01-09,202.25,202.32,198.4,199.9,834182.0,200.52649462671053,5405
2024-01-10,199.66,200.12,196.61,197.17,1182421.0,198.3988049648673,7462
2024-01-11,196.53,196.96,194.45,195.93,1376047.0,195.44457155855636,8975
2024-01-12,197.83,199.86,196.69,197.61,990890.0,198.14593541747303,6476
2024-01-16,197.17,198.94,195.83,196.3,1142692.0,197.1118121938012,8683
2024-01-17,193.8,198.51,191.28,193.38,1538475.0,193.5537112116234,10927
2024-01-18,193.66,195.12,191.11,192.4,1624999.0,192.04875998739286,10659
2024-01-19,193.11,193.56,191.33,192.36,1109554.0,192.53562822043546,6877
2024-01-22,192.58,195.02,190.55,192.5,1079093.0,192.7186755793701,8444
2024-01-23,193.2,193.7,190.01,190.84,987725.0,190.88537136076198,7404
2024-01-24,191.63,191.92,184.9,185.65,1652696.0,186.87814386903327,12632
2024-01-25,187.67,190.26,186.82,188.91,1300789.0,188.5576505644128,10208
2024-01-26,187.95,188.55,185.95,186.15,864209.0,186.6233872354644,6524
2024-01-29,185.95,188.05,184.71,187.87,1342469.0,186.518653952775,8834
2024-01-30,187.29,187.77,184.33,184.52,1211776.0,186.05914846926385,9121
2024-01-31,185.78,189.53,183.76,184.6,1187246.0,186.11387396832674,7812
2024-02-01,184.31,187.23,182.45,187.19,1181556.0,185.39583767889758,8326
2024-02-02,183.99,184.51,178.64,182.59,1426562.0,181.76791450826028,10365
2024-02-05,180.26,180.87,177.22,178.77,1328834.0,178.54288423589657,9737
2024-02-06,178.77,181.7,178.47,180.85,848670.0,180.73756545693752,5350
2024-02-07,181.43,182.92,179.79,182.69,1145876.0,181.86132527390217,7544
2024-02-08,181.75,183.28,180.81,182.71,947330.0,182.23591187955705,6090
2024-02-09,182.48,183.53,180.82,183.46,800943.0,182.25289565512827,5146
2024-02-12,183.98,184.38,180.63,180.94,685818.0,181.99908256464673,5185
2024-02-13,177.55,178.05,173.66,177.78,1319621.0,175.91511673778857,9644
2024-02-14,178.19,179.3,176.29,177.85,845713.0,177.98241964204513,5739
