date,open,high,low,close,volume,average,barCount
2024-09-24,32.0,34.5,29.51,29.51,9166.0,30.481,26
2024-09-25,31.0,31.0,28.0,28.0,12616.0,28.673,63
2024-09-26,28.0,28.0,27.01,27.01,20908.0,27.593,82
2024-09-27,27.0,27.5,25.4,25.67,148258.0,25.96,275
2024-09-30,26.25,32.25,23.58,32.25,9514295.0,25.534,29270
2024-10-01,28.25,28.49,24.56,25.75,8426466.0,25.699,27177
2024-10-02,25.48,25.94,24.68,25.27,9364948.0,25.081,21654
2024-10-03,25.1,26.0,24.95,25.4,3836788.0,25.574,14206
2024-10-04,25.5,27.79,25.46,26.47,2844023.0,26.865,11411
2024-10-07,26.2,26.38,25.4,25.55,2330548.0,25.718,10593
2024-10-08,25.44,25.87,24.69,24.75,2494745.0,25.067,10218
2024-10-09,24.44,26.34,24.02,25.5,2756196.0,25.303,10584
2024-10-10,25.04,26.79,24.81,25.99,1996916.0,25.941,10936
2024-10-11,26.0,27.19,25.9,26.9,1451256.0,26.938,5906
2024-10-14,26.81,28.64,26.68,28.38,2500546.0,28.039,10024
2024-10-15,28.47,28.87,28.02,28.7,2019801.0,28.511,8491
2024-10-16,28.47,30.29,27.94,28.93,1416563.0,28.768,6967
2024-10-17,29.13,30.03,28.85,29.69,1165002.0,29.702,5871
2024-10-18,29.7,29.82,28.72,29.3,1104511.0,29.109,6072
2024-10-21,29.09,29.77,28.55,28.96,2269112.0,29.369,4441
2024-10-22,28.61,29.22,28.37,28.97,777779.0,28.834,3762
2024-10-23,28.82,29.24,28.3,28.87,2985512.0,28.921,6844
2024-10-24,29.45,30.22,28.96,29.97,916604.0,29.702,3725
2024-10-25,30.21,31.03,29.51,29.65,867258.0,30.432,4256
2024-10-28,29.69,30.91,29.69,30.88,639917.0,30.625,3027
2024-10-29,30.91,31.14,30.13,30.81,903146.0,30.834,4485
2024-10-30,30.72,30.99,30.05,30.12,598881.0,30.481,3048
2024-10-31,30.0,30.53,29.4,29.74,610675.0,30.093,2892
2024-11-01,30.28,31.14,29.83,30.79,546195.0,30.796,2949
2024-11-04,30.67,31.06,29.63,29.63,342236.0,29.99,2224
2024-11-05,29.54,30.2,29.52,30.0,404739.0,29.93,2473
2024-11-06,31.29,31.75,30.3,31.0,709733.0,30.899,3972
2024-11-07,31.19,31.98,31.1,31.84,776783.0,31.727,4473
2024-11-08,32.03,33.5,31.51,33.4,720886.0,32.65,4651
2024-11-11,33.85,34.47,32.12,32.28,582535.0,32.981,3416
2024-11-12,32.0,32.59,30.53,31.24,813999.0,31.28,5035
2024-11-13,31.36,31.49,29.4,29.63,978782.0,30.142,5965
2024-11-14,29.29,29.58,26.02,26.41,1804526.0,26.83,9764
2024-11-15,25.74,26.35,24.88,25.2,1729968.0,25.42,9723
2024-11-18,24.79,25.06,22.24,22.77,2307737.0,23.12,13314
2024-11-19,22.22,22.94,21.24,21.94,3119744.0,21.925,15927
2024-11-20,21.96,22.99,21.5,22.41,1690058.0,22.22,8740
2024-11-21,23.44,25.29,23.35,24.76,1892170.0,24.737,9909
2024-11-22,24.9,25.44,24.4,24.43,908719.0,24.903,4409
2024-11-25,24.76,25.45,24.47,24.81,733151.0,24.945,3934
2024-11-26,24.59,25.96,24.36,24.61,703076.0,24.978,4345
2024-11-27,24.61,24.8,23.48,23.9,585725.0,23.853,3298
2024-11-29,24.25,24.66,24.01,24.35,316989.0,24.385,1683
2024-12-02,24.37,25.05,23.75,23.86,825102.0,24.163,4972
2024-12-03,23.63,24.53,23.61,24.27,774288.0,24.227,4236
2024-12-04,24.27,24.64,23.69,23.91,717742.0,24.162,3766
2024-12-05,23.91,24.04,22.71,23.0,889543.0,23.123,5490
2024-12-06,23.21,23.95,23.0,23.17,567827.0,23.323,3201
2024-12-09,23.65,24.24,23.0,23.75,1591874.0,23.52,9002
2024-12-10,23.8,25.07,23.73,24.02,1677026.0,24.555,9040
2024-12-11,24.44,24.99,23.46,23.85,1117351.0,23.899,6187
2024-12-12,23.59,24.34,23.05,23.61,1103920.0,23.732,6816
2024-12-13,23.64,23.75,22.65,23.05,1013306.0,23.016,5356
2024-12-16,23.08,24.23,22.84,23.78,2109942.0,23.836,12003
2024-12-17,24.2,24.89,20.58,21.51,3844646.0,21.674,17469
2024-12-18,21.59,21.99,20.09,20.33,2776918.0,20.886,14506
2024-12-19,20.33,20.57,18.89,18.93,2200239.0,19.26,11785
2024-12-20,18.73,19.83,18.37,19.17,3676407.0,19.133,19064
2024-12-23,19.2,20.08,18.83,19.97,1876105.0,19.651,9784
2024-12-24,19.91,20.2,19.47,19.81,783469.0,19.839,4600
2024-12-26,19.67,20.72,19.51,20.59,1416368.0,20.229,8593
2024-12-27,20.51,20.79,19.78,20.48,1621549.0,20.21,8447
2024-12-30,20.24,22.49,19.59,22.3,3091004.0,21.291,15521
2024-12-31,22.24,22.74,20.88,21.03,1747946.0,21.435,8438
2025-01-02,21.41,21.86,20.75,21.66,1391865.0,21.546,7132
2025-01-03,21.8,22.64,21.35,22.57,1217599.0,22.057,6959
2025-01-06,23.1,23.61,22.48,22.48,1642520.0,22.754,7904
2025-01-07,22.93,22.99,21.65,22.1,2616233.0,22.072,10742
2025-01-08,22.0,22.09,21.21,21.49,2474529.0,21.559,14397
2025-01-10,21.1,22.84,20.81,22.51,2068895.0,22.275,10321
2025-01-13,22.38,23.44,22.08,22.82,2170195.0,22.815,11554
2025-01-14,22.98,23.41,22.58,23.2,1569424.0,23.015,9401
2025-01-15,23.78,23.99,23.27,23.46,1865438.0,23.648,9108
2025-01-16,23.6,23.65,23.04,23.05,1435688.0,23.247,8115
2025-01-17,23.06,23.32,22.66,22.79,1186140.0,22.936,6386
2025-01-21,22.79,23.6,22.16,23.59,1373061.0,23.103,8089
2025-01-22,23.72,23.88,23.12,23.12,928665.0,23.449,5364
2025-01-23,23.04,23.07,21.64,21.7,1465663.0,22.045,8655
2025-01-24,21.69,21.87,21.25,21.59,1142987.0,21.587,6671
2025-01-27,21.45,21.6,21.01,21.53,1113571.0,21.281,7008
2025-01-28,21.63,21.75,19.76,19.89,1493934.0,20.382,8538
2025-01-29,20.04,20.13,19.38,19.53,1244644.0,19.606,6830
2025-01-30,19.66,20.04,18.99,20.01,1354103.0,19.615,6809
2025-01-31,19.9,21.35,19.64,20.97,1307324.0,20.775,7175
2025-02-03,20.13,20.66,19.62,20.4,1050021.0,20.297,5455
2025-02-04,20.4,21.05,20.2,20.5,1118349.0,20.705,6632
2025-02-05,21.8,23.04,20.9,22.68,3559437.0,22.092,14195
2025-02-06,23.36,24.3,22.35,22.84,1920995.0,23.259,10143
2025-02-07,22.6,22.71,21.71,22.16,1296761.0,22.114,7455
2025-02-10,21.82,22.4,21.2,22.1,1334519.0,21.993,7786
2025-02-11,22.3,22.3,20.67,20.73,1824940.0,21.071,10489
2025-02-12,20.6,21.15,20.48,20.49,1196605.0,20.793,6685
2025-02-13,20.62,20.76,19.63,19.81,1223526.0,20.113,6697
2025-02-14,19.94,20.1,19.35,19.8,1045998.0,19.634,5356
2025-02-18,20.99,21.95,20.5,21.73,1859081.0,21.457,8936
2025-02-19,21.04,21.6,20.82,21.22,1583848.0,21.219,8318
2025-02-20,21.14,21.2,20.07,20.75,1361882.0,20.476,6751
2025-02-21,21.2,21.2,19.78,20.0,1431512.0,20.118,7440
2025-02-24,20.24,20.29,19.67,19.81,871363.0,19.899,4798
2025-02-25,19.69,20.23,19.35,20.12,1241203.0,19.886,5960
2025-02-26,20.31,20.9,19.84,19.95,876683.0,20.352,3367
2025-02-27,19.95,20.15,19.17,19.24,1122911.0,19.632,5046
2025-02-28,19.02,19.79,18.81,19.64,1315165.0,19.422,6659
2025-03-03,19.77,19.86,18.44,18.44,1259252.0,18.803,6245
2025-03-04,18.04,19.26,17.82,18.71,1524137.0,18.677,7385
2025-03-05,19.01,19.47,18.42,19.25,1572380.0,19.031,7819
2025-03-06,18.96,18.96,18.13,18.33,1202690.0,18.442,6335
2025-03-07,18.33,20.01,18.29,19.99,1905105.0,19.355,9251
2025-03-10,18.6,19.7,18.44,18.56,1213856.0,18.82,5848
2025-03-11,18.49,18.77,16.95,17.04,2157323.0,17.459,9436
2025-03-12,17.95,18.54,17.73,18.42,6971739.0,18.115,28093
2025-03-13,18.27,18.5,17.3,17.87,2321449.0,17.784,11956
2025-03-14,18.05,18.52,17.8,17.9,1684153.0,17.983,8538
2025-03-17,17.98,19.01,17.98,18.83,1923446.0,18.715,10951
2025-03-18,18.67,18.75,18.02,18.47,1324333.0,18.437,8162
2025-03-19,18.46,19.37,18.41,19.03,1641940.0,18.938,9926
2025-03-20,18.7,19.0,18.26,18.32,1163554.0,18.478,6518
2025-03-21,18.07,18.38,17.69,18.32,1029619.0,18.157,6475
2025-03-24,18.55,18.83,18.28,18.67,1151170.0,18.511,6471
2025-03-25,18.75,19.0,18.39,18.74,956000.0,18.726,5419
2025-03-26,18.82,19.17,18.43,18.45,961321.0,18.649,5243
2025-03-27,18.4,18.74,18.23,18.4,947773.0,18.494,4622
2025-03-28,18.39,18.54,17.66,18.07,1373055.0,17.985,8833
2025-03-31,17.66,18.28,17.6,18.2,1205456.0,18.128,6082
2025-04-01,18.15,18.38,17.58,17.87,1032143.0,17.835,6303
2025-04-02,17.6,19.93,17.56,19.71,3971970.0,19.28,21022
2025-04-03,18.74,19.62,18.2,18.3,2334646.0,18.542,11706
2025-04-04,17.5,17.87,16.9,17.47,1999296.0,17.38,10184
2025-04-07,17.17,17.79,16.14,16.96,1705348.0,16.971,10067
2025-04-08,17.77,17.91,16.14,16.43,1379945.0,16.879,7958
2025-04-09,16.09,18.32,16.01,18.01,2609042.0,17.559,14241
2025-04-10,17.72,17.72,16.96,17.26,1004503.0,17.344,6064
2025-04-11,17.26,18.34,16.87,18.15,1052343.0,17.891,6776
2025-04-14,18.6,19.22,18.1,18.5,909344.0,18.555,5468
2025-04-15,18.72,18.93,18.42,18.76,1800819.0,18.753,7437
2025-04-16,18.34,18.77,18.25,18.7,1334279.0,18.537,6803
2025-04-17,18.7,18.93,18.42,18.79,842091.0,18.67,4592
2025-04-21,18.71,18.87,18.07,18.42,943924.0,18.335,5536
2025-04-22,18.7,19.24,18.69,19.15,1368056.0,19.055,4796
2025-04-23,19.85,20.7,19.58,19.75,2066285.0,19.926,9976
2025-04-24,19.93,21.75,19.7,21.68,2377205.0,21.164,11931
2025-04-25,21.56,22.09,21.37,21.92,1417065.0,21.8,8452
2025-04-28,21.77,22.07,21.4,21.84,820762.0,21.734,5573
2025-04-29,21.69,22.23,21.31,22.19,704384.0,22.082,4449
2025-04-30,21.57,21.94,21.25,21.82,916655.0,21.588,5384
2025-05-01,21.97,22.15,21.65,21.69,955352.0,21.918,5971
2025-05-02,22.25,22.48,21.77,21.86,668792.0,21.945,4334
2025-05-05,21.72,22.25,21.62,21.83,810694.0,21.914,4888
2025-05-06,21.64,22.42,21.63,22.11,1491851.0,22.129,8145
2025-05-07,20.14,21.94,20.05,21.11,2014854.0,20.937,10208
