date,open,high,low,close,volume,average,barCount
2020-12-14,93.43,95.96,93.43,94.61,41973.0,94.939,363
2020-12-15,95.3,96.02,94.63,95.23,119755.0,95.178,680
2020-12-16,95.39,95.94,89.69,89.96,67046.0,91.451,592
2020-12-17,92.37,96.72,91.99,96.5,61338.0,95.342,531
2020-12-18,96.97,100.0,95.43,95.87,114248.0,97.281,657
2020-12-21,95.15,95.95,92.35,95.12,50598.0,94.385,404
2020-12-22,95.08,96.34,93.67,94.35,14669.0,94.628,132
2020-12-23,94.44,95.09,92.98,93.18,37027.0,93.805,257
2020-12-24,93.35,95.57,92.73,95.42,19142.0,94.527,170
2020-12-28,96.21,96.21,93.1,93.41,21560.0,94.457,199
2020-12-29,93.32,93.5,90.81,92.88,40713.0,91.978,338
2020-12-30,92.69,95.51,92.69,94.09,31638.0,94.339,251
2020-12-31,94.23,94.99,92.67,93.85,25812.0,94.048,208
2021-01-04,94.15,94.35,90.55,92.79,33644.0,92.155,272
2021-01-05,92.08,94.88,91.4,93.52,44530.0,93.743,387
2021-01-06,95.09,100.35,93.45,98.99,95913.0,98.849,704
2021-01-07,99.6,101.46,98.1,100.67,28115.0,99.846,206
2021-01-08,101.17,101.17,96.33,97.79,40168.0,98.059,329
2021-01-11,96.11,98.83,96.11,98.24,14738.0,98.191,123
2021-01-12,98.65,99.78,98.01,99.39,21706.0,99.121,182
2021-01-13,99.19,99.19,96.74,97.46,16736.0,97.68,158
2021-01-14,96.76,98.93,96.76,97.42,23730.0,97.928,211
2021-01-15,95.8,97.59,94.19,96.66,45142.0,96.313,342
2021-01-19,98.14,98.79,96.8,97.58,29554.0,97.689,236
2021-01-20,98.29,100.35,98.2,100.01,34661.0,99.382,307
2021-01-21,99.88,100.41,98.09,98.49,32371.0,98.958,292
2021-01-22,97.06,98.99,96.23,98.45,49180.0,97.661,447
2021-01-25,98.03,98.03,93.79,94.89,71231.0,95.346,610
2021-01-26,95.95,95.95,91.21,91.27,34438.0,93.237,269
2021-01-27,88.9,89.85,85.85,87.73,83727.0,87.86,584
2021-01-28,89.07,89.73,87.09,88.7,94907.0,88.572,812
2021-01-29,88.82,88.82,86.12,86.51,148881.0,87.086,1059
2021-02-01,88.05,88.49,85.24,88.06,97871.0,87.316,790
2021-02-02,89.18,91.9,88.25,89.31,54513.0,89.895,449
2021-02-03,88.81,89.97,86.38,89.57,66261.0,88.483,512
2021-02-04,90.37,92.84,90.37,92.55,100254.0,91.88,616
2021-02-05,93.26,94.68,91.75,94.04,32701.0,93.682,268
2021-02-08,94.66,96.74,93.44,95.8,27827.0,95.57,221
2021-02-09,95.65,97.22,94.22,96.52,30191.0,96.456,294
2021-02-10,97.62,97.72,94.56,96.19,28153.0,95.82,266
2021-02-11,96.74,97.6,93.7,96.08,23587.0,95.644,226
2021-02-12,96.15,98.55,94.0,96.58,65108.0,96.739,375
2021-02-16,97.54,97.54,90.18,95.59,55380.0,96.284,487
2021-02-17,94.6,95.96,93.05,94.85,46788.0,94.643,320
2021-02-18,94.47,94.51,92.69,93.32,66161.0,93.766,462
2021-02-19,94.48,97.95,92.54,97.2,57723.0,96.582,362
2021-02-22,96.09,98.69,94.93,97.36,73133.0,97.379,456
2021-02-23,96.56,96.59,93.06,96.27,31577.0,95.557,284
2021-02-24,96.32,101.24,95.5,100.88,59339.0,100.055,489
2021-02-25,98.42,99.01,91.0,95.0,158300.0,94.363,1039
2021-02-26,95.4,95.56,91.88,93.41,73738.0,93.981,586
2021-03-01,94.6,97.77,93.96,96.32,77594.0,96.409,484
2021-03-02,96.28,96.6,94.28,94.28,67698.0,95.249,523
2021-03-03,94.51,95.36,93.02,93.52,42785.0,94.351,372
2021-03-04,93.69,94.53,89.04,91.1,38515.0,92.415,326
2021-03-05,93.35,95.06,88.42,94.85,48871.0,91.751,431
2021-03-08,94.85,98.77,94.26,96.97,93326.0,96.37,506
2021-03-09,98.16,101.11,96.0,100.57,58613.0,99.381,537
2021-03-10,101.0,105.59,100.28,105.33,95555.0,104.003,764
