date,open,high,low,close,volume,average,barCount
2020-12-14,157.15,159.52,156.3,157.85,28796340.0,158.5768,9805
2020-12-15,159.05,159.43,156.52,158.26,21487820.0,157.89195,7382
2020-12-16,158.8,162.35,158.18,162.05,30522060.0,160.72655,10558
2020-12-17,162.5,163.18,161.05,161.8,22167040.0,162.04175,7566
2020-12-18,162.24,162.47,158.58,160.08,36107600.0,160.4194,10967
2020-12-21,160.0,161.35,158.3,160.31,28555140.0,160.08595,9604
2020-12-22,160.12,161.1,159.0,160.33,16850880.0,160.02605,5818
2020-12-23,160.25,160.51,159.21,159.26,15060740.0,159.91495,5109
2020-12-24,159.7,160.1,158.45,158.63,12357080.0,159.1739,4194
2020-12-28,159.7,165.2,158.63,164.2,45091020.0,162.66685,15383
2020-12-29,165.5,167.53,164.06,166.1,42573700.0,166.11895,13384
2020-12-30,167.05,167.1,164.12,164.29,21850040.0,165.4844,7632
2020-12-31,163.75,164.15,162.06,162.85,22559420.0,162.80975,7295
2021-01-04,163.45,163.6,157.2,159.33,28892700.0,159.7901,9985
2021-01-05,158.3,161.17,158.25,160.93,18346820.0,160.0808,6077
2021-01-06,157.35,159.88,156.56,156.92,33305380.0,158.2499,11223
2021-01-07,157.77,160.43,157.75,158.11,23904380.0,159.35105,8433
2021-01-08,159.06,159.53,157.11,159.14,26532900.0,158.2467,8861
2021-01-11,157.4,157.82,155.5,155.71,25487080.0,156.65615,8740
2021-01-12,155.93,157.11,154.3,156.04,22717620.0,155.83105,7589
2021-01-13,156.42,159.5,156.1,158.29,25624460.0,158.33985,8771
2021-01-14,158.47,158.9,156.03,156.37,21178180.0,157.4496,7573
2021-01-15,156.25,157.13,154.76,155.21,29507020.0,155.61665,10085
2021-01-19,155.6,157.25,154.8,156.04,22610020.0,156.0232,7626
2021-01-20,159.02,163.99,158.75,163.17,40245200.0,161.56665,13830
2021-01-21,164.65,167.43,164.48,165.35,38964960.0,165.9507,13388
2021-01-22,165.22,166.1,164.16,164.61,20446740.0,164.97,7039
2021-01-25,166.43,168.19,162.16,164.7,30412780.0,165.34395,10234
2021-01-26,164.82,166.9,164.14,166.31,23622820.0,165.9527,8059
2021-01-27,167.07,167.33,160.35,161.63,33358020.0,163.57525,11012
2021-01-28,161.75,165.08,161.43,161.88,22145920.0,163.26665,8045
2021-01-29,161.5,161.85,159.3,160.31,30659680.0,160.4864,10734
2021-02-01,162.12,167.51,161.75,167.14,32151500.0,165.15985,10766
2021-02-02,169.0,171.39,168.06,169.0,44783420.0,169.933,14951
2021-02-03,171.36,171.7,165.43,165.63,62367180.0,168.45825,21218
2021-02-04,166.49,167.35,163.89,166.55,31718980.0,165.5627,11084
2021-02-05,166.09,168.85,165.14,167.61,31042400.0,166.9785,10751
2021-02-08,167.84,168.25,165.2,166.15,26781600.0,166.02925,9280
2021-02-09,165.62,166.9,164.95,165.25,16804080.0,165.81,5582
2021-02-10,165.7,165.9,162.7,164.33,22231300.0,164.06725,7450
2021-02-11,164.6,164.6,162.42,163.11,18619840.0,163.25625,6662
2021-02-12,162.5,164.01,161.67,163.89,17417800.0,162.80365,6174
2021-02-16,162.7,165.42,162.68,163.45,18964520.0,163.77415,5963
2021-02-17,163.18,166.05,162.97,165.43,25933740.0,164.8719,9027
2021-02-18,164.12,166.9,163.7,166.41,23332100.0,165.58395,8356
2021-02-19,166.46,166.68,162.29,162.5,33088900.0,164.4841,11691
2021-02-22,160.41,161.62,158.61,159.04,24175520.0,159.8486,8601
2021-02-23,156.35,160.24,154.68,159.73,25641500.0,157.34705,9099
2021-02-24,158.35,158.56,156.27,157.98,21742680.0,157.60945,7767
2021-02-25,156.82,158.91,152.39,152.86,29485800.0,155.2534,10169
2021-02-26,154.76,156.12,151.83,154.65,30637640.0,154.40005,10769
2021-03-01,156.33,157.48,154.9,157.31,17738020.0,156.2829,6173
2021-03-02,157.18,158.18,154.36,154.73,18120100.0,156.51565,6323
2021-03-03,153.94,155.39,149.75,150.25,23570640.0,151.8612,8440
2021-03-04,150.6,152.91,147.27,148.88,39351540.0,150.15735,13452
2021-03-05,150.15,150.45,144.05,150.02,38801100.0,148.03245,13628
2021-03-08,150.69,153.23,147.57,147.6,30421280.0,150.27645,10637
2021-03-09,150.9,154.55,150.26,153.14,27346360.0,152.86985,9463
2021-03-10,154.92,155.82,151.5,152.88,21549740.0,153.28955,7342
2021-03-11,155.25,156.59,154.15,155.68,18261060.0,155.5205,6138
2021-03-12,153.75,154.95,152.28,154.47,14136700.0,153.6107,5197
2021-03-15,153.62,154.11,151.6,154.08,18255660.0,152.8245,6446
2021-03-16,155.22,156.45,153.79,154.59,17948220.0,155.2152,6101
2021-03-17,153.66,158.65,153.51,156.79,20979320.0,155.9981,7296
2021-03-18,155.05,155.83,151.25,151.4,23390260.0,153.4221,8350
2021-03-19,151.33,153.86,150.83,153.75,28789780.0,152.351,8740
2021-03-22,153.39,156.33,153.0,155.54,16551980.0,155.2783,5687
2021-03-23,156.35,159.1,156.04,156.88,24177580.0,157.63505,8133
2021-03-24,157.55,158.02,154.26,154.35,18017560.0,156.338,6352
2021-03-25,153.65,155.49,151.86,152.31,22287400.0,153.33005,8153
2021-03-26,152.2,152.83,149.8,152.6,19055980.0,151.6064,7020
2021-03-29,152.8,154.56,151.42,153.79,17187300.0,153.25575,6047
