date,open,high,low,close,volume,average,barCount
2023-12-13,57.5,57.99,57.1,57.39,2563772.0,57.4855,3775
2023-12-14,57.63,58.6,56.81,57.76,4443564.0,57.59875,7198
2023-12-15,57.88,59.3,57.88,58.9,4573416.0,58.724,6831
2023-12-18,59.13,60.0,58.74,59.7,3080888.0,59.576,5424
2023-12-19,59.78,59.84,59.0,59.18,3989416.0,59.29825,6917
2023-12-20,58.93,59.43,58.01,58.29,2910248.0,58.7495,4542
2023-12-21,58.47,59.16,58.47,58.84,3877180.0,58.8255,5194
2023-12-22,59.57,59.99,59.05,59.57,2092536.0,59.59175,3615
2023-12-26,59.75,60.17,58.75,59.38,3002272.0,59.3265,4591
2023-12-27,59.62,59.75,59.16,59.43,1191480.0,59.39725,1872
2023-12-28,59.39,59.46,59.09,59.24,1487188.0,59.288,2175
2023-12-29,59.38,59.48,58.73,58.88,1678800.0,58.98825,2452
2024-01-02,58.5,58.56,57.07,57.89,2807940.0,57.643,4380
2024-01-03,57.36,58.23,57.06,57.35,2282892.0,57.54325,3889
2024-01-04,57.31,58.08,56.65,57.64,2273348.0,57.63625,3452
2024-01-05,57.9,58.01,57.44,57.73,2247988.0,57.6875,3629
2024-01-08,58.75,61.47,58.75,61.46,4879704.0,60.69825,7465
2024-01-09,61.25,61.88,60.39,61.3,2715656.0,61.37225,4224
2024-01-10,61.88,62.81,61.52,62.31,3538396.0,62.30275,5652
2024-01-11,62.49,63.04,61.92,62.94,2592060.0,62.54625,4508
2024-01-12,63.0,63.68,62.81,63.01,2685800.0,63.20325,4532
2024-01-16,63.11,64.3,62.84,63.32,3866204.0,63.47125,6705
2024-01-17,62.73,62.73,61.31,62.25,2773284.0,61.8945,4732
2024-01-18,63.75,64.66,63.04,64.39,4283596.0,63.927,6713
2024-01-19,65.15,66.25,65.0,65.88,3857308.0,65.577,5800
2024-01-22,66.92,67.66,66.25,66.65,2880884.0,66.802,4635
2024-01-23,66.43,66.5,65.17,65.51,4151828.0,65.583,6852
2024-01-24,65.84,66.53,65.36,65.62,5423728.0,65.9145,8416
2024-01-25,66.44,67.51,65.75,66.11,3568860.0,66.53375,5602
2024-01-26,65.49,66.66,65.45,66.1,2512816.0,66.024,4250
2024-01-29,66.28,67.45,66.28,67.39,3658040.0,66.9845,6500
2024-01-30,67.58,68.23,67.4,67.99,3403116.0,67.812,5785
2024-01-31,66.13,66.87,64.33,64.67,7145116.0,65.2705,11567
2024-02-01,65.5,65.93,65.16,65.75,5008924.0,65.627,8196
2024-02-02,68.66,69.25,67.28,68.28,8418784.0,68.4945,12749
2024-02-05,68.75,69.1,67.26,68.24,4710324.0,68.14575,6534
2024-02-06,68.25,68.32,65.53,66.22,5846432.0,66.412,9903
2024-02-07,66.52,67.54,66.19,66.76,5527188.0,66.89375,7848
2024-02-08,67.5,69.72,67.25,68.97,5484516.0,68.8435,8027
2024-02-09,70.5,71.21,69.65,70.61,7890444.0,70.32375,12808
2024-02-12,73.17,73.17,70.05,70.22,22078024.0,71.136,31383
2024-02-13,64.47,67.69,63.99,66.38,17792644.0,66.48175,26840
2024-02-14,67.5,67.85,65.95,66.42,7911668.0,66.67275,12952
2024-02-15,66.56,66.93,65.08,66.63,5897588.0,66.29875,9740
2024-02-16,66.33,67.1,65.42,65.44,5210568.0,66.05075,7472
2024-02-20,64.52,65.1,63.6,64.9,5405920.0,64.378,8942
2024-02-21,64.23,64.7,63.27,63.62,5943996.0,63.7215,9579
2024-02-22,65.34,67.55,65.34,67.19,8922668.0,66.68475,13212
2024-02-23,67.38,68.44,66.0,66.92,4109084.0,66.9805,6572
2024-02-26,67.5,69.31,67.15,68.44,5308856.0,68.56175,7887
2024-02-27,68.52,69.08,67.8,67.98,2475836.0,68.379,4373
2024-02-28,67.65,68.89,67.54,68.29,2328364.0,68.21,3859
2024-02-29,68.75,69.54,68.57,69.39,3665216.0,69.17125,5565
2024-03-01,70.4,72.1,70.25,71.94,6375516.0,71.65125,9230
2024-03-04,72.0,72.82,71.62,71.99,4849632.0,72.367,6828
2024-03-05,71.01,71.02,68.78,70.12,3967740.0,69.71675,7541
2024-03-06,71.08,71.7,70.13,71.13,3473440.0,71.15525,5988
2024-03-07,71.5,72.22,70.55,71.62,4545148.0,71.549,6256
2024-03-08,71.62,71.83,68.07,68.28,6858256.0,69.3275,12164
2024-03-11,67.33,67.95,65.9,67.76,4339168.0,67.2455,7671
2024-03-12,68.25,70.49,67.67,70.47,4920032.0,69.41975,8439
2024-03-13,69.99,70.56,69.21,70.18,4459252.0,69.884,7892
2024-03-14,70.4,71.44,70.04,71.01,5283944.0,70.934,9259
2024-03-15,69.8,70.45,69.02,69.43,5167824.0,69.6885,8870
2024-03-18,70.6,72.42,70.26,72.33,7147492.0,71.7875,11445
2024-03-19,71.0,72.06,68.15,71.73,10902988.0,70.2025,18644
2024-03-20,72.26,74.19,71.44,74.14,7793784.0,73.0975,12192
2024-03-21,74.75,76.41,73.75,76.15,6480104.0,75.4965,10191
2024-03-22,75.75,76.94,75.5,76.61,5625688.0,76.2875,8602
2024-03-25,75.62,76.84,75.11,76.38,4240776.0,76.21525,7442
2024-03-26,75.12,76.38,74.3,74.46,5609256.0,75.386,8632
2024-03-27,74.06,74.34,71.02,72.1,6809820.0,72.01,12285
2024-03-28,71.95,73.24,71.5,72.5,3242320.0,72.60525,5983
2024-04-01,73.07,74.95,72.83,74.94,3101572.0,74.19725,4714
2024-04-02,72.92,73.44,71.12,72.71,4606756.0,72.17,7105
2024-04-03,72.78,75.37,72.5,74.7,3667048.0,74.563,5225
2024-04-04,75.24,75.88,72.14,72.19,4349176.0,74.04575,5992
2024-04-05,72.76,74.56,72.5,74.4,2820732.0,73.96725,4928
2024-04-08,74.25,74.8,73.33,74.35,2463540.0,74.3975,4500
2024-04-09,75.0,75.0,71.63,73.69,2806756.0,73.20575,4766
2024-04-10,72.5,73.64,71.82,72.06,3871520.0,72.36975,7127
