date,open,high,low,close,volume,average,barCount
2023-12-13,23.7,24.55,23.1,24.4,72126.3,23.846,3011
2023-12-14,24.9,25.95,24.8,25.3,112905.8,25.2739,4174
2023-12-15,25.6,25.72,24.6,24.8,93182.1,24.9035,4088
2023-12-18,24.6,25.25,24.3,24.3,51860.5,24.7814,2638
2023-12-19,24.3,25.0,24.2,24.5,50884.8,24.644,2599
2023-12-20,24.7,25.2,24.35,24.8,77789.3,24.9194,2833
2023-12-21,25.0,26.1,25.0,25.6,44628.3,25.6246,2187
2023-12-22,25.6,26.1,25.1,25.4,47088.9,25.5214,2153
2023-12-26,25.3,26.0,24.8,25.75,39462.1,25.4045,1845
2023-12-27,26.1,26.5,25.0,25.0,55898.1,25.3885,2410
2023-12-28,25.1,25.9,24.6,25.3,86787.1,25.4513,3409
2023-12-29,25.3,25.3,24.9,24.9,50654.2,25.0308,2106
2024-01-02,24.7,24.8,23.9,24.0,40594.4,24.26,2109
2024-01-03,23.4,23.4,22.5,22.7,60542.5,22.8627,2982
2024-01-04,22.6,23.4,22.6,23.1,41167.2,23.0208,2355
2024-01-05,23.0,23.3,22.3,22.3,32201.5,22.7782,1826
2024-01-08,22.2,24.3,22.1,24.1,62404.7,23.6963,3085
2024-01-09,23.8,24.85,23.75,23.9,65642.7,24.33,2871
2024-01-10,23.7,24.1,23.3,23.8,38116.1,23.7896,1914
2024-01-11,24.0,24.4,22.95,23.1,55907.5,23.3413,2868
2024-01-12,23.7,24.2,22.8,22.8,45009.2,23.3744,2373
2024-01-16,22.6,23.0,21.5,23.0,135410.8,22.6605,4238
2024-01-17,22.5,22.9,21.4,21.4,105893.3,22.0869,3561
2024-01-18,21.6,22.2,21.05,21.9,106219.2,21.6403,3814
2024-01-19,21.9,22.6,21.4,21.7,114044.3,21.868,4227
2024-01-22,21.7,23.6,21.7,23.1,64465.7,23.1325,2964
2024-01-23,23.3,24.55,23.19,23.7,137788.8,24.0084,3925
2024-01-24,24.2,24.7,23.5,23.7,112318.7,24.0548,4382
2024-01-25,24.2,24.3,23.8,24.0,47412.7,23.9832,2508
2024-01-26,23.9,25.2,23.9,24.2,119365.4,24.784,3843
2024-01-29,24.0,25.1,23.8,24.9,51178.3,24.5422,2378
2024-01-30,24.6,24.8,24.2,24.5,39949.0,24.5249,2097
2024-01-31,24.1,24.7,23.7,23.7,33176.5,24.2594,1736
2024-02-01,23.9,24.7,23.8,24.2,39561.7,24.1792,2243
2024-02-02,24.0,24.3,23.6,24.0,28365.9,23.9436,1541
2024-02-05,23.7,23.88,23.4,23.4,21258.6,23.5977,1157
2024-02-06,23.4,24.7,23.4,24.4,34967.6,24.325,1620
2024-02-07,24.5,24.5,23.7,23.8,46113.1,23.9933,2631
2024-02-08,23.9,24.85,23.3,23.7,66286.3,24.116,3343
2024-02-09,23.9,24.7,23.6,24.7,28987.9,24.197,1607
2024-02-12,25.0,25.409,24.8,24.8,64411.5,25.1769,2956
2024-02-13,23.4,24.75,23.3,24.3,56308.7,24.232,2821
2024-02-14,24.9,30.1,24.209,28.9,302724.9,29.32,12611
2024-02-15,29.0,29.9,27.6,29.4,122629.0,29.2827,5680
2024-02-16,29.5,30.85,29.0,29.9,104699.2,30.2391,4762
2024-02-20,29.6,30.0,29.2,29.8,68996.7,29.6379,3232
2024-02-21,29.8,30.1,29.3,30.0,50840.8,29.7213,2640
2024-02-22,30.3,30.95,29.7,29.8,44688.7,30.2334,2337
2024-02-23,29.7,29.956,28.0,28.1,34286.8,28.971,1751
2024-02-26,28.2,28.45,27.2,27.3,46444.6,27.7913,1849
2024-02-27,27.3,28.7,27.3,28.4,31799.5,28.1338,1634
2024-02-28,28.5,28.5,27.5,27.8,28026.3,27.8476,1604
