date,open,high,low,close,volume,average,barCount
2020-12-14,30.21,31.05,29.78,29.95,22608.0,30.288,194
2020-12-15,29.86,30.95,29.28,30.93,37388.0,29.989,225
2020-12-16,30.96,31.22,30.08,30.76,35317.0,30.75,278
2020-12-17,31.03,31.7,30.0,31.47,23275.0,30.837,150
2020-12-18,31.15,32.89,30.47,31.17,86966.0,31.759,447
2020-12-21,30.01,30.77,29.0,29.61,54743.0,29.697,318
2020-12-22,29.61,29.61,28.97,29.12,43129.0,29.16,278
2020-12-23,29.45,29.45,28.16,28.35,85056.0,28.639,492
2020-12-24,28.35,28.78,27.97,28.0,63161.0,28.134,432
2020-12-28,28.0,28.92,27.87,28.04,140773.0,28.23,816
2020-12-29,28.03,28.55,27.65,28.23,47640.0,27.948,260
2020-12-30,28.1,29.0,28.1,28.64,52098.0,28.456,348
2020-12-31,28.66,29.27,28.0,29.04,42224.0,28.456,203
2021-01-04,28.71,30.34,28.65,30.22,58997.0,29.536,382
2021-01-05,30.34,31.91,30.34,31.34,47687.0,31.368,226
2021-01-06,31.56,32.65,31.16,31.51,45573.0,31.96,329
2021-01-07,31.5,32.15,31.17,31.73,16225.0,31.605,130
2021-01-08,31.53,31.94,29.66,31.31,46962.0,30.876,303
2021-01-11,30.86,32.07,30.05,31.58,14335.0,31.418,112
2021-01-12,31.68,32.29,31.49,31.96,15972.0,31.86,122
2021-01-13,31.56,32.17,31.1,31.81,28505.0,31.903,219
2021-01-14,32.05,32.72,31.93,32.1,20612.0,32.282,141
2021-01-15,31.78,32.44,31.5,32.13,26378.0,32.058,188
2021-01-19,32.5,32.9,31.83,32.34,29542.0,32.195,169
2021-01-20,32.27,32.52,31.78,32.12,34511.0,32.102,191
2021-01-21,31.82,32.38,31.5,31.76,37835.0,31.854,193
2021-01-22,31.53,32.24,31.2,32.09,24742.0,31.74,198
2021-01-25,32.02,32.82,31.65,32.14,28631.0,32.149,176
2021-01-26,32.42,32.42,31.86,32.06,19372.0,32.013,92
2021-01-27,31.31,31.5,30.38,30.83,26073.0,30.973,208
2021-01-28,30.93,31.26,29.3,29.52,38588.0,29.947,317
2021-01-29,29.9,29.9,27.92,28.54,37994.0,28.437,240
2021-02-01,28.4,30.0,28.15,29.96,31006.0,29.196,232
2021-02-02,30.65,31.25,30.26,30.89,29521.0,30.802,217
2021-02-03,30.65,31.49,29.77,30.36,19136.0,30.48,159
2021-02-04,30.59,30.66,29.84,30.46,16277.0,30.246,125
2021-02-05,30.92,31.05,29.86,30.71,15439.0,30.291,130
2021-02-08,31.31,31.67,31.04,31.38,14260.0,31.282,120
2021-02-09,31.37,31.99,31.21,31.8,24439.0,31.615,156
2021-02-10,31.85,32.25,31.29,31.81,19150.0,31.872,145
2021-02-11,31.92,32.1,31.1,31.26,17015.0,31.508,120
2021-02-12,31.01,31.64,30.02,31.49,29993.0,30.875,196
2021-02-16,32.27,32.88,31.0,31.68,24263.0,31.729,171
2021-02-17,31.6,31.76,30.12,31.0,37052.0,30.933,288
2021-02-18,30.99,31.8,29.65,30.17,41121.0,30.262,335
2021-02-19,30.29,30.7,29.96,30.24,14331.0,30.248,109
2021-02-22,30.2,30.74,29.94,30.2,16030.0,30.35,122
2021-02-23,30.04,31.13,28.69,29.13,28867.0,29.301,212
2021-02-24,29.8,29.8,28.89,29.78,45719.0,29.377,346
2021-02-25,30.08,30.35,29.05,29.6,28965.0,29.711,187
2021-02-26,29.84,30.16,28.69,29.1,36051.0,29.162,256
2021-03-01,29.76,30.76,29.02,30.05,17496.0,29.677,154
2021-03-02,30.09,30.36,29.34,29.57,15280.0,29.679,132
2021-03-03,29.56,29.81,29.1,29.23,17358.0,29.418,133
2021-03-04,30.42,30.42,28.26,28.4,27677.0,28.756,221
2021-03-05,28.74,29.61,28.0,29.5,25183.0,28.79,165
2021-03-08,29.89,30.56,29.3,30.34,26326.0,30.04,204
2021-03-09,30.88,31.11,29.03,29.96,34316.0,30.204,229
2021-03-10,29.68,31.85,29.41,31.58,32543.0,30.962,251
2021-03-11,31.74,32.88,31.63,31.86,34878.0,32.233,248
2021-03-12,32.19,32.48,31.75,32.34,21735.0,32.123,174
2021-03-15,32.38,33.29,32.12,33.01,25489.0,32.936,177
2021-03-16,32.66,33.25,32.14,33.0,17125.0,32.878,137
2021-03-17,32.44,33.54,32.43,32.97,21978.0,33.079,121
2021-03-18,33.39,35.14,32.92,33.0,68091.0,34.107,415
2021-03-19,33.31,34.5,32.96,34.33,64957.0,33.398,220
2021-03-22,34.31,35.0,33.35,33.7,22271.0,33.82,177
2021-03-23,33.29,33.75,32.01,32.01,29909.0,32.755,229
2021-03-24,32.33,32.7,31.0,31.07,65919.0,31.822,441
2021-03-25,31.35,32.56,30.95,31.41,37075.0,31.393,292
2021-03-26,32.11,32.8,31.73,32.68,17628.0,32.356,124
2021-03-29,32.79,33.38,32.26,32.66,28794.0,32.82,225
2021-03-30,32.57,33.57,32.3,32.94,28053.0,33.042,136
