date,open,high,low,close,volume,average,barCount
2023-12-13,327.4,331.48,326.6,329.81,602938.0,329.82025802949784,4881
2023-12-14,329.82,329.82,310.98,312.8,1102069.0,315.3451565258533,8783
2023-12-15,306.19,309.06,302.52,305.33,1139100.0,304.9341386950402,7772
2023-12-18,307.54,311.13,307.4,308.89,387916.0,309.3601736727123,3090
2023-12-19,308.89,310.0,306.74,307.87,345670.0,307.7254914209587,2311
2023-12-20,286.2,292.15,280.17,289.29,1808346.0,288.77616033655204,10844
2023-12-21,287.62,290.2,282.43,283.45,1161106.0,284.3678294987907,7554
2023-12-22,284.37,286.99,280.32,286.88,1156666.0,284.42585973516464,9047
2023-12-26,285.68,286.18,282.75,284.83,410558.0,284.20750867626606,2959
2023-12-27,284.33,285.73,282.9,285.11,636324.0,284.28029236256555,4352
2023-12-28,285.23,287.6,283.73,284.55,575494.0,284.7051917204222,4906
2023-12-29,284.55,286.42,283.43,286.24,270357.0,285.17730211804053,2180
2024-01-02,286.65,288.04,283.06,283.29,560433.0,284.14554418657883,4420
2024-01-03,284.14,288.14,283.07,286.11,594514.0,286.292662932414,4012
2024-01-04,287.53,290.49,285.73,285.96,436782.0,287.82800528800203,3001
2024-01-05,286.34,287.8,281.16,284.83,448281.0,283.8691628913065,3016
2024-01-08,287.06,291.07,285.66,290.68,789245.0,289.27974476067845,5250
2024-01-09,288.62,289.33,285.42,289.15,426581.0,287.97553978725773,3398
2024-01-10,289.19,294.42,288.62,294.38,689314.0,291.9796260970585,4190
2024-01-11,294.49,295.11,290.67,293.7,534388.0,292.6573012303065,3858
2024-01-12,294.7,295.99,294.0,295.31,395173.0,295.02965597833867,3126
2024-01-16,294.83,295.91,293.04,295.38,386694.0,294.6214771970645,3008
2024-01-17,295.61,299.86,294.54,298.28,710366.0,298.1446010392914,5240
2024-01-18,296.2,303.6,295.33,302.23,874095.0,301.1975816105567,5851
2024-01-19,303.93,307.61,302.49,306.46,743150.0,306.0760557192798,4672
