date,open,high,low,close,volume,average,barCount
2022-01-24,17.33,19.02,17.33,18.72,77877.0,18.4,587
2022-01-25,18.36,18.89,17.31,18.18,154073.0,18.203,773
2022-01-26,18.26,18.33,17.36,17.56,124825.0,17.878,739
2022-01-27,17.37,18.12,16.77,17.04,67214.0,17.424,489
2022-01-28,16.91,17.32,16.61,17.29,82609.0,16.997,595
2022-01-31,17.29,17.97,17.2,17.8,84064.0,17.665,584
2022-02-01,18.03,18.15,17.19,17.78,81918.0,17.673,638
2022-02-02,17.8,17.8,17.0,17.26,70789.0,17.287,557
2022-02-03,17.06,17.39,16.87,16.95,86443.0,17.076,687
2022-02-04,16.89,17.3,16.58,17.22,73917.0,17.01,565
2022-02-07,17.2,17.92,16.9,17.38,70554.0,17.35,538
2022-02-08,17.56,17.98,17.4,17.91,42676.0,17.798,289
2022-02-09,18.17,18.7,17.93,18.13,56701.0,18.184,439
2022-02-10,17.71,18.11,17.62,17.74,56279.0,17.84,391
2022-02-11,17.94,18.51,17.33,17.7,48427.0,17.709,364
2022-02-14,17.79,18.05,17.57,17.71,58729.0,17.781,408
2022-02-15,17.98,18.2,17.85,18.0,67389.0,18.005,397
2022-02-16,18.0,18.0,17.39,17.76,48536.0,17.71,370
2022-02-17,17.57,17.71,17.23,17.5,43675.0,17.528,312
2022-02-18,17.35,17.81,16.56,17.75,196009.0,17.407,1434
2022-02-22,17.67,18.4,17.4,17.45,102370.0,17.886,775
2022-02-23,17.52,18.6,17.47,18.44,92554.0,18.223,741
2022-02-24,18.28,19.37,18.05,19.32,82532.0,18.959,606
2022-02-25,19.31,19.49,18.76,19.35,83119.0,19.152,548
2022-02-28,19.25,20.1,19.25,19.55,108418.0,19.766,624
2022-03-01,19.91,20.08,19.68,19.89,75765.0,19.862,555
2022-03-02,20.16,20.9,20.1,20.8,94642.0,20.585,596
2022-03-03,21.32,22.04,20.85,21.16,208353.0,21.462,1419
2022-03-04,20.83,21.73,20.73,21.69,58827.0,21.433,432
2022-03-07,21.37,21.67,21.3,21.31,104866.0,21.449,765
2022-03-08,21.51,21.68,19.93,20.32,97539.0,20.496,756
2022-03-09,20.46,20.76,19.91,20.73,79608.0,20.461,580
2022-03-10,20.34,20.65,20.02,20.55,54503.0,20.405,401
2022-03-11,20.76,20.91,19.58,19.61,85002.0,19.836,603
2022-03-14,19.69,19.76,19.07,19.25,82616.0,19.27,584
2022-03-15,19.47,19.74,19.11,19.52,46273.0,19.52,319
2022-03-16,19.82,20.46,19.7,20.39,92034.0,20.216,693
2022-03-17,20.24,21.66,20.01,21.54,123015.0,21.21,782
2022-03-18,21.66,21.86,21.3,21.74,197485.0,21.672,856
2022-03-21,21.65,21.77,20.68,20.86,53437.0,21.226,337
2022-03-22,20.75,21.14,20.57,20.64,25798.0,20.74,196
2022-03-23,20.34,20.34,19.34,19.79,97678.0,19.791,645
2022-03-24,19.66,20.26,19.6,20.25,45736.0,19.966,315
2022-03-25,20.26,21.0,20.06,20.49,73432.0,20.534,559
2022-03-28,20.3,20.66,20.3,20.56,39229.0,20.512,289
2022-03-29,21.04,21.36,20.81,21.09,95918.0,21.013,554
2022-03-30,21.11,21.57,21.0,21.49,153012.0,21.4,679
2022-03-31,21.23,21.72,21.22,21.38,68240.0,21.437,427
2022-04-01,21.51,21.9,21.38,21.66,58425.0,21.716,443
2022-04-04,21.76,21.76,20.86,21.36,83592.0,21.267,489
2022-04-05,21.39,22.0,21.3,21.33,67689.0,21.584,462
2022-04-06,21.29,21.95,20.98,21.84,141872.0,21.563,1033
2022-04-07,21.94,22.5,21.6,22.5,156844.0,22.226,942
2022-04-08,22.54,22.75,21.87,22.18,91819.0,22.228,661
2022-04-11,22.18,22.18,20.87,20.96,67188.0,21.203,479
2022-04-12,21.19,21.4,20.94,20.97,87405.0,21.063,627
2022-04-13,21.07,21.79,20.86,21.5,99646.0,21.409,671
2022-04-14,21.64,22.2,21.42,22.16,118526.0,21.918,765
2022-04-18,22.13,22.95,21.38,21.47,132532.0,22.183,826
2022-04-19,21.76,22.69,21.63,22.42,103811.0,22.311,770
2022-04-20,22.78,23.07,22.39,22.6,127811.0,22.752,868
2022-04-21,22.74,22.82,22.27,22.66,140407.0,22.666,798
2022-04-22,22.44,22.98,21.67,21.72,123591.0,22.3,965
