date,open,high,low,close,volume,average,barCount
2020-12-14,25.36,25.63,24.14,24.23,284956.0,24.751,1521
2020-12-15,24.99,25.18,24.14,24.41,220424.0,24.536,1430
2020-12-16,24.6,24.91,23.85,24.17,191464.0,24.198,1022
2020-12-17,24.15,24.67,23.34,24.13,263571.0,24.06,1224
2020-12-18,24.32,24.32,22.75,22.88,539035.0,23.624,2303
2020-12-21,22.32,23.09,22.0,22.83,343370.0,22.604,1489
2020-12-22,23.17,23.93,22.77,23.39,214882.0,23.213,1266
2020-12-23,23.47,23.78,23.05,23.5,164206.0,23.507,671
2020-12-24,23.42,23.77,22.95,23.43,71161.0,23.299,299
2020-12-28,23.91,24.39,23.51,23.97,166557.0,23.919,831
2020-12-29,24.19,24.41,22.65,22.84,160414.0,23.229,762
2020-12-30,22.81,23.81,22.81,23.62,106902.0,23.491,527
2020-12-31,23.74,23.92,23.34,23.64,74627.0,23.624,424
2021-01-04,23.99,24.95,23.77,24.49,237937.0,24.354,1299
2021-01-05,24.76,27.15,24.76,26.34,351634.0,26.228,1558
2021-01-06,26.4,28.44,26.4,28.0,322717.0,27.827,1807
2021-01-07,28.0,28.73,27.73,28.49,168333.0,28.38,973
2021-01-08,28.59,28.59,27.26,27.85,153404.0,27.845,798
2021-01-11,27.07,28.03,26.15,27.5,203889.0,27.422,972
2021-01-12,27.74,31.22,27.47,30.4,584731.0,29.606,2397
2021-01-13,30.51,31.05,29.1,29.59,186316.0,29.907,1025
2021-01-14,30.03,30.24,29.26,29.6,82044.0,29.719,544
2021-01-15,29.23,29.63,27.56,28.37,209601.0,28.422,1198
2021-01-19,29.05,29.64,28.51,29.45,102119.0,29.095,586
2021-01-20,29.63,30.55,29.31,29.84,250924.0,29.958,1263
2021-01-21,30.13,31.32,29.27,30.66,231038.0,30.129,787
2021-01-22,30.4,30.99,30.1,30.86,142607.0,30.655,843
2021-01-25,30.97,31.94,29.51,30.66,240943.0,30.74,1294
2021-01-26,30.96,31.52,29.25,29.29,177366.0,29.653,822
2021-01-27,28.5,28.5,26.28,26.91,298691.0,27.254,1803
2021-01-28,26.88,28.95,26.5,28.5,171195.0,28.02,1180
2021-01-29,28.98,29.98,28.26,28.74,203842.0,29.103,1509
2021-02-01,29.77,31.38,29.24,31.17,165933.0,30.372,1100
2021-02-02,31.92,33.19,31.1,33.16,233349.0,32.301,1400
2021-02-03,33.72,35.02,32.09,32.92,323312.0,33.28,1878
2021-02-04,33.0,34.9,32.34,34.74,259060.0,33.967,1587
2021-02-05,38.39,40.04,33.38,33.58,455805.0,35.505,2720
2021-02-08,35.09,36.48,33.83,34.43,200892.0,34.851,1273
2021-02-09,34.55,35.22,33.78,33.97,185154.0,34.303,1269
2021-02-10,34.66,34.79,32.6,32.72,200680.0,33.162,1298
2021-02-11,37.45,39.85,37.1,38.57,1213971.0,38.35,5406
2021-02-12,39.72,40.82,38.25,40.37,706122.0,39.724,3734
2021-02-16,41.25,43.0,38.89,39.49,662140.0,41.052,3644
2021-02-17,38.75,39.75,37.14,38.24,307755.0,38.115,1492
2021-02-18,37.65,38.15,36.04,36.5,287324.0,36.76,1546
